0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,두계,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동안,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
목포,287498,61990,18999,46557,8498,4692,15644,10890,1783,60812,0,0,0,0,0,0,0,130,1128,1704,0,0,0,0,0,0,0,0,0,0,0,0,2353,12784,39653,12320,17678,12579,180044,16682,11213,1978,0,0,0,0,5427,1591,0,0,0,0,0,0,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3563,0,0,0,0,0,0,0,271,607,1195,125,1420,117,625,2309,5087,60944
전주,98715,91240,0,71514,18243,0,32422,14610,3038,38543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747,12289,99128,0,0,0,0,0,0,0,8296,8472,44548,13697,71799,70693,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355,103,230,0,0,0
임실,12858,11906,0,7019,1578,0,1332,772,233,2495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,655,13244,0,0,0,0,0,0,0,8780,151,595,581,3090,3199,0,0,0,84,0,0,0,0,0,126,0,0,0,64,20,0,0,0,141,0,40,0,0,0,0,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1,6,0,0,0
남원,57462,42943,0,27457,4634,0,6692,3347,878,12999,38,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,3660,44287,0,0,0,0,0,0,0,39750,763,107,1965,22059,25886,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,10,33,0,0,0
구례구,40476,29574,0,17959,2362,0,3078,1947,587,6408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1673,12630,0,0,0,0,0,0,0,11618,651,1736,403,9048,16169,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,12,0,0,0
순천,110943,81262,0,58538,9945,0,17271,11197,2264,35015,0,0,0,0,0,0,0,358,1149,1413,0,0,0,0,0,0,0,0,0,0,0,0,1072,9933,58073,556,400,130,2379,1370,882,4858,69754,2991,23518,11080,155,35209,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3653,0,0,0,0,0,0,0,347,1212,2356,773,7462,4949,2159,33966,4912,4803
여수,84287,52735,0,47063,7169,0,13340,9620,1649,30380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,7839,46875,0,0,0,474,394,309,1247,69148,3415,26271,18495,34668,457,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3401,1633,1057
청주,5087,5913,0,2914,578,0,857,10594,1470,15821,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,133976,3556,1180,3964,1949,0,0,0,61,71,6,4,1,0,140,0,0,0,0,0,0,297,207,611,1747,7906,46301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,107,1306,3179,0,3,343,49,764,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
증평,1287,2155,0,928,334,0,359,13091,1137,7250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11869,127,133,219,137,0,0,0,516,51,1,1,0,0,245,0,0,0,0,0,0,0,0,1131,2,491,6765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,114,453,0,0,42,6,48,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
음성,285,482,0,315,170,0,216,5123,859,8702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9028,87,88,327,91,0,0,0,21,30,7,1,0,0,233,0,0,0,0,0,0,0,0,5439,231,12,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,116,495,0,0,25,12,46,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
충주,4456,2071,0,1401,911,0,1990,36067,6261,58348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38721,497,613,1886,780,0,0,0,137,205,29,19,18,0,0,0,0,0,0,0,0,0,0,45401,5449,1179,4051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,57,476,2142,0,3,147,29,570,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
온양온천,143978,188390,0,105711,16949,0,30230,36,0,152,0,0,0,0,0,132,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,17447,48248,44052,18936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예산,109306,128626,0,73140,17285,0,81553,0,0,25,0,0,0,0,0,157,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16606,2796,17383,25558,14251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홍성,136658,143093,0,88506,25128,0,122728,0,0,0,0,0,0,0,0,74,0,0,0,25,0,0,13,144,60,0,0,0,0,0,0,0,0,0,288,141,0,0,0,0,0,0,0,0,5,614,0,0,0,0,0,0,45263,18420,1821,24445,24947,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대천,168057,167119,0,112602,23928,0,111889,360,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37504,26280,21870,3066,31285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장항,85841,73464,0,48960,10125,0,28133,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,0,407,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18778,17058,24694,28053,2168,346,0,60,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,24274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,180,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,126,0,0,0,0,0,0,0,0,0,0,0,0,346,263,6497,37689,438158,0,0,2335,0,0,0,1296,0,2071,0,0,0,0,0,0,0,25,0,0,0,0,0,0,332,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
능곡,311661,0,3,0,0,1984,0,0,0,6835,0,0,0,0,0,9658,0,0,1177,12545,0,0,0,0,0,0,0,0,0,0,0,144,84,207,2052,211,428,312,641,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4897,863,6962,191146,0,0,2101,125,1,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035
일산,436990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,80,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,46648,1361,288,242334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산,1080821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,168,0,0,0,0,0,0,0,0,115,116,355,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127956,51272,64916,68616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,61,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,0,3,0,0,0,0,0,0,3,72,0,0,0,0,0,0,0,0,0,472,21481,471111,41036,339399,2319,141616,29548,57575,90934,90695,2929,415,0,0,0,0,0,792,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,4703,539,0,0,0,26563,638329,1402317,0,0,0,0,0,0,2077,2166,2415,21630,17353,49655,186945,10830,1138,35170,6472,114189,149465,1569,685,2686,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
성북,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,437,44,0,0,0,15788,139260,361521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의정부,0,16,0,21,0,0,11,0,0,21,0,0,24,0,0,148,0,14,31,177,0,288,0,648,0,0,0,0,0,0,0,144,0,3,49,0,4,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2745,100,0,0,0,0,255350,451626,1554073,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,76,183,0,0,0,0,0,0,611
동안,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,731980,2654,82142,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신탄리,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340366,55832,171021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0
금곡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44978,9983,0,0,0,2564,20848,135144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가평,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601026,114123,0,0,0,25147,9688,69621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,216
춘천,0,206,0,34,0,0,9,0,0,23,0,0,13,0,0,19,0,21,35,227,0,432,0,144,0,0,0,0,0,0,0,360,0,0,20,0,0,582,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331794,392107,0,0,0,134576,75469,24724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,37,55,0,0,0,0,0,0,492
일영,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,151,0,0,0,0,400,25,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,277,159,0,134,26,0,25,35,4,216,1,7,19179,9946,1912,55798,6083,898,5782,19598,0,0,0,0,0,0,0,0,4369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,895,1033,0,0,1,5,1,35,10,161,906,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
점촌,74,40,0,22,12,0,24,27,3,229,3,10,12820,8212,1307,38753,3996,721,4611,13305,0,0,0,0,0,0,0,0,3505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,376,0,0,2,2,3,28,8,148,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예천,6,19,0,7,3,0,10,6,0,57,0,0,5198,5730,634,8131,1281,275,3072,7024,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,192,44,0,0,0,0,0,6,0,31,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
군산,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,31,137669,9,430,46,17,17,4,33,44705,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
연무대,6048,0,0,0,0,0,0,1224,0,8928,0,0,0,0,0,216,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,6068,0,0,0,0,0,0,0,0,0,4680,720,26435,0,0,0,432,2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화,60,0,0,0,0,0,0,0,0,0,0,0,67,67,1,1601,0,4,33,248,2,3,0,19,0,35,10,2,1238,714,187,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,80,0,1594,0,0,0,0,0,0,0,0,23,12,0,0,0,43,580,2723,1803,395,1474,2278,0,2,5,19,108,234,1598,90,1765,467,0,0,0,745,0,0,0,0,0,0,0,0,0,0
춘양,0,0,0,0,0,0,0,0,0,0,0,0,37,46,1,1972,0,0,34,196,0,12,0,44,0,50,3,4,8804,1994,91,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,0,0,0,0,0,0,0,0,33,3,1,0,0,1064,214,2106,1238,295,1022,1321,0,1,28,6,75,161,1346,149,1326,327,0,0,0,278,0,0,0,0,0,0,0,0,0,0
석포,30,0,0,0,0,0,0,0,0,0,0,0,17,52,0,1677,0,0,6,87,0,4,0,42,0,89,2,9,10696,2124,98,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,20,0,1882,0,0,0,0,0,0,0,0,21,9,4,0,0,2802,2879,2074,3917,186,1115,1224,0,16,11,3,103,309,423,10,547,126,0,0,0,110,0,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,15,7,43,0,0,150,242,46,17768,0,68,1432,2595,12,86,2,2060,0,1454,6,110,11899,5755,717,1973,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,58,1,1,8,0,0,0,0,0,0,0,0,0,8464,0,0,0,0,0,0,0,0,74,82,31,0,0,1369,954,2536,144,1229,8636,18129,0,13,639,183,3462,357,9705,355,6990,1705,0,0,92,1318,0,331,0,0,0,0,454,0,0,18
도계,0,0,0,0,0,0,0,135,12,242,0,0,51,120,5,3244,0,25,79,733,39,222,30,4110,0,3720,6,45,2660,1158,158,197,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,121,12,6,49,0,0,0,0,0,0,0,0,0,18579,0,0,0,0,0,0,0,0,19,51,8,0,0,422,312,314,515,578,14025,21090,0,63,883,166,1636,889,712,46,685,178,0,0,0,270,0,0,0,0,0,0,0,0,0,21
동해,3344,443,0,346,70,0,322,313,73,651,0,0,682,655,191,8051,0,63,113,755,13,1066,52,3171,1,11618,55,107,9667,4446,725,711,0,37,110,35,15,5,0,0,0,0,0,0,0,0,0,0,1331,128,124,525,0,0,0,0,0,0,0,0,0,45568,0,0,0,0,0,0,0,0,258,196,101,0,0,1598,996,1197,6500,12710,824,31921,0,281,4240,908,8166,11866,1682,181,1361,442,0,0,0,629,0,0,0,0,0,0,0,0,0,1097
강릉,0,1608,0,0,0,0,0,858,126,2682,0,0,681,1458,152,13433,0,271,604,4135,10,2026,79,3921,0,14984,92,228,12852,7651,959,1083,0,168,759,90,155,30,0,0,0,0,0,0,0,0,0,0,3003,374,517,2148,0,0,0,0,0,0,0,0,0,98293,0,0,0,0,0,0,0,0,884,676,287,0,0,2342,1313,1076,13880,20616,33997,41663,0,129,2823,1118,14717,26807,4275,302,4073,1823,0,0,0,514,0,0,0,0,0,0,0,0,0,1206
정선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,617,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35727,0,119,0,22801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍용,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,38,57,0,666,0,182,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,12,40,265,150,0,3,134,57,728,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영월,0,17,0,0,0,0,0,161,58,678,0,0,0,0,0,0,0,0,0,0,141,1137,72,12025,7,10069,0,0,58,0,0,0,0,4,38,2,8,2,0,0,0,0,0,0,0,0,0,0,443,66,55,103,0,0,0,0,0,332,0,0,74,32775,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,16,857,809,4132,4612,0,209,141,687,11124,10812,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,50
예미,0,0,0,0,0,0,0,10,7,80,0,0,0,0,0,0,0,0,0,0,14,189,35,4623,3,4832,0,0,78,0,0,0,0,2,12,8,0,0,0,0,0,0,0,0,0,0,0,0,71,12,11,28,0,0,0,0,0,0,0,0,61,7061,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,2,147,160,868,1078,0,60,422,0,1721,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
증산,750,92,0,75,504,0,0,332,85,1257,0,0,0,0,0,0,0,0,0,0,616,3277,186,37299,26,47099,0,0,1696,0,0,0,0,10,117,31,12,1,0,0,0,0,0,0,0,0,0,0,669,40,43,480,0,0,0,0,0,0,0,0,187,110629,0,0,0,0,0,0,0,0,0,0,0,0,0,205,110,72,3770,2222,8144,13830,20777,742,12623,2177,842,12321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
