0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
순천,225590,0,78168,485,57711,9464,17345,11280,35145,252,0,0,413,745,483,954,12315,0,0,0,0,0,0,0,0,0,16439,45596,1893,433,748,787,4898,69054,4008,30159,13112,5362,33177,0,0,0,0,284,286,577,0,0,670,0,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,322,695,0,0,162,187,4610,529,7541,7451,5913,65975,4907,20478
여수,151690,0,47345,842,37687,5320,13266,10109,31814,50,326,558,637,823,0,1212,294,0,458,0,0,0,480,910,1438,0,14742,45690,0,0,64,312,580,77079,4425,34093,23796,40775,1797,461,0,0,0,0,0,0,0,0,0,0,80,555,0,0,0,0,0,106,495,0,0,0,0,0,593,0,120,78,159,685,147,110,120,0,0,0,1,1,0,3,0,0,4376,2325,3777
청주,11010,0,13780,0,5091,694,1880,22416,20909,0,0,0,0,1,0,0,0,0,0,0,926,234533,9892,3818,0,0,0,1,1441,0,0,2,897,0,0,0,423,0,462,22390,51226,720,0,0,0,0,0,0,396,0,0,31,0,0,0,0,0,0,0,0,0,0,367,145,3721,5299,183,884,100,1225,0,0,0,0,0,720,0,376,0,0,0,0,0,0,0
충주,16458,0,8357,370,3121,716,3685,44716,70554,0,0,0,0,789,0,27,2057,0,0,0,997,90043,6123,3292,0,0,0,0,700,0,290,139,1112,0,0,0,0,0,0,56168,12420,0,23,31,219,287,94,0,42,254,0,299,874,95,0,0,0,0,0,0,0,0,108,220,2625,1341,56,119,12,578,0,0,0,0,1226,697,130,931,0,0,0,0,0,0,1023
부평,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,360,0,0,0,0,0,1440,1080,0,0,0,0,0,0,1608,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0
인천,0,0,0,0,0,0,0,0,0,530,309,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1120,0,0,0,0,0,71,0,734,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,396,0,0,0,0,0,0,1440,0,0,405,0,0,0,0,0,0,0
온양온천,211285,536,216545,5666,90544,13339,59960,0,0,0,0,0,0,772,0,82,0,0,0,0,0,0,329,0,0,0,0,0,35,85,0,0,445,0,0,49,17,284,0,0,31,0,0,2004,25903,36295,52437,22408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,17,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
예산,266257,404,233090,5735,113960,23330,110362,0,0,0,0,65,321,267,0,280,0,0,0,0,0,29,13,0,0,0,0,0,0,167,0,0,114,0,0,198,6,286,0,0,248,0,0,45615,17304,46282,42203,31912,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,291,15,0,0,141,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0
홍성,275063,514,197574,4889,99345,27505,123323,0,0,0,0,139,206,81,0,143,0,0,0,0,0,66,535,0,0,0,0,0,463,1438,199,0,0,0,0,714,773,577,0,0,287,1296,0,63931,49256,7213,36615,54926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,30,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,369,61,114
대천,369496,527,184252,3512,118914,26138,112408,0,0,0,0,142,2,380,1872,26,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,94,1440,0,75219,54255,29277,3548,79999,1440,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,135,190,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0
장항,198347,87,125392,2964,72759,14657,30151,0,0,0,0,105,149,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38515,38930,59142,72705,22745,271,0,2,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
수색,737758,0,0,0,0,0,0,0,245,0,180,513,0,1606,0,0,0,0,0,864,0,42,1076,0,0,0,335,601,1147,593,1444,0,812,0,0,392,0,670,0,0,0,0,0,0,0,0,1800,271,59846,863648,0,0,17791,0,1152,0,46215,0,0,0,0,0,0,0,0,360,1392,0,0,338,339,0,0,842,0,0,0,0,0,0,0,0,0,0,1182
문산,1254099,0,0,0,0,0,0,0,0,0,0,562,0,2240,216,25,240,0,624,0,0,254,0,555,0,854,0,38,987,0,120,0,4,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,768681,785737,0,0,34,408,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,0,61,0,400,151,0,0,0,0,0,0,0,0,0,0,0
청량리,0,0,0,0,0,7,2,0,0,0,0,66,0,761,0,0,1135,85354,561764,519410,3149,295011,439431,303528,18096,1454,0,108,100,0,0,0,0,181,0,140,0,0,80,0,0,0,0,0,0,0,0,0,0,0,22846,536,238,514,294555,1956265,0,0,0,0,0,9393,20399,30445,139716,340270,447783,66941,15859,229330,1155,1058,4447,2479,0,42,0,0,0,0,0,0,0,0,0
성북,0,0,0,0,0,4,0,72,444,0,365,121,0,293,0,906,104,0,0,0,0,330,0,105,0,0,360,399,42,0,0,0,0,254,0,389,0,863,555,0,0,0,0,0,0,0,0,0,0,0,1463,5,216,144,71224,395952,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,657,0,792,0,0,0,0,0,0,0,0,0
의정부,80,143,72,0,0,0,0,0,137,0,0,0,731,0,0,0,1800,0,360,2280,0,874,0,206,0,1080,260,0,257,0,0,0,0,0,0,863,0,0,0,0,0,0,0,0,9,0,272,193,11675,3,25,2,2880792,1523207,0,0,7846,216,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0
신탄리,0,72,215,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,3000,144,0,713,0,563,0,428,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,528,184,0,1566144,341037,408,0,864,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0
