0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,22,1443,109,727041,552019,1038053,371227,1834851,31023,125877,236566,375887,1851968,60805,94422,2237741,1110,3,0,0,3307,3062,1739,0,34640,320832,448700,340583,83268,81097,73093,321254,237637,25496,126728,109548,197174,139768,11074,8273,0,0,204424,267642,280867,352561,197173,73217,1184660,1,1,80,0,2,0,1304,0,389,0,680,0,35,0,0,0,116,0,0,95,23916,378,88732,332215,51070,6685,10497,194767,6490,52979,7816,8370,20346,1345,426491
용산,2,0,0,348,3634,10157,2486,179,941,39,32,72,229,22380,33,17,95876,0,192,0,0,236,0,0,0,0,5482,4211,796,1627,69877,139,5512,0,0,1440,0,0,0,0,0,0,0,1240,1971,1313,619,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,1599,0,0,0,0,0,0,0,0,0,270
영등포,372,0,0,614,377057,560012,969923,375929,1158414,28736,99195,133969,190216,587778,33116,32570,669204,0,2163,0,0,3757,1388,989,0,1375,220589,262575,225849,43139,48967,57366,195425,142807,18887,72302,53919,109528,61251,12605,7798,0,25,216745,253435,223172,208132,143038,0,0,4,0,0,0,3,23,0,0,0,0,0,0,266,0,0,800,0,122,0,0,6074,210,4193,8055,0,2268,4685,84752,3480,25946,3968,5143,14628,1124,214076
안양,1625,13,294,0,1311,28177,13581,5805,6159,66,1572,2278,2217,5716,766,372,4236,0,240,0,0,370,0,0,0,0,1549,1825,3622,486,909,1183,2262,84,0,260,0,0,530,0,0,0,0,13347,5622,5680,4368,3042,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,10470,0,0,0,0,0,0,0,0,0,0,0
수원,657992,266,48244,73,0,325213,328557,193868,537410,13730,50040,85343,123672,402349,21807,23794,522986,0,0,0,0,5766,10894,5758,0,5209,104337,155849,119257,22391,24981,26976,95613,66754,7382,34905,23215,63480,41237,3227,8545,0,0,80327,107939,99708,123881,79663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,279,718,6146,18903,15327,1167,3102,54224,1832,18665,1896,221,6373,463,105909
평택,1305767,12755,136542,45089,88215,2698,49013,33326,144783,1907,7489,13628,16614,62407,3342,2543,67422,0,0,0,0,2257,2775,2188,0,0,18066,28213,16130,3039,6577,4897,12463,14793,1487,5990,3175,10136,5159,559,706,0,0,11339,25027,31117,29638,14885,0,0,2,0,0,0,0,0,0,0,0,0,0,1,441,0,0,0,0,52,0,0,0,0,0,2,0,0,431,7327,224,3320,197,357,969,56,18024
천안,1627508,698,382150,8250,236392,47338,26014,102437,424369,7169,17829,32380,36823,143050,6602,7581,221178,0,0,0,0,11384,6634,2904,0,1509,32491,41737,24428,5236,7044,6190,22210,22613,1602,8618,4849,18252,14443,1242,3082,0,0,23910,96779,136495,152112,33913,0,0,0,0,0,0,0,0,0,0,0,0,0,134,125,0,0,12,0,0,0,537,172,89,13563,9438,0,940,1115,27766,408,7170,300,265,1403,91,27726
조치원,367667,955,347932,2892,201283,34418,123807,559,205403,2234,13090,22410,31645,62224,3891,4723,119250,0,0,0,130,51066,294,0,0,137,26770,30221,15560,7043,5439,3075,14982,11724,624,4424,3853,11779,11181,20534,37662,0,0,0,0,0,0,0,0,0,72,0,144,0,0,0,0,0,0,0,0,3,87,39,516,926,20,72,9,322,136,13,1272,759,0,0,590,9337,255,3465,156,83,810,52,17206
대전,1924053,3906,1079033,4419,574979,148333,429996,216745,11016,117541,282320,185686,177738,525269,34600,26605,825584,0,0,1352,0,119170,2014,1019,0,6856,160007,126351,53351,17196,15469,8433,52636,31226,2468,17585,12356,38286,34896,18178,60815,0,0,0,0,0,0,0,245,0,360,372,1217,0,0,216,0,0,0,0,0,0,889,303,2067,9766,189,486,92,2234,7829,162,25001,24484,14023,2309,3565,65359,1249,13375,437,554,2302,209,52192
옥천,36636,0,26254,86,16414,2316,7530,3149,127537,11190,5264,7046,6771,12208,1005,481,13875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,707,0,0,227,676,252,50,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,25,222,148,0,547,48,1111,62,142,0,0,237,0,0
영동,127142,9,86613,1293,50278,7632,19560,14082,268155,7028,14194,38805,30472,62699,3398,2427,67372,0,0,0,0,0,0,0,0,54,0,0,0,0,0,571,426,0,21,256,0,0,336,0,0,0,309,0,0,0,0,0,180,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,50,1,582,666,0,0,180,4794,87,714,0,0,0,0,0
김천,246728,39,115873,1361,84750,14292,33124,23205,187384,3852,45287,2101,103264,441980,36681,8654,177147,0,0,0,0,0,16290,0,0,1330,0,0,847,0,0,70,643,0,0,33,0,0,558,0,0,0,0,0,0,0,0,0,922,513,107,121,0,0,0,0,0,23414,24317,8521,0,0,0,338,461,1629,814,0,0,0,166,17,1050,2734,4173,10,734,15860,218,2572,0,0,0,0,0
구미,389845,257,166035,1647,128194,20369,38459,29844,180143,5431,32687,112595,99328,1232571,135677,38986,413599,0,0,0,0,0,29113,0,0,6017,0,207,1641,0,741,244,458,0,289,324,0,413,637,0,0,0,0,0,386,345,144,354,0,0,0,0,731,0,0,0,0,8811,17723,9857,532,0,361,0,616,0,0,0,0,0,306,168,11426,7452,6235,0,2112,26692,685,7104,0,0,0,0,0
동대구,1890853,1809,501734,3761,404668,79508,142921,62273,521223,10210,64727,489199,1108824,3872,262270,296772,2758163,0,1428,7834,0,23480,86376,55287,30776,99467,1868,390,0,0,0,0,2,516,44,260,0,773,823,0,1,0,0,771,267,81,398,0,2211,1635,592,725,2396,0,0,0,0,65998,66217,21513,0,8172,22331,4631,11718,33473,0,2,0,163,11371,2243,18044,53293,95222,1791,13876,140643,3735,14052,820,0,0,0,0
청도,68507,1851,31643,520,24186,3597,7225,6298,32499,803,3790,41227,123649,272574,32691,59930,534455,0,0,0,0,206,2312,0,0,4,0,0,0,0,0,0,0,0,0,0,0,483,0,0,437,0,0,0,0,0,1872,0,0,216,217,72,1565,0,0,0,0,5142,4941,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,2664,47546,499,2904,0,0,0,0,0
삼량진,100004,845,28193,306,23998,2522,5957,5227,27716,478,2198,9207,33221,307630,51386,111670,1671299,0,0,0,0,92,2537,208,0,1,662,330,560,0,92,83,573,690,0,0,0,723,765,0,0,0,0,82,280,143,16,0,25,0,0,1050,432,0,0,0,0,1001,1580,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,13315,72631,2673,13370,868,308,924,80,417
부산,2477341,4552,575924,3115,506917,59620,214911,144309,808483,12352,71414,190512,409436,2730752,526826,1618184,821213,0,1330,7378,0,9728,31475,13316,2067,2072,267,0,2262,0,1353,2804,27031,0,0,0,484,10347,0,72,596,0,0,0,0,0,36,0,240,0,1044,175,1656,0,0,480,0,24121,31124,14714,0,2271,6271,674,3332,13933,0,0,0,347,478499,80252,51974,45100,10731,2238,68913,148984,17900,26368,10757,3526,11912,1462,16457
팔당,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29628,19542,3829,37,607,306,381,64,24,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97635,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,94,54,10,62,35,199,48,21,0,0,0,0,0,0,0,0,0,0,0
양평,0,192,720,240,0,0,0,0,0,0,0,0,0,1943,0,0,1708,25926,18584,53998,226,10432,5591,3745,210,516,0,0,69,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,1200,638659,0,2520,4848,3288,360,312,0,0,0,0,77,185,229,1718,2305,527,1055,216,2321,1133,109,1384,642,0,0,0,0,0,0,0,0,0,0,0
원주,1586,288,0,16,0,0,0,432,1496,0,0,0,0,9050,1080,0,9519,2790,60843,42889,1029,49623,44727,31175,1440,4625,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468533,0,2280,240,771,0,0,0,0,0,0,201,2448,5446,8354,12945,14386,14214,5125,67784,7572,770,14609,5941,360,0,0,288,0,0,0,0,0,0,0
봉양,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,53,275,1194,18,594,863,191,29,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,1492,0,0,0,0,0,0,0,0,0,4366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,4,61,587,56,768,234,0,0,0,0,0,0,0,0,0,0,0
제천,4885,1728,3472,0,8455,2426,12424,59606,115520,0,0,0,0,31083,231,0,12300,520,9539,31679,475,7060,85641,67984,3481,9178,401,628,590,0,0,607,519,573,0,0,10,0,0,232466,103928,0,55,0,29,65,27,60,0,0,286549,236,0,618,0,0,0,0,0,0,260,254,2712,4609,26875,29539,19587,14140,6307,52882,16672,1854,21714,7887,0,3118,0,687,0,0,0,0,0,0,0
영주,5557,0,2146,0,11152,2617,7032,257,2117,0,0,16773,23736,91574,1892,2568,33316,255,6974,46700,583,86832,7227,122417,8664,20618,0,166,1311,0,0,0,443,0,0,0,0,0,480,10632,6081,0,0,329,13,535,0,0,1076,0,426539,0,0,0,0,0,0,8799,8206,16981,0,45925,52529,7498,31225,54043,0,0,0,0,16710,1869,33138,16771,0,88,20,1196,0,0,0,0,0,0,0
