0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
강릉,2654,1918,0,824,0,0,0,511,50,2198,0,142,1056,1188,283,9807,137,533,1046,1134,11,2301,66,2869,1,12295,0,1159,12502,5896,789,1004,0,843,1167,24,35,344,0,0,0,0,0,0,0,0,720,395,1551,565,154,674,0,0,0,0,0,0,320,0,0,53108,320,0,0,0,0,0,0,0,746,504,286,0,0,1821,1602,855,10347,18168,39538,53407,0,118,2887,1114,15567,26724,4450,228,3207,1260,0,0,0,456,4,138,351,0,0,0,620,0,0,1523
정선,16289,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22157,0,0,0,14260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍용,606,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,39,33,10,841,0,169,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,2,0,0,0,0,0,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,34,0,2,31,10,14,30,197,138,0,4,115,73,393,218,0,0,0,47,0,0,32,0,0,0,0,0,0,0,0,0,0,0
영월,0,0,0,0,0,0,0,58,20,143,0,0,0,0,0,0,0,0,0,0,40,1140,106,12037,3,10994,0,0,37,0,0,0,0,362,137,5,3,4,0,0,0,0,0,0,0,0,0,0,141,10,7,36,0,0,0,0,0,0,0,0,0,21523,0,0,73,0,0,0,0,0,0,0,0,670,0,10,16,23,325,621,4004,4037,0,212,25,791,13909,15532,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,21
예미,2,0,0,0,0,0,0,7,3,30,0,0,0,0,0,0,0,0,0,0,20,189,27,4178,0,4348,0,0,53,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,220,0,29,10,0,16,0,0,0,0,0,0,0,0,0,5829,0,0,0,0,0,0,0,0,0,0,0,34,0,12,14,2,125,116,736,1092,0,76,835,1,1991,1512,0,0,0,0,0,0,18,0,0,0,0,0,0,0,247,0,0,4
민둥산,631,354,0,0,0,0,0,184,41,490,0,0,177,179,123,0,0,0,0,0,568,3088,213,34259,82,40368,0,0,1201,1695,114,0,0,8,45,11,0,6,0,0,0,0,0,0,0,0,232,0,428,39,28,295,0,0,0,0,0,0,0,0,0,72658,0,0,0,0,0,0,0,0,113,88,0,0,0,223,105,128,2667,1879,9691,15368,18108,587,14063,2262,1764,13383,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
태백,8133,21964,0,0,0,0,91,981,50,5810,0,0,0,0,0,742,0,0,4,0,128,2134,189,29702,16,20421,0,0,1326,355,285,0,0,34,641,218,148,15,0,0,0,0,495,0,0,0,0,950,4837,107,71,415,249,176,55,5,0,0,0,0,0,86764,0,0,0,0,0,0,0,0,0,0,0,313,0,317,219,381,223,1660,12312,24109,0,239,8120,1585,8984,22,4,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,2135
부전,6956,4894,0,7645,817,0,1775,1281,65,6665,378,659,3041,10449,960,38945,8137,28797,21604,22,0,1280,0,3306,0,3771,1180,766,5952,10692,4931,6079,671,0,0,0,950,0,0,0,0,0,0,0,0,313,6063,0,12,4,37,328,0,0,0,0,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,483,0,0,0,1774,1198,535,4323,599,1094,5470,0,0,0,0,1516,4,7653,76600,221326,82472,1999,10248,0,1157,14301,5085,5467,3920,10079,2090,538,441,0,0
좌천,1387,943,0,1236,193,0,364,46,0,671,4,165,217,737,28,7291,0,13,33,16,0,82,0,219,0,357,101,38,1243,2205,537,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,165,243,122,258,27,101,260,0,0,0,0,0,0,75162,3109,24962,15711,432,3441,3000,412,1069,1573,1898,0,700,0,0,0,0,0
울산,28116,13831,0,25715,3378,0,7361,854,0,11280,78,793,4572,8397,362,107750,0,7,12,18,0,621,0,2219,0,1920,544,1273,9925,12234,4894,13570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4651,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,1104,298,5265,480,1041,3034,0,0,0,0,0,0,222178,23958,1509,68596,1553,6258,0,9167,11,12,10,0,0,0,0,0,0,0
경주,35117,13493,0,16811,1372,0,4656,565,0,8476,34,222,2151,3915,145,161594,0,0,0,0,0,194,0,956,0,1543,137,738,3535,8276,2810,22362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,4220,0,0,394,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,458,274,831,1160,146,335,1506,0,47,0,0,0,0,72518,14421,62277,1146,3713,60990,0,18817,0,0,0,0,0,0,0,0,0,0
안강,1811,839,0,1051,172,0,272,3,0,567,0,3,94,170,0,21724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2213,327,1504,5959,195,16320,0,1202,0,0,0,0,0,0,0,0,0,0
포항,13467,6740,0,12217,1351,0,2895,13,0,3541,0,17,1392,1960,0,198069,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,12517,0,0,253,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,814,0,432,0,0,0,0,0,0,0,8232,2794,5457,65258,16795,308,320,25993,0,464,0,0,0,0,0,0,0,0
진해,1576,0,0,40,0,0,33,0,0,604,0,368,0,0,0,13525,3199,23620,0,0,0,0,0,0,0,596,214,0,409,191,622,0,448,0,135,202,129,0,164,0,30,307,0,0,0,0,0,0,0,0,0,0,5,99,182,0,0,0,0,0,0,8,955,113,0,0,10,6,507,0,0,0,0,0,0,173,205,165,0,0,0,0,0,32,286,18,0,0,0,3000,0,0,0,320,0,0,180,4576,26,0,0,0,0,0,259,1039
하양,700,342,0,616,80,0,141,9,0,372,2,24,909,1395,497,39138,0,0,0,0,0,0,0,0,0,0,0,0,2389,5430,3978,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,281,141,1055,262,501,541,0,0,0,0,0,0,1139,449,8530,20305,1151,26952,0,126,0,0,0,0,0,0,0,0,0,0
진영,3521,2423,0,3721,392,0,997,421,131,2005,53,174,600,1991,375,32670,6615,20401,10235,3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,124,0,0,0,0,0,0,16500,1083,9,0,0,0,151,0,361,1862,6637,1989,6229,835,214,0,0,0
창원,16770,10170,0,18305,2058,0,4084,1861,340,6097,179,1269,2983,6809,849,131587,36427,162737,8756,1253,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,176,0,0,0,0,0,0,6702,1742,32,0,0,464,5249,0,1850,25,259,8263,15397,5764,612,19,0,0
마산,20782,12467,0,17317,4511,0,4489,1742,315,5862,232,819,3020,4569,737,76895,29604,98162,8625,901,0,0,0,0,0,0,0,0,881,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,195,273,173,0,0,0,0,0,0,7359,2145,14,0,0,0,0,0,6309,370,704,26759,38357,8143,912,411,0,0
함안,1790,1003,0,1020,196,0,299,141,44,346,25,47,105,242,120,3965,1140,3100,2440,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3961,9,1,0,0,0,0,0,1954,8422,26087,1674,20328,903,371,19,0,0
진주,1562,1586,0,1709,1716,0,476,172,42,235,18,492,792,622,261,5782,3937,6293,5919,1537,0,0,0,0,0,0,0,0,754,271,177,0,0,53,246,0,0,0,300,0,0,0,314,5,40,109,8317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9592,708,6,625,0,0,0,0,4992,14545,34737,20036,15346,39834,4028,90,0,300
하동,577,346,0,222,29,0,80,41,0,19,0,33,9,19,6,62,60,311,1549,967,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,0,0,0,135,263,140,10,28,0,7,6,4956,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,0,0,94,0,0,0,0,802,5353,7599,820,38981,2308,1031,0,0,0
광양,1378,915,0,455,221,0,105,40,0,100,0,1,7,6,1,7,7,81,326,84,0,0,0,0,0,47,0,0,0,0,0,0,0,20,72,0,0,0,0,0,0,0,132,1,8,12,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,548,0,0,0,0,0,0,0,184,532,805,308,4673,1098,169,0,0,0
보성,13413,11914,0,6831,1010,0,1669,689,111,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,134,577,1319,545,478,268,11315,889,339,1398,0,0,0,0,21491,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,19,411,19,90,0,0,7241,21787,25854
화순,1869,1806,0,1103,190,0,321,79,20,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,235,420,166,173,84,1424,456,444,5035,0,0,0,0,5040,451,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,19153,138,963
광주,658585,49675,109575,49092,8867,16391,11727,7478,684,71918,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,30,0,0,0,0,0,0,4689,20197,67604,19806,14613,6235,438,1457,11094,68154,0,0,0,0,2607,860,7,6,2,62,0,0,0,0,0,0,8693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,126,2388,0,0,8,0,25,1781,0,0,0,0,0,0,1039,0,0,0,0,0,300,0,0,28517,1254,484
