0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
남원,36123,27555,0,20496,3462,0,6283,2714,670,10397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,282,2783,43326,0,0,0,0,0,0,0,49820,826,0,2138,23088,23069,0,0,0,91,0,0,0,0,0,0,0,0,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,7,0,0,0
구례구,33153,26444,0,17163,2604,0,3766,2059,596,7064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,209,1544,21785,0,0,0,0,0,0,0,20348,1099,1575,1294,20211,25718,0,0,0,273,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,230,1,6,0,0,0
순천,91716,69155,0,56357,9476,0,18991,9113,2379,35905,4,12,25,65,201,669,76,394,1815,797,0,0,0,5,0,320,0,0,0,0,0,0,1003,8165,75297,271,245,153,2173,1371,1022,6230,78620,4649,25348,21976,0,52058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,302,1126,0,0,0,0,0,0,5426,4,9,0,0,0,0,0,593,1830,2501,863,7045,4517,1965,18690,4861,2822
여수,71743,46435,0,47575,7952,0,14887,8353,1911,30261,0,145,157,0,174,0,0,0,0,0,0,0,0,0,0,469,0,0,5,285,152,0,944,7109,66578,34,40,42,0,0,801,920,78277,4626,23147,26700,52305,1802,193,106,403,547,0,0,0,0,0,0,0,0,332,199,347,0,0,0,323,168,0,0,32,11,0,242,0,0,0,0,0,0,0,395,0,76,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,472,732
청주,4982,5738,0,2145,304,0,2624,14398,2269,41330,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,108660,2663,1079,2836,1379,0,0,0,30,29,2,24,7,0,0,0,317,0,0,0,0,0,193,480,2049,7101,56843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,3,53,499,1470,0,3,259,19,334,4684,12,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,3
증평,1167,1796,0,1291,236,0,773,11444,1572,9288,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,10950,91,81,198,109,0,0,0,4,9,0,1,320,0,0,0,126,0,0,0,0,0,106,1804,1,385,6674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,199,525,0,0,38,4,20,82,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
음성,494,722,0,332,218,0,532,6024,1432,11308,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,8142,75,71,131,99,0,0,0,11,21,1,7,0,0,0,0,203,0,0,0,0,0,403,6049,402,14,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,304,159,0,0,15,1,32,59,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
충주,9045,1592,0,1149,386,0,2422,33058,5589,55148,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,37055,340,365,981,458,0,0,0,214,106,2,5,10,114,287,36,129,0,0,91,273,0,547,56528,6519,1877,2147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,880,699,0,0,126,5,204,274,328,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,437,63
온양온천,105276,138563,0,91665,16562,0,88280,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,36,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1293,22237,51197,45093,20084,0,0,0,0,0,0,0,0,0,0,144,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
예산,91750,99487,0,60960,15164,0,130609,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,19962,4889,17847,29610,14337,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0
