0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,9,1697,132,1044817,583524,1046177,415614,2219583,28226,136659,237181,296622,2178471,30267,98152,2662268,0,11,1,0,3462,1968,1,0,23570,359447,508234,388537,70835,96958,105107,377159,264969,33538,153887,134407,237985,158323,14253,12429,0,0,0,240559,299303,274330,359453,224088,131715,2107133,34,0,2986,0,0,10,26368,0,0,392,0,0,0,0,0,0,0,0,0,0,0,236,0,92328,280978,53299,5329,8673,200197,6135,64518,11022,10571,28002,2106,452165
용산,0,0,8,0,8394,16645,4471,964,2004,1605,733,624,1432,10762,1206,1285,91910,0,0,0,0,1370,2465,1578,478,290,8982,2744,1014,1449,48011,584,4103,336,145,1025,1000,663,513,493,0,0,0,0,943,2570,2235,1184,865,0,0,0,0,456,0,0,0,0,557,502,409,136,1088,373,0,0,0,0,0,768,0,0,2393,245,2646,1647,1394,0,396,1371,0,1007,30,0,1421,0,859
영등포,166,0,0,91,539962,613776,1005533,442540,1244432,25689,107086,138032,146296,546993,15721,31060,622434,0,722,40,0,4023,1131,0,0,911,233013,267919,246635,41863,49935,68565,191048,149045,23930,78454,63827,122951,65171,18160,10710,0,0,0,220988,292185,229311,217660,159638,0,0,0,0,0,0,430,804,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,69,0,6705,40571,0,1616,4260,93176,3166,27027,4887,6198,18858,1588,219912
안양,61,0,14,0,1892,28488,23938,9683,15949,283,2405,1868,1586,6679,652,425,4069,0,0,0,0,1022,0,0,0,0,3340,4554,7883,904,2006,2422,4034,0,100,962,797,0,0,0,32,0,0,0,5059,4452,4130,3755,3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3301,0,0,0,0,0,0,0,0,0,0,0
수원,851120,29,57450,335,0,220352,300081,206104,617112,12732,52091,81110,90967,396901,8697,18708,429310,0,0,696,0,15134,9829,645,0,1198,111195,153601,122273,18179,23619,28473,82107,65635,8168,34543,25129,59318,37207,4903,6097,0,0,50913,70531,107431,94449,115510,82930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,510,0,0,0,0,0,413,1384,106,8423,6419,7011,533,2614,64240,1726,25188,2021,1689,7092,615,95561
평택,1270228,14460,154413,29386,98297,5932,37322,38164,146562,2251,7693,12266,15436,64998,1583,2685,57097,0,0,0,0,3402,2481,0,0,0,18568,30723,17557,2582,8585,5715,11263,12459,1348,5352,3969,9294,5965,664,2729,0,0,0,7972,17781,20113,24334,18283,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,172,0,0,363,0,617,277,5219,144,2909,210,223,1995,155,15864
천안,2156206,2012,178763,15448,89875,37709,52551,125944,445126,5279,16059,27622,31195,136242,2216,6458,173021,0,0,0,0,12454,3940,534,0,314,30454,37996,25150,3881,8197,6427,20964,17755,1410,8625,5660,17104,12187,1715,5978,0,0,0,60016,130260,129927,140330,33246,665,0,0,0,0,0,137,0,0,0,0,0,0,0,0,1005,0,0,0,1078,0,0,0,61,0,4043,1767,1285,78,879,23462,398,6566,966,204,1171,110,33482
조치원,409749,1353,413101,8083,227287,38308,148636,9843,331319,3453,14579,22841,31088,67576,1841,5716,105539,0,0,0,296,66640,0,0,0,149,24150,29715,18321,3004,10383,3405,14920,9894,722,5399,5182,14031,12603,18915,43415,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1449,528,0,0,567,11564,348,3346,189,144,775,39,14787
대전,2418805,1773,1151823,13228,692824,132169,497359,315884,26396,176376,376683,215417,215091,671133,14443,31328,1027944,0,0,1841,0,162906,4161,971,1621,5082,277907,155748,72458,13195,24987,13149,69342,33975,3044,20260,16582,46137,41221,17685,66159,1535,1309,0,3,0,4,0,0,1180,408,1609,2203,4594,848,3255,4739,0,967,678,807,219,3166,1035,1636,821,742,871,429,2683,114,5226,1209,480,28498,20569,10284,906,3097,71639,1781,17413,956,709,3386,447,65290
옥천,31438,1439,25465,15,16057,2352,6481,3518,215460,36358,15819,7082,7831,14983,675,683,11219,0,0,0,0,0,116,170,221,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,43,71,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1319,26,191,0,0,0,0,0
