0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포
나주,60685,13400,9215,14037,2703,1617,4027,2010,1520,9874,0,0,0,0,0,0,0,5,32,6,0,0,0,0,0,400,8,0,0,0,0,0,676,2205,9316,2092,3391,2678,3474,123,1112,22067,0,0,0,0,524,156,0,0,0,0,0,0,0,0,0,0,1372,0,0,268,425,421,127,40,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,60,0,0,0,0,94,0,13,35,60,17,175,204,106,189,122,1467,0,1337
함평,10891,9284,64,7437,1272,4,1822,1117,645,4327,0,0,0,0,0,0,0,0,52,18,0,0,0,0,0,0,0,0,136,0,0,0,286,1006,3646,1188,994,955,19142,1058,157,5415,0,0,0,0,184,69,48,0,361,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,135,1,0,23,0,0,0,0,0,125,0,0,0,0,0,0,47,0,0,0,0,7,0,9,14,47,9,25,20,18,145,76,2543,0,0
목포,300816,20332,64779,26249,8350,14923,11203,7292,3485,72697,0,0,0,0,0,0,0,38,191,31,0,0,0,0,0,199,46,0,0,0,0,0,3092,9955,48908,8580,17302,10495,176595,22802,7243,846,0,0,0,720,841,1577,17,0,92,0,0,91,270,189,0,0,11304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,610,0,0,0,0,94,0,72,209,195,63,328,193,88,375,980,15967,0,0
전주,144489,59506,17646,63546,12040,1789,17616,15389,5339,51529,0,0,165,0,0,647,0,0,0,190,31,0,0,396,0,332,187,0,30,243,0,0,5411,24126,123923,0,0,0,0,0,0,0,4287,25703,103262,32625,101997,136,0,0,0,0,0,0,0,0,0,0,271,0,0,334,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,1533,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,129850
임실,8951,8169,0,5497,961,0,1391,946,425,2751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,746,12765,0,0,0,0,0,0,0,23740,300,1056,1414,5028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6803
남원,37197,18027,3416,16879,3311,507,5755,3127,1068,13178,0,0,0,0,0,0,0,0,0,0,80,203,19,469,0,0,0,0,0,0,0,0,575,2872,43074,0,0,0,0,0,0,0,95358,1210,0,3899,31137,23,0,0,0,0,0,0,0,0,0,0,86,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35326
구례구,31027,20498,1318,16296,2549,236,4132,2597,1738,11060,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,2026,22316,0,0,0,0,0,0,720,29383,1108,3218,1982,34434,1292,35,27,568,0,0,0,0,0,0,0,20,0,0,330,0,71,0,0,0,0,16,0,0,0,0,0,0,0,0,23,289,74,0,0,0,0,0,3,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,45218
순천,166000,40740,24895,41121,10255,5238,17825,9667,2806,52138,1,168,128,478,57,769,443,892,2548,612,0,48,24,233,0,0,0,0,109,0,0,0,1731,7749,70147,129,201,146,4419,445,245,898,101971,4711,32669,36023,298,148,0,0,0,85,173,63,0,0,0,0,667,48,41,64,188,46,60,8,180,119,773,0,129,0,0,0,82,0,0,195,764,438,0,0,0,0,0,332,7388,55,455,7,182,0,720,1336,6333,5883,1201,15412,10210,4198,23984,5051,3420,163,191517
청주,351215,6422,79486,3339,1846,5592,4817,20321,8545,111096,0,0,0,562,0,52301,0,1993,6811,81980,0,0,0,268,0,112033,0,0,0,0,0,0,182,459,4839,372,894,289,1901,369,69,2769,134,0,31,1292,147,17973,12342,14089,76891,0,0,0,0,0,0,0,3159,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,149,0,6,281,3122,0,0,43,0,642,916,0,0,3722,0,729,0,0,366,2956,1937,5,30,0,0,0,0,3430,19140,1063
증평,1594,2168,0,1063,902,0,1381,14848,3486,18035,0,0,0,0,0,0,0,0,0,19,0,0,0,57,0,16125,0,0,0,0,0,0,0,0,144,0,0,0,576,0,48,17,0,0,0,35,0,11539,0,1366,15101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,42,0,0,86,245,0,0,6,0,8,16,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,26,0,100
