0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포
정선,208,0,0,0,0,0,0,0,0,1008,0,0,509,0,0,306,0,0,0,0,27,614,0,812,0,6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,11938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5064,22,1272,308,2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,299,2,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,129,46,78,11,249,11,89,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영월,938,0,0,0,0,0,0,7,11,43,0,0,0,0,0,0,0,0,0,0,463,1426,136,13839,11,17178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,26,7,5,13,0,0,0,0,0,0,0,0,0,0,25458,0,0,0,75,0,0,0,0,0,0,0,0,0,0,146,900,4422,4114,1189,77,0,1102,13522,6984,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,175
예미,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,238,48,3628,1,4489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5092,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,105,607,984,421,13,1310,0,1703,1338,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
민둥산,691,0,0,0,0,0,421,86,95,204,0,0,0,0,0,700,0,0,0,0,608,4169,198,21370,43,31673,0,0,0,0,399,0,0,0,0,0,810,0,0,0,0,0,0,0,0,0,0,141,4,4,18,0,0,0,0,0,0,0,0,0,0,64837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,3184,12564,17129,2237,166,12014,1571,1182,13706,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,842,0,72
태백,4279,278,0,110,0,0,814,397,215,1641,0,0,0,0,0,350,0,0,390,840,815,2198,209,20603,42,16179,0,0,0,0,0,0,3,97,0,0,0,0,224,6,0,186,0,0,0,3,696,925,4,4,22,116,223,368,235,157,0,0,0,0,0,57928,0,216,0,0,0,0,0,0,311,0,0,0,0,0,70,3207,18195,26613,0,71,7324,1353,10027,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,946
부전,6011,3325,0,4174,1361,0,1755,1078,0,5265,534,1205,2249,10331,1920,52400,13575,31330,24339,424,0,1461,29,3822,42,5651,2282,1339,5373,11644,5222,12606,0,0,0,0,0,0,146,59,67,642,0,0,0,340,8435,0,0,0,371,0,0,0,0,0,0,0,0,0,0,2379,0,0,0,0,0,0,269,0,0,0,0,1346,827,376,4228,458,932,4513,0,0,0,0,0,1030,15354,208585,146728,1441,15890,0,6379,8749,10439,7016,4925,12827,3722,581,577,127,51,434513,4492
좌천,0,0,0,0,0,0,0,0,0,198,0,449,0,0,0,22581,0,110,1429,771,0,166,3,328,9,473,331,604,656,1500,615,3744,2,206,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,202,74,97,393,51,154,348,0,0,0,0,0,0,212448,23367,33581,576,5091,0,3237,204,653,2105,126,216,32,32,0,0,0,81133,0
경주,591012,678,124780,41839,71,30636,270,16,0,107522,0,0,352,3202,0,217401,0,22,1218,104906,0,398,18,1006,13,1940,1089,1062,3483,8065,2909,37588,0,504,0,0,0,0,0,0,0,0,0,0,0,0,430,6823,0,0,0,0,0,0,0,0,329,0,5052,0,0,2029,0,0,0,0,0,0,0,0,0,0,0,380,235,175,1148,151,281,1601,0,0,0,0,0,0,144619,30269,4723,2005,48912,0,24897,61,452,255,20,262,17,14,0,0,0,191596,0
안강,935,483,0,587,152,0,255,0,0,544,0,0,116,398,0,7013,0,2,51,31,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,506,2695,0,2912,0,494,10,28,14,6,13,0,1,0,0,0,1618,0
포항,5954,3467,0,5760,1079,0,1667,70,0,4256,57,604,1992,2818,0,45680,0,110,789,330,0,0,0,0,0,380,0,196,0,648,0,4031,0,400,20,0,0,0,0,0,0,0,358,0,0,0,429,729,66,38,340,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,432,605,0,0,0,0,0,0,0,0,0,12585,4110,55787,2944,101,0,6064,175,865,1208,159,173,40,22,0,0,347,9520,0
진해,4130,696,0,46,22,0,69,192,0,0,0,0,0,0,0,24154,5096,6630,0,0,0,0,10,480,0,474,9,161,354,124,262,0,0,0,0,0,0,0,189,108,7,94,0,0,0,0,0,0,0,0,422,191,232,216,0,0,0,0,211,0,0,645,215,72,111,65,545,84,217,152,121,128,0,185,39,52,0,0,0,0,0,0,61,34,81,0,0,0,0,0,0,0,0,596,11880,1207,0,0,0,0,0,0,350,0,576
하양,1188,704,0,1562,147,0,368,0,0,972,0,0,1635,3442,0,95560,0,0,0,0,0,0,0,0,0,0,0,0,3314,8956,4699,5216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,216,99,853,216,603,649,0,0,0,0,0,0,6452,2912,25841,514,8608,0,0,0,0,0,0,0,0,0,0,0,0,31054,360
진영,27065,1002,7782,1919,519,178,598,363,125,7815,36,193,385,1263,253,52432,13259,30854,5390,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,8,101,0,0,0,0,1421,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,8128,218,141,10,218,557,0,284,9687,5371,1539,4407,1247,220,65,9,15,181,0
창원,342912,2715,96977,6037,1817,10407,1783,1198,1410,67421,183,954,2083,5512,941,237069,59088,139738,17840,2302,0,0,0,0,0,0,0,0,147,504,0,0,0,0,0,0,0,11,69,13,31,278,0,0,0,0,6455,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,12481,857,895,26,973,5000,0,14835,2790,3759,9118,18412,6640,1282,457,37,30,230,518
마산,190054,2316,46965,4633,3466,6016,1404,763,149,35992,182,679,1322,2196,575,82841,33837,48730,6575,1071,0,0,0,0,0,303,17,51,39,0,0,0,0,0,0,0,0,13,65,37,55,447,0,0,0,0,7466,1074,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,7642,2313,484,21,1272,1240,0,5265,3560,362,13425,32982,10206,1330,1055,15,13,180,0
함안,989,450,92,654,116,0,151,98,29,224,32,97,117,139,79,1231,625,957,2968,903,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,34,1,8,105,0,0,0,0,1355,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4176,140,25,0,179,0,0,1664,9655,15160,1827,15577,1450,229,72,11,18,96,0
진주,3356,249,766,301,130,165,172,58,14,657,9,356,622,811,192,2477,1668,4083,6452,2192,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,127,103,31,21,446,0,0,0,0,18078,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,10532,141,337,3,216,0,0,4281,17812,31927,14868,21090,43189,5226,640,47,76,462,501
하동,44,42,0,48,14,0,512,29,6,356,11,21,30,816,10,752,313,552,1964,578,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,172,79,24,34,187,0,0,0,0,10510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2870,20,29,0,45,0,0,1193,7186,9319,1241,45788,3296,1982,189,55,120,38,0
광양,1,2,0,3,4,0,0,0,0,0,1,95,37,90,5,62,119,98,206,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,85,68,31,123,0,0,0,0,3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,46,13,0,29,0,0,190,1135,1182,212,4897,1935,60,185,115,40,54,0
보성,8668,7516,0,4739,781,0,1076,392,204,1226,0,0,0,0,0,0,0,42,247,221,0,0,0,0,0,0,0,0,0,0,0,0,120,458,1009,302,248,232,10406,212,109,309,0,0,0,0,25439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,73,255,825,55,351,201,207,13379,18336,24115,0,0
화순,1474,1384,0,978,216,0,268,92,42,318,0,0,0,0,0,0,0,15,67,57,0,0,0,0,0,0,0,0,0,0,0,0,46,131,357,163,108,92,1269,140,105,1218,0,0,0,0,4695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,13,49,24,24,47,99,96,15730,488,951,0,576
광주,506283,31618,117248,38076,10317,29352,8342,7535,381,68151,0,411,0,0,0,0,0,10,19,11,0,0,0,504,0,1271,383,0,0,0,0,0,6045,15931,77668,23836,19100,5510,799,1906,3429,18288,0,0,0,0,3363,2482,26,36,3,0,0,0,432,0,0,0,2253,0,0,0,0,0,0,0,0,1519,0,0,0,0,0,0,0,0,0,0,0,2984,0,0,0,0,0,842,118,0,0,0,347,350,0,9,16,16,10,52,216,40,25508,1933,398,0,2156
울산,1016669,0,256679,72685,0,126253,0,0,0,246401,0,992,0,13173,0,398651,0,155,1100,164182,0,724,11,2804,23,4742,2933,1676,7749,14294,5354,28240,0,0,0,0,0,0,0,0,0,0,0,0,0,36,242,16772,0,0,0,0,0,0,0,0,0,0,11851,0,0,4378,0,0,0,0,0,0,0,0,0,0,0,1228,808,432,3577,390,648,2103,0,0,0,0,0,0,450763,83243,192193,1958,11128,0,30048,176,328,227,84,544,54,63,0,0,0,9022,2043
여수엑스포,327379,42099,46228,61329,13367,8989,21888,15320,4393,76506,56,232,291,810,0,276,393,0,0,371,12,0,0,0,0,152,0,223,737,446,149,0,1718,10219,96599,0,0,0,1755,1337,0,0,126893,6197,34586,44472,200060,1015,100,54,222,75,125,297,281,177,277,0,370,100,37,583,291,306,51,15,186,221,301,180,131,26,0,44,87,0,4,0,27,908,0,0,175,0,72,138,4492,0,0,0,263,576,0,0,0,0,0,501,0,0,0,576,2156,2057,12899
