,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,0,0,0,16516,207383,517421,308581,1116755,0,116184,229307,192927,1264731,7725,115661,2063091,0,0,0,0,736,2,0,0,183,213767,295894,252055,54036,143195,109756,269017,152515,28021,92250,84011,159402,107204,46015,8028,0,0,0,85458,208294,227986,224408,213834,0,600158,2899978,570,8909,8260,0,0,0,227947,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,78992,1088,2275,0,5564,116660,2353,44376,14206,4367,0,0,298482
용산,0,0,0,0,12028,145112,73788,34279,99057,5868,14232,18850,7827,69660,5696,18882,140943,25,65,400,0,0,0,0,0,1776,32919,77468,137826,27739,99530,43091,97931,62000,20306,25017,15495,35748,14301,131,0,0,8504,0,5230,10672,8821,6422,6394,0,1800,7015,736,339,7869,1175,1075,402,845,75,27,0,1,1061,0,0,0,0,0,0,0,0,0,0,0,106,13524,479,3140,0,369,3582,35,555,0,0,320,14,111141
영등포,0,0,0,0,36490,404950,450407,208213,444711,6739,58787,87786,53782,213865,1724,22918,226552,0,0,37,0,242,0,0,0,0,106812,131508,116024,24154,34246,40258,76172,50252,13576,28746,26566,47572,21149,31107,5744,60,714,0,81959,159487,134349,90536,103139,0,4847,18853,0,0,85,0,110,0,375,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,518,23996,135,6998,2320,1417,0,0,73275
안양,0,0,0,0,5897,99947,44324,7138,7975,2038,1904,1237,516,2113,229,532,2229,0,0,0,0,0,0,0,0,0,3793,2685,4548,1146,2041,2091,2692,1478,1098,833,495,1275,313,20,46,0,0,0,9287,20637,14790,6727,8003,125,2915,5640,0,0,25,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,99,0,55,0,1,0,0,2878
수원,16419,6722,31302,5671,3044,269028,154323,112307,228280,2880,21725,45371,23607,145937,692,9495,118921,0,0,0,0,2220,0,0,0,0,45857,69583,45559,6831,21005,14080,25141,27148,4994,9621,6180,19311,8456,9527,6296,78,30,99909,22924,62818,49030,38008,35584,0,1025,1869,0,0,50,0,0,0,250,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,27,0,224,15590,0,4734,187,2,0,0,39824
평택,234250,179089,451092,97060,278080,89749,131303,35615,72293,3125,5130,7742,4404,24911,393,2894,24306,0,0,0,1,2275,0,0,0,0,7153,12222,11541,1833,9399,6099,7755,2572,1088,1768,1213,5076,1637,8153,4097,11051,18841,0,30238,33224,29160,18927,19488,0,0,1050,4,0,0,0,0,0,0,2,44,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,3,0,10,2,0,1,0,0,0,0,3652
천안,592835,89104,282979,43782,141069,110171,136838,172526,317522,2547,15750,27847,19106,112606,162,7091,115781,0,0,2,11,3944,0,2,0,0,29846,38277,19330,3406,14600,7145,14551,12646,945,4966,2450,9640,6825,4286,8185,1687,1965,106,116820,217669,137110,105314,35884,73014,6,27,0,0,1,0,0,0,1,1,8,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,368,3,0,0,6,14056,29,2888,0,0,4,0,17339
조치원,269440,45485,209629,8182,96093,36242,198726,263366,643939,5792,17127,21205,23040,84313,434,7138,99135,0,0,35,2525,58656,29,21,0,0,20467,28395,16991,4419,14841,9829,13433,8571,775,4562,2037,12916,7898,71792,41939,509,620,0,95,54,443,93,350,0,0,5,0,0,788,0,0,140,0,4,5,0,0,30,0,6,0,7,3,32,0,208,228,0,0,26,61,37,5,0,255,9932,17,2045,103,0,0,0,12287
대전,1038017,82224,439411,8585,226527,57126,410794,634330,345321,355329,250976,166405,115646,296967,1497,23107,385564,0,0,721,6,112,198,3,1,164,622627,171267,74217,11121,30914,11880,44256,25903,3514,11778,7364,16841,17202,37,14,182,6143,0,230,504,831,804,50,0,0,0,0,0,2921,0,0,688,0,110,304,47,13,13465,0,1,0,2,4674,0,0,0,0,1,0,13,3723,63,604,0,265,22718,147,5245,384,2,2,0,25660
옥천,0,7735,13381,2758,4438,4167,3753,4956,380020,293238,98517,15345,9134,15386,480,862,11751,0,0,0,0,1,31,0,1,6,544,126,75,3,10,1,4,2,0,0,2,0,0,1,0,35,87,0,8,16,9,0,0,0,0,0,0,0,0,0,0,0,0,42,263,2,7,20,1,0,2,0,42,0,0,0,0,0,0,1,10,18,35,0,0,12,0,3,0,0,0,0,2
