0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
안동,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,6554,0,352,0,0,1095,3432,80,14720,23,18662,5198,15000,41725,145,5763,6684,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,59,306,118,109,0,0,0,0,106,48493,0,0,0,0,0,0,0,98,0,0,0,0,2320,2155,2095,4713,1501,3532,6053,0,0,0,0,398,0,11341,1776,12576,8062,0,107,560,5748,0,0,0,0,468,0,33,0,0,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10776,0,8,0,0,40,94,9,326,4,307,148,218,2138,6678,1101,4219,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2733,0,0,0,0,0,0,0,19,0,0,0,0,214,181,88,845,226,677,1455,0,0,0,0,0,0,4714,586,5240,2791,0,0,0,4117,0,0,0,0,464,0,445,0,0,0
영천,6190,3904,0,7640,680,0,2159,94,0,4455,1,128,1888,4781,112,136316,0,0,0,0,6,357,0,1546,5,473,334,362,2067,6247,4047,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,156,145,27,0,0,0,0,0,0,49,556,144,0,144,0,0,0,0,0,0,0,0,0,253,204,86,1091,120,371,866,0,0,0,0,0,116,7921,2753,17709,18605,694,14083,0,1678,0,0,0,0,0,0,0,0,0,0
계룡,97135,22758,5345,19361,6305,784,15201,5679,3823,22695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10031,13472,2174,3060,1757,2933,713,375,3123,4808,170,646,758,2150,2013,0,0,0,0,16,48,267,720,860,1169,0,342,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,34,5997
논산,110829,91774,7662,69766,15118,1511,45378,25138,14065,206933,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,51,353,0,9358,3004,44986,7791,11417,12079,8380,2539,1135,10281,17634,775,2777,1955,9132,7285,4,1,0,1,230,314,1196,2571,2639,3342,0,1917,1368,2332,2686,3319,0,0,0,957,127,944,0,0,0,0,148,0,0,0,0,1,0,472,0,0,434,0,4,2,0,0,0,0,0,0,512,0,0,0,0,0,0,100,0,591,149,20341
익산,491095,86983,83292,96083,23332,13975,43589,22355,10448,181491,0,41,191,0,200,0,0,0,0,30,0,0,0,0,0,7,0,0,0,0,0,0,13866,47078,2845,28294,116424,17452,35920,8152,3937,47606,108805,12697,39802,17025,69015,52936,1,0,1,12,6354,8599,17665,39457,27042,19532,0,8868,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,791,0,0,5,0,285,28,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,1209,304,65893
김제,72281,42170,5450,33386,6301,884,11535,4509,2451,27778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2177,8146,28593,4919,23423,6701,11543,2361,1165,10040,0,0,0,0,296,151,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,146,79,69,98,0,0,0,0,0,0,0,0,0,0,0,0,0,2,395,0,0,2,0,0,11,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,553,146,21493
정읍,155863,37704,23343,37977,7402,3234,12966,6525,2617,45837,0,0,0,0,0,30,70,6,8,0,23,0,0,0,0,2,504,0,0,0,0,398,3038,11947,113026,23377,9,4494,13322,2914,2163,16396,0,0,0,0,258,180,0,0,4,0,0,0,0,0,0,0,0,2339,0,0,166,593,121,432,0,343,148,225,0,0,0,0,0,0,0,0,0,0,6,539,0,0,0,0,0,18,597,0,0,0,0,504,0,0,0,0,0,0,0,0,0,400,229,11602
장성,78725,16510,10862,15289,2383,695,3778,3251,5595,14278,0,15,0,0,0,0,0,0,0,0,0,64,0,128,0,0,0,0,0,0,0,0,1731,7440,17367,7148,4741,841,5958,2771,1483,9281,0,0,0,0,123,135,0,0,0,0,0,0,0,0,0,0,0,1468,144,144,1056,3096,256,256,648,288,72,936,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,97,4302
광주송정,247526,18059,52569,17237,4291,4678,5847,3476,1877,29321,0,0,0,0,0,0,0,10,55,17,0,0,0,0,0,0,0,0,0,0,0,0,3260,7552,35350,12197,11787,6632,1,2187,16691,203205,0,0,0,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,4442,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,23,0,28,43,84,14,85,103,73,12604,1549,614
