0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
성북,11,0,0,0,0,0,0,64,0,0,16,0,0,0,0,350,0,0,0,365,0,0,0,0,0,0,0,234,0,0,0,144,0,1239,0,146,593,680,0,0,0,0,0,449,0,43,123,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,64,0,0,0,16155,152280,366221,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,660,402,0,0,0,0,173,704,0,0,0,0,0,0,0,0,0,0,0
의정부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,79,121,256,0,0,0,0,0,201,0,68,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동두천,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,144,0,0,0,69,432,256,0,0,0,0,0,15,0,73,0,0,0,0,0,416,0,0,0,0,0,429,0,0,0,0,0,0,0,83,582563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신탄리,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,98,0,648,0,0,0,0,0,15,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710290,148198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금곡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0,343,0,0,0,0,0,0,59,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45211,13870,0,0,0,2551,29416,215412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0
가평,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,148,0,0,0,0,0,0,52,0,0,83,0,0,0,0,0,59,172,273,196,288,13,0,0,0,0,543989,152925,0,0,0,22802,9244,81695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
춘천,0,504,0,0,0,0,0,0,144,1750,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,225,936,0,0,0,0,320,0,0,0,46,0,0,0,0,0,66,26,340,0,0,0,1,0,0,0,815977,412751,0,0,0,217044,75146,19101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일영,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,98,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,88,0,0,0,0,0,0,0,12899,11614,1805,35606,5311,915,6195,14671,0,0,0,25,0,0,31,0,3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,1522,1530,0,3,8,1,18,6,137,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
점촌,0,0,0,0,112,0,0,0,0,0,0,0,10407,7357,2274,19307,3453,559,5144,9736,0,0,0,10,0,0,10,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,0,355,0,0,0,2,16,0,57,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0
예천,0,0,0,0,0,0,0,0,0,0,0,177,3464,3763,288,4534,889,224,2767,4602,0,0,0,0,0,0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,308,42,0,0,0,1,1,0,41,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0
연무대,12672,0,0,72,0,0,0,2088,4392,504,0,0,0,0,0,432,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,3744,8208,0,0,0,0,144,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화,0,0,0,0,0,0,0,0,0,0,0,0,34,20,1,1315,17,5,69,71,0,0,0,0,0,0,0,0,593,2084,235,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,6,0,9,572,1822,1414,333,1579,1945,0,0,0,0,0,0,1199,136,1289,319,0,0,0,572,0,0,101,0,0,0,133,0,0,0
춘양,0,0,0,0,0,0,0,0,0,0,0,0,33,60,9,1652,1,3,31,57,0,0,0,0,0,0,0,0,5993,2606,187,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,1,0,571,161,1572,1197,254,1259,1100,0,0,0,0,0,0,837,134,1096,247,0,0,0,269,0,0,171,0,0,0,102,0,0,0
석포,2689,12555,0,0,0,0,0,0,0,240,0,0,10,22,4,1586,0,2,7,29,0,0,0,0,0,0,0,0,6897,2321,76,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,3,0,0,0,0,0,0,0,0,4,2,1,0,2416,1800,1402,4537,287,1127,1026,0,0,0,0,0,0,452,28,263,468,0,0,0,125,0,0,78,0,0,0,153,0,0,0
철암,0,0,0,0,0,0,0,2,0,10,0,0,111,279,30,10377,67,56,212,2605,25,42,0,613,0,452,0,0,6522,4584,805,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,1335,0,0,0,0,0,0,0,0,65,44,28,0,1493,1209,3252,97,1405,5770,8226,0,1,267,72,2894,656,4765,462,4984,1307,0,498,0,1141,0,0,398,0,0,0,0,0,0,0
도계,816,0,0,0,0,0,0,9,0,61,0,0,15,128,5,2517,11,14,46,142,145,306,30,3105,1,2706,0,0,1680,1781,142,163,0,7,9,0,6,0,0,0,0,0,0,0,0,0,0,0,34,0,2,10,0,0,0,0,0,0,0,0,0,0,14379,0,0,0,0,0,0,0,0,8,13,7,0,392,210,257,1434,283,19258,16922,0,27,690,115,1800,1914,583,55,553,496,0,0,53,218,0,0,1,0,0,0,0,0,0,44
동해,963,0,0,496,0,0,0,80,20,180,0,0,121,361,27,5120,59,42,58,516,130,773,84,1550,2,10076,411,443,8524,3475,710,493,0,1,25,4,2,4,0,0,0,0,0,0,0,177,221,0,940,23,167,575,0,0,0,312,239,0,0,0,0,0,17497,320,0,0,0,0,0,0,0,123,130,43,0,1607,1129,1094,5770,19437,1757,47180,0,228,3872,651,9685,14577,1248,124,1073,235,0,432,305,384,0,0,59,0,0,0,0,0,0,56
강릉,3878,3863,0,1572,0,0,0,211,39,1627,0,0,480,775,196,9676,130,154,501,2215,343,3336,111,3045,1,13928,0,377,10389,5862,1392,934,1,477,730,30,18,320,0,0,0,0,0,0,0,0,75,0,829,436,192,992,0,0,0,233,147,0,0,680,0,0,49738,0,0,0,0,0,0,0,0,382,352,132,0,1843,1081,697,6169,16712,42041,53931,600,117,2656,864,17356,27585,4730,285,3689,1160,0,383,486,442,132,273,760,46,475,75,47,0,0,625
정선,24344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,6419,105,872,302,5957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,46,4,539,1,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,46,0,11,0,0,20,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,181,86,150,2,169,47,298,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영월,504,0,0,0,0,0,0,36,1,59,0,0,0,0,0,720,0,0,0,0,547,1151,91,10476,2,12727,0,0,0,0,0,0,0,437,10,2,0,0,0,0,0,209,77,0,0,0,150,350,106,6,7,25,0,0,0,0,0,0,0,0,0,0,21567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,686,3903,3588,888,141,8,969,12551,11714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1
예미,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,153,25,3859,3,4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,113,678,1009,401,82,1045,0,2020,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
증산,1879,2,0,0,0,0,0,26,16,509,0,0,0,0,0,2264,0,0,77,0,1180,2727,172,29425,35,35106,0,0,505,398,0,0,0,1,287,1,520,0,0,0,0,0,305,0,58,0,0,0,99,6,4,46,0,0,0,0,0,0,0,0,0,0,58129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,1781,10270,17568,5007,392,12700,2053,1538,11877,4197,0,0,0,0,0,0,0,5,44,105,0,0,0,0,0,0,22
태백,10006,26556,0,0,0,0,40,126,15,4936,0,0,0,0,0,49,0,5,117,10,801,1980,153,27479,3,20146,0,0,0,0,0,116,3,10,72,373,17,0,0,0,0,0,0,0,0,0,0,1296,791,86,78,96,55,116,387,257,0,0,0,0,0,0,75519,660,227,49,177,107,52,0,0,0,0,0,0,0,0,0,70,2582,15330,26618,0,153,6881,1256,7355,10,1235,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,800
부전,7355,4141,0,7164,934,0,2082,818,144,5081,325,801,2823,9586,802,39008,9075,26290,23951,52,9,1582,32,3574,8,5178,2712,979,6420,11007,4613,8458,0,0,0,0,597,0,144,143,129,1236,0,0,0,0,3468,0,0,0,0,0,0,0,0,132,180,0,0,0,0,0,1860,402,232,28,76,0,0,0,0,0,0,0,0,1554,985,535,4388,578,1148,5032,0,0,0,0,4169,1235,10120,103182,302700,97530,1540,9877,0,2583,12669,5606,5424,4080,13891,3828,550,1097,282,188
좌천,1680,1051,0,2145,277,0,704,89,0,1366,4,59,468,1457,47,14564,0,0,0,5460,23,97,2,303,5,647,831,145,1006,1553,557,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,633,0,0,0,0,0,0,0,0,0,0,0,0,148,160,35,493,37,157,329,0,0,0,0,0,0,105112,6183,35289,19401,338,3288,714,960,0,1796,960,0,689,0,0,0,0,0
울산,30310,16262,0,27982,3140,0,8662,1157,0,13712,88,828,6838,12763,428,115003,0,0,0,0,9,788,14,3044,10,3810,2465,1622,9097,11333,5145,17321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5095,0,0,0,0,0,0,0,0,0,0,0,0,1185,962,277,4512,451,967,3488,0,0,0,0,0,0,314253,34548,2350,81372,1567,5972,0,11486,0,0,0,0,446,0,0,0,0,0
경주,37562,14271,0,18015,1087,0,4805,359,0,10685,24,300,3184,4667,182,133144,0,0,0,0,57,558,24,934,3,1111,842,687,3434,7214,2570,17899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,1370,370,0,49,1835,0,0,0,0,0,0,0,0,0,0,0,0,366,380,501,1580,500,284,1410,0,0,0,0,0,0,88520,18445,72443,708,744,27078,0,11741,0,0,0,0,401,94,0,0,0,0
안강,1457,703,0,1095,127,0,285,1,0,539,0,2,90,222,0,20995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583,353,1294,1461,0,6587,0,1009,0,0,0,0,0,0,0,0,0,0
포항,11008,5849,0,10149,972,0,2447,13,0,3103,18,428,1557,2161,0,176223,0,0,0,0,0,0,0,0,0,0,0,0,268,107,0,13437,0,0,0,432,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,28,173,0,0,0,167,69,0,0,0,0,0,0,0,0,0,498,0,432,383,0,0,0,0,0,0,7066,2819,5532,25679,6560,21,0,23419,0,0,0,0,0,432,0,0,0,0
진해,3262,128,0,64,1,0,71,0,0,64,19,0,0,0,0,19956,5356,36423,0,0,0,0,27,671,0,447,336,32,89,560,0,0,0,512,0,0,0,0,23,0,0,0,0,0,0,0,53,0,0,0,0,699,45,298,123,63,0,0,2448,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,305,486,0,0,0,0,0,0,0,714,0,0,0,0,0,0,444,3997,0,0,0,936,0,523,14,467
하양,1549,911,0,1896,200,0,476,15,0,1059,3,44,3028,3603,464,41830,0,0,0,0,0,0,0,0,0,35,0,0,2095,5205,4148,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,242,114,1261,214,385,451,0,0,0,0,0,0,2645,899,10736,12812,915,24626,0,0,0,0,0,0,0,0,0,0,0,0
진영,3119,2222,0,3562,362,0,1007,467,177,1562,52,100,648,1902,311,39502,8114,27784,8113,2786,0,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,36,13,13,205,42,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,0,0,0,0,5,0,14423,0,0,0,0,0,480,0,409,2553,6722,1601,6897,4212,203,463,16,30
창원,12826,7542,0,14592,1735,0,3179,1813,368,4099,162,610,3149,6023,825,138507,39526,190786,9094,1433,0,0,0,0,0,112,0,0,72,0,0,0,0,0,0,0,0,0,48,36,49,496,155,0,0,0,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,97,0,0,0,0,44,0,6371,1796,0,0,0,0,5007,0,2646,104,397,6235,20676,8082,878,303,46,59
마산,14227,9493,0,14096,3841,0,3544,1697,592,4104,122,598,3128,3892,775,64407,29148,103808,8929,1024,0,0,0,0,0,58,0,29,1394,0,0,0,0,0,0,0,0,0,170,40,85,794,179,0,0,0,3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,95,128,0,101,171,78,398,1,78,587,0,0,0,0,105,382,7405,960,0,0,0,0,0,0,7197,437,316,17869,45506,11524,1090,472,42,462
함안,1357,830,0,830,172,0,189,119,41,246,12,459,139,202,96,1625,599,1352,2573,1023,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,15,6,8,200,51,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,0,0,0,0,0,0,3714,0,0,0,0,0,0,0,1724,6714,18993,1585,21088,1305,391,68,26,42
진주,720,1223,0,980,1502,0,291,89,32,433,9,44,297,344,162,3410,1895,3321,7545,3148,0,0,0,0,0,335,0,69,256,468,464,0,0,0,402,0,0,0,467,49,100,1385,319,0,23,0,10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,198,475,0,0,0,0,0,0,12227,687,378,0,0,0,0,0,6070,19485,42368,20701,19142,45960,4416,952,94,474
하동,86,69,0,94,32,0,27,7,6,347,0,18,14,68,30,168,174,274,1739,736,0,0,0,0,0,2,0,0,0,0,0,0,0,100,0,0,0,0,86,21,23,264,81,0,0,0,5982,0,0,0,0,0,0,70,204,446,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,75,0,0,0,0,0,0,3440,0,0,0,0,432,936,0,4100,6960,11040,1132,44216,2850,1404,344,28,134
광양,6,3,0,2,0,0,0,0,0,0,0,5,24,28,0,39,51,157,282,146,0,0,0,0,0,0,0,23,315,94,445,0,0,0,0,0,0,0,116,89,64,306,0,0,0,0,3935,0,0,0,0,354,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,132,98,151,0,0,0,228,0,0,0,0,0,0,663,0,0,0,0,0,0,0,160,787,967,373,4347,1601,847,767,330,45
보성,11800,10790,0,6188,901,0,1455,467,193,1352,0,0,0,0,0,0,0,408,472,321,0,0,0,0,0,0,0,0,0,0,0,0,90,562,1353,544,344,252,13430,961,404,1359,0,0,0,0,22489,1305,156,0,111,165,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,0,0,0,0,0,523,0,94,280,351,64,637,339,711,9952,20742,27543
화순,1816,1792,0,1152,137,0,247,90,35,283,0,0,0,0,0,0,0,12,149,78,0,0,0,0,0,0,0,0,0,0,0,0,39,164,443,145,284,143,1592,651,618,5398,0,0,0,0,4024,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,14,0,29,50,35,28,88,24,182,18200,383,1061
광주,588338,46882,106683,46707,9276,15632,11021,7406,463,66389,0,832,0,0,0,0,0,22,33,10,0,0,0,0,0,25,0,0,0,0,0,0,5219,19296,65984,20772,13733,6513,682,1785,8907,55418,0,0,0,0,2194,677,1,1,8,5,0,0,28,0,0,0,0,6675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,792,0,0,11,0,11,794,197,0,0,0,0,0,467,0,12,38,427,28,433,104,38,29856,1679,129
