0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
영동,114610,2,88111,888,52274,7346,15303,15520,247579,2655,4233,24780,28518,59842,3892,2240,58096,0,0,0,0,0,0,0,0,29,3,6,435,0,0,59,0,0,0,0,0,0,0,0,0,384,11,0,0,0,0,523,0,697,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,536,543,1175,192,60,0,265,4894,97,976,0,0,0,0,17
김천,220791,12,114003,1119,84728,12927,29837,21520,161567,4148,31958,3212,61785,433453,36594,7114,152353,0,0,0,0,129,11285,0,0,1818,22,32,178,3,0,662,0,342,0,0,95,347,0,221,354,1367,1075,0,0,0,0,1322,0,441,9,0,0,218,0,0,56,0,16796,19026,6472,0,7,24,32,1412,485,0,549,0,0,175,77,803,2908,4334,349,700,14994,270,3080,68,0,0,80,915
구미,352196,84,178836,931,140859,18460,37124,27679,161463,4863,29925,65939,57641,955716,137134,33692,380762,0,19,578,40,339,22550,0,0,7055,41,550,1820,16,0,0,0,0,0,0,0,314,0,0,292,0,0,0,44,0,102,777,233,194,0,70,819,0,0,0,0,0,6549,14619,8629,323,9,59,456,568,1308,0,0,0,0,1280,133,8682,6976,6227,191,2302,25704,734,6963,943,0,0,0,186
동대구,1839564,1283,536832,3255,435163,67336,136182,63408,489010,10599,60433,445907,926362,872,183455,285427,2417013,60,414,3341,0,16701,69219,43782,27305,161761,4587,634,2900,5,0,0,0,465,0,0,0,732,871,0,0,0,376,0,481,245,0,504,0,561,0,615,0,2393,0,0,434,0,66242,65960,17633,0,6729,18260,6366,23224,39917,0,442,0,182,11784,2692,14196,94645,311700,3254,13249,108882,3402,11651,1458,0,0,0,93
청도,76027,1416,38865,321,30275,4691,8873,7772,37859,1184,4342,39841,133617,188778,25123,48583,510860,0,0,0,0,615,2740,0,0,0,494,0,0,0,0,0,0,169,0,0,378,0,0,0,0,0,0,0,0,0,121,1025,0,0,0,0,0,792,0,0,0,0,6471,5633,1738,0,0,365,20,45,0,0,0,0,0,0,0,0,0,0,196,2399,44242,291,1486,25,0,0,0,0
삼량진,84651,7,29746,187,24592,2707,7290,4676,25326,421,2162,7500,33199,287834,45099,71250,1311128,0,0,0,20,1406,1934,846,201,0,896,1079,305,0,41,59,382,0,0,0,0,1786,101,0,0,0,0,0,21,26,0,2,0,0,0,0,0,105,0,0,91,0,741,1385,470,0,1,29,460,867,668,0,0,0,40,0,0,0,0,0,119,8678,60284,2031,12421,1106,286,1532,104,415
부산,2108931,1466,615010,1911,516998,71795,194839,105064,684473,10724,61917,159071,379321,2388548,508432,1320179,274297,0,1082,6843,0,9094,26998,12719,1997,1875,3996,453,1441,288,817,2083,20318,0,0,0,618,10579,902,132,183,0,450,0,127,183,0,0,0,100,8,1451,288,3894,0,0,2835,0,22168,25396,12823,0,2333,7703,824,4834,18812,0,0,0,834,185230,176829,51725,52413,15425,472,44496,83963,17880,23665,8672,4427,11373,1642,11002
팔당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19755,30118,4430,295,741,376,259,74,96,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69215,0,0,0,0,0,0,0,0,0,0,0,46,8,669,605,65,67,6,121,26,223,68,57,0,0,0,0,0,0,0,0,0,0,0
양평,20,312,0,240,1440,0,0,0,0,0,0,0,19,635,0,0,1377,34590,11157,45627,42,9544,4699,5089,209,319,0,0,39,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,233,0,0,0,21,432325,0,0,2776,2400,480,144,0,0,0,0,67,100,260,1609,3578,512,994,176,2207,839,125,1456,612,0,0,0,0,0,0,0,0,0,0,0
원주,3358,0,0,0,0,0,40,0,648,0,0,0,648,4053,936,0,8393,2687,39788,23932,563,37288,42483,29792,958,2781,0,0,0,0,0,0,0,0,0,0,0,0,504,0,3726,0,0,0,0,91,1625,108,0,0,532,384059,0,0,0,0,0,0,0,0,0,0,176,1240,5304,6005,15744,12439,13354,4410,60530,6650,705,9286,5059,13,0,0,0,0,0,0,0,0,0,0
봉양,0,0,0,0,0,0,0,289,211,0,0,0,40,0,0,20,0,63,219,402,5,446,550,226,24,90,0,0,0,0,0,0,0,0,0,0,0,0,44,2096,856,0,0,0,0,0,166,49,0,0,7,3927,0,117,0,0,0,0,0,0,0,0,0,0,0,8,37,1,6,2,23,591,57,600,214,0,40,0,0,0,0,0,0,0,0,0
제천,3637,1416,2885,0,6992,2303,9363,55211,102407,0,0,162,605,18308,615,1322,11339,482,9640,22050,272,4951,69303,59389,2605,6946,980,970,966,30,424,78,429,1622,0,0,434,0,0,217267,80371,40,296,0,758,45,0,1631,0,1000,0,223197,0,0,0,0,0,0,0,0,0,0,174,1370,5279,19480,34314,14434,10203,5052,43567,17104,2357,20780,9531,482,496,0,1256,10,96,0,0,0,0,226
영주,5435,0,2958,0,12717,2541,6016,450,3714,0,0,11949,20438,71898,2095,1409,26297,314,5438,44567,361,71913,4959,82082,7750,17544,0,622,348,324,144,210,0,0,0,0,0,0,0,11309,4387,0,220,0,262,147,322,1930,0,341,0,377776,0,0,0,0,0,0,6336,3957,1514,0,20606,36402,5807,20724,45313,394,78,77,2433,11657,1435,25810,13546,0,875,0,1000,0,0,0,0,0,0,43
안동,1727,0,1440,498,4906,1651,2218,142,344,0,0,0,0,50042,38,1068,14205,154,5641,109517,80,55481,76600,4420,18180,25500,0,550,13,0,0,0,0,363,0,0,0,447,135,2999,1542,153,207,0,0,0,0,141,0,434,0,291740,860,766,0,216,0,0,0,0,0,0,2647,12745,1624,8151,12722,79,0,0,476,17440,3427,32218,21688,0,1455,177,3088,0,0,284,0,0,0,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,32520,0,201,1961,52,156,867,17,2665,7292,22678,6262,18446,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,11209,0,0,0,0,0,0,0,0,0,0,480,1584,329,1853,2097,0,0,0,0,5506,1449,9859,8381,0,326,0,770,0,0,0,0,0,0,0
영천,35476,0,1080,0,8059,417,2335,88,8004,0,62,1872,7554,169703,0,0,1789,47,268,2171,33,5957,16953,23998,22677,14773,1945,54,206,298,0,0,0,469,20,0,0,59,0,0,0,0,0,0,0,0,0,0,0,227,0,1648,0,216,720,216,864,648,0,0,0,0,1697,2901,1612,1666,4978,0,0,0,0,6448,1857,12645,65742,59719,0,0,0,0,483,0,0,0,0,13
논산,274267,12972,171592,1110,105327,18289,37530,27616,136639,0,3,8,23,4984,11514,896,2262,0,0,576,0,916,0,0,0,1945,7434,28097,19364,21475,8150,4151,16465,10889,623,5190,2411,11830,9010,1655,329,0,0,0,0,0,0,0,0,185,0,2759,10061,10197,237,0,15705,0,0,114,177,0,0,0,506,567,687,3,64,0,314,8,15,1228,878,0,254,213,865,0,423,56,33,655,131,30213
익산,413950,840,205643,1433,148489,27404,37707,29014,124821,0,10,27,489,828,0,1151,624,0,0,0,0,904,622,550,0,57,30110,16226,133611,24339,21146,10950,53643,106754,8640,44701,10428,42788,39524,17,60,660,344,0,0,0,0,0,0,142,615,0,0,884,0,0,160,0,0,0,92,173990,0,1,16,167,3131,236,108,81,92,1179,158,907,1049,0,432,0,3,0,2301,143,187,2446,174,69317
정읍,310431,896,157046,1605,109481,16557,22723,15069,58515,81,432,176,1805,2838,0,305,1483,246,51,0,0,924,348,13,0,207,21703,124912,40944,16665,14985,7788,41898,25,0,0,0,1910,0,146,8,1508,513,0,140,205,0,0,0,1242,752,1132,682,698,110,464,354,0,0,0,736,0,0,0,5,545,870,2,245,4,19,187,0,0,155,801,0,27,457,0,608,0,0,1858,150,38559
장성,77859,5865,36060,400,23401,3518,5046,6121,17765,195,48,4,6,221,0,0,216,0,0,0,0,60,342,0,0,0,6586,24899,16722,1545,6096,2818,14883,0,0,0,0,352,0,51,1,0,0,0,0,0,0,0,0,144,216,144,432,8081,216,0,1311,0,0,0,0,0,0,0,2,1,108,0,3,0,0,0,0,0,10,0,0,0,0,295,368,244,0,433,24,2697
송정리,132565,1318,41756,548,24404,5704,5486,3432,14239,0,0,0,1,0,0,69,1994,0,0,0,0,0,144,0,0,0,9069,21501,17127,6845,534,9523,121396,0,0,15,0,1414,299,0,423,0,0,0,0,0,371,0,0,461,0,0,0,0,0,0,0,0,382,0,0,1,0,0,0,86,47,0,0,0,0,0,0,0,0,0,474,59,387,25,318,68,117,4759,393,2472
영산포,69350,47,48494,915,27223,4474,5166,2863,9802,0,9,659,0,0,0,83,2086,0,0,0,0,78,210,0,0,0,5103,11449,9455,3236,5307,22,35187,0,0,0,0,1109,387,0,0,45,116,0,241,45,436,128,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,257,37,377,46,236,810,173,1421,316,17268
