0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
대천,331263,0,175444,1247,122592,25546,120353,159,1339,0,0,0,225,0,1326,2,0,0,0,108,49,612,1907,142,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,60,557,648,0,0,66798,41144,18458,3182,57118,95,0,179,482,0,0,0,0,0,0,222,0,0,0,0,169,235,135,0,0,0,0,0,0,0,147,0,159,0,0,0,0,0,0,0,0,0
장항,166295,0,107292,1030,69888,11682,27951,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,792,0,0,29580,30058,47828,54513,8633,49,156,0,0,0,0,0,0,0,0,29,0,0,0,0,149,160,0,0,0,0,0,0,0,0,80,0,10,0,0,0,0,0,0,0,0,0
수색,528817,0,0,0,150,0,11,0,727,188,689,0,194,359,0,0,101,0,0,3888,0,1206,349,588,0,288,185,0,776,602,461,266,161,142,229,484,0,0,225,317,279,0,0,0,0,28,329,458,46,27856,741842,0,0,18194,0,3408,0,32160,0,0,0,0,260,42,0,0,654,354,324,0,320,0,0,0,3178,0,86,0,424,0,0,0,0,0,0,0
문산,1011247,0,0,0,150,0,0,0,565,0,222,450,0,203,0,0,0,0,21,417,7,0,0,0,0,83,432,204,97,871,0,0,0,411,0,514,0,0,122,0,0,0,0,0,0,0,322,130,0,591129,736627,1,0,522,0,0,2,65,287,143,0,270,0,0,0,0,203,147,0,0,0,0,0,0,47,0,63,0,0,0,0,0,0,0,0,762
청량리,7,0,1,0,0,1,0,0,360,0,0,450,95,338,0,0,1253,58078,505689,442586,2457,236316,386424,290426,11627,1227,170,1,1607,0,0,0,0,131,0,540,0,0,755,0,49,0,0,0,0,0,587,431,0,136,5,46167,376,18,64,236472,1994731,0,0,0,0,0,10920,12050,27449,93912,410690,50905,66837,11170,193775,805,645,3253,2667,0,923,0,0,0,0,0,0,0,0,2
성북,0,0,0,0,0,0,0,0,72,0,0,62,773,0,0,0,0,0,0,0,0,0,0,861,0,0,118,0,650,360,0,0,0,93,0,0,0,0,0,0,49,0,0,0,0,0,765,482,0,0,0,344,0,249,19,54118,407091,0,0,22,0,0,0,61,40,70,2148,0,518,4,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의정부,1833,0,12,0,16,0,176,0,791,0,0,260,0,626,0,53,3277,0,0,0,72,123,0,766,0,146,35,524,690,584,0,0,0,819,0,638,0,0,0,0,492,0,0,0,0,0,619,0,0,10744,251,0,3,2142934,1399557,0,52,6551,0,45,0,0,0,0,0,274,828,0,319,0,187,0,0,0,0,0,0,19,483,0,0,0,0,0,0,437
신탄리,996,0,960,0,0,0,60,0,0,0,0,204,0,0,0,0,0,0,1632,0,0,0,0,.,0,720,269,0,309,216,0,0,0,0,0,4,0,0,0,0,0,0,0,0,215,40,415,0,0,0,0,88,10,1424115,240099,0,0,0,0,0,0,0,0,0,0,323,271,0,0,0,319,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0
청평,0,0,0,0,0,0,0,0,720,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,216,0,216,0,0,389,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,262788,60516,0,0,7138,72479,0,0,0,0,0,0,213,0,111,190,0,0,0,0,2088,0,0,0,0,0,0,720,0,0,0,0,0,0,720
춘천,0,0,460,0,32,0,240,0,565,0,0,48,0,312,0,64,1906,0,0,0,0,0,0,0,0,1296,297,91,347,655,0,0,0,68,0,0,0,0,0,0,0,0,0,0,262,136,425,0,0,0,0,2074114,276473,0,0,58303,31465,0,0,0,0,0,0,48,30,147,2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
