0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,4,3883,16,142610,195190,671963,405866,1455050,18108,141199,222148,239166,1516373,23606,85648,2000081,250,0,0,0,1232,2,5,0,7398,231985,362644,286419,63304,92915,91895,290531,150531,30816,112424,113393,209593,130594,11103,5649,288,105924,0,105924,189692,195575,287453,184708,97006,1628189,0,0,2500,0,0,0,27046,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1656,0,3854,256667,0,5917,5273,118890,4267,39545,14554,14207,25543,2144,287688
용산,0,0,4,1,19746,54532,18807,5299,16966,593,2924,3870,1789,33790,891,4003,144616,0,0,0,0,0,0,0,0,0,9086,12640,36566,7081,65847,1590,4913,6376,1977,5147,5188,3613,1550,840,0,0,0,0,826,1381,1445,1130,494,0,0,0,0,0,240,0,432,0,0,0,0,0,60,0,0,0,0,0,2400,0,0,0,0,0,102,4800,584,932,20,1409,19,317,840,0,6,0,39510
영등포,103,2,0,12,128126,398770,668450,336008,949399,18674,105125,134898,131372,522644,10058,28897,562455,0,3100,0,0,1185,0,0,0,216,173495,230668,195885,38812,51024,62870,148735,76268,17872,54072,56501,105720,55582,9866,5491,0,0,0,151468,204407,182734,195776,132807,0,0,0,0,500,0,2231,1800,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1393,22,2457,2039,62230,2289,14458,5130,6399,16133,1289,166302
안양,11,0,6,0,924,14192,14106,7079,16599,4,2807,3318,2124,9758,503,500,6090,0,0,0,0,0,0,0,0,0,2948,4842,4896,612,1828,1876,2556,2,0,0,0,0,0,0,0,0,0,0,1951,3266,3297,3242,2066,0,0,0,0,0,0,0,0,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수원,104624,13424,29738,2460,53,85123,123808,158880,475081,6961,48019,77028,66221,333364,4220,14677,279249,0,0,0,0,8605,0,0,0,0,87280,119707,91286,11539,19859,19246,47611,38081,6585,22414,16436,39794,21200,3799,6216,0,0,44879,26612,85484,89556,87775,55967,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2291,0,1290,1197,34787,865,11530,1471,1394,4134,413,54647
평택,494169,52669,206766,19909,61760,18584,33308,19665,86381,777,5834,8625,9351,46452,353,1986,33143,0,0,0,0,2974,0,0,0,0,12531,28287,17706,2011,8303,5022,8559,6950,1256,3460,2445,6210,3092,739,1955,5569,2710,0,6330,12361,21065,21254,14429,0,570,0,0,120,0,0,1560,840,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,521,88,69,1186,94,13477
천안,1272628,12251,136606,8774,45247,22872,62254,96804,294788,2625,19362,33399,32889,154640,1286,7032,157209,0,0,0,2,8348,1,0,0,1,23304,40226,24905,3349,9395,6320,18104,12661,1476,5594,4270,13366,9043,908,5018,509,328,0,46503,97674,96292,114908,29490,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,521,0,0,0,1155,0,0,567,20259,159,5016,275,170,696,55,24304
조치원,399544,4619,319733,5260,166747,21999,114877,52172,363983,3022,13270,21159,30804,67532,887,6123,95204,0,0,0,1371,60919,0,5,0,32,18415,29779,20275,3129,10198,5128,16913,7367,592,4271,3856,12432,10236,22820,39515,18,21,0,0,25,0,3,0,0,0,0,0,240,432,0,120,0,0,0,0,0,1,0,0,0,0,415,0,0,0,0,0,0,0,619,22,0,307,11721,208,2899,168,76,538,90,15080
대전,1477633,14947,917152,10105,523191,80007,326820,343241,124766,344784,267920,163749,175878,511231,5100,22176,595388,0,0,120,0,69609,48,24,0,1303,306546,143100,74761,9796,27110,10503,49860,21150,2854,16172,11674,32496,23194,3742,24802,0,0,0,50,0,612,17,413,0,0,0,240,2472,883,0,720,0,27,27,0,0,4553,0,0,0,0,1338,0,0,0,0,576,0,2,8605,141,108,1239,36536,573,9010,657,387,1855,185,37900
옥천,27192,634,28506,0,14916,958,4760,1991,393075,115588,58068,13913,10908,17531,393,798,29827,0,0,0,0,0,20,0,0,0,5,3,1,21,3,0,416,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,85,24,0,0,0,0,0,0,0,0,0,0,0,1762,0,0,0,0,0,3,8,0,0,0,0,0,0,5
