0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
홍성,169470,8222,170885,1,71102,23606,132815,99,306,0,0,2,58,2,0,0,2,0,0,0,0,0,0,0,0,0,811,579,0,0,0,0,0,0,0,0,0,0,0,0,0,2805,1817,0,56643,235562,359919,216887,92491,1,0,9,0,22,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대천,215331,4918,125997,2,54793,23979,122141,21,1243,0,0,0,0,137,0,55,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,1529,234,0,54624,65299,219539,191413,323724,1,1658,3,0,0,176,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,227,0,0,0,0,0,0,0,0,0,0
장항,184192,3339,131109,8,46520,18876,44014,4,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,602,723,0,43285,57097,89985,314360,348049,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
안성,106,95,315,2,90,89,37633,279,91,0,0,1,0,0,0,2,13,0,0,0,0,1,0,0,0,0,14,3,2,1,12,5,2,0,0,0,0,0,1,0,3,11,6,0,489,236,113,90,0,78976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
수색,503788,2448,5917,2223,2754,315,84,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4424,7182,0,64,41,123,2416,60,0,260559,2262257,0,3614,49006,680,27,38,174162,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0
문산,2752739,9184,29048,8714,10217,961,95,0,3,0,10,0,0,0,0,0,0,0,170,0,0,0,0,0,0,200,60,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,34929,0,47,25,37,47,25,0,2412024,1153736,0,109,2516,24,0,1,4949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,2378,13,652,0,0,200,0,153,0,0,0,0,0,625,1081,0,4300,173562,661814,703045,20847,386960,387985,295310,43373,13311,0,0,0,0,600,0,0,1,0,0,0,0,0,6,12,0,0,0,0,0,320,0,0,0,0,0,1387,0,210,30,12581,259691,380,1,9,21,0,0,17621,66286,39876,49258,73119,61858,10252,126472,235621,1136,2080,21765,22427,1998,754,0,98,0,0,0,0,0,0,0
성북,2764,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,332,0,130,8,0,0,0,0,0,0,9254,350,0,0,320,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,3522,234,0,56153,766006,479551,661557,964050,63588,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의정부,1938,25,145,0,0,20,0,0,0,0,0,867,299,0,0,0,0,304,2847,2275,0,21,0,320,0,480,20,0,0,0,0,0,0,0,0,0,0,0,0,319,0,368,40,0,0,0,0,40,0,0,46045,1831,210,506480,1151907,570614,58026,33454,35262,0,0,0,0,0,0,0,0,0,0,24,0,3,14,20,0,0,778,0,0,0,0,0,0,0,0,0,0,0
신탄리,0,20,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,1,86,584,20,3,0,0,0,131,0,1419,0,0,0,0,0,3912,0,0,0,0,0,1144,0,2878,380,0,0,0,0,485,0,0,1618,32,30,313004,613722,600969,4011,9648,18,0,0,0,0,265,0,0,0,0,0,0,0,4,1,0,0,0,0,80,238,0,0,0,0,0,0,0,0,2746
청평,0,0,204,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,2,0,2,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,173,77,0,0,0,0,0,0,0,2,0,24249,552157,56309,4121,474181,356757,169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
춘천,99,167,42,79,100,1827,0,0,669,40,80,0,0,0,0,0,0,0,0,0,0,0,120,0,323,406,946,1602,0,0,1388,0,0,0,0,0,0,0,0,320,60,0,0,0,0,0,217,0,0,0,0,0,316410,863517,27700,6698,350857,593371,14,0,0,0,0,5,0,0,0,50,0,0,160,1,0,0,0,0,0,0,286,0,671,0,229,0,0,0,0,0
일영,159642,476,675,370,179,0,3,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,557,0,0,8,1,0,0,0,159247,5697,2994,65047,47308,220,268,328,24420,0,0,0,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,794,158,283,1,153,0,16,0,490,25,605,185808,28763,67907,320,362,9387,0,0,67,2,1048,17618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,810,0,0,0,0,105689,0,0,0,3,64,74,1,2,1769,3,0,11,11,0,0,0,2137,1,0,0,0,0,2,0,0,0,0,0
점촌,756,19,390,0,192,26,60,18,154,4,11,88395,22736,80807,258,389,10648,3,8,59,4,1805,39596,2,0,0,1964,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,98953,36479,83288,487771,0,344,884,57,27,1825,0,0,78,1,0,0,0,1687,136,0,0,3,0,2,0,0,0,0,0
예천,0,0,0,0,3,0,1,0,91,2,0,28228,14439,54094,0,0,27,13,10,231,30,2374,265914,540,28,32,839,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1758,0,0,0,0,0,0,13790,88942,220901,1835,0,501,3909,316,365,676,0,1,19,16,7,0,12,797,77,0,0,0,0,0,0,0,0,0,0
문경,0,6,0,0,0,1,0,1,6,0,0,11411,5957,29420,1,1,9,0,0,2,0,44,3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16725,541712,1957,89718,0,23,5,2,0,1,0,0,0,0,0,0,0,707,102,0,0,0,0,0,0,0,0,0,0
군산,852,2480,1450,28,389,35,30,57,12951,1,0,5,1,97,0,1,337,0,0,0,0,0,0,0,0,0,21680,741091,29274,2340,1809,227,1343,145800,2404,2806,1011,1420,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,469017,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,0,2,0,0,0,0,1,0,3
춘양,0,0,0,0,0,0,0,1,26,0,2,172,72,4689,0,0,7695,13,90,753,34,2836,156630,6319,2136,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,25415,0,0,0,0,20,0,151,295,175,4,0,242083,174671,15865,11689,7786,303,8,312,4429,5193,245,5464,3644,5,0,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,6,2,0,0,154,71,10328,0,0,15914,3,202,11545,42,16231,214506,30895,6165,16997,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,77003,0,0,0,0,0,0,68,161,168,0,0,181028,174271,58246,152948,120419,9395,1294,12658,89230,4866,65,7288,8588,1,0,0,0,0,0,0,0,0,0,0
도계,0,0,0,0,0,0,0,1,3,0,0,54,28,1944,0,0,3775,2,107,8927,1,6275,27619,4123,1248,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,40283,0,0,0,0,0,0,39,52,76,0,0,11752,61625,569857,436254,104175,669,214,7641,5170,794,23,1143,1638,0,0,0,0,0,0,0,0,3,0,0
북평,0,0,0,0,0,0,0,0,3,0,0,35,0,1730,0,0,6557,0,214,4876,1,17162,45896,5145,1551,3313,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,49224,465,0,0,0,50,0,10,9,54,0,0,12648,176160,440189,189679,239020,4934,2036,13513,51555,1175,135,3004,807,2,0,0,0,0,0,0,0,0,0,0
강릉,0,45,0,0,0,0,1,0,2215,20,0,3009,167,28725,317,0,7409,0,173,2123,0,6202,52446,9734,2271,7211,1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22057,0,0,0,0,0,0,1674,1647,40,0,0,7149,112222,97635,240626,200156,1156,178,4038,22325,1862,332,6179,2144,0,0,0,0,0,0,0,0,0,0,0
