0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,2,725,20,75146,194874,618102,358869,1265145,16291,132903,213462,202166,1221337,21350,80863,1556212,0,0,0,0,651,0,0,0,5671,216802,331405,271330,62990,105890,97261,294088,132817,25969,98900,98532,192732,119636,10134,3943,17,74,0,91766,168091,180718,237917,179812,0,81552,2042651,862,2630,3121,300,0,0,72875,0,19,0,0,0,0,0,0,0,2,0,0,0,2,3168,1060,2,131149,485,4783,5374,107468,4479,36589,13437,13489,24507,2433,275040
용산,0,0,0,0,10409,86967,33534,12287,33139,1034,6525,7246,2920,52334,1586,6437,163755,1400,0,0,0,0,0,0,0,0,12013,20065,59124,12045,79010,14516,25696,11820,3781,7817,8145,7870,3338,0,0,0,0,0,1647,3177,3284,2186,1312,0,1730,7250,85,322,120,0,13,0,1528,0,10,0,0,191,0,0,0,0,0,0,0,0,0,392,0,208,6102,686,1248,44,3323,37,635,0,0,68,0,65112
영등포,46,1,0,3,68346,405235,602185,319307,807417,15383,97152,123565,99186,428303,9215,31044,449056,0,0,0,0,507,0,0,0,72,157614,203061,178896,37360,61393,62389,141688,60728,15421,43922,48765,90470,48227,10691,4113,0,0,0,166843,185041,161607,162839,130003,0,2605,20815,1,0,0,0,937,0,25,0,0,0,0,1,0,0,2,0,360,0,0,0,0,0,0,0,4545,316,1627,2136,46829,1788,11958,4949,5728,12439,1385,136979
안양,9,0,0,0,1197,12030,8301,3656,8303,0,729,1691,973,4846,7,354,3811,0,0,0,0,0,0,0,0,0,1323,2435,1896,10,1100,646,984,0,0,0,0,0,0,0,0,0,0,0,2419,806,1865,2040,1163,0,2185,5945,0,0,0,0,20,0,5659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0
수원,69046,5313,25638,3193,198,133738,113685,146519,370043,4997,41645,66617,48388,261157,3561,14759,206646,0,0,0,0,6126,0,0,0,72,71652,101226,74530,9976,19608,18020,39998,31328,5739,16982,12796,31332,15392,5398,5132,0,1,48273,27017,92527,72346,73096,50361,0,1325,4812,481,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,351,607,966,26269,527,8456,1386,807,2923,337,41877
평택,404991,103074,362516,19386,144836,35847,60781,23687,90839,967,6390,8326,7115,42159,517,2079,28876,0,0,0,0,2209,0,0,0,0,11410,21318,15514,1857,9255,5319,7714,6591,1265,2817,2148,6332,2719,719,1693,9570,6959,0,7756,14848,22777,18632,16395,0,0,376,50,0,360,0,0,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,19,0,4,0,280,68,50,490,50,10811
천안,956339,30290,255542,5585,81808,49207,58292,116409,264886,1787,17238,28480,25114,122831,754,6047,124010,0,0,0,1,5901,0,0,0,0,20789,33039,21761,2890,9932,6315,15193,10138,1101,4557,3258,9952,6986,530,3547,962,600,1,53997,98683,82549,112540,29824,3401,12,375,0,0,1200,0,0,1,0,1,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,322,0,0,465,15660,134,3527,164,85,612,58,18448
조치원,347863,15228,301647,1957,143123,25389,127657,100859,445143,4294,12862,18876,25327,56706,809,5549,74896,0,0,232,1538,60916,0,298,0,120,17082,29000,18823,3276,11806,6591,14885,5976,544,2932,3748,10637,8154,27876,37756,158,132,0,172,3,72,1,0,0,0,1,0,0,122,600,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,168,43,0,272,9691,194,2028,123,86,434,95,12913
대전,1277343,29124,806371,3696,396219,82763,287189,390417,183839,366543,256119,157807,141053,411410,4268,22258,460268,0,0,394,0,92959,111,230,0,877,348615,150176,72503,9458,28322,11099,44254,20380,2487,13044,10222,25543,23124,4350,19106,10,1,0,2,2,1843,261,440,0,0,0,120,360,1128,480,0,2482,0,0,56,0,0,6922,0,0,0,0,745,1118,0,0,0,0,0,1,5736,455,54,1034,28612,440,7614,760,294,1405,173,36204
옥천,26287,1023,26685,0,11523,610,5109,376,427378,148934,72284,9917,10551,18197,367,983,14476,0,0,0,0,0,7,0,0,0,43,7,65,95,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,3
영동,113586,1886,98584,505,41872,5175,15908,12879,261378,62788,42401,60752,35865,107982,1185,4206,91484,0,0,0,0,0,15,0,0,0,5,13,3,2,2,3,0,0,0,0,0,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,101,2,0,1,0,0,0,9,0,0,0,0,0,0,0,0,3,9,0,218,5838,43,464,0,0,0,0,4
김천,195306,4674,112037,576,66193,7709,26766,18897,139602,10158,55061,110201,286983,336060,7939,8250,228162,0,0,5,0,111,17413,0,0,439,0,1,7,1,2,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2640,0,0,0,0,153471,69700,15725,6748,1,0,3,0,1,2416,0,0,0,0,64,0,0,2820,36,147,376,15359,213,858,0,0,1,1,6
구미,204139,3905,96364,710,57323,6976,25810,26025,147682,8043,35467,341029,559512,1626121,33888,20578,267909,1,0,248,0,34,21796,5,4,916,1,78,24,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,2640,0,0,960,0,23157,24352,10413,2776,0,0,0,0,0,3613,0,0,0,0,0,0,8,4711,361,3,830,18275,513,3222,0,0,0,0,0
동대구,1254678,29693,406866,2444,264179,39429,122477,59022,390787,12864,110029,387741,1495817,2884,215874,394716,2340275,0,515,12590,105,20454,111558,78575,72229,389200,812,1881,917,103,617,49,122,353,0,0,47,133,0,0,0,0,0,0,0,0,0,174,0,0,0,2923,863,480,3615,5484,0,3016,0,58626,67389,33563,16546,16,5811,27977,5675,4822,27258,577,0,1,0,14956,1987,10765,87774,53129,415,10473,70595,1762,5882,22,16,0,0,316
청도,23911,2411,11601,117,4775,544,1192,1124,5635,352,1563,8646,45378,290532,96808,102259,436719,0,0,3,0,28,11,1,1,74,10,9,30,1,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,747,6,2,0,0,0,0,0,676,0,0,0,0,0,0,8,410,7,2214,3530,22897,137,1082,1,0,2,0,0
삼량진,73794,6617,27493,161,14364,1580,5408,5577,21621,610,3889,8260,19025,403113,116302,435589,2148951,0,0,2,0,0,2,0,69,25,19,65,193,0,162,63,345,6,0,0,0,1070,1,0,0,120,0,0,0,0,0,44,0,0,0,0,120,120,120,0,0,0,0,234,406,4,0,0,0,1,0,0,0,0,0,0,0,1500,3,362,65,4,5309,46346,129458,3953,8917,1146,443,630,121,405
