,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포,광운대
부전,6797,4332,0,4446,1420,0,1468,1198,0,5360,595,1835,2757,10409,2195,57561,15959,33215,25583,633,0,2027,38,4854,73,6431,2486,1446,6417,11261,5215,13611,0,0,701,0,55,0,183,79,76,817,0,0,0,0,14277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3755,188,4,0,0,0,505,0,0,0,1571,868,0,711,2401,482,1161,4784,0,0,0,0,0,0,22611,270563,160144,1576,20013,0,7597,7174,11949,8474,4288,12522,7155,1146,1096,185,59,484897,0,0
좌천,0,0,0,0,0,0,0,0,0,12,0,28,0,0,0,24849,0,149,2130,1257,0,255,10,380,9,570,292,181,855,1522,865,4298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,0,0,0,0,33,2,0,0,0,240,135,0,134,243,55,131,518,0,0,0,0,0,0,267502,33147,42281,821,6710,0,3875,302,1089,1874,169,486,61,45,0,0,0,102181,0,0
경주,587266,658,134663,43148,109,32582,109,13,0,113242,0,0,358,3663,0,245157,0,36,1614,111264,0,518,9,1027,13,2022,1103,820,4148,8453,6707,40732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,10663,0,0,0,0,0,0,0,0,0,432,10138,49,30,2350,0,0,0,0,0,0,0,0,0,424,242,0,298,890,136,319,1253,0,0,0,0,0,0,159824,37393,5326,1574,41170,0,27914,90,406,250,25,175,21,13,0,0,0,217872,0,0
안강,1040,432,0,618,141,0,223,14,0,633,0,0,143,489,0,7138,0,1,38,50,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498,730,1827,0,2384,0,396,4,37,6,3,5,0,3,0,0,0,1928,0,0
포항,5040,3571,0,5174,1222,0,2000,292,4,3166,0,0,2072,3327,0,47219,0,105,1151,451,0,0,0,0,0,0,0,259,1032,185,0,4462,0,1160,222,0,554,0,0,0,0,0,0,0,0,0,621,617,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,360,0,0,0,208,0,523,208,0,93,224,0,0,680,0,0,0,0,0,0,16990,4669,42776,2309,89,0,6429,164,616,542,257,591,121,36,0,0,0,11084,0,0
진해,3725,100,0,157,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,215,178,0,0,0,0,0,0,504,583,100,79,138,0,0,0,0,0,0,0,0,242,0,0,154,233,77,0,0,182,0,0,391,0,0,0,686,23,18,219,153,90,0,0,0,0,0,64,198,154,0,0,0,0,0,385,0,0,0,0,0,0,0,0,14167,10850,0,0,0,0,480,0,358,0,0,0
하양,1151,756,0,1331,194,0,309,23,0,1078,0,0,1746,4085,0,109583,0,0,0,0,0,0,0,0,0,0,0,0,3270,8865,4881,7432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,328,0,187,769,241,580,593,0,0,0,0,0,0,7738,3376,29040,453,8667,0,0,0,0,0,0,0,0,0,0,0,0,37087,0,0
진영,26655,997,9842,2218,565,922,590,373,133,7338,52,173,363,1563,261,51962,13760,29095,4908,990,0,0,0,0,0,0,19,0,74,0,0,0,0,0,0,0,0,0,37,9,9,109,0,0,0,0,2230,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,6640,254,177,3,192,0,0,356,10623,5982,1447,6222,2006,330,123,16,22,176,137,0
창원,365355,2798,107974,6642,2042,16373,1695,1625,1014,75925,171,858,2397,5604,1180,252824,62458,129942,22394,3156,0,0,0,0,0,0,18,576,103,0,0,0,0,0,0,0,0,0,110,24,34,443,0,0,0,0,9976,3783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,24,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,14284,1433,953,58,779,10447,0,17329,3468,8318,10958,46859,10788,2455,529,46,37,354,279,0
마산,197541,2325,51840,4483,3320,8541,1262,789,142,41752,176,546,1437,2173,689,86825,33683,45255,7369,1542,0,0,0,0,0,0,45,0,141,0,0,0,0,0,0,0,0,0,401,69,39,448,0,0,61,0,11423,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,157,88,2,0,70,0,0,0,0,0,0,0,0,90,0,0,0,0,0,432,10166,2337,545,15,662,11782,0,5676,8970,373,13084,43755,15142,2279,723,19,1045,213,477,0
함안,4791,466,1298,715,135,0,163,75,28,768,22,31,108,195,61,2679,780,1116,2993,773,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,28,5,2,112,0,0,0,0,1692,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3972,96,46,10,232,0,0,1283,11809,13403,234,9953,1288,291,75,9,23,66,0,0
진주,34842,474,10023,478,249,2451,1037,172,21,3801,46,370,474,976,211,20481,4222,11088,7179,2575,0,0,0,0,0,0,309,0,137,367,0,0,0,0,0,0,0,0,116,20,16,425,0,0,0,423,14317,497,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,314,0,511,377,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11383,448,242,2,622,0,0,4873,46084,41667,10230,4217,17680,3314,683,38,113,1257,288,0
하동,286,43,0,76,27,0,48,20,4,28,8,8,42,104,15,912,353,775,3665,2165,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,471,0,393,35,9,132,0,0,0,0,12215,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6326,76,18,0,107,0,0,2053,10847,14396,1201,20180,3479,1883,242,64,768,819,399,0
광양,1303,3,0,2,1,0,1,0,4,0,0,22,116,119,58,411,163,168,529,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,67,22,83,0,0,0,0,3918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,50,14,1,28,0,0,303,2624,2242,271,3517,2284,142,209,90,31,73,0,0
보성,7933,7022,0,4184,668,0,1029,547,201,1475,0,225,0,0,0,0,0,52,305,216,0,0,0,0,0,0,0,0,0,0,0,0,203,430,898,402,296,253,7253,203,105,281,0,0,0,0,23008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,0,0,0,480,0,98,308,532,72,571,230,249,11561,15155,20962,0,0,0
화순,1389,1180,0,962,210,0,217,132,78,316,0,0,0,0,0,0,0,16,62,75,0,0,0,0,0,0,0,0,0,0,0,0,37,117,440,222,109,175,779,146,77,979,0,0,0,0,3944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,16,37,25,20,59,127,90,13439,298,838,0,0,0
광주,453066,29869,106327,35657,10279,27355,7256,8405,417,63334,0,212,526,0,0,0,0,15,830,12,0,0,0,235,0,492,0,303,0,0,0,0,4898,15919,79229,24228,22757,5643,638,1721,2637,14885,0,0,0,0,3343,3583,0,0,0,0,0,0,0,0,0,0,14190,0,0,0,0,0,0,0,1253,0,0,0,0,0,0,0,0,0,0,0,3355,0,0,0,0,0,1425,145,0,0,0,0,358,0,13,24,1198,12,138,860,51,23489,1924,329,0,0,0
울산,1086326,0,291946,76671,0,147833,0,0,0,261885,0,360,0,14142,0,457399,0,187,1324,196042,0,883,30,3026,41,4503,3480,1934,9387,14347,5684,31313,0,0,0,0,0,0,0,0,0,149,0,0,0,0,779,27682,0,0,169,0,0,0,0,0,0,0,12684,0,0,5473,0,0,0,0,0,0,0,0,0,1273,856,0,690,3019,331,631,3349,0,0,0,0,0,0,501023,101417,222367,2307,13022,0,36053,156,378,247,60,1428,809,135,0,0,0,13245,0,0
여수엑스포,167812,24498,35572,34403,8729,5304,14668,8453,2851,51360,504,0,0,0,0,0,0,0,709,2846,0,0,0,0,0,0,32,0,0,0,0,0,1611,6653,55287,0,0,0,0,0,0,0,99976,4100,23351,31205,111478,2140,31,24,50,0,0,103,210,97,0,0,2918,0,0,194,131,24,38,0,5,78,0,0,0,0,0,0,0,0,0,43,320,0,0,71,0,0,0,0,0,0,0,0,0,0,135,280,497,0,251,54,2,0,0,0,0,2056,0
광운대,0,0,0,0,0,0,0,0,0,0,0,0,77,0,183,153,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,770,0,0,0,154,0,0,0,0,2,0,0,0,224,0,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
