,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포,광운대
임실,6803,8165,0,5536,1021,0,1450,1125,499,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,768,13552,0,0,0,0,0,0,0,27398,132,1381,1326,5545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4309,0
남원,46770,16635,7262,16507,3162,806,6020,3243,1075,14943,0,60,0,0,0,16,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,2830,46006,0,0,0,0,0,0,0,115606,1323,0,4562,33773,455,0,0,0,0,0,0,0,0,0,576,1773,0,0,563,80,7,0,0,845,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,23646,0
구례구,30754,20514,2240,15166,2561,111,3766,2598,1097,11868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,210,0,8,0,0,0,428,2334,22116,0,0,0,0,0,0,0,31959,1217,3998,2262,41110,149,0,0,342,375,5,0,0,0,0,0,189,0,0,381,0,0,0,0,34,14,0,0,0,0,0,0,0,0,0,102,65,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,30729,0
순천,203010,39800,40522,43425,11255,7920,17867,10264,3373,56297,2,29,245,826,102,2377,646,2736,6146,3312,22,119,44,749,0,752,251,54,373,789,258,0,1780,9090,74567,116,306,119,3358,446,207,606,120956,5764,35255,43520,0,1940,37,17,341,224,615,251,62,120,0,0,2758,0,438,1080,193,80,45,208,244,490,0,0,0,0,0,0,0,0,170,708,750,0,23,270,0,214,261,13865,148,329,3,610,0,0,2298,10551,11242,1501,13757,12696,6068,20304,4009,2994,627,106789,224
청주,595828,6641,139460,3960,1701,8598,4980,22206,11170,121103,0,0,0,1739,0,74549,556,2146,3964,122724,0,432,0,293,0,117788,191,223,83,253,361,0,210,560,5691,377,1264,636,3353,592,12,4733,1474,0,485,125,2104,24874,16330,14893,89185,0,0,0,0,0,0,0,8073,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,491,33,0,251,700,354,0,11,0,158,950,0,0,8343,0,540,0,0,482,4839,2459,42,598,8,0,0,0,3923,33371,2526,0
증평,1532,2254,0,1067,868,0,1393,15651,3200,17423,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,17618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,17939,0,1639,17918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
음성,514,708,0,429,335,0,1051,8420,1930,18341,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,16351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15534,1299,0,3579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
충주,2323,2106,0,1194,787,0,4038,31769,9774,66790,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,82150,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,342,342,98012,16279,3028,1951,0,0,0,0,0,0,0,0,0,0,2526,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,169,50,1121
온양온천,154102,177961,0,119488,37323,0,55010,0,0,8,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,73,0,0,0,226,0,0,3,52,8691,0,0,0,0,0,0,0,0,0,0,375,224,0,0,0,0,3954,52109,81278,42929,12339,11706,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예산,88526,108762,0,70181,21255,0,203313,0,0,64,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,176,0,0,0,90,0,0,14,201,16186,0,0,0,0,0,0,0,0,0,0,5,615,0,0,0,0,43595,8302,36954,31944,9643,8542,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
