,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
원주,199,0,128,0,0,0,0,0,360,0,0,668,0,60,648,0,7913,1927,39485,21672,393,34789,43669,29307,632,2284,455,0,605,664,0,0,0,624,0,0,0,0,0,0,3049,520,19,0,0,1841,0,0,0,0,367961,0,0,0,0,0,0,0,0,0,0,151,1354,4710,5558,15192,10979,13801,4252,59421,6241,615,8189,4962,367,0,0,720,0,0,0,0,0,0,590
봉양,0,0,0,0,0,0,0,320,159,0,0,0,0,0,0,0,0,90,97,353,17,578,665,183,33,62,134,0,32,0,0,0,0,55,0,0,0,0,0,2170,982,0,19,0,0,167,0,0,0,0,3296,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,10,9,0,12,487,52,531,210,0,20,0,0,0,0,0,0,0,0,0
제천,3542,0,2382,0,5813,2554,9216,55298,104667,249,334,67,477,11717,0,387,9657,511,8946,23569,306,4940,65675,55987,1827,5757,611,599,1185,488,1239,0,0,705,270,0,0,191,0,203429,77513,573,343,0,0,0,0,0,0,0,218196,450,373,288,0,134,0,0,0,0,0,181,1069,4910,19261,34307,14909,10750,4682,46448,15555,2271,19069,7416,0,206,147,873,0,0,0,0,0,0,197
영주,4278,0,2864,0,12701,3010,6052,479,2473,0,0,11115,18699,39566,1671,767,24507,260,6004,45238,445,69577,4342,69773,6495,14490,0,0,698,0,0,0,0,0,0,0,0,0,274,10539,3958,0,0,352,631,199,39,9,0,0,363974,0,0,0,0,0,0,5759,3538,1152,0,17535,34279,4384,19083,41381,183,86,160,3640,8585,1227,23177,12097,373,499,0,1881,0,110,0,0,0,0,0
안동,2210,0,972,0,6382,1848,2498,237,334,0,0,0,0,42400,0,0,10385,162,5480,28122,67,50418,64007,5153,15225,22840,0,0,0,0,0,0,0,0,0,0,0,0,671,3770,1804,0,0,0,0,0,0,0,0,0,280173,0,0,0,0,0,0,0,0,0,0,2204,11576,1686,6822,11422,168,0,0,422,15300,2027,31816,21854,0,449,81,2000,0,0,0,0,0,0,0
의성,0,0,0,0,0,0,0,0,607,0,0,0,0,27513,0,0,1629,51,133,700,23,2115,5913,19418,5529,18405,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8581,0,0,0,0,0,0,0,0,0,0,408,1202,273,1052,1718,328,0,0,495,4470,1165,9371,8274,2,0,0,42,0,0,0,0,0,0,0
영천,32870,144,1047,0,9346,94,2169,91,7685,0,90,2137,9724,175159,0,0,1518,26,175,2102,46,5088,14779,21830,22969,17096,34,425,31,248,0,0,0,0,0,0,0,413,0,0,222,0,0,0,0,0,0,0,0,0,1719,144,720,144,0,360,0,0,34,0,0,1460,2864,428,1546,3321,0,311,0,0,5913,1857,13378,71006,56630,0,0,0,0,495,855,0,0,0,44
논산,267782,12565,169469,850,103837,19295,38235,26683,134090,0,8,46,84,1738,9072,215,1443,0,12,527,134,549,0,0,500,23,6102,27908,19365,22136,7665,4036,16829,12530,780,5041,2323,13165,11731,2169,17,0,0,0,0,0,0,0,103,0,4806,3981,12054,163,158,10631,0,0,0,168,18,0,0,194,153,603,164,144,0,26,0,0,0,195,73,272,0,0,0,788,282,28,572,208,31793
익산,403821,1399,233912,1074,166693,31373,39880,31070,136140,0,9,42,172,701,0,0,475,213,17,135,55,546,564,0,0,394,28776,16833,121979,25000,21050,11267,56377,95214,11001,46306,10010,45158,41458,33,71,774,1163,0,0,0,0,0,432,62,0,72,366,0,0,177,0,0,494,0,147776,0,0,11,71,1965,17,417,5,83,343,0,22,787,642,0,0,270,0,1945,99,244,2303,229,79168
정주,287589,625,182400,1931,117420,17579,22175,14867,61006,0,11,451,1447,69287,81,23,1829,199,67,585,32,1406,134,0,0,18,20277,112079,40920,15385,15651,8353,43834,0,0,0,46,1565,748,1298,469,1059,598,10,163,418,9,0,201,419,1277,624,422,261,154,245,0,210,379,0,183,286,231,2,506,388,12,32,2,161,0,0,0,299,0,0,0,0,0,0,0,0,1622,132,40682
장성,76144,5257,39611,343,25683,3284,5212,7560,19203,0,0,33,31,332,0,0,144,0,0,664,0,27,0,0,0,2,6894,25468,16057,2117,6201,3241,16138,0,0,0,66,189,0,82,510,69,0,323,146,10,0,0,310,216,576,1296,9855,504,0,1084,0,0,0,0,0,0,0,2,7,276,0,1,0,2,0,0,0,16,0,0,0,272,0,0,0,0,574,58,2850
송정리,126225,492,47083,429,27302,4992,5131,3355,13732,0,0,116,0,0,0,112,4696,0,0,0,0,1152,0,0,0,0,8112,22341,18196,6606,439,8338,130373,0,0,0,0,2382,604,293,263,0,0,407,0,0,0,0,529,0,0,0,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,62,770,39,1361,239,230,9633,1001,2754
영산포,62890,59,48441,746,27692,4455,5589,2747,10252,0,0,0,0,0,0,84,1809,171,0,0,0,0,0,0,0,0,4606,11631,9518,3618,5087,24,33262,0,0,239,0,1203,332,347,0,0,0,661,87,0,0,0,489,0,455,48,203,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,371,31,414,51,117,1358,334,9368
목포,276240,128,151339,1800,101006,12007,18624,15372,51764,0,0,361,0,0,0,530,18408,0,0,0,0,0,0,0,0,0,21066,61507,48907,18501,131532,30551,71249,0,0,350,0,5744,1179,337,512,0,0,59,93,0,0,0,0,0,41,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,4556,178,2617,315,931,1929,3258,126304
전주,198474,571,127229,0,86198,18394,28297,15187,42946,0,0,0,0,0,0,0,369,0,0,425,0,531,0,0,0,0,12233,119861,0,0,2,0,0,5967,4868,28002,13211,70974,76245,0,4672,0,0,0,0,0,0,0,0,0,5,0,500,0,0,0,0,0,0,0,82606,0,0,0,0,766,0,360,0,0,233,0,0,0,475,0,0,131,0,2037,131,217,0,0,0
임실,23528,213,17623,565,8581,1379,1583,799,3442,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,945,9748,0,0,0,0,0,5548,192,782,484,3206,3591,0,0,688,26,0,0,0,0,0,559,194,0,0,0,0,0,0,0,0,0,0,1613,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,472,0,608,6,2,0,0,0
남원,116616,0,67172,660,39220,5257,8040,5338,18727,0,0,0,0,0,0,604,1620,103,0,0,0,0,0,0,0,0,5062,45840,0,0,0,0,350,29742,1656,460,1987,27787,35789,110,271,722,147,0,0,0,386,0,0,0,1093,156,0,0,252,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,17,0,0,266,0,175,20,87,0,239,0
구례구,73861,136,37740,0,20997,2813,3631,2474,8924,39,263,38,0,0,0,0,1137,0,0,0,0,128,0,0,0,0,2544,10010,46,66,0,0,0,11599,1207,2193,1220,9323,15796,0,0,0,0,183,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,92,42,16,0,0,0
순천,191512,411,99856,0,73498,10964,17541,13072,40709,0,0,454,0,387,278,931,14023,0,0,0,0,191,0,0,0,413,14429,45338,1352,162,1476,1038,5001,72614,3675,30732,9510,1034,25885,0,375,0,0,169,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,761,0,0,831,0,133,331,5207,906,7994,8135,3822,39235,4610,12743
여수,143936,0,58066,100,49439,7125,13138,10708,35175,364,22,171,561,252,350,0,702,96,0,0,0,0,274,671,0,0,12549,43719,712,0,88,234,979,77573,3789,38381,18093,27907,319,1232,422,0,0,0,0,0,0,0,337,0,633,65,371,0,214,50,0,0,0,1240,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4034,1144,2254
청주,11880,288,11667,0,4149,788,1620,18095,26032,0,0,0,0,268,0,0,504,0,0,72,1266,209574,8922,3879,0,0,37,129,845,289,169,155,337,0,0,2,108,0,1232,13381,51574,0,0,0,0,0,48,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,40,149,2345,9306,656,569,116,1632,0,408,0,465,243,151,0,0,0,0,0,0,0,247,503
충주,14307,0,5774,276,2701,1040,2598,41759,81872,198,361,37,0,527,0,0,81,0,0,0,502,65003,4223,2273,0,0,89,206,262,532,176,0,512,86,0,0,271,375,422,46393,7564,460,1330,0,0,0,490,234,332,657,788,41,193,0,0,0,0,0,0,0,0,0,4,90,1180,3111,141,216,20,701,323,0,0,0,0,484,0,0,0,0,0,359,288,115,1405
부평,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,792,0,0,0,0,783,0,0,0,0,0,838,1059,69,0,0,0,0,822,712,0,0,0,0,644,0,0,0,0,1224,1714,0,0,0,65,0,0,0,0,0,0,0,0,0,0,84,0,0,0,1080,679,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,19,19,591,0,0,0,0,0,1213,598,0,0,0,0,0,26,149,0,0,0,0,1158,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,192,0,0,10,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0
온양온천,163722,0,191411,1122,81665,7844,14724,250,3,0,0,0,2,556,0,64,4,0,0,0,0,0,352,0,0,0,0,0,336,0,407,661,59,0,0,1,183,179,0,0,0,0,0,2,20005,32225,44815,17676,0,0,0,0,0,0,0,0,0,280,336,0,0,0,0,0,0,89,392,0,0,178,0,0,150,300,0,20,0,467,0,0,0,0,1,0,0
예산,189863,1,185481,1028,103502,17647,73767,0,0,0,0,119,0,522,0,0,781,0,0,0,0,0,643,0,0,0,0,0,309,0,0,87,93,0,0,0,50,40,0,0,0,0,0,23031,3333,25282,30717,25560,0,0,0,0,0,0,0,178,0,0,129,0,0,0,0,0,0,1300,251,84,0,63,0,0,79,127,0,215,0,336,0,0,0,0,0,0,0
홍성,226757,19,177553,1644,109158,31231,113834,0,0,0,0,596,0,134,0,0,0,51,305,1959,167,0,199,0,0,0,0,0,428,0,0,0,1,0,0,0,0,0,0,0,0,936,0,44166,21888,3844,20157,41850,0,0,216,415,0,0,394,0,0,0,339,0,0,0,0,0,0,665,0,381,0,59,0,0,0,355,0,338,0,9,0,0,0,0,0,0,0
대천,300999,0,168583,1103,116157,26309,102116,0,0,0,0,0,0,168,2664,0,30,0,0,0,0,0,39,0,0,0,0,0,9,0,0,0,0,0,0,386,0,0,0,48,490,1944,144,67546,43519,19523,2499,43549,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,257,0,63,0,0,0,9,0,152,8,343,0,0,0,0,0,0,0,0,0
장항,145485,0,98330,662,67418,10780,26601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,29270,30754,44229,45047,6600,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,63,0,0,0,0,0,10,0,226,0,0,0,0,0,0,0,0,0
수색,384506,0,0,0,0,0,0,0,2053,0,0,313,0,859,10,0,72,0,0,4140,0,303,132,0,0,0,103,466,332,422,417,598,0,0,536,0,0,0,379,0,29,0,0,0,0,0,360,0,49263,778090,23,0,16399,0,3142,0,30965,0,0,0,401,0,0,0,0,383,0,0,0,204,0,0,485,1641,0,0,0,144,0,0,0,0,0,0,765
문산,599359,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,144,0,0,390,46,0,0,0,216,62,269,216,0,0,0,0,137,0,0,0,0,0,267,0,0,0,0,0,0,0,780598,484994,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,0,0,0,0,0,0,1,0,2,0,59,0,72,1,1,0,993,54369,503002,435422,1923,233960,373030,274149,7483,1060,54,186,1289,360,0,455,44,1,2,2154,149,1,633,0,350,0,0,1,0,216,0,0,0,0,30600,603,0,0,247723,2069423,0,0,627,0,0,9269,11478,23877,98773,386578,53580,65363,9758,209316,978,567,3293,3390,1,31,0,0,0,0,0,0,2,0,213
성북,1,0,0,0,0,0,0,0,184,0,201,0,374,0,504,0,0,0,0,0,0,356,0,0,0,144,242,0,651,4003,0,0,186,0,0,0,156,0,65,0,106,0,0,0,0,413,0,0,0,0,187,647,0,0,60714,414859,0,0,22,0,0,0,0,293,116,5553,220,0,0,2,177,0,0,0,0,297,0,432,0,0,0,0,0,0,504
의정부,227,0,7,0,33,0,35,0,544,0,648,188,885,525,0,18,1192,0,1368,0,0,222,1,0,0,720,260,625,609,1146,288,0,26,0,0,0,0,0,371,0,341,0,0,0,0,0,0,0,10034,91,0,0,2238787,1412661,0,65,5194,0,0,0,0,0,0,33,0,200,252,0,0,0,178,0,0,0,0,0,16,99,0,0,0,0,0,0,547
신탄리,0,0,288,0,0,0,146,29,765,0,0,0,0,168,0,0,0,0,3600,0,0,49,0,0,0,144,169,72,647,576,72,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,101,0,1449036,223394,0,0,0,0,0,0,0,0,0,0,0,254,251,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,413
청평,0,0,700,0,0,0,0,0,288,0,0,0,0,72,432,0,0,0,72,0,0,0,0,0,0,0,158,72,242,0,0,0,0,0,0,0,252,0,214,0,0,0,0,0,0,393,0,0,0,0,279759,62526,0,0,6482,88746,0,0,28,0,0,0,0,0,0,0,352,0,0,0,1368,0,0,0,0,0,0,936,0,0,0,0,0,0,288
춘천,2,0,323,0,39,0,74,0,209,0,0,19,0,585,0,12,1253,0,0,0,0,134,0,0,0,360,335,394,246,940,0,0,0,0,0,0,0,0,50,0,328,0,0,0,375,0,0,0,0,0,2124376,285418,0,0,86943,36004,0,0,151,0,0,0,0,0,434,360,0,206,0,0,216,0,0,0,0,0,16,302,0,0,0,0,0,0,266
