,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
정선,1635,0,0,0,0,0,328,267,1308,0,0,0,0,0,0,0,0,41,638,10241,5,12491,288,168,328,0,164,24,2,0,0,145,0,0,0,0,0,0,0,608,134,79,192,382,253,0,0,0,0,0,49160,260,256,256,352,0,0,0,0,0,0,92,496,297,1587,1946,102824,3253,840,2943,0,0,535,0,0,0,0,0,0,0,0,0,0,0,12
쌍룡,0,0,518,0,0,0,1,184,1287,0,0,0,353,651,0,0,0,97,1500,15204,3,13002,166,0,0,311,141,436,32,2,0,0,0,360,0,0,0,0,0,738,204,0,0,0,84,381,63,63,0,0,59878,0,0,0,0,206,0,0,0,0,0,51,441,1153,6723,6760,3050,2535,825,17982,0,0,0,0,0,0,42,328,0,0,0,0,0,0,1445
석항,0,0,0,0,0,0,0,52,105,0,0,0,0,0,0,0,0,6,255,5205,8,5759,100,0,0,0,1,13,2,0,0,0,0,0,0,0,0,0,0,83,23,0,0,0,0,0,0,0,0,0,10154,0,0,0,0,0,0,0,0,0,0,41,183,183,925,1573,496,355,0,2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
고한,0,0,415,9,0,0,402,666,3362,0,0,51,545,292,0,643,2279,85,3056,63602,48,49258,5614,468,495,3,54,138,156,10,0,0,0,0,0,0,0,0,0,1779,799,677,49,160,63,59,0,0,0,0,199259,0,0,0,0,0,0,0,0,0,0,1095,3255,1220,18097,38375,7615,18957,3129,19552,262,0,607,27,1,0,0,0,0,0,0,0,0,0,350
부전,34290,0,10669,0,424,490,77,48,8309,0,325,107,1962,14911,1,1,604297,15,824,5538,160,19528,12355,18591,5295,6960,0,576,1,0,0,0,5,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,1868,177,178,0,0,0,0,0,318,0,183,3157,4951,708,1039,2701,0,0,3,250,132053,232649,125132,84279,18813,0,0,2,0,511,0,5,75,0,0
좌천,357,0,280,0,151,19,30,35,341,286,86,403,186,3271,0,0,214349,197,111,739,28,2516,1717,2700,1354,3265,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,258,792,0,0,287,479,57,185,335,0,0,0,0,183008,12531,43990,25726,6934,0,0,0,0,388,0,0,1,0,0
울산,73637,0,4326,0,25821,749,9625,918,15881,92,1027,1044,8805,14737,0,0,70600,11,952,8094,159,18788,31497,34007,9238,15901,0,0,0,0,0,0,0,0,0,0,0,340,0,465,0,0,0,0,0,0,0,0,485,0,11638,0,0,0,0,0,0,0,99,0,0,3301,5074,1040,1396,4477,535,2,0,595,98431,43704,2311,106028,20263,0,0,0,0,600,500,0,386,0,0
경주,247431,390,3326,3005,30808,617,11609,437,24541,592,188,2836,8240,101723,0,0,35391,12,588,5354,82,7793,16149,21865,7902,65346,202,814,243,16,0,0,0,0,0,0,0,491,0,243,0,0,0,300,132,352,160,10,1359,0,6732,0,6,0,0,0,0,0,302,0,0,1069,2690,564,749,3585,0,0,0,0,79506,17910,96976,13447,158748,0,0,453,0,0,266,0,0,0,331
포항,91178,0,1004,0,28620,0,8324,201,14223,208,0,3597,5376,336407,0,0,13493,0,75,343,0,0,373,0,0,57557,73,642,0,0,47,0,0,475,2,17,0,0,0,151,0,0,504,0,0,0,8,0,0,0,0,0,0,1782,0,0,0,0,487,0,0,0,0,0,0,360,0,0,0,0,16084,6519,19019,162255,1608201,360,0,0,0,0,514,0,0,0,268
진해,4908,667,629,0,982,60,526,0,1481,243,0,0,0,769,0,13,0,0,0,0,20,206,499,449,0,0,272,0,0,0,45,0,395,0,0,0,0,133,0,0,484,0,0,20,215,358,323,226,0,0,23,305,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,338,56681,0,44104,0,0,0,0,0,0,103
진영,12492,45,4650,0,4889,664,1490,784,4246,208,230,864,2603,17330,2467,11093,57921,0,0,0,0,147,0,81,0,0,0,0,0,0,53,31,399,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,28,0,0,79,0,0,0,0,0,0,108,0,42,0,0,0,0,0,0,0,0,948,30568,3363,6179,1125,194,287,124,713
마산,209860,415,74663,0,79460,18323,27149,11923,58120,1674,6319,15201,23661,124838,37199,61420,77570,0,0,0,0,873,1881,2000,42,0,0,244,0,128,459,352,4876,157,472,67,0,5602,0,0,504,0,0,446,336,9,0,0,0,0,0,0,222,0,0,499,0,0,405,0,17,356,8,24,0,759,0,328,0,0,0,0,0,433,0,35035,28689,268,70355,51305,16398,2674,2863,232,3246
군북,7922,0,3401,0,2934,259,500,289,1552,54,118,320,969,4219,626,3130,16024,0,0,0,0,0,0,0,0,0,0,0,0,0,19,33,252,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2773,72517,1646,32471,2053,423,440,27,212
진주,36108,410,15063,0,19724,6742,4547,4313,9329,106,535,3992,5007,12800,1989,16209,28255,0,0,0,0,0,110,0,0,495,1015,1166,0,0,1205,533,3592,2328,642,413,160,10541,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,258,0,0,473,13,0,486,523,0,20,0,0,511,388,600,0,0,0,2586,43830,29531,18996,79853,6870,2530,223,3533
하동,5013,140,1883,0,1173,121,213,104,341,0,0,0,0,1070,222,774,9744,0,0,0,0,0,0,0,0,855,300,91,0,0,236,42,381,169,12,44,24,8615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,500,266,514,0,1117,15462,1973,69277,5717,4837,1709,165,1444
광양,4284,556,2780,0,1102,208,128,62,294,0,0,0,0,0,393,331,4005,0,0,0,0,0,0,0,0,0,76,194,0,0,224,203,1138,376,18,157,46,6185,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,54,0,0,0,0,0,159,2913,527,7290,6614,131,2594,545,1120
보성,28047,564,18495,0,10334,1412,1277,737,2465,0,0,0,0,1762,20,570,8599,0,0,0,0,0,0,0,0,0,596,2866,2250,641,7308,2080,1954,0,0,0,0,42920,3484,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,75,0,386,0,0,0,238,2923,289,3004,2202,1212,80036,35695,133740
화순,3341,0,2375,0,1363,214,167,110,331,0,0,0,0,0,0,75,1414,0,0,0,0,115,0,0,0,0,201,450,313,81,2027,427,3196,0,57,0,0,4728,1028,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,245,27,196,457,236,24165,3796,6675
광주,387643,473,178408,0,112331,24857,27265,16665,60370,0,25,552,220,152,0,351,13767,0,0,0,0,382,0,0,0,39,31824,72522,43840,5114,3336,12306,138107,0,0,0,0,17146,2764,489,964,0,0,0,0,0,0,0,189,0,0,0,1812,0,0,466,0,0,0,0,0,0,2,31,178,3562,6,1818,9,202,0,0,0,338,268,0,617,2807,113,2832,1942,820,144095,28546,8946
