0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,15,3020,93,563493,552427,993120,375953,1777055,26760,122180,228007,348878,1808071,52484,93716,2291361,250,1,852,0,2480,1956,1396,0,29036,303334,427173,317508,80319,79523,71705,294390,224817,26610,124163,106989,198795,136113,11982,8867,0,0,0,218635,267454,263081,333496,195225,74722,1458648,2,0,0,0,0,9,987,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15745,170,88039,342674,47581,4481,10606,181593,6038,49909,8718,9142,18246,1134,363230
용산,0,0,0,1,3939,12436,2340,165,779,0,83,66,52,14774,479,61,88304,0,144,0,0,0,876,0,0,0,4889,3966,1100,1513,46405,268,5117,0,0,1363,0,0,0,0,0,0,0,0,779,1713,1079,543,276,25,0,0,0,360,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,0,0,72,350,0,0,0,0,0,0,576
영등포,313,0,0,112,414011,605942,971114,398987,1181278,25366,99873,135613,181700,584935,28219,33128,689176,0,1441,0,0,3562,1192,804,0,824,221130,269563,228131,43048,51972,56953,186696,154126,20118,72808,56313,116453,63960,15407,8698,0,0,0,242941,266718,223996,208003,149854,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4597,96,4255,8253,1,1169,4575,83963,3240,25181,4363,5808,14170,1023,208587
안양,78,0,17,0,660,33512,14129,7651,8548,0,2242,2306,1837,6699,902,497,4325,0,72,0,0,351,0,0,0,0,1917,2255,4318,950,1328,1525,2931,534,0,665,0,0,530,2,0,0,0,0,12376,7132,5386,4164,3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,560,0,0,0,12679,0,0,0,0,0,0,0,0,0,0,0
수원,716207,7,25761,34,0,349381,329736,205616,525709,12225,51156,82770,113970,390557,18583,22541,513707,0,0,0,0,7297,10405,5434,0,3765,106581,153465,117808,22170,26328,25405,92776,66788,7685,36255,24580,64756,43298,3851,9965,0,0,0,80960,114030,100363,121747,82559,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,287,115,6399,22701,14414,631,2956,54145,1795,21978,1988,1968,5975,398,104017
평택,1401170,16450,141577,46888,114510,3214,51997,36299,141420,2112,7160,14839,15652,60866,3207,2556,62481,0,0,0,0,2957,2617,1699,0,0,18064,28763,16147,2750,6421,4655,11839,15013,1595,5322,3338,9796,5986,698,1683,0,0,0,10970,25450,29220,29612,15551,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,414,7044,177,3146,214,285,1046,64,18311
천안,1840895,1192,281241,8745,180200,41182,28637,107560,422816,6243,17648,32747,37048,139244,5663,6555,211191,0,0,0,0,14045,5281,2570,0,1063,31113,43350,23461,5107,8690,6108,20251,22710,1547,9301,4720,19172,14313,1583,4311,0,0,0,26463,105656,130132,167501,35229,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,475,0,0,0,93,39,14534,8860,0,1149,1150,26261,423,6978,297,231,1255,64,32917
조치원,384030,733,370169,4310,217564,37747,128548,3277,221781,2209,13126,22166,29192,58782,3280,5208,117064,0,0,0,159,54229,0,0,0,120,25371,28676,15338,5744,5298,3016,13685,10470,523,4968,3614,12462,11463,18079,38716,0,0,0,0,0,0,0,0,0,0,0,216,72,0,0,0,0,0,0,0,0,0,0,7,44,352,826,26,73,46,212,207,11,1573,678,0,6,526,9549,247,3634,124,109,733,51,14762
대전,1904225,4437,1089864,6141,577025,138951,451796,224827,18730,112409,295864,193072,190314,541811,30757,26302,838995,0,0,0,0,122337,377,1320,0,6218,166787,131921,52247,15448,18181,11006,49572,31854,2528,17089,12052,38281,35693,17480,57774,0,0,0,0,0,1,6,0,202,423,432,432,1469,0,0,867,0,0,0,0,0,1283,0,652,258,2130,5147,142,2984,70,1719,6870,431,23724,22556,13018,986,3754,61009,1226,13854,552,414,2071,184,48389
옥천,32806,0,26051,51,15319,2527,7996,2941,126443,14215,6296,5699,6663,12291,890,432,11464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,62,0,32,0,0,0,365,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,104,53,133,0,0,55,1042,50,201,0,0,0,0,0
영동,128041,56,88609,1699,53250,7000,19762,14207,280855,5917,10300,39801,29517,69600,3054,2615,70401,0,0,0,0,0,0,0,0,45,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,741,299,36,31,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,1,1136,158,0,0,213,4875,55,1248,0,0,0,0,0
김천,240430,73,116262,1791,83642,15771,33953,22743,182996,4369,47408,2283,109344,459663,33573,10132,179918,0,0,0,0,0,16551,2,0,1134,0,0,559,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,17,0,0,0,0,0,0,0,0,25535,25533,8699,0,0,0,0,0,0,0,0,0,0,0,102,7,1032,2792,3916,0,807,16693,291,2787,290,0,0,0,0
구미,374463,30,155525,1262,117084,19895,38864,29316,191130,5228,31736,125536,109033,1304854,128045,32572,424512,0,0,0,0,0,27485,0,0,4289,0,0,1993,0,0,0,394,0,0,610,0,399,0,0,225,0,0,0,0,1,380,0,0,1206,0,0,0,0,0,0,0,0,7960,15959,8893,0,0,0,0,0,379,0,0,0,0,0,289,35,10938,8087,5894,0,2115,27232,747,9917,35,0,0,0,615
