,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
영동,98242,2,71777,767,46327,7194,16553,12145,223833,3869,3065,21950,23626,52672,3632,2110,57183,0,0,0,0,0,0,0,0,82,1041,27,15,3,0,0,293,0,0,0,0,0,316,0,2,442,0,0,0,0,0,0,0,0,0,8,1315,0,0,0,0,0,0,0,0,64,0,167,0,0,0,0,0,0,0,125,22,477,230,2,0,630,4986,91,488,0,0,0,0
김천,199040,6,109646,1299,82914,15121,28700,22407,171589,3826,24484,3862,64064,400279,74617,6648,142407,0,0,0,0,0,10016,0,0,2460,144,177,583,15,0,0,0,0,0,0,0,359,29,0,0,139,443,124,0,438,0,0,0,0,0,0,91,0,0,76,0,14943,17210,5752,0,180,24,92,52,154,1139,0,0,0,0,337,32,993,3046,4731,370,852,16296,318,2756,0,0,0,0
구미,349381,235,190855,1019,155286,22706,40551,29749,183580,5591,25153,61338,53108,929608,164752,32465,403766,0,0,419,0,0,17007,0,0,14250,282,381,165,107,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,227,313,200,0,0,1,0,0,0,0,0,0,6460,12552,7386,0,570,20,149,124,497,3129,0,0,0,0,3472,129,9742,8277,7639,214,2916,31369,826,6712,0,0,0,0
동대구,1632855,1975,606702,3809,498165,75313,144095,68950,541814,10545,53716,403323,921207,2292,182228,272175,2453223,0,0,8,0,11174,32760,35116,21992,242589,1655,1188,2821,86,0,0,0,1,0,0,0,1899,0,0,150,0,0,552,194,3,87,0,42,0,399,161,871,0,332,719,0,57100,56612,10996,0,384,4917,18714,3350,14230,42023,0,888,0,1469,21139,3562,16601,98441,352515,0,16600,129184,3593,13710,0,0,818,0
청도,81938,2011,44171,71,35064,5715,10052,8531,45937,1160,3931,76718,164526,181439,19705,49194,506271,0,0,0,0,0,2142,0,0,18,0,72,0,72,0,0,0,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,396,0,432,0,144,0,0,216,0,8220,7658,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3360,47724,84,847,0,0,0,0
삼랑진,83929,543,32267,347,27490,3363,8007,5116,28618,465,2428,7232,32721,273525,45009,64774,1147176,0,0,0,0,57,1054,0,0,0,304,0,95,0,106,86,438,0,0,0,0,1702,436,484,163,0,0,0,0,676,0,0,0,0,0,0,46,0,0,90,0,646,977,404,0,278,1,321,7,30,492,0,159,0,88,430,0,0,0,0,0,7180,56323,2253,12777,829,219,544,84
부산,2122833,2296,667353,2797,570279,77659,196896,107468,727851,11318,59627,147405,401732,2420226,506457,1177556,141686,0,1143,7684,0,6996,24632,10204,1654,2081,461,0,1546,72,2872,1730,20940,0,535,239,0,10322,0,0,0,0,0,2415,172,73,34,0,216,0,1414,0,2012,0,0,2080,0,25441,31312,13617,0,6984,2106,11661,654,2850,18973,0,0,0,1248,234102,156496,67458,55082,14493,0,40939,79038,18309,25707,9213,3004,9824,1309
팔당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6786,16555,4236,52,673,442,210,49,153,0,0,0,0,0,0,0,0,21,430,13,0,55,0,0,0,0,0,0,0,0,0,0,0,66199,0,0,0,0,0,0,0,0,0,0,0,0,424,13,73,259,57,81,6,335,13,344,11,34,0,0,0,41,0,0,0,0,0,0
양평,0,195,0,196,0,0,0,0,216,0,0,0,0,0,0,0,1377,22492,8540,44338,102,8769,5402,5515,148,420,0,0,508,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,792,386736,0,288,3444,0,0,1059,0,0,0,0,0,68,305,274,1059,3915,473,1292,129,3349,791,104,828,434,0,0,0,0,0,0,0,0,0,0
원주,873,0,0,0,0,0,0,0,74,0,0,0,419,0,216,0,8221,2187,41854,20698,370,32269,42594,28304,534,2468,0,399,111,0,0,2,0,552,0,0,0,0,0,0,2526,0,0,532,0,0,0,0,0,0,375748,0,0,0,0,0,0,0,0,0,263,216,190,1446,4600,5633,16199,10053,15699,4466,64945,6157,591,7610,5964,0,0,0,216,0,0,0,0,0,0
봉양,0,0,0,0,0,0,0,317,193,0,0,0,0,0,0,0,0,84,223,458,40,462,673,187,10,81,92,0,0,0,0,0,0,46,0,0,0,0,0,2450,895,0,0,63,0,0,0,0,0,0,3216,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,135,0,3,6,17,469,60,521,242,0,0,0,29,0,0,0,0,0,0
제천,2449,0,3029,0,5645,2447,8629,57899,107413,0,0,0,0,10072,0,57,9033,417,8969,25047,253,4858,64053,54677,1682,4507,1301,144,44,16,0,0,65,180,308,0,0,0,0,201086,69750,282,0,0,0,0,0,0,674,0,210642,121,583,0,0,308,0,0,0,0,0,272,134,1402,4738,18338,33964,16142,11578,4420,54243,12805,1744,16737,6044,0,0,31,3143,0,0,0,0,0,0
영주,3876,0,3099,0,12693,3048,6161,978,2257,0,0,11492,16962,34204,1673,756,24011,159,5921,43569,478,67709,3885,70320,5959,13547,487,498,0,0,0,0,0,0,0,0,0,0,0,10518,3896,0,378,0,0,296,173,55,0,0,351299,399,549,0,0,100,0,5241,3600,1015,158,0,14558,34073,4225,16498,41192,155,148,105,3597,7850,1691,22399,10810,0,0,0,987,0,0,0,0,0,0
안동,2091,0,1267,0,5658,1280,4236,0,0,0,0,0,0,41396,0,0,10572,168,5703,27379,24,50096,64516,4212,12813,22175,21,0,0,0,0,0,0,0,0,0,0,0,0,3246,1441,87,77,0,0,0,0,0,0,0,279150,280,147,45,0,80,0,0,0,0,0,0,2549,11518,1817,7193,11178,0,0,0,665,14224,2527,30877,21413,0,0,125,399,0,22,0,0,0,0
의성,0,0,0,0,0,0,823,0,0,0,0,0,0,27690,0,0,1655,59,119,595,12,1868,5648,16766,4965,18215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8620,0,442,0,0,0,0,0,0,0,0,0,363,1103,263,1033,1661,0,0,0,0,4154,1153,8762,8186,0,0,0,0,0,470,0,0,0,0
영천,31292,216,2635,471,10281,1121,2089,213,7926,0,77,2345,14113,250837,18,0,1786,162,280,2334,47,4394,13612,20369,22611,14117,65,293,321,10,0,0,0,0,0,0,0,518,0,0,360,0,0,451,235,0,0,0,0,0,1429,0,504,288,0,1800,216,0,0,0,0,61,1417,3704,484,1909,2885,0,114,0,0,6203,1983,13600,62247,53900,0,0,0,0,438,0,0,0,0
논산,277807,10110,176891,974,110117,20393,41837,30898,141680,0,1038,49,156,1887,7704,304,461,0,0,288,0,1309,497,21,0,55,7189,28649,19040,21183,8984,4208,18280,13809,1089,5095,2625,12607,10243,792,33,0,0,0,0,0,0,0,243,0,4506,5212,12177,0,63,13769,0,0,0,0,0,32657,0,0,0,15,268,70,251,69,69,0,9587,0,544,0,310,0,0,0,383,660,561,639,235
익산,407224,1679,243865,890,173095,32364,42353,33703,147478,0,38,90,250,890,0,0,0,0,0,399,0,528,498,0,0,268,30463,12585,124901,22667,22826,11577,57259,93663,11313,49885,10087,45429,43823,20,87,189,189,0,0,61,0,0,95,0,0,0,185,0,0,18,0,0,0,0,137002,83131,0,6,1,85,2050,27,15,8,114,62,188,0,797,144,0,0,111,0,2080,166,857,3107,307
정주,305336,111,182822,1580,117924,16889,23486,15602,65292,0,13,581,134,1139,0,95,1448,0,508,109,0,26,0,0,0,333,20378,115104,38666,14625,18209,7630,45059,0,0,0,0,2573,396,1199,111,0,0,0,0,339,0,0,0,0,211,1097,1328,194,268,10,0,0,0,0,427,43440,0,0,6,23,712,3,9,0,36,0,0,0,280,0,0,0,0,0,472,0,0,1752,256
장성,77291,3753,40246,542,25984,4050,5238,6797,19195,0,0,4,40,22,0,0,72,0,72,144,0,10,0,0,0,5,6313,23594,13865,631,7013,3374,15291,0,0,0,0,171,0,1,245,0,0,30,0,450,0,0,144,288,1008,720,9150,648,0,1875,0,0,0,0,0,2875,0,0,1,40,100,0,0,0,9,0,0,0,21,0,0,0,0,0,675,0,0,587,45
송정리,116052,1117,50415,356,29982,7676,6039,4057,16448,0,0,0,0,0,0,217,8998,0,0,0,0,0,0,0,0,0,9358,24815,20713,6412,613,6868,152037,0,0,0,0,3826,1089,0,208,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,115,1196,67,843,226,378,15669,2177
영산포,67580,55,46558,731,27479,4435,5164,3113,10458,0,0,1,0,0,0,70,1806,0,0,0,0,0,0,0,0,0,5309,12250,8880,3723,3769,9,27353,0,0,305,0,1527,1634,1217,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,295,16,220,693,119,1576,432
목포,285295,123,153938,1995,103213,12662,19484,16852,55783,181,293,0,0,0,0,733,20094,0,0,0,0,0,0,0,0,0,21082,59617,48635,16625,154036,22722,59256,304,0,0,0,6491,1413,0,19,129,40,305,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,289,4617,174,2879,333,974,2624,7057
전주,217290,0,134634,5,96036,20352,31006,18091,48434,0,0,0,0,1,0,0,0,0,0,416,46,0,0,0,0,0,13878,114445,153,0,0,1,301,6492,5191,31985,13500,75788,84327,137,4777,0,0,0,0,490,0,0,0,0,377,97,800,549,0,0,0,0,0,0,77374,0,0,0,0,70,772,0,0,0,0,0,0,0,0,0,0,0,341,0,2675,153,224,163,0
임실,24022,0,16628,310,8601,1478,1526,873,3286,0,0,0,0,0,0,0,535,21,0,0,0,0,0,0,0,0,1204,10461,0,0,0,0,0,6430,159,628,629,3497,3406,0,308,210,408,0,0,0,0,0,631,92,465,0,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,65,17,4,0,0
남원,117368,0,66951,129,41186,6465,8781,5332,19799,0,0,0,0,0,0,0,239,344,61,0,0,0,0,0,0,0,5322,49358,0,0,0,305,0,32982,1589,340,1967,31154,36684,562,0,440,81,155,192,464,8,0,0,20,1753,83,0,0,23,92,0,0,0,0,0,0,0,0,0,0,93,202,0,0,0,0,0,0,0,0,0,0,0,0,183,27,83,0,0
구례구,80809,0,39031,0,21840,2445,4666,2313,10395,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2517,9858,0,0,0,0,0,12621,811,1543,398,8378,15161,0,0,0,0,597,231,27,0,0,0,0,182,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,2,0,90,37,17,0,0
