,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
의정부,312,0,11,0,11,0,13,2,487,326,1315,37,0,310,0,34,865,0,144,1,0,583,549,147,442,504,52,6,720,542,144,0,0,450,0,0,400,23,0,0,0,0,0,0,0,0,603,0,11226,332,0,0,2203761,1402362,0,0,4691,0,0,0,0,437,0,0,0,304,1542,365,0,0,0,0,0,0,0,0,0,26,324,0,0,0,0,0,0
신탄리,0,0,216,0,0,0,0,79,1221,0,0,0,0,0,0,0,0,0,4322,0,0,0,0,323,0,288,0,37,542,279,0,0,0,396,0,0,0,0,0,155,231,0,0,0,102,189,765,0,0,0,0,0,1440746,224817,0,0,0,0,0,0,0,0,0,0,0,0,377,116,0,0,0,0,0,0,0,1782,0,0,0,0,0,0,0,0,0
청평,0,0,0,0,0,504,0,0,144,0,0,0,72,332,572,0,0,0,0,0,0,0,0,0,0,0,63,145,268,0,144,0,564,0,0,0,0,0,148,0,0,0,0,0,214,0,394,0,0,0,371508,43988,0,0,16032,151892,0,0,0,0,0,555,0,0,0,0,267,0,0,0,0,1419,0,0,0,0,565,0,576,0,0,0,0,0,0
춘천,0,0,610,0,73,0,208,0,302,0,0,71,0,507,0,64,1341,0,0,6,0,0,0,0,0,1080,441,45,7,590,0,0,0,0,0,158,0,0,225,0,6976,0,0,229,107,0,0,0,0,0,2107275,322009,0,0,155666,63006,0,0,0,0,0,397,0,0,0,360,743,0,0,0,0,0,0,0,0,0,616,14,447,0,0,0,0,0,0
일영,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19748,0,0,0,3816,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,3,0,0,0,1,685,0,0,0,0,0,24227,7561,67427,7810,760,25523,0,0,0,0,0,5746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425,3934,594,0,0,17,21,6,88,1063,0,0,0,0,0,0,0,0,0,74,0,0,0,275,0,0,0,0
점촌,0,0,0,0,0,536,0,0,0,0,0,24385,13728,64056,7190,1060,31440,0,0,0,0,0,4233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3396,8,478,0,0,0,34,4,71,863,0,0,0,0,0,0,417,0,0,144,381,657,59,652,0,0,0,0
예천,0,0,0,0,0,658,0,0,0,0,0,7738,7868,13860,1985,452,13717,0,0,0,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,221,59,0,0,6,8,7,43,370,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0
군산,0,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,263,0,0,158,0,0,0,291,171559,1540,141,56,93,181,77026,1453,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15421,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,530,0
광주,412883,272,182253,0,122357,23414,27412,18012,63955,555,59,125,311,229,0,170,6057,0,0,0,0,158,0,0,0,55,33305,77858,45146,4254,3811,6213,59005,0,0,0,0,7455,1698,58,291,0,0,1368,0,333,0,0,0,0,0,0,1217,0,0,757,0,0,0,0,0,1442,0,7,28,128,3359,2,51,5,207,0,0,0,280,0,119,90,1369,139,733,852,413,64967,10384
춘양,0,0,0,0,0,0,0,0,0,0,0,92,293,5427,0,8,1874,18,39,81,2,217,17541,2797,345,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,8061,0,0,0,0,0,0,154,19,4,0,0,5485,12253,1275,3762,5981,68,94,42,853,2210,281,3658,1001,0,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,890,183,10,350,243,167,217,286,20566,0,321,11654,416,204,2421,4,1950,31187,11656,1175,4119,0,5,1,0,0,0,0,0,0,0,0,0,0,44,32,0,0,235,73,44,0,0,0,0,49050,0,222,0,0,0,0,206,117,70,0,11,12892,7341,1570,12795,26039,612,718,240,2156,4058,558,6894,2578,0,178,28,584,0,0,0,0,0,0
도계,0,0,0,0,0,0,163,140,1582,0,0,66,95,4556,0,3,1036,5,460,5404,1,4518,4360,1868,280,536,29,57,245,0,0,0,0,0,0,0,0,0,0,177,183,0,0,178,106,0,0,0,0,0,24757,21,50,377,0,0,0,69,79,18,0,50,1399,990,1782,15198,27719,445,1394,190,1549,562,65,809,248,0,0,0,379,0,0,0,0,0,0
동해,0,0,475,0,0,0,0,517,2251,0,0,187,355,11406,0,45,3522,14,1151,4971,5,18774,15475,7353,1089,2054,23,183,31,9,0,0,0,802,0,0,0,0,0,2900,1328,0,0,379,0,0,0,0,0,0,97146,831,304,0,0,360,0,226,182,95,0,1173,3863,11356,14465,381,41945,1728,6773,1032,20979,786,163,1640,809,0,0,0,1669,0,0,0,0,0,0
강릉,576,0,0,0,0,0,23,1756,6495,0,0,929,2581,37701,0,412,14222,20,3223,8654,1,28621,30985,11752,1791,3408,231,1608,354,59,0,0,0,0,0,202,0,15,17,8298,2758,720,0,0,0,0,0,0,720,0,224530,218,492,0,267,743,0,1296,1001,550,0,2039,5513,22722,26954,41791,80832,2146,6097,1774,45097,2394,294,6011,3321,0,0,0,1032,0,0,0,0,0,0
정선,0,0,540,0,493,0,0,329,303,0,0,0,0,0,0,0,0,58,625,9664,4,14840,301,0,0,0,70,62,7,2,0,0,0,44,31,116,126,398,75,540,127,0,0,0,28,368,47,0,0,0,42295,609,65,94,0,0,0,0,0,0,0,306,59,451,255,1498,2164,83119,3849,585,2584,0,0,0,162,20,187,0,0,0,0,0,0,639,0
쌍룡,57,0,265,0,0,0,0,207,2684,0,0,0,0,888,0,159,0,101,1656,16745,18,14196,176,0,0,114,268,126,10,2,0,0,0,0,0,0,0,0,0,801,391,46,715,0,0,0,0,0,105,0,59955,0,0,0,0,0,0,0,0,0,0,100,91,455,1169,6785,6774,3601,784,691,19537,0,0,0,1112,0,0,19,1108,0,0,0,0,0,0
