,서울,광명,영등포,수원,평택,천안,천안아산,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,부천,부평,인천,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,오이도,상주,점촌,예천,광주,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,진해,하양,진영,장원,마산,함안,진주,하동,광양,보성,화순,울산,공주,포항
단양,599,0,164,309,0,185,0,956,293,2245,154,336,66,102,25,240,24,0,0,0,187,3225,145,10404,0,9676,0,1659,4583,5467,243,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4217,372,313,995,0,0,0,0,0,0,0,0,0,0,0,0,0,41878,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,48,0,0,0,0,0,0,0,0,0,2618,344,1103,0,0,0,0,0,0,0,0,0,0,0,0,2927,0,0
풍기,1193,0,61,179,0,87,0,394,120,1079,11,13,8,12,1,31,0,0,0,0,256,4103,290,15200,0,14804,2414,133,6161,17268,292,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531,142,163,756,704,0,0,0,0,0,0,0,0,0,0,0,0,64088,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,35,0,0,0,0,0,0,0,0,0,1367,319,795,0,349,0,0,0,0,0,0,0,0,0,0,2284,0,388
영주,410,0,59,144,0,214,0,1041,771,3445,72,76,4493,4485,1002,17666,949,673,2150,3187,364,5153,301,13510,0,21330,4369,5519,0,86983,3374,2081,0,0,0,0,185,0,0,0,0,0,0,0,350,0,13,0,3808,343,406,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,69791,0,0,0,0,0,0,0,0,3454,4012,1754,0,761,4604,12255,7095,1688,9654,4598,0,0,21,0,39,169,6632,790,3940,0,0,3620,30,192,250,32,1079,0,0,0,0,9637,0,0
안동,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12988,0,0,147,0,443,6373,458,15138,0,19951,5025,18075,84962,0,29323,5894,0,0,0,0,24,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,73241,0,0,0,0,0,0,0,0,0,0,0,0,3689,2602,3286,3168,683,5185,3390,0,0,0,0,0,0,11002,1677,7773,0,0,8949,0,0,0,0,788,0,0,0,0,15121,0,0
영천,558,0,486,1062,116,269,0,0,0,507,0,0,178,736,0,262232,0,0,0,0,0,261,6,947,0,736,347,188,2130,6959,4199,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,492,437,695,921,131,515,790,0,0,0,0,0,0,13959,4387,41820,185,0,7943,0,0,0,0,0,0,0,0,0,33764,0,2488
계룡,107711,7465,26104,25492,8011,16619,2125,7879,6804,23759,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15037,18512,1650,2589,2137,4507,672,316,2662,5873,162,550,546,1452,1515,612,0,0,0,0,0,0,2,25,92,258,126,334,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3686,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,76,38,0,0,0
논산,104027,11173,76537,73176,19175,51994,2302,28735,23708,324691,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16602,3427,63915,7003,7289,5146,12328,2013,924,8405,29912,3385,3137,2209,7924,6360,873,0,0,0,768,0,750,48,229,619,891,344,1060,0,1762,520,0,0,0,0,0,0,792,0,0,0,0,0,0,13042,0,0,0,0,0,0,0,0,0,101,0,0,43,0,0,0,0,0,0,0,0,0,0,0,8,0,278,90,0,0,0
익산,461821,101409,65877,96818,26591,36470,34680,24795,15572,225293,0,0,0,219,40,81,0,0,0,388,0,0,0,330,0,0,0,0,0,0,0,49,20080,64336,5269,46614,120060,28333,117846,15812,3465,61933,157394,14423,43789,20576,72422,60205,39183,0,0,0,0,0,0,8081,16166,32196,86582,40958,32698,0,20224,0,0,0,0,0,0,0,0,0,637,0,0,0,0,50232,0,0,0,0,0,477,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,438,0,4992,0
김제,43765,1511,34288,32269,6498,9944,555,6037,2982,27419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,2102,7020,48677,5199,23222,5177,15837,3157,899,7089,0,0,0,0,95,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,28,0,0,0,0,344,0,0,0,0,0,0,20813,0,0,0,0,0,0,0,37,6,122,20,92,0,0,0,0,0,0,0,0,0,27,0,398,0,0,299,110,0,0,0
정읍,147864,32833,24973,34016,7620,10230,9395,6021,3261,39537,0,0,285,0,0,315,0,20,166,424,0,233,5,388,0,190,0,0,0,0,0,0,3119,7753,123951,23342,0,14151,28683,4293,947,16321,0,0,0,0,208,0,6743,0,0,0,0,0,932,0,0,0,0,0,0,0,5142,0,0,673,0,34,0,0,261,69,151,0,0,0,0,16269,0,0,0,0,0,358,15,0,12,127,18,116,223,76,0,0,0,0,0,0,0,0,0,0,0,0,187,51,411,1050,778
