,서울,광명,영등포,수원,평택,천안,천안아산,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,부천,부평,인천,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,오이도,상주,점촌,예천,광주,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,진해,하양,진영,장원,마산,함안,진주,하동,광양,보성,화순,울산,공주,포항
청량리,41,0,0,0,0,0,0,0,0,0,0,145,0,0,0,241,0,0,0,0,470,368606,56061,664774,5522,194309,39150,65930,72099,74024,4209,984,0,0,0,173,448,28,0,0,0,0,437,0,1033,0,516,303,0,0,0,1646,0,0,0,0,0,198,404,552,28,0,0,0,0,0,0,8,5,3924,0,0,9,0,0,0,0,0,3,395,1449,682,24566,16813,40818,22236,929,32248,6208,61922,54809,3535,1000,3153,0,352,0,0,0,0,0,200,0,0,0,0,5725,0,0
의정부,82,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,145,0,569,0,302,109,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,3,0,0,6,454,0,0,0,0,0,97,0,0,0,0,63,0,0,0,110,0,0,0,0,355,184,0,0,0,0,50,0,0,0,10,0,0,0,0,0,0,0,0,0
동두천,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,5,0,0,29,254207,0,0,0,0,0,101,0,0,0,0,0,0,0,0,130,0,0,0,0,5,203,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
신탄리,11897,0,0,280,0,325,0,57,43,288,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4093,0,514,223088,43141,0,0,0,0,0,48,0,0,0,0,0,0,0,0,67,0,0,0,0,72,76,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
광주,117277,22305,23579,31478,8755,7741,5323,7733,1198,36718,0,0,0,0,0,0,0,13,28,151,0,0,0,0,0,519,0,0,0,0,0,0,4874,13589,52073,21119,13506,4686,786,897,1962,9103,0,0,0,0,2254,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,3494,0,0,0,0,0,0,0,0,0,407,0,0,0,0,213,0,0,0,0,0,344,0,0,0,0,0,1165,634,65,0,0,0,320,0,13,38,49,9,27,109,43,19050,747,0,0,0
봉화,465,0,21,31,0,27,0,0,0,0,0,0,4,30,5,1274,4,5,7,23,0,0,0,1,0,44,1,5,1170,4050,225,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,2,0,0,0,274,2556,945,139,1587,910,0,0,3,0,57,7,1239,212,356,0,0,600,0,0,0,0,33,0,0,0,0,1166,0,0
춘양,2793,0,15,31,0,23,0,0,0,0,0,0,2,6,3,1666,2,4,5,18,0,0,0,1,0,38,2,0,4773,2434,86,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,2,1,0,0,211,138,2431,981,104,1530,1890,0,0,7,0,8,5,644,79,226,0,0,258,0,0,0,0,12,0,0,0,0,696,0,0
석포,24373,0,616,4688,0,634,0,143,67,588,0,0,2,5,0,2984,1,1,5,458,0,23,255,292,0,805,32,46,12418,3635,291,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,0,0,117,0,840,410,0,0,0,0,0,0,0,791,0,0,1112,642,63,0,0,0,0,0,0,5,7,3,0,2872,1879,12834,76612,538,1633,1706,0,0,12,0,636,205,441,125,223,0,0,275,0,0,0,0,5,0,0,0,0,457,0,0
철암,1936,0,94,217,0,108,0,0,0,0,0,0,793,421,115,5800,233,159,519,2172,2,25,0,208,1,832,26,21,14716,2879,312,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,0,0,13,4,2,0,900,1506,74489,56,368,3834,2374,0,0,41,6,294,69,1970,1065,470,0,19,632,0,0,0,0,18,0,0,0,0,2085,0,0
동해,751,0,0,0,0,0,0,88,43,677,49,34,269,200,17,5184,41,43,67,268,191,1586,154,2529,33,16901,0,0,9329,5169,1145,351,0,0,0,0,205,166,282,86,12,334,1279,0,0,60,299,143,311,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17469,0,0,0,0,0,0,0,0,515,52,23,209,1607,1495,1817,3792,27646,1223,41903,0,72,4793,632,10817,19048,765,120,301,0,120,807,0,0,160,0,576,0,0,0,0,684,0,389
강릉,3191,0,272,959,1165,489,0,130,83,3143,0,31,511,1317,238,14093,440,482,1882,4398,254,2902,603,6278,43,18055,0,0,5354,3351,1025,652,0,0,1017,0,168,166,305,27,7,430,1305,0,0,160,1222,403,2102,42,47,889,390,0,425,114,128,89,0,0,0,0,0,0,0,88266,1657,110,130,67,0,0,0,0,509,417,135,481,948,875,7934,3926,9605,45060,6,0,17,2848,547,10465,12991,3313,254,834,0,182,510,0,0,0,0,33,0,0,0,0,1575,0,0
영월,3018,0,0,0,0,0,0,18,0,191,0,0,0,0,0,0,0,67,257,0,346,2008,169,14320,10,16258,0,0,44,0,0,0,16,101,0,0,127,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,32130,0,0,0,0,0,0,0,0,0,0,0,0,4,3,19,107,800,4708,3622,471,56,0,1250,9132,6011,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예미,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,351,21,2996,4,3270,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,88,585,536,128,0,1051,0,1243,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
민둥산,549,0,0,0,0,0,0,309,0,82,0,0,0,0,0,0,0,0,0,0,815,6262,505,20175,50,28751,0,0,189,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,396,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,60207,781,355,5,72,0,0,0,0,0,0,0,0,7,0,71,523,2341,11095,9863,12273,77,11730,1593,1103,9442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155
태백,3942,0,43,692,0,276,0,612,293,1667,90,119,0,0,0,0,0,0,460,0,590,2517,200,19407,65,15885,0,0,207,0,0,0,5,43,0,0,223,0,0,0,0,322,630,0,0,0,0,271,909,0,0,720,0,0,3002,174,194,162,96,190,405,0,0,0,0,55213,321,184,203,76,0,0,0,0,0,0,0,1452,14,5,99,127,3887,17806,12380,0,24,7848,936,12912,3,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0
부전,6969,0,3816,4327,1350,1295,0,1226,980,4808,495,1380,1729,7369,1858,51592,15380,30630,29124,1470,0,1799,11,4615,0,6206,2175,1171,5370,10181,4605,14148,0,0,0,0,76,0,434,110,58,527,0,0,34,0,10862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548,0,0,0,0,0,0,7200,0,0,0,0,146,696,600,582,2717,462,701,2399,0,0,130,0,0,0,68378,279774,138036,1426,0,7852,6175,13559,8413,3019,8534,5274,1390,867,182,541577,0,10827
경주,462067,103130,111,38448,39,22,40581,0,0,91759,0,0,95,4649,0,266935,0,98,2961,123786,127,571,3,1191,0,1795,1056,658,4818,9240,5215,40687,0,0,0,0,0,0,0,0,0,0,385,0,0,0,678,63,12353,0,0,0,0,0,0,0,0,0,0,0,0,0,10698,0,0,3177,0,0,0,0,303,87,2,0,0,0,0,0,282,186,200,523,113,269,688,0,0,0,0,0,0,136925,43645,10831,1860,0,34690,168,976,539,56,272,32,180,0,0,251865,0,20758
안강,203,0,103,193,40,51,0,0,0,153,0,0,34,99,0,4459,0,3,120,48,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,624,1312,0,0,1256,4,21,21,3,8,0,1,0,0,2864,0,1159
진해,3497,0,80,492,75,839,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,476,3,0,242,576,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,418,0,0,0,0,352,403,50,0,0,0,0,0,0,0,0,0,320,0,0,0,19,41,120,182,0,0,0,0,0,0,0,0,0,0,0,0,0,2421,4885,0,648,0,0,0,0,0,0,0
하양,354,0,223,470,36,85,0,0,0,305,0,0,660,1573,0,138187,0,0,0,0,0,0,0,0,0,0,0,0,3083,7538,2990,7733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,138,176,803,240,655,459,0,0,0,0,0,0,8051,3485,32048,1078,0,0,0,0,0,0,0,0,0,0,0,42133,0,3813
진영,31518,6362,1018,2487,484,623,941,441,198,8598,113,278,405,1723,551,53894,14271,19471,5874,915,0,0,0,0,0,7,0,0,30,0,0,0,0,0,0,0,0,0,73,23,11,94,3,0,9,420,1834,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6025,246,82,9,0,0,381,18960,4640,2280,4792,1519,294,233,10,205,0,142
창원,377788,107447,2678,7892,1831,1826,10632,1340,577,83870,327,927,2345,9300,1495,259343,58553,92188,21189,2125,0,0,0,0,0,32,0,0,192,0,0,0,0,0,0,0,0,0,88,31,25,188,201,0,621,576,11101,504,9295,0,0,0,0,0,0,0,0,0,0,0,0,0,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,10354,917,445,30,2059,0,7977,4594,9547,13025,55818,9440,2396,576,52,384,0,431
마산,187838,43902,1859,4140,1370,1187,4476,693,172,40219,244,500,1316,3746,687,83520,30912,35848,8236,1057,0,0,0,0,0,15,0,0,250,0,0,0,0,0,0,27,0,0,80,32,28,307,81,0,356,0,8980,0,4153,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,0,0,0,318,10,10,10,0,0,0,0,0,0,0,28,0,0,0,0,0,181,0,0,0,0,0,0,504,6345,530,209,17,3851,0,4752,8620,516,12528,42197,10188,2270,581,33,215,0,372
함안,1232,347,389,578,121,169,87,183,99,437,40,46,113,263,96,3123,864,1652,2568,819,0,0,0,0,0,11,0,0,32,0,0,0,0,0,0,0,0,0,58,7,8,74,296,0,0,0,1234,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3137,121,17,3,0,0,2408,12456,12062,235,8014,824,249,74,34,193,0,82
진주,49113,12131,438,745,419,497,2084,225,30,5112,38,258,783,2425,494,27743,7333,15711,7723,3097,0,0,0,0,0,176,0,0,1079,788,0,0,0,0,0,398,0,0,183,57,260,341,169,0,0,0,10965,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,200,0,0,0,0,0,0,189,0,373,295,129,26,33,12,5,18,9,329,33,0,0,0,0,0,0,8888,422,163,5,0,0,5309,56720,40875,7300,2653,11321,2249,1023,33,509,0,561
광양,625,0,0,100,63,41,0,0,0,0,0,0,0,0,0,0,0,237,547,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,66,30,50,0,0,0,0,5162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,48,160,0,0,0,304,2390,2537,245,2241,1116,110,353,75,81,0,34
보성,6248,0,5322,3837,540,989,0,520,300,1415,11,166,93,56,306,325,0,167,1220,2321,0,0,0,0,0,0,0,0,0,0,0,0,105,280,1399,316,221,211,8215,277,80,444,0,0,0,0,23965,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21053,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,208,780,840,46,1195,432,469,12519,8883,269,0,0
화순,917,0,852,777,193,164,0,137,50,327,0,0,0,0,0,0,0,9,95,32,0,0,0,0,0,0,0,0,0,0,0,0,21,76,438,96,60,52,974,90,42,872,0,0,0,0,3594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,11,69,22,16,44,51,65,10706,276,0,0,0
울산,1161557,311461,155,68756,100,0,144369,0,0,294228,0,433,0,19604,0,517318,0,577,1911,259755,0,835,8,2251,0,3498,2605,1601,10507,16293,5172,36673,0,0,0,0,0,0,0,0,0,0,0,0,185,0,282,0,47366,0,0,0,0,0,0,0,0,0,0,0,0,0,19440,0,0,2440,0,0,0,0,0,0,0,0,158,171,129,0,1023,694,507,1937,276,584,1273,0,0,0,0,0,0,510052,111027,253840,2336,0,42537,234,386,149,75,477,486,60,269,0,15590,0,9067
공주,19215,6054,0,0,0,0,1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5310,0,1006,0,6365,683,0,4979,1302,0,290,98,1008,1909,1899,0,0,0,0,0,0,0,0,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
좌천,0,0,0,52,0,0,0,0,0,0,0,17,0,540,0,25649,0,225,2903,1514,0,281,1,455,0,583,325,180,965,1631,668,3920,0,0,388,0,817,0,242,0,0,867,0,0,367,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,100,0,0,0,0,146,169,63,108,1001,28,95,198,0,0,0,0,0,0,273950,33749,40428,435,0,3419,260,1111,813,179,347,1149,44,0,0,105485,0,3986
가평,0,0,0,0,0,62,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,215,7,321,0,0,293,102,0,419,0,0,13,0,0,0,0,0,0,0,143,124,75,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389
춘천,0,0,0,0,0,625,0,286,126,1897,0,36,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,272,278,0,0,0,0,0,307,170,571,259,0,0,0,0,0,0,432,0,264,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0
하동,0,0,0,0,0,0,0,1,0,369,0,0,174,32,27,598,0,1138,5041,3576,0,0,0,0,0,34,0,0,0,0,0,0,0,8,0,0,0,0,202,61,14,117,0,0,0,0,9833,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,5603,884,28,2,648,0,1601,10180,10720,848,10694,2177,1668,410,20,791,0,67
정선,0,0,0,0,0,0,0,0,0,920,0,0,232,0,0,161,0,0,0,0,231,32,0,420,0,4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,22899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1814,0,519,105,5115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
팔당,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,4220,6389,15916,12,2415,185,252,260,379,0,0,0,0,0,0,0,0,0,264,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,465,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,7,501,196,208,231,0,427,78,725,621,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268
인천,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,548,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,750,0,0,932,0,0,0,0,0,394,0,692,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부천,0,0,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,704,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금곡,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,344,261,3,0,0,0,0,0,0,27,0,0,176,0,0,0,0,0,0,0,0,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,0,0,0,0,0,0,0,0,14524,21485,4401,35507,5290,1050,5299,14438,0,0,0,0,0,0,0,0,3484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,1848,1934,0,6,4,17,18,15,593,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,158,0,0
점촌,0,0,0,0,0,0,0,0,0,0,0,0,7578,11873,2523,19780,3064,595,4066,9212,0,0,0,0,0,0,0,0,4452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,96,97,101,48,0,0,0,0,2062,0,783,0,18,12,19,16,30,88,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,171,0,0
예천,0,0,0,0,0,0,0,0,0,0,0,0,3122,4147,737,10888,1271,570,2790,5396,0,0,0,0,0,0,0,0,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587,451,91,0,23,5,41,27,14,59,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,129,0,0
도계,0,0,0,0,0,0,0,0,0,0,0,0,8,69,8,2004,15,9,64,118,402,1167,71,6098,6,3690,0,0,1449,669,171,85,0,0,0,0,0,0,0,0,0,9,41,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21670,0,0,0,0,0,0,0,0,13,5,0,0,130,76,703,389,421,25711,8698,0,6,840,120,2452,3525,515,39,138,0,41,273,0,0,0,0,9,0,0,0,0,271,0,0
양평,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,2368,11890,27075,94830,490,17229,3302,3805,4730,5754,396,294,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59,832,1277,1654,33,47,1693,305,5225,2009,2115,255,593,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12778,0,0,0,0,0,371,5,653,0,583,204,181,3732,29697,2553,5469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3605,0,0,0,0,0,0,0,0,0,0,0,0,243,82,279,411,117,1149,962,0,0,0,0,0,0,4897,586,4890,0,0,3902,0,0,0,0,0,0,0,0,0,5279,0,0
광운대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,149,0,0,0,0,0,0,1021,0,0,0,0,0,1091,144,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,642,0,0,0,889,0,0,0,0,781,321,0,0,0,0,403,0,0,0,318,0,0,0,0,0,0,0,0,0
양동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6242,27589,130,11441,16,2160,178,311,343,429,23,12,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,6,101,130,424,0,0,182,53,400,263,21,9,42,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
신림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,404,41,259,0,179,11,11,19,33,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5805,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,28,0,0,12,1,47,37,59,15,7,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
쌍룡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,2,99,0,110,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,118,18,0,0,66,50,123,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,287,0,276,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부평,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,466,0,0,0,0,0,0,760,0,0,0,0,0,0,0,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오이도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,349507,78457,800,1721,453,541,16979,0,0,71681,38,650,569,4605,0,133111,0,108,1284,390,268,0,0,0,0,0,0,388,0,0,0,3887,0,0,0,0,778,0,355,14,0,104,389,0,0,0,243,0,9641,0,0,0,0,0,0,0,0,0,391,0,0,0,8353,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,1155,0,12991,5426,21338,828,0,5067,142,577,508,116,629,66,30,0,0,12317,0,120
