0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,9,3252,70,531400,405182,1086896,471295,1770217,28081,156548,243912,302274,1997572,26199,91275,2663398,0,0,0,0,1982,0,1,0,10552,337277,486769,370676,72549,111542,117549,377123,229977,32824,140327,134163,250707,176226,15213,19309,0,0,0,213020,280776,270312,352892,228684,98499,1833126,475,0,1458,0,0,0,20095,0,0,0,0,0,0,41,0,0,0,2,0,0,0,125,0,77962,274524,0,6670,6301,189334,4895,51677,13605,15331,29637,2390,420567
용산,0,0,14,0,8723,31301,9405,3087,5876,73,1133,1642,2646,30843,729,959,116829,0,300,120,0,452,1868,1665,1307,1953,11099,9180,16317,3212,115914,494,1584,2007,563,2093,1459,1328,358,2005,1980,0,0,0,725,2128,2331,1971,1061,0,0,0,0,240,240,528,120,0,963,658,0,0,89,775,198,0,0,0,0,573,226,0,216,0,583,5,1704,1995,421,1039,59,12,0,0,553,0,13955
영등포,151,0,0,29,285353,482136,901308,378781,1007740,24306,113491,139705,150334,562764,11502,29632,618043,0,950,0,0,2150,0,26,0,241,211490,263163,226069,41303,53415,71645,180774,113298,19840,67525,61633,123689,68586,12752,8782,0,0,0,191470,244525,214652,206431,149171,0,138,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,648,44,0,0,0,0,9,0,5104,2316,0,2270,2892,87416,2287,19268,4789,7210,18309,1451,198652
안양,72,0,5,0,1915,26351,30531,9458,20156,1486,3700,4907,2654,11680,956,913,6908,0,0,0,0,245,0,0,0,0,4077,5881,6781,927,2602,2554,4282,231,0,76,791,0,0,0,107,0,0,0,4985,5469,4777,4092,3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수원,463066,1761,32043,1250,327,160261,252504,207973,588175,11353,59020,93477,95437,418312,4970,18069,394885,0,0,0,0,10072,0,0,0,1662,115362,153183,124227,16161,24999,27327,71333,63063,8168,32348,23034,54846,33518,4736,4394,0,0,0,53201,111769,100098,104542,74625,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,45,0,0,0,0,0,851,0,5423,3061,0,1205,3948,61657,1957,19534,1797,2033,6300,539,84730
평택,981657,28588,208914,30907,64118,11565,34179,29796,124337,2167,8116,13568,15323,68773,1027,2435,53342,0,0,432,0,3923,0,0,0,0,17086,30425,19348,3053,9559,5795,10690,10798,1563,4601,3777,8475,4461,544,2033,1850,532,49944,7090,13051,24112,23999,16877,0,9,0,0,0,0,0,360,720,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,138,4395,100,2764,217,209,1949,158,15434
천안,2169724,5560,106187,11818,41732,18838,52577,112074,392852,4820,19520,31272,37614,155360,1416,7072,181254,0,0,0,0,10095,268,139,0,81,29328,42073,24283,3391,10837,6514,41218,16652,1407,6340,5245,19867,16014,1261,5463,148,47,0,31950,78071,111151,136165,36116,0,1,0,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,0,0,0,9,0,2547,1616,434,620,788,26715,236,5518,275,288,876,78,30396
조치원,500202,2172,359430,7793,212751,32069,128450,16742,335256,2299,13900,21719,38838,71694,1059,6018,117400,0,0,0,577,67100,0,0,0,55,21053,28489,19009,3461,10860,4291,18786,9069,562,4123,4065,15277,12004,22544,50481,0,0,0,0,0,0,0,0,0,0,0,0,220,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1312,399,0,1728,439,16037,183,3779,198,297,616,65,17580
대전,1840772,9128,965002,14151,640472,109391,399144,316031,59110,251828,336114,188575,216713,594030,6992,23619,804314,0,0,0,0,125792,29,0,0,1657,277707,138639,71071,10778,28160,11250,64556,25676,2382,15539,12892,41645,35750,13099,41275,88,456,0,0,0,557,0,354,9381,92,100,60,2587,216,33,885,0,0,0,171,0,3472,670,158,0,0,1225,0,0,0,0,804,20,11824,11671,20,802,1661,53248,679,12370,539,802,2579,186,43987
옥천,34458,65,28639,0,19538,2557,7054,2329,301918,73937,25388,8332,9854,19631,481,1173,23920,0,0,0,0,71,0,0,0,0,0,1,120,0,0,0,2013,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,212,540,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,54,1165,9,657,0,0,0,0,0
