0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,두계,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
영월,0,13,0,0,0,0,0,124,32,425,0,0,0,0,0,0,0,82,0,0,62,1111,108,10484,1,9022,0,0,39,0,0,0,0,9,28,2,3,1,0,0,0,0,0,0,0,0,0,0,330,38,19,105,0,0,0,0,0,0,0,0,0,20796,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,8,447,619,3665,4308,0,91,43,852,14365,16233,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
예미,0,0,0,0,0,0,0,10,3,58,0,0,0,0,0,0,0,22,0,0,24,159,27,4081,2,4427,0,0,43,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,50,10,61,18,0,0,0,0,0,0,0,0,0,5515,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,8,150,130,686,1151,0,114,712,3,2210,1381,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
증산,276,497,0,0,0,0,0,297,56,1032,0,0,0,0,0,0,0,0,0,0,378,3174,241,32941,33,38629,0,0,2136,401,0,0,0,34,224,242,359,9,0,0,0,0,0,0,0,0,210,0,787,61,51,434,0,0,0,0,0,0,0,0,0,72518,0,0,0,0,0,0,0,0,0,0,0,0,0,183,66,93,3445,2019,9538,13470,23083,842,13700,2585,1742,13793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
태백,0,10659,0,518,0,0,151,964,119,4871,0,0,294,159,126,0,0,0,0,0,112,2364,133,31344,19,22052,0,0,1478,0,0,0,2,83,409,27,389,7,0,0,0,0,60,0,0,42,194,389,3003,108,105,1313,153,188,134,35,0,0,0,0,0,107657,0,0,0,0,0,0,0,0,96,0,0,330,0,374,273,361,240,1011,11678,24377,0,323,7924,1328,9635,8,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112
부전,7872,5097,0,8127,759,0,1737,958,0,5698,377,578,2670,8489,1070,40118,6424,34603,20280,47,0,1299,0,4343,0,4600,1858,777,7989,12742,5558,4384,0,0,0,0,196,0,283,163,223,2282,0,0,0,0,2589,231,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,0,0,0,0,0,0,0,0,0,1186,0,0,0,1918,1414,589,9054,531,1279,4462,0,9,291,14,0,182,22063,70554,142586,56226,1152,4589,0,315,18066,6142,7490,3746,8633,4044,517,2185,400,413
좌천,173,121,0,204,49,0,84,19,0,44,7,7,162,289,85,451,0,0,0,0,0,99,0,261,0,306,83,35,670,1542,533,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,41,0,0,0,0,122,129,31,572,38,154,193,0,0,0,0,0,0,87561,2538,15492,9542,194,1422,0,50,0,1,0,0,0,0,0,0,0,0
울산,28449,12617,0,24438,4312,0,6556,726,0,8375,110,372,3784,6533,335,104335,0,0,0,0,0,673,0,2707,0,2163,567,962,12418,14884,6232,13870,0,0,114,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183,0,0,0,0,0,0,0,0,0,0,0,193,0,1406,1150,373,5813,451,1090,3487,0,0,0,0,0,0,139213,14793,1516,68183,858,2437,0,7496,0,0,0,0,0,0,0,0,0,0
경주,23879,9129,0,14335,2033,0,3290,249,0,5750,13,131,1749,2872,166,182653,0,0,0,0,0,234,0,769,0,613,165,148,5538,12601,4599,28054,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856,16,83,0,0,0,0,0,0,0,0,0,0,0,530,379,462,1961,149,448,1968,0,0,0,0,0,0,41787,7986,59713,4504,7927,92835,0,22886,0,0,0,0,0,0,0,0,0,0
안강,2173,887,0,1383,240,0,273,0,0,533,0,2,128,181,0,24760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,165,434,9748,293,29408,0,1585,0,0,0,0,0,0,0,0,0,0
포항,18835,7381,0,14628,2282,0,3421,38,0,4012,0,48,1535,2145,0,228950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,18,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,336,267,0,0,0,0,0,0,2995,986,1691,99717,33658,1458,0,33104,0,0,0,0,493,0,0,0,0,0
진해,648,547,0,283,6,0,230,14,0,698,92,142,91,0,0,2797,256,2409,0,0,138,28,2,491,62,483,0,0,0,84,0,0,7,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,168,104,61,24,0,244,0,0,0,142,35,114,59,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,1463,29703,0,0,0,0,0,0,0
하양,217,85,0,142,51,0,58,21,0,62,3,23,661,951,302,49920,0,0,0,0,0,0,0,0,0,125,36,171,3300,7578,5544,3594,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,267,96,1065,305,452,436,0,0,0,0,0,0,240,15,7200,26070,1603,34301,0,712,0,0,0,0,34,0,0,0,0,0
진영,4119,2778,0,3610,507,0,1020,632,172,2095,94,152,471,1900,432,29555,6268,18883,13082,6009,0,0,0,0,0,0,73,0,88,147,0,0,0,0,0,0,0,0,33,36,24,115,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,156,0,0,0,0,0,0,21089,0,0,0,0,0,13,0,698,2345,7967,2589,6268,591,154,162,37,46
창원,20858,12137,0,21132,2679,0,6189,2170,458,7338,261,929,2553,8092,1150,144211,32605,126905,8807,1608,0,0,0,0,0,0,51,0,89,126,0,0,0,0,0,0,0,0,64,58,57,529,0,0,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,223,0,0,0,0,0,0,7338,1,0,0,0,0,2474,0,2408,148,462,9845,13249,3326,494,686,352,321
마산,26118,16211,0,20831,5663,0,6076,2359,502,7288,322,867,2463,5794,1004,89466,30418,96297,8084,2037,0,0,0,0,0,0,125,0,141,0,425,0,0,0,0,0,0,0,120,61,74,807,0,0,0,0,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,1243,0,0,0,0,0,0,8532,0,0,0,0,0,26707,0,8235,557,409,31955,36736,5509,1111,896,90,146
함안,2274,1320,0,1363,270,0,337,207,34,485,38,58,140,385,95,6250,1767,4694,2212,1264,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,33,7,8,109,0,0,0,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3704,0,0,0,0,0,0,0,2829,10092,31636,1922,21891,813,309,94,46,44
진주,3175,2459,0,2950,2318,0,1741,1971,48,914,27,117,1145,1280,383,7974,6545,10035,6042,2268,0,0,0,0,0,0,71,0,0,0,0,174,0,123,885,0,171,0,840,46,51,807,982,62,243,358,8186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,778,0,0,0,0,0,0,9293,0,0,0,0,492,0,34,5292,12696,30866,19705,14531,40877,4837,1451,109,177
하동,1472,784,0,511,97,0,139,36,0,65,0,0,0,0,0,0,0,155,1569,1012,0,0,0,0,0,0,0,0,122,0,0,0,0,15,90,0,190,0,298,238,167,210,99,1,9,33,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3890,0,0,0,0,0,0,0,635,3470,5408,762,40746,2498,1193,475,100,455
광양,3515,2465,0,1171,213,0,291,84,0,262,0,0,0,0,0,0,0,91,358,135,0,0,0,0,0,0,0,0,0,0,0,0,0,37,159,0,0,0,123,125,121,503,294,8,31,39,1888,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,2098,0,0,0,0,0,0,626,0,0,0,0,0,0,0,131,531,939,313,4123,1496,364,1231,460,117
보성,15124,12708,0,7139,1134,0,1502,587,0,1569,0,0,0,0,0,0,0,140,666,575,0,0,0,0,0,0,0,207,0,0,0,0,20,699,1544,574,557,315,12234,1470,488,2089,0,0,0,0,35963,2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102,0,0,0,0,0,0,0,136,469,587,87,824,360,756,33848,35305,36675
화순,1962,1815,0,923,148,0,292,106,0,304,0,0,0,0,0,0,0,15,198,117,0,0,0,0,0,0,0,0,0,0,0,0,9,201,385,160,126,79,1753,459,1017,6284,0,0,0,0,5008,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,417,0,0,0,0,0,0,0,38,352,103,35,88,69,224,30969,1559,2209
광주,688817,49636,106032,47252,8211,15561,11930,7917,659,75844,0,0,297,0,0,1,0,21,143,31,0,0,0,0,0,108,0,71,0,0,0,0,4458,21534,70598,20170,15124,5575,1337,3119,12684,76194,0,0,0,0,4240,2006,35,6,2,478,0,0,0,0,0,0,8291,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,3,23,34,2452,0,0,41,14,138,611,530,0,0,0,0,0,0,0,28,288,92,37,132,420,90,45556,3175,666
