0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,두계,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
전주,61894,66287,0,60634,19079,0,29564,10863,3321,33280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,2473,16105,151536,0,0,0,0,0,0,90,10023,13902,50629,20242,79509,77800,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,106,74071,0,0,0,0,0,0,0,576,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,948,124,311,0,0,0
임실,9307,9956,0,5849,1299,0,2138,673,222,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,89,624,15700,0,0,0,0,0,0,24,12720,145,629,999,4647,4305,0,0,0,186,0,0,0,0,0,0,0,0,0,20,25,260,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,1,0,0,0
남원,37546,29485,0,22442,4048,0,6787,2314,634,10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,323,2916,43333,0,0,0,0,0,0,176,46289,576,1,2147,20507,22657,181,113,102,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,1,48,0,0,0
구례구,34906,27828,0,17203,2606,0,3767,1864,497,7190,65,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,258,1876,20244,0,0,0,0,0,0,0,17899,708,1751,1077,19207,23224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,59,7,8,0,0,0
순천,91771,67644,0,54362,9144,0,18099,8708,1931,33021,0,0,0,0,0,560,0,223,1194,594,0,0,0,241,0,0,0,0,0,0,0,19,1036,9323,82939,345,368,164,2029,1206,1018,4625,79190,4284,23443,20744,57,55900,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,319,403,0,0,0,0,210,194,3261,0,403,0,0,0,0,0,289,1221,1991,619,6471,5217,2357,31949,5093,3628
여수,64360,42898,0,44858,7630,0,13713,7591,1712,26164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,7087,77796,0,0,0,475,324,319,1435,77884,4389,24308,24552,56198,739,0,0,0,0,102,27,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,389,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3146,1671,2020
청주,4924,5857,0,2108,472,0,2250,14616,1883,35176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116822,3008,1177,2845,1389,0,0,0,92,92,11,49,184,201,0,0,198,0,0,181,0,0,0,675,2658,7148,56174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760,82,946,2412,0,17,370,77,745,1014,0,0,0,0,0,0,38,0,0,0,0,0,0,0,306,0,0,16
증평,1134,1834,0,829,188,0,910,8518,1645,7882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12001,239,92,191,144,0,0,0,19,16,15,3,4,0,0,0,63,0,0,113,0,0,0,1768,3,420,6092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,158,411,0,0,26,9,71,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
음성,313,635,0,263,164,0,493,5225,966,9480,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,8700,112,125,182,107,0,0,0,16,171,7,6,9,0,0,0,293,0,0,102,0,0,0,4447,210,31,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,281,314,0,0,34,57,48,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
충주,1239,1567,0,1170,602,0,2412,30991,6679,46633,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,40237,349,434,1776,516,0,0,0,117,482,100,216,12,0,0,0,245,28,186,284,0,301,0,56224,5659,2084,2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,43,514,1485,0,0,130,16,446,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466
온양온천,116736,155988,0,102138,20508,0,85962,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,1684,30890,58981,51385,23530,57,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,153,0,0,0,0,0,57,168,0,0,0,0,0,0,0,0,0,0,0
예산,99373,110627,0,65185,15662,0,139440,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,24630,5013,23084,35322,15829,210,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,18,104,0,0,0,0,0,0,0,0,0,0,0
홍성,118876,116620,0,72324,16535,0,160713,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,59505,21321,1766,39777,20250,15,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,134,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,0,0
대천,132023,114394,0,90433,18803,0,117350,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46411,29412,40161,3239,31478,0,1,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,35,0,0,0,0,0,15,24,0,0,0,0,0,0,0,0,0,0,0
장항,70555,62437,0,43202,6895,0,32716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19786,16281,20581,29572,2022,0,0,0,0,0,54,46,10,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,22621,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,251,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,210,15,0,0,1173,15053,36414,336260,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,244,0,0,0,0,0,0,0,0,0,0,0
능곡,283398,0,227,0,0,9174,0,0,0,37837,0,0,0,0,0,55198,0,99,0,46957,0,0,0,0,0,0,0,0,0,0,0,0,3,721,7723,717,2490,922,4231,743,0,5627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9743,2641,22051,163596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4739
일산,533448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13557,5191,4148,235094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산,1490705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71422,19910,31930,97523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,45,6,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,18,13836,499344,36937,288088,1651,110226,24139,38194,59060,56897,1530,199,0,0,0,0,42,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,172,0,64,0,43042,604006,1020526,0,0,0,0,0,0,1391,1722,2179,3431,14180,28093,124775,5727,1017,22795,5452,72906,109537,772,318,1277,543,0,0,142,0,0,0,0,0,0,0,0,0,0,0
