,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,14243,574,4,0,7330,156462,330828,192484,748516,1081,87135,236857,142874,994986,7965,116565,1615806,0,0,18,0,538,7,0,0,0,145416,220258,224405,52879,110589,105861,297349,83109,20117,93733,79221,127656,101084,24433,20058,0,0,0,71272,229162,250651,209838,189826,0,900829,2095001,1554,310,10072,389,0,0,215764,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,919,5477,0,5606,146214,3859,57702,10859,2761,0,0,214965
용산,1710,746,0,0,2439,81521,56030,34260,82458,4866,13406,20933,5956,51245,4047,11638,111952,6,877,1675,1,11,14,21,26,869,46400,75425,132176,26693,90435,39355,80095,43884,14947,19927,11990,24262,8029,65,120,160,232,0,6659,14417,13302,10533,8486,4,6093,3670,13896,5079,34396,9384,7587,20816,26815,912,540,0,212,614,0,0,0,249,0,0,0,0,0,582,21,274,36973,3505,32845,0,289,7840,85,765,0,0,112,5,58386
영등포,4,0,0,0,24617,266299,342249,157810,314279,6937,42351,91171,36630,147580,2109,20432,143445,0,0,1,0,119,0,0,0,0,80614,96073,99597,20813,26382,33075,58975,27216,9385,22462,19212,30436,12972,9965,5182,0,0,0,72097,160773,130094,70506,81563,2,4772,6483,0,0,13,4,1,34,237,21,41,0,0,418,0,0,0,0,0,0,0,0,0,694,0,0,1475,0,308,0,613,19831,427,8299,1456,29,0,0,45970
안양,1,0,0,0,8572,90572,54060,15638,16291,2026,2652,2459,660,3516,389,836,3757,0,0,0,0,0,0,0,0,0,7049,5688,6778,1749,3037,3107,3942,2350,1484,1385,945,2877,865,146,169,0,0,0,11977,30745,22091,7765,12507,0,450,1115,0,0,2,0,0,0,810,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,106,0,0,0,0,0,1,3350
수원,14413,2721,17730,9018,4481,206177,116388,96786,186501,2383,14763,32277,15895,102348,797,10451,76818,0,0,0,28,983,3,0,0,0,29125,41992,28943,4949,13941,9700,18242,15042,2677,6740,4453,12069,4867,4710,2958,146,702,215971,20872,40826,34835,22498,23173,0,105,340,0,1,13,1,1,0,0,6,20,6,0,0,0,0,0,0,493,0,0,0,0,0,0,4,659,25,145,0,346,12371,0,4561,229,15,1,0,23266
평택,176891,96621,529431,83221,181997,54606,87183,27375,52086,1925,3659,6698,3539,22100,397,2616,19944,0,0,1,5,1277,0,0,0,0,9902,10591,11192,2216,7616,5150,6800,2774,1110,1762,1286,6416,1457,1901,1152,10863,18484,2,23077,29899,25839,16600,18698,0,79,1859,0,0,205,19,0,0,1,5,15,0,0,16,0,0,0,0,23,0,0,2,0,288,0,68,947,28,78,0,29,106,2,10,0,3,6,0,2715
천안,354918,54137,268067,44717,97458,68069,189587,158731,243713,1892,11525,25181,13544,94108,515,8081,101985,1,0,6,30,3204,10,3,0,1,23572,25049,18937,4092,13024,6560,12851,7390,877,4240,2409,8539,6399,2472,3048,4983,6068,206,118037,199065,120248,80714,31177,104823,101,334,0,0,4,1,960,148,9,9,22,1,3,9,0,0,0,0,0,12,0,10,17,0,0,6,157,9,166,0,0,13860,42,2702,35,0,0,0,13987
조치원,168608,38616,150752,12673,83937,23991,162658,334739,562688,4224,11356,13423,12528,58457,440,7256,71847,0,152,160,2349,56190,34,0,0,3,19065,19500,16493,3979,9770,5497,12024,5149,780,3391,1969,9154,6438,55566,42639,868,1360,0,118,1035,1619,750,576,0,142,150,3,1,1551,62,110,880,0,0,4,0,0,80,0,3,0,235,0,14,0,167,74,0,0,10,17,119,67,0,199,10007,66,1687,134,0,0,0,8198
대전,675690,91131,319301,14065,183577,41129,248850,512357,226385,283635,198505,112298,76374,240314,1916,24681,308931,0,0,73,17,575,635,14,0,183,513272,145269,74463,11589,33294,12472,45571,15092,2578,8928,6799,14522,16341,158,521,580,1004,1,502,2085,2458,1054,4,1,0,4,0,0,1664,0,0,650,0,582,930,237,85,16104,3,20,9,32,1852,0,0,9,3,0,0,264,194,761,1292,0,641,39732,554,5789,287,0,3,0,23875
옥천,550,6841,9943,2747,2366,2149,2563,3695,310438,293630,100886,14152,6824,14647,428,1117,7304,0,0,0,1,13,76,23,0,6,810,113,71,21,3,0,33,0,0,2,0,2,21,13,9,76,115,1,13,10,10,2,0,0,0,0,0,0,0,0,0,0,0,65,131,21,27,13,0,2,0,0,199,0,0,0,0,0,0,1,6,35,36,0,7,55,0,2,0,0,0,0,0
