0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,13,8633,243,1286327,644739,1291435,489867,2000996,32078,164059,247209,290112,2277070,31630,99738,2962129,0,0,0,0,3724,1653,0,0,15534,375616,543079,418658,74502,117691,120685,410359,305377,35102,165837,139141,265721,188693,17291,16395,0,0,0,271268,310751,273159,380854,239998,181764,2141072,0,0,2525,1,284,0,24769,0,0,0,0,0,0,0,0,0,4,0,0,0,0,157,0,117877,299264,5121,6453,8579,244244,6535,75173,12458,12968,30477,2113,518933
용산,0,0,8,0,8779,22402,6143,2466,2093,24,78,229,179,20693,1228,1219,100950,0,0,0,0,45,192,406,0,814,9447,3097,1298,253,54356,529,1361,0,0,1017,552,0,0,0,698,0,0,0,1112,3059,2571,1443,1271,0,0,0,336,49,0,0,1081,0,0,0,0,0,0,423,0,557,44,0,0,0,0,0,209,701,1865,514,1333,0,1158,602,450,0,0,0,0,0,72
영등포,124,0,0,44,505263,679174,1117254,485095,1166788,28572,116509,142440,149110,612302,14351,31862,687683,0,1944,0,0,3860,663,0,0,778,238236,281307,248892,41443,54285,74666,194815,152149,23291,78977,63638,125296,72599,17931,10644,0,0,0,227841,291956,230399,233715,161560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,10476,13751,0,1291,4120,103731,3199,32463,5275,6618,19058,1701,234504
안양,16,0,4,0,1743,29024,31049,10987,19102,1498,3389,3697,2521,10985,1079,633,6431,0,0,0,0,0,0,0,0,549,3641,4677,5854,1210,1905,2402,3954,467,0,335,0,0,0,0,79,0,0,0,5905,4788,4170,4124,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4762,0,0,0,0,0,0,0,0,0,0,0
수원,912511,2,80403,163,0,204024,348073,212532,598567,13454,56052,85969,90995,422918,7762,19329,436949,0,0,0,0,13564,4863,0,0,1414,114707,155769,127052,18300,24436,29135,80447,66726,8395,35090,23368,57473,37201,6105,5262,0,0,54204,72857,111815,98157,118147,81735,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,40,0,8386,3455,493,1007,3110,66725,1770,27073,2067,2054,6938,512,97421
평택,1366186,19472,187334,32426,86272,8060,53263,40982,144490,2537,9541,14516,16790,74580,1496,2805,62234,0,0,0,0,3634,1375,0,0,154,19174,31231,18392,2435,8260,6152,11839,12199,1466,5664,4311,9495,5162,788,2271,0,0,0,8684,17132,21201,26216,18194,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,5568,153,3553,229,217,1914,162,15723
천안,2599041,4529,199479,18183,80827,40349,60323,149397,477244,5968,20843,31570,35224,152528,2401,6224,183532,0,0,0,0,12633,2440,594,0,171,31264,40763,25141,3944,8453,6443,21304,18469,1666,7813,5763,18324,12809,1962,6610,3943,72,0,69726,117818,130699,145935,36151,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1730,0,0,0,0,0,187,171,5941,1299,380,738,787,27396,423,7826,330,250,1194,106,31874
조치원,496739,1498,439155,10025,228078,47968,170707,11805,378792,4144,14932,23802,34386,75136,1798,6262,123800,0,0,158,363,70051,0,0,0,111,24327,29646,18427,3299,10489,3746,17232,10813,670,5445,4442,15583,13192,20961,44373,0,504,0,0,0,0,0,0,0,0,0,72,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1480,534,0,0,560,14901,357,4068,177,239,740,51,14834
대전,2223782,2773,1111832,17566,662448,138575,516285,368852,50438,255906,408508,204989,213929,647480,11750,27648,923237,0,0,556,0,154724,52,0,0,2703,316390,145181,68739,11618,20590,11169,61289,28400,2455,16465,14268,40390,36251,18545,68761,0,0,0,0,0,0,0,0,327,45,72,432,1191,2304,0,0,0,0,0,0,0,3024,0,0,0,2376,591,0,0,0,0,924,818,25805,15199,537,915,2478,65127,1030,15942,538,713,2814,207,50623
옥천,34022,3,26968,0,16604,3096,8215,3698,303018,60065,24651,9683,9923,18703,676,722,14111,0,0,270,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,449,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,79,80,1396,19,1170,0,0,0,0,0
영동,179161,23,107303,2462,61424,9785,22935,35198,362584,14278,26518,45489,43773,105519,1902,3850,98905,0,0,323,41,1109,0,0,0,28,0,0,72,0,1,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,508,0,744,98,0,1160,266,7324,81,787,0,0,0,0,0
김천,259194,82,126701,2335,86403,15018,37156,24035,192071,5534,48733,30656,232072,533134,21064,8622,231575,0,0,506,0,0,14580,0,0,762,0,0,557,0,1041,0,0,0,0,0,0,23,231,0,0,0,0,0,0,0,0,0,0,462,0,0,0,357,0,0,0,0,84539,42458,13547,428,0,0,0,0,1953,2536,0,0,0,0,68,0,6555,3208,0,0,733,21497,321,2735,0,0,0,0,0
구미,310900,814,126199,1357,90642,18991,39845,34088,218802,5857,40958,239893,191452,1618428,66465,31153,423379,0,0,0,504,0,4769,0,0,1759,0,0,550,0,0,0,0,0,0,0,0,430,0,0,436,0,0,0,0,0,0,0,0,1504,0,0,0,673,432,0,0,0,3013,6158,1587,0,0,0,0,0,1411,505,0,0,0,0,63,0,5976,5424,104,0,1533,21429,720,8532,2,0,0,0,0
