,서울,영등포,수원,평택,천안아산,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,김천구미,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,부천,부평,인천,온양온천,예산,홍성,대천,장항,군산,수색,능곡,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,오이도,상주,점촌,예천,광주,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광명,울산,포항,수서,동탄,지제,오송,신경주,공주
양평,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2992,0,24088,106882,398,21482,3300,4359,5720,5960,367,297,0,0,0,0,0,0,0,0,0,0,389,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1228,1425,2650,0,52,2191,396,6434,2558,1977,319,561,0,0,0,0,0,0,0,0,0,0,0,0,847,0,0,0,0,0,0,0
양동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8454,23556,0,9724,34,2426,292,459,564,667,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,126,324,0,6,232,37,595,308,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
원주,0,22,2,682,0,25,0,552,0,0,0,0,0,0,668,0,0,0,336,14674,90128,10631,0,265,45834,8515,13824,13243,14783,679,1046,13,56,330,0,0,0,0,0,0,303,0,0,0,0,0,0,52,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696483,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,72,6101,2474,5697,616,81,11069,3071,18740,18450,4750,518,1532,0,0,0,0,0,0,0,0,0,0,0,0,2231,0,0,0,0,0,0,0
신림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,494,22,421,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,44,32,0,0,20,2,30,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제천,2621,1769,7253,2253,9160,29458,6506,71607,274,300,281,671,124,0,996,0,400,390,0,2120,16808,2333,42396,132,0,8932,12145,18845,17917,568,668,0,0,0,0,389,0,0,0,0,0,885,0,355,0,401,0,118465,14852,11816,67430,0,0,0,121,86,178,257,120,0,0,303,0,183443,0,542,0,0,0,0,35,0,0,0,0,0,40,30,711,611,3465,17097,16548,2275,80,13323,3453,25877,13379,4688,628,1696,0,0,0,0,159,0,255,0,0,0,0,0,4187,0,0,0,0,0,0,0
단양,455,201,2857,0,255,538,154,2589,93,587,44,76,14,0,238,0,0,0,0,173,3604,348,8519,17,12275,0,1577,3450,4225,229,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3548,237,315,1159,0,0,0,0,0,0,0,0,0,0,0,0,38321,0,0,0,0,0,0,0,0,0,0,0,0,6,0,58,81,0,0,0,0,0,0,0,0,0,2106,329,1094,0,0,0,0,0,0,0,0,0,0,0,0,2621,0,0,0,0,0,0,0
풍기,87,50,178,0,121,292,73,732,13,20,8,13,6,0,20,0,0,0,0,183,4213,383,14333,12,13492,1930,0,4577,15823,175,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,94,115,542,0,0,439,0,0,0,0,0,0,0,0,0,58764,0,0,0,0,0,0,0,365,0,0,0,0,5,3,65,29,0,0,0,0,0,0,0,0,0,1121,231,554,0,0,0,0,0,0,0,0,0,0,0,0,1569,0,0,0,0,0,0,0
영주,123,112,249,0,305,795,202,2852,55,28,5294,3881,661,0,9875,869,734,1919,3156,191,5456,446,12720,10,21631,3772,5721,0,78145,3061,2017,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,3018,317,479,1072,0,0,247,0,0,0,0,0,0,0,0,0,68792,0,0,0,0,0,0,0,0,3404,4041,1906,0,1035,4699,9813,10333,1274,8133,4654,0,0,0,0,0,0,5314,794,4519,0,2670,0,0,150,0,378,0,0,0,0,0,9888,0,0,0,0,0,0,0
안동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11990,0,0,0,0,275,5402,396,15297,28,19791,4363,14977,79411,0,26669,6513,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,68165,0,0,0,0,0,0,0,0,0,0,0,0,3479,2246,3109,2135,778,4398,2836,0,0,0,0,0,0,9993,1673,8411,0,6584,0,0,0,0,386,0,0,0,0,0,14367,0,0,0,0,0,0,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11239,0,0,0,0,0,398,28,483,8,529,359,259,2948,26360,0,3954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960,0,0,0,0,0,0,0,0,0,0,0,0,225,75,331,300,206,883,698,0,0,0,0,0,0,4548,612,4891,0,2578,0,0,0,0,0,0,0,0,0,0,4986,0,0,0,0,0,0,0
영천,18,16,41,0,7,0,0,19,0,0,9,43,0,0,249440,0,0,0,0,0,353,8,1182,19,746,600,386,1877,5628,4230,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,452,251,240,399,61,305,520,0,0,0,0,0,0,12769,3921,35632,153,7939,0,0,0,0,0,0,0,0,0,0,37675,2302,0,0,0,0,0,0
계룡,124090,30912,23296,5939,18398,6731,4423,14541,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,14207,20062,2139,2505,2400,3453,735,273,2287,6223,210,603,625,1809,1715,1316,0,0,0,0,0,0,3,28,123,396,139,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,36,7465,0,46,0,0,0,0,0,0
논산,105359,74880,68292,17162,49531,21498,19318,279369,0,0,0,0,0,0,0,0,0,0,87,0,0,0,53,0,0,0,0,0,0,0,0,13399,0,59903,7284,7142,3608,12954,1862,834,7384,27552,918,3065,2082,8272,7054,2318,0,0,0,0,680,720,81,148,306,1067,351,815,0,0,0,0,0,824,0,0,0,0,0,0,0,0,0,11416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,80,11173,0,61,0,0,0,0,0,0
익산,617734,184109,95589,26498,88039,19187,15098,218162,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,18771,60609,0,45595,120914,26675,156580,18893,3323,68095,161080,15656,45681,21971,73286,60636,71261,0,0,0,0,0,0,6961,12321,30116,82270,38938,31819,0,24964,0,572,0,330,0,0,0,293,373,0,213,172,17,34173,0,0,0,0,0,242,816,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,389,0,0,792,398,101409,0,16146,11337,2096,478,921,0,142
김제,33250,31025,29800,6309,8998,4938,2476,24957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,7012,49377,0,21761,4644,14869,1920,792,6577,0,0,0,0,163,0,0,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,17414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,87,1511,0,0,0,0,0,0,0,0
정읍,180998,63336,32491,6735,21844,4226,2507,35900,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,389,0,0,0,0,0,0,2136,6796,116537,21041,0,14590,38050,4038,845,16496,0,0,0,0,348,0,12547,0,0,0,0,0,0,0,0,0,0,0,0,0,7769,0,658,0,597,0,0,3,13,109,0,0,0,0,11141,0,0,0,0,0,17,9,0,0,389,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,208,167,32833,0,5069,2861,476,58,315,0,34
장성,19366,13309,15112,2693,3799,2843,1145,11733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131,3658,28998,5027,14122,0,7845,1539,777,7102,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,313,116,25,0,0,0,0,0,0,0,4027,0,0,0,0,0,8,22,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,175,175,3681,0,0,0,0,0,0,0,0
광주송정,1448195,349860,26934,7534,107728,5730,3850,27619,0,0,0,0,0,0,0,0,58,439,35,168,0,0,0,0,0,0,0,0,0,0,0,3857,12566,150124,16241,39192,8771,0,7385,19786,177599,0,0,0,0,3324,0,88997,0,0,0,0,0,0,0,0,0,0,0,0,0,47946,0,96,0,0,0,0,0,146,0,0,0,0,0,1783,0,0,0,0,0,92,426,0,0,0,0,0,393,461,0,0,0,0,55,120,82,82,131,206,133,7279,1147,250416,0,32201,39374,6083,1264,3158,0,208
나주,193806,49410,13001,2508,11548,1251,1031,9392,0,0,0,0,0,0,0,0,16,45,10,0,0,0,0,0,0,0,0,0,0,0,0,661,1913,18915,2097,4431,1846,6705,0,1960,35145,0,0,0,0,686,0,14254,0,0,0,0,0,0,0,0,0,0,0,0,0,6432,0,0,114,344,132,53,0,0,336,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,30,135,0,0,0,0,23,68,50,13,81,35,59,233,287,29147,0,3123,4713,487,60,194,0,7
함평,7279,6340,6121,1041,1442,651,458,3128,0,0,0,0,0,0,0,0,2,25,18,0,0,0,0,0,0,0,0,0,0,0,0,254,778,3294,833,964,897,20214,1631,0,5979,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,7,35,20,11,17,7,7,51,88,0,0,0,0,0,0,0,0,0
목포,380674,99808,22155,7527,38895,3630,2888,31067,0,0,0,858,0,0,338,0,16,170,41,466,0,0,303,0,0,0,0,0,0,0,32,1974,6984,67782,6490,16231,7472,184624,36089,7436,0,0,0,0,0,537,0,30909,0,0,0,0,0,0,0,0,0,0,0,0,0,15531,0,66,0,0,0,0,0,243,69,0,0,0,0,8409,0,0,0,0,0,0,99,0,0,0,0,0,237,514,0,62,0,7,95,275,311,62,261,122,52,358,858,73990,21,12901,9288,1207,205,432,0,37
전주,423076,139353,86679,15061,35277,14911,7758,51064,0,0,0,0,0,0,201,11,36,107,39,325,389,0,0,0,885,0,0,355,34,0,0,5499,26750,164426,0,0,0,0,0,0,0,0,21253,84901,33811,135786,117268,18739,0,0,0,0,0,0,0,0,0,0,0,0,0,14342,0,1069,0,0,0,0,269,388,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,414,0,0,389,0,0,0,432,0,0,0,0,0,0,0,58894,0,7060,0,0,0,0,0,0
임실,6034,7334,5720,977,1439,939,806,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,2854,14968,0,0,0,0,0,0,0,21187,0,799,1144,4973,4674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남원,72823,26975,15601,2772,7937,2028,992,13004,0,0,0,0,0,0,0,0,0,12,330,714,165,0,0,0,223,0,0,0,0,0,0,566,2970,44872,0,0,0,0,0,0,0,83537,841,0,4196,27741,24678,2374,0,0,0,0,286,1105,0,0,0,0,0,0,0,4553,0,2443,0,810,24,0,0,128,782,0,0,0,0,0,0,0,0,1,11,143,17,0,9,131,1,142,224,352,0,0,0,0,0,0,24,0,0,0,0,0,0,12363,0,1603,0,0,0,0,0,0
구례구,38631,18553,13955,2382,4525,2364,976,9491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,1683,21517,0,0,0,0,0,0,0,34028,1228,3926,0,39928,27601,1100,103,34,268,0,0,0,0,0,0,0,0,0,300,1040,0,0,0,0,0,0,0,120,178,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,3915,0,521,0,0,0,0,0,0
순천,327893,93624,36406,9772,32750,5877,3482,44334,0,0,0,0,0,0,0,560,1714,5405,4942,0,0,0,0,0,0,0,0,0,0,0,0,1442,7377,73666,84,199,128,3052,578,213,486,133912,5213,29539,41709,0,103105,15714,0,0,0,0,0,236,0,0,0,0,0,0,454,10227,0,360,0,0,0,0,18,265,481,0,0,0,0,1920,0,0,0,0,0,0,1054,0,0,0,0,0,0,9934,136,221,2,0,1765,9141,7062,1176,9047,7725,3567,18795,3399,55867,293,5782,0,0,0,0,0,0
여수엑스포,300496,87606,34385,8167,29972,5608,3457,42506,504,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,1420,6402,60503,0,0,0,0,0,0,0,114354,4881,24882,29090,110650,0,18569,390,0,0,0,0,0,0,0,0,0,0,0,0,9005,0,377,0,0,0,0,0,8,17,0,0,0,0,700,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57817,0,5733,0,0,0,0,0,0
청주,1254672,260118,8004,2183,48182,28442,13706,142532,978,765,658,10393,273,0,139887,1837,4589,6451,175573,0,0,0,55,0,111008,3635,1200,3309,0,0,0,873,1937,67757,0,10638,0,83625,13900,0,30057,22996,0,3043,1378,18314,21066,0,20351,18049,140751,0,0,0,0,0,0,0,996,0,0,36333,0,0,0,0,0,0,0,0,22,0,0,0,0,0,85,39,988,534,0,588,724,117,0,0,0,67,745,0,0,11196,0,0,1938,12493,5162,0,1392,0,0,0,0,217985,53868,48292,0,0,0,0,0,0
증평,1494,1886,1139,877,1455,17972,2674,18107,127,118,129,190,51,0,608,0,0,0,0,0,0,0,8,0,17577,190,103,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,390,21570,0,1609,19009,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,223,8,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
음성,430,590,407,410,1358,7298,1903,20117,229,112,71,197,57,0,306,0,0,0,0,0,0,0,0,0,13905,236,87,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,19080,1470,0,2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충주,2610,1556,1693,1010,4511,23482,8691,62521,401,526,405,457,99,0,469,0,0,0,0,0,0,0,0,0,64742,1106,574,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,110155,18417,2312,0,0,0,0,0,0,0,0,226,0,0,0,0,445,650,0,0,0,0,0,592,0,0,0,0,0,21,1,96,139,0,0,1091,0,0,0,0,0,0,549,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부천,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부평,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,1231,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,547,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,247,154,0,0,0,720,0,0,0,0,0,0,0,0,0,310,795,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,319,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,118015,132247,84838,27331,41585,0,0,9,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,121,0,0,0,0,0,0,2,52,7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44984,74453,38779,12753,10799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예산,84054,97861,67370,20388,166751,0,0,59,0,0,378,0,0,0,0,0,0,0,103,0,0,0,0,0,86,0,0,0,0,0,0,14,222,14718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37679,0,31639,25045,10546,7731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홍성,119444,137526,90256,26076,200762,0,0,451,0,0,8,0,0,0,0,0,0,0,121,0,0,0,0,0,178,0,0,0,0,0,0,80,488,31595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77548,31093,0,46502,14525,8796,0,0,0,230,648,0,0,0,0,31,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대천,92467,87207,82419,24383,135274,0,0,3026,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,245,662,84044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,38900,22201,46062,0,19831,18717,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장항,43903,38942,29690,5430,24557,0,0,2711,0,0,0,0,0,0,584,0,0,0,0,303,0,0,0,0,120,0,0,0,0,0,0,152,212,39821,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,226,0,0,0,11824,10319,14614,20758,0,1790,303,390,0,296,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
군산,30983,26402,34404,9191,23281,0,0,3955,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,333,875,33608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9607,5557,9116,18789,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,388,398,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,454,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
능곡,9609,0,0,0,55672,0,0,79277,0,394,0,8048,0,0,92875,42,1660,4592,95426,0,0,0,0,0,303,0,0,0,0,0,0,206,520,27619,0,6898,0,52755,5326,0,12604,12661,0,4506,847,9077,8011,33801,0,0,0,0,0,0,0,0,0,0,390,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599,0,0,0,0,0,0,0,0,0,0,0,0,7377,0,0,30,3656,2371,0,0,0,0,0,0,6897,23370,13649,0,0,0,0,0,0
문산,12002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,8,0,0,0,4,0,0,93,244,3671,0,0,136,0,148,0,220,0,0,280,369184,58918,688243,4790,185131,40643,58645,64271,65464,3598,923,0,0,572,893,658,0,90,6,0,66,1069,0,2712,0,97,377,0,0,0,445,0,0,0,0,0,230,0,296,0,0,0,0,0,0,15,6,3735,0,0,4,0,0,0,0,0,0,0,1275,331,20533,16428,73937,11146,266,30050,5064,53682,47775,1833,881,2644,0,0,402,0,0,0,0,0,0,0,0,0,2100,234,0,0,0,0,0,0
광운대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,114,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,346,640,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의정부,52,0,0,0,0,0,0,0,0,150,0,0,123,0,83,0,325,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,824,624,0,303,313,0,344,0,0,0,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동두천,29,0,0,0,0,0,0,0,0,219,0,0,64,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,132,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,209820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신탄리,3931,0,284,0,0,0,0,0,0,42,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479,0,293,280807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금곡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,269,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가평,0,0,4,88,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,13,0,0,0,0,0,0,0,124,296,367,16,0,0,0,298,0,0,0,0,0,31,226,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
춘천,0,0,0,473,108,212,55,677,0,48,0,0,0,0,0,0,47,331,46,0,0,0,0,0,35,0,0,0,0,0,0,0,0,373,0,109,0,146,326,0,312,388,0,317,467,373,9,0,0,0,294,0,595,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오이도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,0,0,0,0,0,0,15753,21903,3690,0,37490,5529,949,5556,12860,0,0,0,0,0,0,0,0,3291,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376,1060,0,2,1,0,7,6,93,563,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0
점촌,0,0,0,0,0,0,0,0,0,0,7082,8307,2080,0,19578,3275,546,4085,8338,0,0,0,0,0,0,0,0,4009,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,0,548,0,2,0,8,2,4,81,1085,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0
예천,0,0,0,0,0,0,0,0,0,0,3447,4482,682,0,7068,1127,404,2357,3570,0,0,0,0,0,0,0,0,1726,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328,708,0,0,0,1,1,4,3,18,72,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주,19064,18792,26087,7293,5277,6066,290,22239,0,0,0,0,0,0,0,0,15,104,18,0,0,0,389,0,0,0,0,0,0,0,0,3119,11015,31498,16887,12252,3242,2490,996,2592,8452,0,0,0,0,2268,700,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,248,0,0,0,0,0,1572,173,0,0,0,0,16,32,429,18,58,170,47,16998,1219,22305,0,0,0,0,0,0,0,0
