,서울,영등포,수원,평택,천안아산,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,김천구미,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,부천,부평,인천,온양온천,예산,홍성,대천,장항,군산,수색,능곡,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,오이도,상주,점촌,예천,광주,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광명,울산,포항,수서,동탄,지제,오송,신경주,공주
광양,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,512,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,51,6,54,0,0,0,0,3574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,44,22,0,0,241,2338,2066,296,1680,1134,0,153,70,0,51,101,0,0,0,0,0,0
보성,5797,4735,3498,627,1123,539,150,1147,0,0,0,0,0,0,0,0,446,788,1795,0,0,0,0,0,0,0,0,0,0,0,0,66,253,792,228,187,138,6798,196,65,234,0,0,0,0,23057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15484,0,0,0,0,0,0,90,0,0,0,0,0,0,678,0,0,0,0,183,600,526,67,700,291,226,0,20694,0,0,488,0,0,0,0,0,0
화순,871,825,778,179,187,219,21,311,0,0,0,0,0,0,0,0,13,130,35,0,0,0,0,0,0,0,0,0,0,0,0,54,90,435,89,189,186,926,321,169,891,0,0,0,0,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,6,46,54,11,34,34,63,8114,0,0,0,0,0,0,0,0,0,0
광명,108642,0,0,0,277456,0,0,476422,0,0,0,74770,0,0,595060,1670,22374,30595,757709,0,0,0,0,0,0,0,0,0,0,0,0,7444,8916,102678,1487,33517,4013,249504,28857,0,76265,60498,0,12264,3986,56304,58914,219617,0,0,0,0,0,0,0,0,0,0,0,0,0,7352,0,0,0,0,0,0,0,0,0,0,0,0,0,24263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86149,0,0,12472,0,51356,269,14682,0,0,0,0,13,313221,132726,0,0,0,0,0,5914
울산,1142276,0,83828,0,162082,14,24,296125,211,0,0,24827,0,366,508895,0,156,2597,268134,0,1123,34,2841,42,4515,3058,2055,9669,13775,5013,32878,0,0,0,0,0,0,0,0,0,21,0,0,0,0,525,0,52141,0,0,0,0,0,0,0,0,0,0,0,0,0,22731,0,5152,0,0,0,0,0,0,0,0,0,0,0,0,1144,725,587,2801,678,703,1455,0,0,0,0,0,0,531706,93218,225826,2883,40795,185,842,277,93,887,529,51,0,0,281827,0,53088,21209,3923,686,1679,96,0
포항,523155,1092,71,0,41542,2,40,171661,0,253,6,11431,0,0,306005,0,1124,695,94392,0,0,0,0,0,0,0,0,0,0,0,1298,46,61,14460,0,4611,0,27978,3662,0,12397,5359,0,1101,608,4812,4258,37028,0,0,0,0,0,0,0,0,0,0,0,0,0,11708,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,397,0,0,0,0,0,0,0,389,0,8790,3149,20654,342,2142,116,3126,2206,58,1514,635,81,488,0,140363,42603,0,0,0,0,0,0,0
수서,0,0,0,0,15276,0,0,31151,0,0,0,0,0,5638,57980,0,0,0,80525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11867,0,2690,0,37664,4131,0,9298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21703,0,0,7572,6149,14445,6389,524
동탄,0,0,0,0,2088,0,0,4025,0,0,0,0,0,966,9261,0,0,0,15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,0,525,0,6298,508,0,1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4264,0,6914,0,326,1741,1363,90
지제,0,0,0,0,108,0,0,824,0,0,0,0,0,158,2961,0,0,0,5776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,52,0,1647,60,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,6204,171,0,316,311,24
오송,0,0,0,0,498,0,0,640,0,0,0,0,0,28,1918,0,0,0,5801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,260,0,2980,358,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,0,16158,1569,458,0,529,13
신경주,0,0,0,0,949,0,0,1986,0,0,0,0,0,76,2255,0,0,0,2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,6619,1079,282,440,0,0
공주,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,12,0,231,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6054,0,0,525,47,14,34,0,0
