,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산
문산,23580,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313,0,29022,0,0,0,0,129,0,0,423,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,400
청량리,517,0,0,0,0,0,0,0,0,0,192,200,0,0,0,0,0,0,0,46,725,389377,57680,604879,5679,206666,42237,69566,71700,79251,3897,783,0,0,0,67,942,0,0,52,0,0,0,0,608,276,144,30,0,0,0,1506,0,0,0,0,0,127,0,0,0,0,0,0,6,0,3343,0,0,0,0,0,0,0,12,33,1698,2817,22649,19317,97578,11582,407,33270,5477,63848,61113,2537,933,2531,0,0,800,0,0,0,0,0,0,0,0,0,0,0,2639
광운대,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,105,72,0,0,0,0,0,0,0,191,0,0,0,0,0,0,3600,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의정부,20,0,0,0,0,0,0,0,0,0,28,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,10,0,0,0,0,0,27,519,0,0,0,0,0,0,0,51,0,67,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,2,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동두천,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,389,0,2,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,3,0,2,46,288401,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신탄리,10715,0,0,136,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,771,249,0,0,0,0,0,0,0,150,0,271,0,92,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,6,0,47,0,129,3390,0,438,342978,53158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
금곡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0
가평,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,392,101,453,52,0,0,0,0,0,0,171,150,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,40,32,12,234,22,0,0,0,0,0
춘천,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,30,53,0,0,0,0,320,6,0,62,0,0,0,175,0,267,0,0,0,0,0,0,432,0,0,0,21,130,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4896,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,777,0
상주,648,0,0,0,0,0,0,0,0,0,0,0,18709,25232,3951,42646,5721,1012,6019,14505,0,0,0,0,0,0,0,0,4012,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,1689,900,0,7,0,5,13,11,68,784,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,133,0,0,0,0,0,0
점촌,260,0,0,0,0,0,0,0,0,0,0,0,10717,13822,2758,24170,3996,614,4271,9059,0,0,0,0,0,0,0,0,4171,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801,0,590,0,7,1,11,0,9,558,525,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,141,0,0,0,0,0,0
예천,0,0,0,0,0,0,0,0,0,0,0,0,4342,5035,1274,7773,1437,379,2665,3811,0,0,0,0,0,0,0,0,2005,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,743,91,0,2,0,1,3,5,29,250,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,114,0,0,0,0,0,0
연무대,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,0,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화,1882,0,0,33,0,0,23,0,0,0,0,0,48,34,3,1136,22,0,51,51,0,0,0,0,0,139,5,4,908,3734,184,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,8,12,5,0,0,235,2645,1092,233,2165,1164,0,0,11,0,29,49,837,182,290,0,65,0,465,0,0,0,0,0,0,0,0,0,0,1043
춘양,12,0,0,16,0,0,20,0,0,0,0,0,21,23,7,1441,6,1,15,20,0,0,0,0,0,77,5,3,5512,2574,115,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,2,1,4,0,370,117,1987,2731,195,1717,881,0,0,0,0,10,23,631,83,231,0,19,0,165,0,0,0,0,0,0,0,0,0,0,661
석포,27185,0,0,334,0,0,416,376,84,748,0,0,1,14,1,1669,8,9,11,711,0,0,0,41,0,1410,58,48,12690,3094,195,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,14,0,13,0,0,0,0,0,0,0,338,0,0,2058,0,0,0,0,0,0,0,5,7,22,0,2507,2915,7165,103823,584,2345,4999,0,0,65,0,2033,661,1307,109,192,0,122,0,172,0,0,0,0,0,0,0,0,0,0,636
철암,1088,0,0,586,0,0,73,0,0,0,0,0,534,84,5,12446,68,33,548,616,10,49,2,198,0,1515,33,199,8629,3594,560,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,45,0,0,8,276,0,0,0,0,0,0,0,0,0,1452,0,0,0,0,0,0,0,23,9,25,0,1186,1464,102320,58,344,4250,5326,0,2,177,6,632,212,2535,951,493,0,0,53,973,0,0,0,0,34,0,0,0,0,0,2055
