,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,0,0,0,11205,175991,529092,304829,1265412,0,125303,258853,208477,1391201,8367,120653,2165411,0,0,0,0,986,53,38,0,0,209385,298636,281629,59709,131615,125201,307632,150794,28455,114348,90385,152427,108865,60695,11862,0,0,0,72335,194473,212213,214742,209187,0,930912,2754699,0,7800,7563,0,0,0,232573,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,43541,34,3425,0,5472,138256,3634,46780,12553,6218,0,0,317372
용산,0,0,0,0,7421,127556,64467,28037,83611,6103,11779,21099,7130,56426,4159,12028,129030,0,560,348,0,0,0,0,0,480,29414,65794,116961,23926,89997,31126,78329,52200,17575,21915,12834,26546,11747,80,30,0,0,0,4956,10689,10070,7781,6732,0,2216,10315,1315,19,2261,550,1710,5275,1712,77,119,0,6,333,0,0,0,0,0,0,0,0,0,0,0,136,48869,757,4270,0,67,2873,34,352,0,0,91,7,80852
영등포,0,0,0,0,31606,324919,379643,182448,447429,6234,53885,93990,55598,209098,1726,22161,213251,0,0,1,0,316,0,0,0,0,100364,127710,119681,23322,33624,39930,77303,47432,13785,32010,26530,42346,22706,31286,7039,79,429,0,68152,149486,124997,79517,95446,0,6659,18986,594,0,25,0,30,2,140,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,160,0,598,20451,174,7898,1853,928,0,0,71967
안양,0,0,0,0,9995,128751,62759,9816,11375,2490,2611,1901,748,3156,304,562,2680,0,0,0,0,0,0,0,0,0,3835,3617,6401,1745,2635,3037,3509,1899,1585,1018,719,1612,363,20,35,0,0,0,14298,30857,21978,9147,12418,0,2480,5425,0,0,0,0,0,0,295,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1136,370,2,0,0,110,0,0,0,0,0,0,3825
수원,20170,6685,26074,8412,5043,264627,153879,120809,257811,1952,20331,42174,24586,148080,742,9983,117312,0,0,0,1,1822,0,0,0,0,42968,68613,43561,6411,20602,13290,26020,25547,4402,9683,5914,17606,9340,17697,6998,241,285,113104,21760,52333,44805,31952,32160,0,575,1058,0,0,0,0,0,22,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,902,0,55,0,277,16897,0,4715,203,1,0,0,37859
평택,222580,161567,355775,127175,253869,92524,125630,28287,63983,2267,4479,7405,4940,25822,344,2898,24587,0,0,0,0,2011,0,0,0,0,7645,12312,10837,1756,9004,5828,7690,2152,1114,1822,1165,5044,1706,7452,3508,15075,22867,0,27972,32935,27958,18613,19790,0,2,1496,0,0,25,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,4,0,0,0,0,0,0,3008
천안,574404,68827,256589,56343,124099,94573,181404,162487,285900,1757,13228,25599,17229,109712,169,6535,127388,0,0,2,9,3084,3,1,0,0,25015,34574,17324,3713,14948,6230,14817,10460,630,4950,2264,8946,7135,4747,7417,2909,3184,240,119747,193326,119304,84374,31370,85309,33,161,0,0,612,0,0,700,0,3,3,4,0,0,0,0,0,0,0,14,0,1,2,0,0,0,914,1,0,0,0,13572,11,2558,4,0,0,0,16146
조치원,262893,34273,190794,10833,105108,28616,184122,339366,620020,4871,14543,16968,21927,70227,395,6631,92895,0,72,45,1869,55033,24,20,0,3,19674,24652,14848,4012,12246,7587,12645,6949,693,4981,1823,11173,7936,74979,43252,932,1152,0,97,670,807,581,333,0,1,175,0,0,836,1,143,378,0,4,7,0,0,22,4,14,0,0,146,13,0,114,106,0,0,3,1,1,2,0,270,9260,17,1829,74,0,0,0,10660
대전,1204287,71688,392733,11101,236128,50010,336003,589136,311675,335106,215850,147152,110776,292914,1473,22480,396159,0,0,187,11,422,423,27,0,208,505492,147445,69102,10202,26840,11072,42090,20095,3104,11220,6739,15371,17083,140,144,446,477,0,491,1404,1984,971,50,2,0,1,0,0,646,0,0,611,0,340,727,116,69,11791,2,17,2,7,4321,0,0,0,8,0,0,82,22369,146,1068,0,459,20832,197,5117,384,0,2,0,22226
옥천,0,7765,11897,3618,3201,3608,2797,4130,363679,319533,97616,14022,7786,13525,569,660,9892,0,0,0,0,12,57,1,1,2,2230,56,20,18,5,0,2,1,0,2,0,0,0,6,7,70,126,0,7,30,11,7,2,0,0,0,0,0,0,0,0,0,0,58,217,6,28,13,0,0,1,3,70,0,0,0,0,0,0,2,22,13,26,0,2,50,1,8,0,0,0,0,0
