0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
영월,2629,0,0,0,0,0,0,20,3,80,0,0,0,0,0,384,0,0,0,0,810,994,84,10573,4,11929,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,126,224,0,0,0,0,426,41,1,4,15,0,0,0,0,0,0,0,0,0,0,19013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
예미,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,148,17,3273,0,3640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
민둥산,7285,293,0,1,0,0,0,12,27,620,0,0,0,415,0,1886,15,21,222,2333,2270,2107,138,23978,33,31243,0,0,259,627,75,0,0,0,91,0,0,0,0,0,0,86,412,0,0,0,171,0,46,7,0,34,0,0,0,0,0,448,0,0,0,0,50029,466,0,0,0,134,28,2,0,0,0,0,0,0,0,134,28,2,0,0,0,0,0,0,0,12475,23,6,174,0,0,0,288,0,7,101,281,0,0,0,228,0,0,5
태백,11025,11975,0,0,0,0,173,147,9,4303,1,125,170,0,0,14,0,0,0,31,960,1533,172,20962,5,16335,0,0,0,0,0,0,0,5,454,0,12,0,0,0,0,659,1,0,0,0,0,1656,200,37,14,47,105,161,90,387,0,0,0,0,0,0,52334,194,0,0,0,225,39,2,0,126,38,0,0,0,0,225,39,2,0,126,38,0,0,0,0,13,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,1426
부전,7153,3866,0,6502,767,0,2056,693,156,4105,319,1182,2789,8405,853,38025,9125,25198,25800,46,13,1512,65,3342,26,4212,2747,1583,5843,11302,6096,8830,0,0,0,3,475,0,163,91,106,1239,0,246,258,0,3405,15,0,0,0,0,87,0,0,0,0,0,0,0,0,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,1413,926,0,0,0,0,0,0,0,0,1413,926,0,12984,117194,296525,101030,1422,9987,0,2713,14181,5053,5111,3597,12681,3532,607,2384,275,172
좌천,1729,1125,0,2172,247,0,678,70,0,1184,9,115,575,1594,44,16358,0,0,0,4524,13,136,0,268,3,471,347,384,786,1588,564,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,157,90,0,0,0,0,0,0,0,0,157,90,0,117590,6959,38696,20495,325,3365,0,1060,0,0,1,0,711,76,0,0,0,0
울산,26704,15923,0,27051,3034,0,7803,969,0,13407,66,1910,6309,10621,294,118267,0,0,2,0,11,616,15,2589,15,3596,2378,1970,8148,11980,5516,18006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004,0,0,0,0,0,0,0,0,0,0,0,0,1327,762,0,0,0,0,0,0,0,0,1327,762,0,302873,39709,3744,96728,1730,6841,0,11515,0,0,0,0,743,606,0,0,0,0
경주,33018,13490,0,16554,1040,0,4279,377,0,10596,37,308,3132,4622,110,133056,0,0,0,0,7,299,4,682,21,1634,1385,653,4129,9034,3419,23370,0,94,0,0,504,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,1258,0,0,0,0,0,0,0,0,0,0,0,0,507,305,0,0,0,0,0,0,0,0,507,305,0,91209,19444,91684,433,939,29681,0,13649,0,0,165,0,352,0,0,0,0,0
안강,1153,615,0,939,137,0,215,2,0,501,0,1,84,240,0,18919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,278,1334,1983,0,5069,0,968,0,0,90,0,0,0,0,0,0,0
포항,9290,5508,0,8774,988,0,1973,13,0,3029,22,15,1546,2011,0,152725,0,0,367,2,0,0,0,512,432,440,757,36,953,301,0,13347,0,63,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,169,34,320,0,0,0,0,0,0,0,0,167,134,37,1440,0,0,0,0,0,0,0,0,23,49,0,0,0,0,0,0,0,0,23,49,0,7738,3041,6006,29850,5504,70,768,19006,0,0,100,0,0,864,0,0,0,0
진해,6975,422,0,465,91,0,19,0,0,84,0,0,12,0,0,28670,5354,25513,0,0,30,276,4,0,0,462,458,0,4,0,0,0,504,0,0,0,0,0,65,0,335,0,0,0,0,311,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,1381,297,19,0,17,0,474,0,0,0,0,0,0,0,17,0,474,0,0,0,0,0,0,0,115,0,0,0,0,0,768,318,0,709,4734,255,0,0,99,0,415,0,803
하양,1702,1011,0,2112,221,0,496,5,0,1247,0,63,3006,4667,178,52746,0,0,0,0,0,0,0,0,0,0,0,0,1877,4922,4008,1651,0,0,0,0,35,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,201,0,0,0,0,0,0,0,0,551,201,0,2868,897,11039,14596,891,20106,0,0,0,0,0,0,360,0,0,0,0,0
진영,3299,2005,0,3359,357,0,938,458,183,1636,33,135,630,2030,212,41755,9054,28749,9698,2870,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,25,15,15,234,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14498,0,0,0,0,0,795,0,298,3830,6522,1784,5065,1105,219,143,11,38
창원,11225,6889,0,13480,1646,0,2621,1678,930,3788,235,918,3128,5634,797,159362,40015,168891,8890,1084,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,38,24,20,475,0,0,0,0,1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6479,0,0,0,0,0,5520,0,3596,137,441,6102,15969,6419,1091,1129,32,37
마산,12848,8257,0,12174,3875,0,2796,1461,597,3508,158,1142,2858,3366,612,60866,28484,95148,7945,877,0,0,0,0,0,0,0,140,1,0,0,8,0,0,0,0,0,0,143,57,29,793,0,0,0,0,3894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6657,1,0,165,90,100,0,0,7140,525,277,14172,31654,8548,1185,1558,60,69
함안,1257,722,0,841,132,0,200,88,30,188,65,15,88,197,85,1282,418,1190,2153,820,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,20,9,9,211,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3377,0,0,0,0,0,0,0,1871,6434,16179,2138,16491,1132,400,155,39,35
진주,1016,614,0,565,227,0,248,58,11,83,13,49,390,499,284,1234,1410,3659,6552,2055,0,0,0,0,0,0,0,40,393,412,505,0,0,0,0,0,360,0,405,114,110,1288,0,0,0,0,9456,0,0,0,0,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,0,0,57,58,170,0,165,140,0,0,0,0,57,58,170,0,165,140,0,11749,708,746,352,0,0,0,360,4381,15829,31576,15654,15056,40453,4326,1413,401,495
하동,82,68,0,85,31,0,126,7,3,24,0,33,18,58,14,195,229,273,1429,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,36,24,247,0,0,0,0,6686,0,0,0,0,0,30,93,0,85,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2923,76,606,0,0,432,99,0,859,5941,8137,967,40719,3168,1072,404,41,176
광양,4,4,0,1,0,0,1,4,0,0,0,11,117,119,105,31,98,129,264,84,0,0,0,0,0,0,0,2,161,0,0,0,0,0,0,0,0,0,122,164,66,302,0,0,0,1,2705,0,0,0,0,0,0,0,0,259,215,0,0,0,0,0,0,0,0,0,0,0,0,700,0,97,98,118,0,0,0,0,0,700,0,97,98,118,0,0,0,0,543,0,0,0,0,0,0,0,213,908,1051,331,4178,1209,133,712,341,84
보성,11070,9778,0,5893,896,0,1299,460,176,1463,0,0,0,0,0,0,0,75,417,301,0,0,0,0,0,0,0,0,0,0,0,0,92,894,1132,425,391,244,12899,1011,313,1467,0,0,0,0,22770,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0,0,0,108,723,379,90,651,371,813,11340,21167,28367
화순,1707,1586,0,1031,173,0,253,140,50,273,0,0,0,0,0,0,0,14,111,83,0,0,0,0,0,0,0,0,0,0,0,0,36,164,318,189,116,168,1230,836,467,3987,0,0,0,0,3828,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,23,37,38,30,410,44,191,18533,215,1229
광주,525974,41932,98314,43343,8857,12702,10426,10280,797,60417,0,202,0,0,0,0,0,7,39,11,0,0,0,0,0,28,0,0,0,0,0,0,5259,18368,66914,19656,14417,5599,500,1612,5636,37130,0,0,0,0,2034,1146,4,0,0,3,0,0,0,0,0,0,0,6879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,155,0,0,0,0,0,802,0,40,15,29,30,465,143,89,30934,1705,187
