0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
온양온천,105353,122043,0,67067,12154,0,44692,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,243,5,162,5977,0,86,0,0,0,0,21,0,0,0,0,41,71,0,0,0,0,3536,48374,70590,42328,13409,10632,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,105,87,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
예산,83195,92662,0,56861,17291,0,154673,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,176,55,551,11276,0,149,0,0,0,0,0,0,0,0,0,122,257,0,0,0,0,38983,8581,32472,29767,9967,8104,0,0,0,0,0,0,1,0,0,0,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0
홍성,119075,117428,0,77632,19992,0,165759,424,0,3719,0,129,140,113,103,0,0,0,0,0,0,1,2,74,0,0,213,79,333,0,0,375,314,2024,21916,0,135,0,0,0,0,248,0,0,0,0,594,656,0,0,0,0,62745,29912,1936,41229,11183,7968,0,0,0,0,116,180,0,0,0,356,243,539,0,0,0,0,0,0,0,356,243,539,0,0,0,0,0,0,0,90,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0
대천,106795,92011,0,80243,19037,0,109574,0,0,24172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,844,3372,47598,0,0,0,0,0,0,292,0,0,0,38,289,24,0,0,0,0,34517,21624,38433,3464,17695,13124,0,0,0,0,16,140,0,0,0,143,57,18,0,0,0,0,0,0,0,143,57,18,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,85,259,0,0,0
장항,52194,46526,0,31328,4785,0,22327,0,0,23983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,1305,2325,28076,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,11349,8902,12256,17441,492,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0
군산,23876,23233,0,22192,4169,0,16604,0,0,10815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,1436,3784,17270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,9065,6708,8429,11981,1302,40,0,0,0,0,0,235,109,392,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,102,0,0,0,0
수색,13763,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,12058,22927,130351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
능곡,179371,0,737,0,0,11886,0,0,72,43395,0,0,0,0,0,52091,0,430,8128,51211,0,0,0,0,0,0,58,0,0,0,0,0,326,2213,7597,830,3333,900,6588,955,15,6402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5911,1399,13997,79390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5702
일산,238931,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,930,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12294,10411,2977,129625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산,820231,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26076,20855,39731,195145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,366,2,0,0,0,0,0,0,192,0,0,432,0,0,0,93,0,0,0,0,357,479337,37495,250695,3744,100661,19648,42419,41630,40954,2078,241,0,0,0,0,0,363,0,0,326,122,0,103,0,140,0,10,0,0,0,432,0,0,116,0,0,0,0,0,0,0,0,2170,0,0,0,40690,578350,716191,0,0,0,0,0,76,0,40690,578350,716191,0,0,0,0,0,76,0,54241,1111,402,1160,683,0,0,324,0,0,0,0,0,0,0,0,0,0,0
성북,10,0,0,0,0,0,0,72,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,864,0,278,0,0,0,144,0,3688,0,0,329,967,0,0,0,213,249,0,118,234,0,158,0,0,0,0,0,0,180,156,0,235,0,0,0,0,720,85,0,0,0,21144,148581,331624,0,0,0,0,0,0,0,21144,148581,331624,0,0,0,0,0,0,0,194,0,0,0,0,0,167,1379,0,0,0,0,0,0,0,0,0,0,0
