0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
도계,0,0,0,0,0,0,0,29,167,0,0,0,0,7169,0,0,28,0,473,7192,0,5623,7637,2707,663,636,0,0,0,0,0,0,0,0,0,24,0,0,0,73,36,0,0,0,0,0,0,0,0,0,0,38532,0,0,0,0,0,0,0,0,0,0,0,2734,4582,32564,51589,35889,635,2124,340,1541,2055,76,1475,462,0,0,0,0,0,0,0,0,0,0,0
동해,0,0,0,493,216,0,105,371,1943,0,0,0,0,13411,0,0,135,0,1789,7083,0,27804,30271,8369,1569,2061,0,0,0,0,0,0,126,0,0,629,0,0,0,2338,754,0,0,0,390,102,0,0,0,458,0,107547,51,315,105,0,0,0,260,351,0,0,0,6413,29863,50833,113,73254,3625,8480,1417,18358,3876,145,2780,786,0,0,0,0,0,0,0,0,0,0,0
강릉,0,0,0,0,0,0,0,568,3837,0,17,956,0,29954,0,0,676,0,877,2266,0,13864,42118,11480,2102,3195,0,1080,0,360,0,0,264,370,0,0,0,0,0,2200,904,360,0,0,0,0,0,0,0,360,0,94615,0,0,0,0,0,0,476,271,0,0,0,6053,46988,34380,72726,24161,844,2361,1088,20083,8255,308,4771,1914,360,743,0,402,0,0,0,0,0,0,0
정선,52,0,0,0,0,0,0,15,104,0,0,0,0,0,0,0,0,95,1616,14259,24,22138,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,49,36,1476,0,0,0,0,0,0,0,151,138,41520,0,0,0,0,0,0,0,0,0,0,0,0,703,370,2520,1106,198131,8629,3898,9603,0,0,0,472,597,0,0,0,0,0,0,0,0,0,0
쌍룡,0,533,1,580,0,0,0,77,1548,170,176,0,580,433,0,0,0,110,2179,19418,27,24785,0,0,0,0,411,0,0,0,677,177,207,0,0,0,0,0,0,621,88,0,0,0,0,0,0,0,0,0,0,76400,0,0,0,0,0,0,0,0,0,0,0,0,1376,1781,7405,3256,11394,10750,7059,26656,0,0,396,0,0,0,0,0,0,0,0,0,0,0,581
석항,0,0,0,0,0,0,0,19,76,0,0,0,0,246,0,0,83,7,713,8885,22,12023,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,44,19,0,0,0,0,0,0,0,0,0,0,19304,0,0,0,0,0,0,0,0,0,0,0,0,1070,299,1263,1510,4007,3037,307,10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고한,0,1512,0,0,0,0,0,216,1176,0,0,0,0,168,0,0,363,84,5326,82845,40,67009,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,538,224,0,0,0,0,0,0,0,0,0,0,214520,0,0,0,0,0,0,0,0,0,0,0,0,5732,1323,19977,25925,9930,31744,10117,49351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184
부전,15038,0,3625,0,73,0,355,6,3754,0,266,27,842,6206,0,0,318499,13,2226,16719,234,34117,47745,39548,10584,8811,0,0,2059,0,0,0,0,0,0,0,1425,605,629,0,0,0,0,0,0,0,0,0,0,1039,630,1672,0,2676,0,0,0,0,490,0,1,0,0,7470,13027,2138,3998,10425,0,0,0,1,58289,416115,201739,75195,12957,0,0,0,0,0,268,0,0,0,0
좌천,232,0,82,0,100,0,32,18,79,0,2,372,87,1959,0,0,96934,389,107,1040,31,2324,2083,2957,958,3652,0,0,21,0,0,0,0,60,0,0,105,1340,85,0,0,0,0,0,0,0,0,0,0,60,86,1475,0,77,0,0,0,0,0,326,0,0,0,210,683,61,194,468,0,0,0,0,403495,64291,82420,22878,6534,0,0,0,0,0,40,0,0,0,0
울산,115447,0,4523,0,13425,0,7047,863,19088,0,1220,1081,8397,14938,0,0,42794,6,1442,17785,355,24241,40719,42563,11071,14132,0,0,546,0,0,0,0,230,0,0,0,140,0,1,8,0,0,0,0,0,216,0,0,277,95,14738,0,60,0,0,0,0,0,190,0,0,0,5210,8521,1380,2588,4752,1,403,0,0,141246,54461,4832,139070,15225,0,0,0,0,0,60,0,0,0,0
경주,388771,2232,6195,7978,17746,0,5833,509,20430,0,149,1987,7442,31253,0,0,16326,5,746,8224,115,10317,23575,22695,9733,21060,30,0,38,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633,102,8866,0,352,0,159,247,0,0,0,395,0,0,1438,2806,401,751,2438,472,0,0,1008,81346,19423,155197,22472,111948,0,0,0,0,509,0,0,0,0,0
포항,51239,0,0,0,8682,0,3177,0,9568,0,0,2339,3610,25299,0,0,5844,0,0,480,0,535,2,0,0,4004,360,0,599,0,0,0,0,0,0,0,0,535,0,0,0,648,0,0,0,0,0,0,0,533,0,576,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,720,597,0,0,0,13152,6247,15766,84586,1444399,720,0,0,0,0,0,0,0,0,0
진해,6203,72,2511,0,675,700,40,492,958,0,335,27,0,2856,162,765,3560,0,0,0,0,0,0,0,0,0,701,0,0,502,0,293,0,0,0,0,749,0,0,653,540,0,0,0,0,292,279,0,0,581,0,554,936,0,0,0,0,0,286,313,0,0,0,0,0,0,0,743,0,0,0,0,0,0,0,0,1080,156043,5,146613,0,0,0,0,0,70,837
진영,14203,0,3696,0,3426,384,1199,653,4640,55,287,898,2019,18113,2516,20127,89238,0,0,0,0,0,0,0,0,0,0,0,0,0,21,127,337,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,7819,66918,2975,5061,1146,173,268,24,336
마산,238443,299,60039,0,63598,5435,21962,8958,56159,1053,5526,16995,23695,157682,37118,87871,172819,0,0,0,0,0,1391,697,0,0,0,624,559,479,359,581,7903,0,0,0,0,4099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,288,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,60734,78085,1605,127692,65137,16787,1981,1938,484,5217
군북,7987,0,2223,0,2074,176,438,402,1712,11,166,389,905,5209,1016,3160,18790,0,0,0,0,0,0,0,0,0,2,12,0,0,18,22,332,3,0,9,39,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2959,132102,7264,41262,1368,206,209,6,248
진주,50134,0,13735,0,24988,3835,5328,5489,12566,672,926,2726,7908,11849,5176,14478,27243,720,0,0,0,0,0,1302,0,0,1407,2545,0,0,210,859,4595,2431,221,437,463,9885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,4932,48643,37260,69293,127000,7523,1972,262,4132
하동,9181,0,2537,0,1656,172,250,201,458,0,0,2,632,532,1,805,10180,0,0,0,0,0,0,0,0,0,115,642,0,0,56,68,571,206,8,104,45,8283,2446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,40,60,0,0,360,1213,16407,1338,114986,17613,9218,945,21,776
광양,8486,0,3502,0,1836,295,219,170,404,0,1,3,3,124,7,393,3968,0,0,0,0,0,0,0,0,0,160,313,522,0,185,127,1807,500,76,2085,142,14491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,2089,310,6696,8672,11479,2908,622,2024
보성,35120,193,14468,0,7915,0,1920,1145,3586,0,0,0,0,432,0,835,11696,0,0,0,0,0,0,0,0,0,2554,4508,2663,614,2272,1685,1803,0,0,0,1375,75192,4644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,2237,193,1387,816,2079,164129,33746,248017
화순,1816,158,1311,0,566,0,131,44,192,0,0,0,69,0,0,49,1489,0,0,0,0,0,0,0,0,0,114,125,136,26,125,304,1490,0,0,0,0,5731,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,27,511,8,259,50,196,13323,4021,18155
광주,391330,886,120671,0,75398,12192,29081,11842,41695,0,0,0,568,0,0,632,33043,0,0,20,0,0,0,0,0,0,26982,55277,39364,3555,9891,19503,174726,0,0,0,0,36586,2524,0,0,0,0,0,0,0,0,0,0,605,0,0,0,472,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,581,0,184,0,0,0,216,0,605,325,6265,175,3506,862,1799,288497,33592,56270
