0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
안동,1409,2351,1103,0,3022,1031,1340,0,0,0,0,0,0,108689,0,0,2375,124,4518,29283,208,58952,112055,30669,35273,29300,0,651,450,0,0,0,0,511,0,0,0,0,0,1971,1948,0,0,0,126,183,225,0,0,270,0,300189,0,429,0,0,0,0,0,0,0,0,0,3988,17535,2402,8019,11510,0,0,0,0,38289,2477,43074,25536,7,0,0,697,0,598,0,0,0,0,0
의성,0,1698,0,0,0,0,0,0,0,0,0,0,0,48676,0,0,112,12,227,1204,18,3960,9693,43299,11222,20784,0,0,508,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,16590,0,0,0,0,0,0,0,0,0,0,0,672,2179,469,1357,2090,0,0,1,0,8953,668,9331,9862,0,0,0,0,0,0,0,0,0,0,0
영천,31785,936,794,0,4185,0,1081,52,5869,0,45,823,3325,55420,0,144,364,738,446,2521,29,5972,19565,28072,27725,14362,488,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,407,0,0,770,222,2214,0,1080,720,432,720,0,0,0,0,0,0,2005,3227,437,1517,2365,0,0,0,48,8060,2716,12274,27187,2621,0,0,0,0,0,0,0,0,0,0
논산,269384,9629,164255,1574,99258,17918,27401,26435,162441,0,0,0,0,6696,3600,5400,8784,0,0,62,0,199,0,0,0,488,12944,43478,21680,18956,19720,4023,17466,7757,959,4795,3157,13614,9744,0,2376,0,0,0,0,0,323,0,0,1258,0,1368,10982,6048,360,0,22392,0,0,0,293,0,4724,0,0,0,0,0,0,411,0,0,0,0,0,30,0,342,0,0,0,623,42,372,1149,86,25732
익산,510811,2204,170834,2224,127489,26764,38106,25609,116063,0,0,0,0,0,0,0,0,0,0,0,0,0,66,651,0,0,45564,66925,174533,26091,26122,11179,59645,128990,5787,43172,12502,53353,46983,0,0,0,1145,0,0,0,0,0,0,0,0,0,144,2133,0,0,377,0,0,0,0,0,336798,0,525,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,619,0,2632,606,213,2948,149,49955
정읍,369944,808,164338,3503,110816,14532,24507,14934,50336,0,131,875,0,544,593,0,3385,0,0,0,0,1164,1040,450,508,109,27739,162063,67141,21527,18989,10372,38469,0,0,0,0,2691,350,1440,621,66,1082,272,0,0,0,0,0,367,510,1091,62,124,303,0,0,0,260,401,0,0,1357,0,0,0,0,0,128,0,223,262,2059,21,462,38,599,0,0,559,0,0,522,0,1963,85,30717
장성,96205,6620,30104,619,18182,2070,5203,5188,14138,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,7715,27523,21878,7515,8480,2904,14240,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,432,648,2664,0,0,1008,0,0,0,0,0,322,0,0,0,0,360,0,0,0,0,0,0,0,0,0,502,0,479,0,0,0,0,527,14,1621
송정리,130833,4867,31359,1039,18856,5520,6751,4001,13740,0,0,0,0,0,0,126,2565,0,0,156,0,0,0,0,0,0,10134,22725,20663,8233,615,15024,123618,0,0,0,0,1194,175,123,0,0,0,0,0,0,0,0,0,1801,0,0,72,1296,0,0,72,0,0,0,0,0,1,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,29,521,17,206,552,202,2906,350,2798
영산포,94070,268,35646,1354,20400,3726,6118,3049,8684,475,0,0,0,1,0,90,3275,0,0,0,0,0,0,0,0,0,7905,12156,10689,2942,17214,39,37545,0,0,0,0,956,284,31,0,0,0,0,464,89,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,72,788,22,719,46,146,1156,343,21325
목포,344422,847,123286,2649,79320,9348,18987,12538,44567,49,41,342,0,0,0,552,28355,0,0,0,0,0,0,0,0,0,22892,64387,41667,15374,126633,31001,160308,1131,0,0,0,5052,835,672,460,1800,0,0,370,133,0,360,0,0,0,758,643,0,0,0,0,0,2585,634,0,0,527,0,0,0,126,264,0,207,0,0,0,0,0,0,0,0,306,6960,295,3107,428,1378,1875,875,158167
전주,224493,0,101903,310,61419,12789,19542,8303,26560,0,0,0,0,0,0,0,504,1,33,0,0,0,0,511,0,0,8582,170472,0,144,0,0,1131,18672,3462,21079,11830,70408,72985,0,288,0,0,0,0,0,0,0,0,312,0,152,319,649,140,0,0,0,0,0,0,0,32807,0,0,0,0,370,0,0,0,0,0,60,230,310,0,0,0,0,0,2469,235,386,0,0,0
임실,30651,0,17462,16,7795,1284,1353,766,2486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,6750,0,0,0,0,0,3606,175,1380,396,4427,3729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,7,14,0,0,0
남원,129159,0,56699,787,33330,6293,8330,5195,16677,0,259,366,0,0,0,216,713,0,0,0,66,600,0,0,0,0,6803,38936,0,0,0,0,0,24806,1168,5204,2892,28642,32662,612,0,0,757,0,0,72,189,0,0,671,0,1615,739,260,0,0,0,0,0,434,0,0,0,0,0,24,629,0,0,0,0,0,502,0,0,1008,0,0,3,144,0,208,105,102,0,0,0
구례구,103528,0,37697,690,17876,2590,5245,2740,9252,0,0,0,0,0,0,0,2694,51,0,0,0,0,0,0,0,0,5291,11381,0,0,0,0,0,9679,533,2678,845,20672,20320,0,0,0,0,0,387,61,0,0,0,634,0,120,317,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,105,0,0,0,389,0,4,0,281,51,40,1375,0,0
순천,212144,0,75754,929,56338,8739,15475,11464,34747,0,0,0,2230,957,0,750,14072,0,0,0,0,0,0,0,0,0,19205,54505,2095,482,756,843,4743,71980,4443,33194,22168,11369,44801,0,223,0,0,0,378,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,1340,140,288,535,0,165,4024,401,7526,7364,9588,78932,5353,27980
여수,148554,611,46394,963,35729,4700,11481,10353,30927,0,0,0,0,0,0,0,4738,61,41,0,0,0,0,0,0,0,14169,49743,350,0,64,284,725,73993,3988,35323,27555,49150,2235,584,720,0,0,0,0,0,0,0,0,0,0,635,588,187,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,629,85,0,0,0,0,2,1,0,2,3440,0,6605,2002,2049
청주,12281,0,15891,0,5519,675,2186,18508,17165,0,0,0,54,360,0,0,651,0,1,0,1246,270075,8230,2990,0,0,0,0,1440,0,51,31,1250,0,0,612,0,0,659,16605,53761,1760,0,0,0,0,0,0,0,720,0,41,0,31,0,0,720,0,0,0,0,0,0,0,26,64,1912,2003,52,597,31,383,0,0,0,177,201,653,0,0,0,0,0,0,0,0,0
충주,24299,713,7635,0,4226,1636,6606,46307,70722,0,0,0,0,0,0,0,2076,0,0,0,1968,125411,4633,3215,417,0,0,66,1115,0,0,0,460,0,0,0,0,223,720,58346,15016,0,0,0,0,0,0,0,0,496,0,0,0,290,71,0,0,0,0,0,0,0,0,0,6,20,653,801,29,86,3,207,235,0,0,431,0,540,0,0,0,0,0,0,0,0,0
부평,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,720,0,0,0,0,0,0,360,0,0,0,0,0,0,1440,1944,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,360,1440,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0
인천,0,0,0,0,0,0,0,0,454,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,1082,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,297,0,0,0,0,0,0,0,0,0,0
송도,0,0,0,0,4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,221198,426,229610,5000,81641,16460,54216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,126,0,0,0,0,0,0,0,461,370,0,0,0,0,765,0,0,0,0,0,0,2334,31835,44442,54466,22271,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예산,247479,262,251495,6022,117039,26522,119489,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,111,183,0,70,0,0,0,0,0,89,133,0,0,72,0,186,0,0,0,0,0,0,47975,31081,62374,46500,35037,0,0,105,0,0,0,214,713,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0
홍성,244320,652,191116,4281,92516,23547,116871,0,357,0,0,0,0,0,0,0,0,0,0,128,0,0,111,225,0,407,323,0,0,0,0,0,0,0,0,189,0,0,0,0,0,1440,0,0,71019,77512,17035,39679,58941,0,0,0,0,0,0,64,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0
대천,333438,412,170302,3223,107671,23553,104269,0,0,0,0,0,0,0,1440,0,0,0,0,531,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2040,0,0,73977,58464,34595,7988,120138,1440,0,0,0,0,0,245,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장항,195249,264,135317,2836,77945,18500,32155,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36101,43518,58426,92050,36538,0,0,0,0,0,0,113,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,766967,0,0,0,0,0,0,0,211,0,0,0,0,243,0,1214,0,0,0,0,0,496,0,280,0,0,754,0,367,0,758,0,360,356,0,1305,0,0,0,360,0,0,0,0,0,0,0,1080,0,5584,1622889,24,0,19705,0,0,0,62595,0,0,0,0,0,0,1296,0,480,360,151,0,0,20,1039,60,277,1625,533,581,0,0,0,0,0,0,0,0,749
