0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,8,1703,127,784438,523229,957214,371529,1761675,23873,131053,231731,311050,1900314,37869,96181,2412666,0,2,702,0,3415,1725,1098,0,25951,301682,454472,339048,64423,89339,85681,320865,229966,27757,133838,119988,207631,136690,11816,11385,0,0,0,223052,284626,264910,336209,211402,79052,1530684,2,0,551,0,10,35,5858,0,0,0,0,0,0,0,0,532,1,0,2,0,2,8095,103,87264,330218,48309,7261,9077,172643,6195,53913,10449,9552,23078,1397,363734
용산,0,0,0,0,5714,13708,3245,378,1198,0,33,73,51,7298,8,306,78516,0,216,0,0,505,698,43,490,469,5662,1294,1649,726,39526,408,6615,0,0,2005,394,0,0,0,572,0,0,0,748,2187,1881,1813,1119,0,0,0,0,0,0,72,2592,0,60,35,0,0,397,227,75,537,0,0,0,0,0,0,0,0,0,2930,648,605,0,0,0,416,0,0,0,182,1475
영등포,133,0,0,67,449890,565578,938123,404295,1081669,24185,104518,134419,153989,535344,20019,30357,644340,0,1353,0,0,3949,1348,407,0,905,208870,253910,227681,39280,53280,61559,182804,139913,20860,71878,59304,112702,62489,16807,10423,0,0,0,230646,277688,220938,205098,154230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,12,5877,4044,0,1512,4472,87926,3072,25387,4601,5887,16639,1193,199323
안양,59,0,17,0,1456,27261,22447,7385,8099,0,2090,1733,1596,5659,801,468,4093,0,120,0,0,0,511,1162,0,0,2279,2739,5065,687,1618,1767,3315,52,479,841,0,0,0,0,0,0,0,0,6778,4541,4133,3571,3163,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,6839,0,0,0,0,0,0,0,0,0,0,0
수원,734175,9,34193,17,0,229482,281980,186203,493955,11165,50208,80254,94844,372660,11307,19840,444668,0,0,0,0,12171,11458,2560,0,2232,99549,144154,116365,17285,24134,25639,81540,63465,7724,33923,23224,56861,35855,4218,4082,0,0,41016,66604,108569,92007,111716,80550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,304,0,0,309,0,0,0,0,446,34,6639,11553,11033,1221,2414,59126,1694,21930,2092,1664,6470,420,86438
평택,1185266,19919,138971,37012,91572,10693,35159,33199,118407,1989,6483,12930,14642,60223,1860,2477,56549,0,0,0,0,2885,2832,1545,0,0,15917,28454,15548,2113,6864,4808,10252,11733,1191,4825,3138,8870,5145,587,2106,0,0,0,7793,23618,21052,23973,16134,0,0,1,0,0,0,0,0,0,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,407,6403,170,2970,236,252,1481,94,14976
천안,1916233,1625,170759,10075,88083,35362,43669,114247,379233,5703,15533,30460,30934,129438,3488,6488,182091,0,0,0,0,11989,4322,1581,0,719,25720,38917,22938,3438,9629,6153,18998,17668,1304,8125,4839,16573,11286,1418,6062,0,0,0,35249,109637,125511,139791,31860,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,561,0,0,0,0,0,0,0,68,10,7382,4585,641,184,969,21706,439,5606,279,172,1169,105,29763
조치원,367773,714,367240,4138,212042,32541,132228,8338,259864,2904,11691,19818,28966,59475,2099,4620,106032,0,0,34,334,58502,0,0,0,127,21707,28479,15768,2903,9653,3223,12892,9383,644,4696,3999,12446,10716,17393,43643,0,0,0,0,0,0,0,0,0,0,0,216,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,1265,600,0,0,528,10138,203,3197,174,140,697,27,13490
대전,1851278,1402,984755,5462,550219,114905,408095,257117,24658,140880,316190,186824,192313,545125,17251,26709,831233,0,0,723,0,144552,736,503,0,5159,200824,135032,56900,9297,21221,8948,50314,26682,2492,15908,12136,37840,34114,17479,60410,0,0,0,0,0,0,0,0,123,0,504,360,1459,470,0,552,0,0,194,0,0,3554,0,565,0,0,0,0,0,0,0,1438,345,20231,16421,10389,1370,3191,58988,1043,13773,566,514,2400,163,46252
옥천,28997,0,24611,47,14806,2299,6589,2789,169417,39835,9092,5517,6258,12762,479,602,10736,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,719,0,0,265,24,65,1104,16,223,0,0,0,0,0
영동,143162,9,89765,1547,53702,6356,17153,29619,277143,8278,15284,35223,31777,79727,2275,3048,83116,0,0,0,0,0,0,0,0,60,0,0,60,0,0,0,0,0,0,16,61,133,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,70,1294,133,0,459,269,5903,67,701,0,0,0,0,0
