0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,40,607,452,450160,535848,988765,354582,1672004,31317,121226,215542,340177,1630674,66830,83071,1950659,300,5,370,0,1871,1766,2160,0,30957,296827,383105,290056,71450,73152,65952,277424,216574,23538,106897,87271,176376,124858,9422,12465,0,0,0,196695,248545,269434,330405,177529,90565,1049728,26,0,4950,610,0,499,1289,0,296,0,0,0,2,21,411,454,120,116,0,599,25785,604,80601,265701,61879,5334,10753,179770,6587,49956,6746,7698,19779,1485,395855
용산,0,0,1,882,2511,5089,1902,285,742,58,18,79,89,19997,181,312,102197,0,240,0,0,76,0,0,0,792,1019,4047,759,1277,65297,101,7752,1225,0,838,70,94,0,0,0,0,0,0,752,779,592,378,137,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,144,0,0,0,0,360,0,0,0,0,0,0,692,240,1747
영등포,360,0,0,769,223455,495467,888995,350329,1097990,26144,94522,126669,178790,573067,36810,30875,647585,0,1000,2,0,2676,1389,1505,0,1485,210490,238099,201711,41830,48767,51763,180255,137752,17831,65584,48368,106592,60901,12054,5839,0,0,0,205113,224637,205995,197343,128063,0,0,7,0,26,480,1,123,0,0,0,0,0,0,0,0,599,577,0,0,0,0,7271,365,3988,5794,186,2089,4808,85063,3503,25536,3774,5442,15377,1235,206068
안양,7809,3,865,0,722,24313,8629,4939,5493,0,1569,1678,1759,5378,748,320,3988,0,120,0,0,163,0,0,0,0,1417,1611,2884,491,676,958,2014,483,0,370,287,0,0,0,74,0,0,0,11141,3755,5084,4248,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,5966,0,0,0,0,0,0,0,0,0,0,0
수원,455598,605,54191,167,0,283784,327020,204123,568515,14602,48865,83429,126450,406852,25447,23246,496560,0,0,0,0,5134,11316,6097,0,5144,103788,147657,108557,24242,24484,25647,94545,69205,7389,32731,21935,61718,41188,3901,8479,0,0,0,91401,108143,102454,121200,76158,0,50,0,0,49,0,0,353,0,0,0,0,0,0,0,0,1019,2,0,0,0,144,328,319,5380,22575,17784,806,2942,52682,1924,18262,1863,1967,6976,576,102784
평택,1123420,6116,126595,35357,90317,1416,31895,32331,146422,2088,7335,12894,16101,63682,3771,2592,62787,0,0,0,0,2145,3446,1602,0,2,17743,26172,15568,2890,6650,4954,11260,16128,1361,5188,2821,9728,5620,525,743,0,0,0,8251,27139,28853,27837,12932,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,108,8,0,0,0,400,0,0,0,0,30,120,377,7207,212,3103,165,213,1012,71,17128
천안,1454099,157,372310,5386,257331,31496,30481,92260,395406,6472,16216,30254,35308,138952,7789,6825,198184,0,0,0,0,9706,5528,3760,0,1560,34605,37861,21473,5255,6108,5211,19008,23693,1454,8783,4148,16822,12800,1163,3108,0,0,0,25561,90298,136613,143873,33192,0,0,0,0,209,0,0,358,0,0,0,0,0,0,178,1456,606,1707,0,0,0,168,377,108,11527,8731,89,719,1207,24435,481,6530,507,249,1398,98,24839
조치원,343832,1165,332610,2481,209056,32216,106695,301,181454,1839,12809,21719,27292,61178,4758,4599,106995,0,0,0,168,48407,284,1,0,188,25937,29594,14101,6289,4907,3026,14523,13413,755,4352,3013,11449,10100,20079,42266,0,0,0,0,0,1,114,8,0,0,72,288,232,0,0,3,0,0,0,0,0,0,185,688,719,925,34,121,9,352,144,34,1131,685,219,368,585,9238,228,3384,126,92,746,59,18337
대전,1714942,3815,1060305,3608,605264,147350,399183,192840,11002,86390,263288,164826,158256,488033,31313,24062,706154,0,0,0,127,107965,3122,450,0,7411,152341,125526,54509,16032,14570,8540,47357,33581,2637,16389,9968,36765,33224,18323,65764,0,0,0,0,2,82,809,25,575,0,237,1008,3338,0,0,593,0,1,0,148,0,0,340,4962,2834,10471,171,564,118,2219,9499,1792,18111,22539,14812,1461,3759,60921,1283,11232,482,452,2469,212,51199
옥천,36046,0,25968,0,17458,2282,7621,2380,91132,8302,3362,5368,5950,12027,954,507,12131,0,0,0,0,37,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,490,244,0,0,0,0,0,0,0,0,337,0,0,0,0,49,189,54,0,0,0,0,0,0,0,0,0,737,429,0,0,0,0,0,1478,0,0,9,42,0,55,915,32,154,0,0,0,0,0
