0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동안,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
도계,0,27,0,0,0,0,0,38,7,158,0,0,43,237,5,3514,0,16,103,543,43,337,47,3590,0,3695,0,33,2271,1093,180,481,0,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,123,8,3,25,0,0,0,0,0,0,0,0,0,16705,0,0,0,0,0,0,0,0,32,10,0,0,0,447,251,318,815,1389,16936,20510,0,49,912,189,2260,1053,889,57,693,191,0,0,0,265,0,0,0,0,0,0,0,0,0,15
동해,5130,547,0,333,93,0,706,229,64,896,0,0,545,666,79,8503,193,1118,957,4066,4,1114,55,4089,0,10290,62,95,8840,4061,703,966,0,73,710,38,66,46,889,0,0,518,129,64,112,366,875,52,3814,243,211,617,153,18,52,20,0,0,0,0,0,30344,0,0,0,0,0,0,0,0,160,138,97,0,0,1542,1013,1005,6874,17073,462,31809,0,260,4303,864,9728,14013,1966,199,2450,1504,0,70,0,532,33,92,400,38,683,0,185,367,0,1890
강릉,0,90,0,0,0,0,0,750,118,2128,0,0,778,1288,185,11376,0,388,748,2219,10,1845,93,3172,3,11456,70,219,11376,5567,871,1083,0,74,701,67,89,36,0,0,0,0,0,0,0,0,182,0,2879,403,331,1307,0,0,0,0,0,0,0,0,0,68475,0,0,0,0,0,0,0,0,678,574,304,0,0,1840,973,994,11767,20162,34028,38079,0,104,2428,1202,13112,25576,4941,236,4043,1522,0,0,0,538,0,0,330,0,0,0,0,0,0,1451
정선,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,687,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35395,0,0,0,24171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍용,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,44,47,5,823,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,24,17,236,120,0,15,146,130,517,311,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영월,140,35,0,0,0,0,0,185,38,518,0,0,0,0,0,0,0,0,0,0,40,1383,94,11418,2,10153,0,0,31,0,0,0,0,17,22,11,0,0,0,0,0,0,0,0,0,0,0,0,455,38,39,123,0,0,0,0,0,220,0,0,0,28105,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,18,766,870,4295,3426,0,98,54,977,13742,15447,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,56
예미,0,0,0,0,0,0,0,11,4,76,0,0,0,0,0,0,0,0,0,0,10,218,28,4358,7,4834,0,0,38,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,69,12,0,31,0,0,0,0,0,0,0,0,0,6299,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,9,142,162,806,1119,0,105,682,0,2477,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
증산,2373,63,0,0,0,0,0,293,69,1154,0,0,0,0,0,662,0,0,0,0,387,3700,248,35490,48,41892,0,0,1468,0,0,0,0,37,120,23,28,0,0,0,0,0,0,0,0,0,0,0,824,66,54,446,0,0,0,0,0,0,0,0,0,96238,0,0,0,0,0,0,0,0,0,0,0,0,0,266,76,72,3764,1823,9334,12818,23263,660,14891,3141,1226,13331,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,202
태백,0,10059,0,0,0,0,357,1650,161,4256,0,0,0,0,0,0,0,0,0,0,145,2930,221,33006,13,25331,0,0,1588,0,0,0,0,54,247,16,63,26,0,0,0,0,0,0,0,0,597,0,3862,117,111,494,290,146,130,0,0,0,0,0,0,127490,0,0,0,0,0,0,0,0,0,0,0,0,0,552,288,810,285,1069,12801,23531,0,352,8540,1761,9667,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2612
부전,10949,6608,0,9183,772,0,2013,1062,0,6913,343,455,2508,7934,912,44629,7289,34765,19324,158,0,1383,0,5077,0,5306,1582,819,8583,15899,5569,4972,0,0,0,0,612,0,421,254,296,3264,0,0,0,0,3543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576,169,0,0,113,0,0,0,0,0,0,0,0,0,2119,1479,627,14735,729,1969,4766,0,0,0,0,0,0,35637,71953,133277,63045,1234,4579,0,321,15906,6129,8205,4342,8943,2313,645,2902,549,829
좌천,263,190,0,247,87,0,96,18,0,52,24,17,8,146,8,354,0,0,0,263,0,83,0,314,0,408,120,78,879,1711,575,1247,0,0,0,0,19,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,124,132,25,598,52,214,238,0,0,0,0,0,0,102208,2456,14140,10054,242,1274,0,63,0,0,0,0,44,0,0,0,0,0
울산,33011,14103,0,26272,4383,0,7482,942,0,9675,70,399,3489,7140,363,109460,0,0,0,126,0,674,0,2884,0,2763,812,1301,15246,17664,6834,14204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6853,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,1211,365,5752,538,2403,3314,0,82,217,0,125,0,128521,13828,1836,71461,939,2390,0,8483,0,0,0,0,436,0,0,0,0,0
경주,27144,9483,0,15497,2075,0,3755,200,0,6362,50,283,1818,3823,180,186050,0,0,0,0,0,228,0,934,0,916,198,168,7236,15022,5202,28755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605,0,0,0,0,0,0,0,0,210,0,0,0,0,495,432,151,2516,191,1586,1636,0,0,0,0,0,0,47209,8643,62838,5167,10032,100603,0,22733,0,0,0,0,472,0,0,0,0,0
안강,2688,843,0,1404,194,0,329,0,0,649,0,0,95,224,3,22717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,197,355,12331,306,32650,0,1992,0,0,0,0,0,0,0,0,0,0
포항,22221,8151,0,16202,2262,0,4013,16,0,5015,0,15,1742,2465,17,246366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,2355,676,1437,105604,35921,362372,0,35303,0,0,0,0,0,0,0,0,0,0
