0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동안,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
옥천,20523,20423,0,14808,3865,0,14901,7063,4082,40647,519,5161,7986,6556,1018,11306,1431,478,2298,6498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,6,20,0,0,0,0,46,157,206,51,23,0,0,0,0,0
영동,54763,50368,0,32669,5972,0,18628,10988,5854,225780,4784,2146,23425,22471,4525,43320,3525,2052,8163,26433,0,0,0,0,0,0,0,0,0,0,0,26,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,12,281,274,0,33,0,6,155,890,1071,80,165,0,0,0,0,0
김천,111432,78352,0,60202,10314,0,28379,15560,4999,147445,6831,23793,49,86055,23539,410806,40663,4743,22899,71584,0,0,0,0,0,0,0,0,6408,0,0,537,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,210,0,0,0,0,16,0,11500,8606,3838,0,0,12,18,6,89,14,489,960,0,0,0,0,0,0,2554,128,2645,1414,82,1532,0,391,712,3249,4313,142,1170,0,0,0,0,0
구미,205762,151116,0,142452,16594,0,46526,16496,6101,204635,5293,19990,76172,182,34858,971423,124486,16678,74622,216072,0,0,0,0,0,0,0,0,5196,0,0,2786,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10927,7323,4864,0,0,9,25,14,182,130,532,1804,0,0,0,0,0,0,7012,166,6869,3378,314,3354,0,712,1648,7559,6191,341,2073,0,0,0,0,0
왜관,30378,18472,0,15820,4743,0,6093,4662,1464,24842,1034,4086,23312,33595,267,380097,80790,5717,16760,43056,0,0,0,0,0,0,0,0,995,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761,2892,825,0,0,0,0,6,26,7,54,216,0,0,0,0,0,0,994,19,20,9,4,18,0,578,340,1190,1241,115,626,0,0,0,0,0
동대구,3642851,204872,518842,316454,57330,177580,96711,43688,13662,674058,10283,40911,408321,1001655,386267,18133,397088,268217,505802,1656711,0,0,0,0,0,1930,608,725,10220,13951,16095,176693,0,0,182,335,1540,288,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,35023,0,0,0,0,262,0,0,0,0,69,0,37666,24262,5416,0,0,1524,1575,1377,16472,3003,8892,17950,0,0,0,0,662,0,40833,256,100727,191076,21536,246045,29,39248,32481,160169,119969,6674,12454,0,0,0,0,0
경산,35853,24441,0,27877,5363,0,8520,7106,2633,25922,1347,3540,40870,129737,83407,396868,58630,70403,134508,303554,0,0,0,0,0,0,0,0,1127,0,0,0,0,0,0,501,128,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5798,3625,1213,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,13636,0,0,0,0,0,0,0,6695,32344,33338,1317,6071,0,0,0,0,0
밀양,314017,12872,46312,19457,3719,16494,5666,4348,910,48469,540,2482,6637,21244,7762,272648,71038,30747,276682,669347,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,20,0,25,11,18,131,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,49,0,1184,1012,406,0,0,0,0,9,47,20,1105,474,0,0,0,0,0,0,34267,0,0,0,0,0,0,0,9966,59394,53542,2516,10686,292,138,241,24,84
구포,527381,52105,126967,82422,12827,47181,23105,13868,2332,157687,2318,8363,23969,79581,17189,502654,135643,323244,39262,63671,0,0,0,0,0,0,0,0,3351,0,0,0,0,0,0,0,299,0,170,172,163,1083,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,2368,0,0,0,0,132,0,0,0,0,62,0,5548,4605,2881,0,0,32,14,29,305,87,989,1239,0,0,0,0,0,0,29299,0,0,0,0,0,0,0,8993,7572,8235,2367,5722,1260,344,1336,277,220
부산,3547515,137229,443807,252889,37611,193870,68847,38727,5886,730696,5971,24756,70789,215194,43564,1603429,302840,668929,65302,285,0,0,0,0,0,0,0,0,7270,0,0,0,0,0,0,0,427,216,40,38,79,354,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,37264,0,0,0,0,740,0,0,0,0,361,0,18230,13030,6600,0,0,153,116,48,2033,199,4387,5245,0,0,0,0,0,0,127,144,84,0,0,0,0,0,4610,1445,1385,1284,2062,644,137,675,137,54
팔당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,6718,1114,3822,50,690,81,106,147,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,45,58,189,0,34,64,11,455,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양평,188,239,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6902,6811,11118,33678,44,6858,1129,1194,2227,3274,57,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463115,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,22,80,313,1224,2693,175,27,1413,147,3525,3166,1519,89,630,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,9599,823,7513,13,445,63,65,83,218,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,36137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,102,0,0,149,21,98,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
원주,314,4774,0,1920,12,0,0,63,0,454,0,0,0,0,0,0,0,0,0,0,3895,36683,8696,1427,235,25771,6694,10049,10118,14217,123,371,0,84,0,0,404,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,182,0,0,0,0,0,0,283308,0,0,0,0,0,0,0,0,0,0,0,0,0,25,54,50,1066,3388,4422,6261,721,479,11576,3675,36556,32377,5328,375,2439,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,77,19,226,0,181,17,69,142,92,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제천,743,844,0,2272,1144,0,5168,44723,6437,67023,0,0,0,0,0,1508,0,0,0,0,801,8084,581,24103,121,75,6709,12661,27001,23912,309,484,0,144,661,43,884,26,0,0,0,0,620,0,20,0,0,0,122205,12277,8577,42461,0,0,0,0,0,0,0,0,0,109242,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32,68,702,3487,10092,14027,502,150,9485,3753,38626,24959,6377,450,2853,991,0,0,0,209,0,0,0,0,0,0,0,0,0,217
단양,404,342,0,895,248,0,944,90,16,378,0,0,0,0,0,1163,0,0,0,0,180,1276,61,6194,17,3317,30,1379,3176,6432,76,282,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,3296,200,99,967,0,0,0,0,0,0,0,0,0,24494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,32,71,172,0,0,0,0,0,0,1581,129,653,129,0,0,0,199,0,0,0,0,0,0,0,0,0,0
풍기,461,1437,0,979,573,0,1149,79,35,348,0,0,0,0,0,995,0,0,0,0,236,1292,84,10147,65,12757,1658,101,1729,16211,475,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253,73,107,507,0,0,0,0,0,0,0,0,0,44986,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,26,108,66,317,585,0,0,0,0,0,0,937,44,671,149,0,0,0,218,0,0,0,0,0,0,0,0,0,0
영주,705,482,0,1367,829,0,2806,315,123,997,0,0,7696,5053,699,10217,1110,574,3249,7526,311,2439,75,9053,84,26915,4914,3257,47,46825,3113,2885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4038,203,196,1259,0,0,0,0,0,0,0,0,0,65695,0,0,0,0,0,0,0,0,3911,3097,1399,0,0,1209,7967,9212,13201,2571,9170,14367,0,0,38,14,1117,1274,6073,701,10374,5034,0,0,0,3611,0,0,0,0,0,0,0,0,0,0
안동,696,378,0,1193,678,0,2048,0,0,0,0,0,0,0,0,13620,0,0,0,0,386,3126,136,14476,76,23371,7062,16183,42993,768,8294,7945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678,127,124,523,165,48,21,0,0,20,0,0,0,72174,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2504,2044,6011,869,4104,5683,0,0,0,0,0,0,16496,1813,17972,15134,0,0,360,7824,94,175,240,0,0,0,0,0,0,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17595,0,0,0,0,0,35,0,78,0,198,29,290,2669,8222,1873,7816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0,0,0,200,110,64,740,191,668,855,0,0,0,0,0,0,5333,537,6208,4718,0,0,0,4921,0,0,0,0,0,0,0,0,0,0
영천,6387,2890,0,5242,701,0,1260,29,0,2639,0,45,764,2269,285,171191,0,0,0,0,0,100,0,374,0,247,35,56,2577,6155,6288,2103,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,198,51,73,0,0,0,0,0,0,0,0,0,0,1213,0,504,0,288,0,0,0,0,0,0,0,103,0,237,149,67,1459,99,657,946,0,0,0,0,0,0,3709,1148,13443,29817,907,14584,0,3746,0,0,0,0,0,0,0,0,0,0
계룡,64781,22666,610,16473,4554,133,12517,5047,1750,13393,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3389,9582,1733,1967,1496,2441,580,305,2538,3132,140,628,579,1918,1761,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,29,5219
논산,128919,105025,8212,75132,14664,514,50330,28221,10899,170705,0,0,0,0,0,144,0,0,0,0,0,0,0,84,0,43,0,0,0,0,0,0,3509,2800,40679,8976,11096,8009,9149,3071,1407,12772,18034,959,4084,2640,12748,9416,14,5,0,64,0,0,0,0,0,0,704,0,0,864,1440,9,0,0,0,648,369,0,0,0,0,0,0,0,0,0,0,0,49,99,0,0,7,0,29,60,0,0,0,0,0,0,0,0,0,0,38,0,143,25,80,752,211,21123
익산,561171,121536,57205,118683,29331,10745,57080,25309,9707,162400,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,664,9860,42868,3029,36964,126742,20705,28761,9712,4631,40828,136325,15428,42008,17472,66061,53568,49,6,7,75,0,0,0,0,0,0,6997,0,0,60,0,70,401,0,0,353,78,0,0,0,0,121852,0,0,0,271,2,16,668,856,0,0,37,8,116,176,0,0,0,432,0,0,0,46,0,0,0,0,836,71,183,1500,335,69518
김제,82015,46983,5941,35482,5961,579,12444,4270,1802,27905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1702,8891,36940,3401,21449,7479,11132,3329,1286,11447,0,0,0,0,698,337,19,0,0,18,0,0,0,0,0,0,544,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37,82,0,0,7,0,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,88,21806
정읍,160848,50474,16250,43245,7704,2685,15063,5559,2025,43308,0,0,15,0,0,1876,629,20,299,427,0,0,14,404,70,868,136,0,0,0,0,0,1573,10502,123345,20329,70,4201,12105,3355,1940,17750,0,0,0,512,421,0,21,0,195,394,0,0,0,0,0,0,2347,0,0,0,89,106,68,269,0,0,6,0,0,0,0,0,0,0,0,0,0,2,61,132,0,0,0,0,15,68,612,19,0,0,0,0,0,0,0,0,0,0,280,210,0,494,127,13144
장성,62354,20877,5809,16494,2330,676,4100,2657,731,16641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1837,6919,20944,7433,3903,1067,6538,3486,1635,12768,0,0,0,0,167,0,0,10,0,21,0,185,0,0,0,0,581,0,0,1152,4536,17,72,288,0,144,6342,0,0,0,0,0,0,0,0,0,0,0,44,43,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,48,4900
송정리,207462,22291,26668,18882,4113,1983,6313,2989,1392,24337,0,0,0,0,0,0,0,28,137,59,0,0,0,0,0,0,0,0,0,0,0,0,4238,7971,29923,10835,11128,6734,260,2699,19587,200259,0,0,0,0,2875,1162,0,0,0,0,0,0,0,0,0,0,2287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0,0,0,0,808,0,0,0,0,0,0,0,37,84,145,23,1092,411,162,13652,2065,2240
나주,62620,21018,8828,16295,2385,359,4608,1407,537,9399,0,0,0,0,0,0,0,13,143,20,0,0,0,0,0,0,0,0,0,0,0,0,1030,3570,9683,3443,3689,3412,2997,89,2657,22738,0,0,0,0,1278,534,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,26,61,73,6,305,28,124,1462,415,1204
함평,16548,15209,0,9516,1165,0,2344,827,410,4721,0,0,0,0,0,0,0,12,148,78,0,0,0,0,0,0,0,0,0,0,0,0,481,1657,4271,1370,2021,1678,18258,2158,1074,12534,0,0,0,0,1255,241,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,44,49,90,6,94,36,98,457,1061,8509
목포,339450,40120,35408,38677,7719,5116,15815,7231,2016,67639,0,0,0,0,0,0,0,68,831,362,0,0,0,0,0,0,0,0,0,0,0,0,3069,13435,41815,10636,17285,12706,213957,21888,10767,2308,0,0,0,0,5241,1883,0,0,0,0,0,0,0,0,0,12,4472,0,0,0,45,74,131,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,2708,0,0,0,0,0,0,0,161,537,774,89,1065,169,513,2162,5756,72837
전주,69668,75258,0,64940,19554,0,33853,13135,3813,36214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,2124,15000,144049,0,0,0,0,0,0,0,11134,12232,53205,18778,81652,75393,433,0,0,0,0,0,0,0,0,0,0,0,0,27,30,0,0,0,5,0,0,0,0,0,0,62319,0,0,0,262,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,91,298,0,0,0
임실,9832,10465,0,6237,1183,0,1742,692,273,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,683,15574,0,0,0,0,0,0,0,12611,216,583,932,3969,3670,0,0,0,0,0,0,0,0,0,124,0,0,0,135,71,48,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0
남원,43872,36633,0,24617,4170,0,7029,2692,697,10681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,431,3039,46753,0,0,0,0,0,0,0,48561,674,4,1922,20998,22978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,0,0
구례구,37395,29245,0,18246,2409,0,3856,1757,548,6555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,1843,20775,0,512,0,0,0,0,0,16756,778,1601,562,16918,23277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,16,0,0,0
순천,96111,75494,0,57969,10193,0,19155,9817,2149,34239,0,0,0,0,0,212,53,366,1074,796,0,0,0,0,0,0,0,0,0,0,0,0,1088,10008,81365,591,428,110,2514,1195,1214,4550,80844,3628,22601,18732,54,47872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,383,0,0,0,0,0,597,4188,35,0,0,0,0,0,0,242,1338,2387,559,7165,6147,2793,36827,4393,4430
여수,67171,46060,0,45110,7601,0,13432,8038,1878,27677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,7891,75886,337,0,0,727,482,233,1440,74684,4163,24064,25030,48419,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3680,1811,1447
청주,4496,5483,0,2123,458,0,2035,13768,1531,24865,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,123191,3102,1152,3115,1571,0,198,0,48,63,8,23,0,0,0,0,0,433,0,0,0,0,0,472,2528,6725,52922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,93,3412,3160,0,0,518,61,893,3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
증평,1085,1927,0,811,231,0,954,11672,1161,7120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13118,176,82,190,116,0,51,0,12,21,19,0,0,0,0,0,0,0,0,0,0,0,0,1263,0,364,7117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,260,395,0,0,39,10,60,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
음성,285,523,0,289,113,0,379,5715,930,9301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9703,136,131,227,103,0,73,0,18,28,9,206,7,0,0,0,0,0,0,0,0,0,0,5088,260,6,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,351,0,0,17,0,41,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
충주,1360,1783,0,1242,723,0,2456,34994,6602,50307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40209,599,545,1631,511,0,0,0,134,244,43,395,45,0,0,243,0,0,0,0,0,0,0,53047,6559,1720,3979,139,141,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,19,31,572,1436,0,0,141,32,524,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
온양온천,119201,160451,0,100164,19628,0,85858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652,33765,65158,53795,25171,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,153,80,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예산,98075,115704,0,65902,16492,0,127690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,48,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26666,4851,23558,36395,17232,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,18,76,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
홍성,119143,127838,0,77631,18444,0,161030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,182,56,0,70,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59847,20372,2094,34937,23722,0,0,0,0,0,56,0,0,0,0,15,195,0,0,0,0,0,0,0,0,0,0,0,52,60,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대천,140890,133373,0,100931,20215,0,120913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46484,30051,33632,3184,34769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장항,74755,68379,0,45836,7375,0,33843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22357,18365,23800,31066,2335,40,0,0,0,240,423,492,25,68,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,19373,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,40,872,9331,23236,407379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,220,0,0,0,0,0,0,463,0,0,0,0,0,58,0,0,0,0,0,0,0,0
능곡,308728,0,158,0,0,4547,0,0,0,29507,0,0,0,0,0,43200,0,616,0,41681,0,0,0,0,0,0,0,0,0,0,0,0,0,562,6467,504,2390,590,3152,537,0,4355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5565,1921,13922,189321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4401
일산,528158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13300,5485,3233,266949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산,1488130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76939,28728,46047,122829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,0,28,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23554,512838,41617,316687,2171,122710,26855,46419,70498,69214,1809,634,0,0,63,0,8,576,0,0,0,0,27,135,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,20378,357,0,0,0,51770,667150,1211318,0,0,0,0,0,0,1842,2699,2126,4398,16210,37626,147833,12480,1001,29338,5762,95560,133943,873,468,1756,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
성북,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,45,30,71,0,0,0,0,0,0,0,0,0,0,57,0,423,0,0,0,0,167,13,0,0,0,21588,146698,372871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0
의정부,0,18,0,16,0,0,0,0,0,76,0,0,180,0,0,74,0,14,35,141,0,0,0,0,0,0,0,0,0,0,0,504,0,11,23,0,84,0,0,0,0,74,0,48,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,0,0,0,0,413390,374928,1583971,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,65,0,0,0,0,0,0,372
동안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,267,68,72,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,605417,2393,72834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신탄리,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,269,288,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,1423511,56302,210178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금곡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,54195,13639,0,0,0,2595,24088,164175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
