0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
원주,360,0,776,0,0,0,0,243,1,0,0,6,0,25905,0,0,24685,8953,126797,319238,6655,69185,33599,24610,3729,13160,4560,0,960,0,720,0,0,0,0,0,0,0,720,168,174,0,0,0,0,0,0,0,0,0,0,6960,590899,4608,1320,8040,0,0,600,4,10,5,0,0,467,6839,7701,9953,13108,33482,2054,43281,107364,8289,1155,20426,8874,3765,0,0,0,0,0,0,0,0,0,0
봉양,0,0,0,0,0,0,1,2370,2,0,0,4,5,187,0,0,1157,399,983,5049,281,5904,2419,710,273,339,0,0,0,0,0,0,0,0,0,0,0,0,0,9985,30446,0,0,0,0,0,0,0,0,0,0,0,18304,0,7080,600,0,0,0,1,11,3,0,0,9,179,0,0,0,524,94,987,2237,1332,239,3517,1052,5,0,0,0,0,0,0,0,0,0,0
제천,579,0,3505,0,3824,2272,5501,63923,29998,0,0,91,2,32272,0,0,38067,1776,13393,51919,4405,51215,129424,57576,7425,22215,0,1,0,0,0,0,17,0,0,0,0,0,0,241442,177866,0,0,0,0,0,0,0,0,0,0,0,369345,0,120,360,0,840,0,238,368,117,1,0,630,8290,5998,17625,8167,66242,10606,120609,154167,17515,2384,33440,24318,3,0,0,0,0,0,0,0,0,0,0
영주,0,0,160,0,0,1,0,108,115,0,0,18066,17541,70101,0,0,50626,553,5808,33849,1904,156989,82854,213470,16795,32424,1440,0,20,0,0,0,0,0,0,0,0,0,0,465,358,0,0,0,0,0,0,0,0,0,0,0,381904,0,0,0,0,0,0,11000,23138,203383,856,0,118025,156854,20524,38951,49847,184,75,3683,853,24896,2115,40712,28511,3789,0,0,0,0,0,0,0,0,0,0
안동,0,0,450,0,0,0,0,0,113,0,0,28,12,64235,0,31,39757,287,1390,24517,438,58394,174063,220258,72593,40389,2640,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,250,280913,0,1200,0,0,3720,0,7,13,74,0,0,4828,30823,3883,6242,10906,5,4,214,182,31813,3790,49772,36924,479,0,0,960,0,480,0,0,0,0,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,70615,0,0,10193,90,382,3157,160,8255,17370,80273,104661,77366,0,0,0,0,0,0,1,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,37998,0,0,0,0,1008,0,3,3,1,0,0,1164,8082,1088,1607,2727,19,1,204,12,15683,2106,19942,28365,893,0,0,132,0,0,0,0,0,0,0
영천,5971,2552,32,0,0,0,33,0,1372,3,6,413,687,345150,27,24,7461,0,269,6309,261,13050,30136,40602,87310,132573,2550,120,0,0,0,0,24,28,0,0,0,0,0,293,2,0,0,0,0,0,0,0,0,0,0,0,6388,0,1800,144,0,360,0,10,6,0,0,0,1161,15459,2132,2289,5102,3,0,46,9,9328,4305,38354,71323,15951,0,0,900,0,0,0,0,0,0,0
논산,178393,36101,136572,9,62712,10875,21092,17701,423014,20,6,29,27,12933,0,20,13614,0,0,4573,0,10,0,248,0,4200,163712,106275,40680,4330,24366,4911,14346,4210,1039,3637,2202,7829,5977,1,0,0,2,0,0,0,0,0,96,0,0,0,1921,2040,40320,0,0,29160,0,0,1,0,0,15266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,132,0,716,67,10,203,14,13624
이리,327057,26136,164113,0,85254,12251,30220,26573,147178,0,26,257,25,2732,4,205,2880,0,0,0,0,7,0,2,2,53,140665,531031,455028,26309,40180,12024,50124,220934,29717,49378,19351,35770,31501,0,2,0,0,0,483,0,840,0,147,0,0,0,0,432,0,3150,0,1560,0,0,0,3,0,848303,0,720,0,720,0,0,0,0,0,0,0,3,0,271,12,1,524,3,2453,120,56,894,85,27142
정주,239703,36928,159503,0,69375,10129,19449,18515,67642,0,0,15,26,1507,6,105,7040,0,0,0,0,21,20,1,0,0,44733,479196,494927,56423,46981,10434,37577,871,28,422,38,600,139,2,870,0,0,0,545,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,15827,0,0,0,0,0,0,0,0,4,0,0,1,6,13,14,0,2,1,0,0,0,1198,100,19984
장성,60103,10759,41941,2,10586,1717,4403,3142,11120,54,19,137,63,258,2,8,58,0,0,0,0,25,0,0,0,0,4246,30419,66197,133275,111146,5200,14222,26,3,24,0,37,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,250,21,5188
송정리,152419,22706,45097,1,18258,8692,8779,8459,25063,0,3,63,69,159,0,21,2260,0,0,0,0,0,0,0,0,540,12880,35445,43729,180761,132465,80708,171763,63,1,0,0,911,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,516,7,95,22,13,4228,1576,44737
영산포,92799,3930,52002,4,16926,5041,6936,7031,11109,0,0,0,0,4,0,68,4636,0,0,0,0,0,0,0,0,0,5779,13033,13261,4386,65318,286,86603,3,0,0,0,613,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,768,9,113,11,20,1991,1089,47655
목포,320945,9845,116340,2,39657,6123,15911,13721,43150,0,0,20,0,0,2,629,32963,0,0,0,0,0,0,0,0,0,16398,52803,43336,13313,205097,85024,1422946,3169,0,1,0,3933,4191,482,0,0,2,0,0,0,0,0,0,0,2,395,0,0,1656,0,0,864,0,0,0,0,0,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,53,7512,77,1956,493,190,3861,1954,233461
전주,123627,1425,41613,4,32335,1775,11638,5950,20798,0,1,0,0,6,0,0,138,0,0,120,0,0,0,480,0,345,4370,240854,612,55,64,4,3841,78094,36430,79412,28655,53018,54870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6499,2290,0,1492,0,0,0,0,0,50309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1350,161,10,7,0,600
임실,28727,1233,18467,1,7785,822,1695,757,2746,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,2996,25546,49,8,0,0,0,38009,8669,27221,5639,9854,9378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,97,52,21,4,0,0
남원,89493,2334,26232,0,14500,626,5974,4382,11797,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,3835,50218,2,23,0,0,0,72568,24414,105194,19598,47176,26951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,432,0,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,290,166,1,1718,1,0
구례구,89255,1926,38667,0,10636,1024,3244,2344,8011,0,0,0,0,35,0,2,513,0,0,0,0,0,0,0,0,0,2597,20644,25,0,0,0,3,24759,4924,21022,9825,114435,36586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,2,0,0,0,0,214,1,240,5,458,132,206,444,4,28
순천,161787,5926,49900,1,22880,3290,8662,8863,18322,0,0,0,0,345,0,1063,16956,0,0,0,0,0,0,0,0,0,8976,35564,328,11,441,443,2928,46810,8450,46674,101199,122437,297323,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,1584,0,0,1008,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148,6930,661,17195,39911,89538,100673,7690,12852
여수,131950,1306,32471,0,11731,1503,7772,8339,15603,0,0,1,0,1,0,44,810,0,0,0,0,0,0,0,0,8,8515,39698,23,34,689,819,2688,66507,8576,31698,42838,298694,31529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,64,37,15,0,3,526,7,700,2168,2963,33290,5780,12210
청주,12525,1602,18277,0,3864,928,1387,35489,2223,0,0,0,1,1224,0,0,633,0,53,181,9133,237503,219,447,13,241,6,87,72,0,12,0,480,20,0,0,0,0,0,65253,123258,0,0,0,0,0,0,2232,0,0,0,0,0,0,3720,0,0,720,0,0,0,0,0,0,3,21,0,1,52,178,2,836,416,0,0,16,16,0,1,0,10,0,0,0,0,0,0,793
충주,2252,0,3387,0,4221,1673,3320,41559,11823,3,1,0,1,3,0,1,33,3,18,184,28576,160696,728,254,27,11,0,1,868,0,2,0,57,0,0,0,0,2,1,108545,61387,0,0,0,0,0,0,0,0,0,0,0,395,0,2280,1800,0,0,0,0,0,1,0,0,2,47,2,1,11,424,62,916,1252,6,26,697,102,2,0,0,3,0,0,0,0,0,0,1
부평,12,2880,0,0,215,3005,105,67,115,0,0,0,0,0,0,360,240,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,28,111,2,0,3982,9501,0,0,1560,2280,0,24,125,0,0,0,0,0,600,0,0,0,600,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0
인천,21,20,0,0,0,4083,20,23,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,79,55,49,1,9,0,4079,15176,0,0,0,0,0,22,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
송도,0,0,0,0,34539,28,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,101136,1730,136121,0,27618,12462,74593,21,18,0,0,0,0,0,0,0,34012,0,0,0,0,6,0,0,0,0,2,166,0,0,2,0,0,0,0,0,0,0,0,1,0,104,63,0,118037,109042,41471,44178,23144,3,7,6,0,0,1,158,0,840,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
예산,140470,2635,196868,0,81714,18304,135121,6,163,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,319,512,0,105064,89882,135375,40098,41770,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홍성,157172,2852,177057,27,78682,15338,111217,39,119,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,840,0,0,0,0,0,0,0,0,0,0,0,120,0,501,469,0,45564,147082,214336,140786,70511,0,1,12,0,0,1,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대천,219653,1308,166894,0,69180,17511,95083,1202,277,0,0,8,1,154,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,105,111,0,61091,36073,140134,107783,204347,5,2040,720,0,0,1200,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장항,171148,698,146271,4,54732,17050,31014,961,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,217,0,34187,44837,66263,192742,203230,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
