0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
쌍룡,0,0,0,0,0,0,0,115,9,0,0,5,1,76,0,0,84,209,397,4391,147,10937,1161,189,53,77,0,0,0,0,0,0,0,0,0,0,0,0,0,628,639,0,0,0,0,0,0,0,0,0,0,0,15406,0,0,0,0,0,0,13,6,0,0,0,0,1432,349,2754,272,7271,3217,55424,26213,87,2,276,117,2,0,0,0,0,0,0,0,1,0,0
석항,0,0,0,0,0,0,0,1422,0,0,0,0,1,1180,0,0,1104,224,1145,39532,669,130102,7170,1283,486,474,0,0,0,0,0,0,0,0,0,0,0,0,0,2369,2263,0,0,0,0,0,0,0,0,0,0,0,96147,0,0,0,0,0,0,5,5,0,0,0,65,9356,4850,10133,4514,104234,52721,171813,229993,613,73,1423,1008,2,0,0,0,0,0,0,0,0,0,0
고한,0,0,0,0,0,0,0,1431,1,0,1,0,0,886,0,0,514,66,1929,107779,697,196510,4691,1749,245,661,0,0,0,0,0,0,0,0,0,0,0,0,0,934,1708,0,0,0,0,0,0,0,0,0,0,0,206102,0,0,0,0,0,0,0,0,0,0,0,309,65446,838,57167,39139,143706,22992,252570,596128,44,1,207,317,0,0,0,0,0,0,0,0,0,0,0
부전,0,0,0,0,0,120,0,0,0,0,0,100,0,1435,0,0,52629,19,628,8353,610,21371,30513,38163,16740,8316,6720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,1248,0,0,576,0,0,0,0,0,0,4608,6845,1355,1218,1850,3,0,43,5,22464,544987,181285,61919,8813,0,0,605,0,0,0,0,0,0,1320
좌천,0,3,0,0,0,1,0,0,0,0,0,0,0,3552,0,1,203149,186,139,1313,108,3496,2905,3502,2352,5208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3148,0,0,0,0,0,0,0,0,0,0,0,166,347,88,323,318,6,0,20,5,599437,152817,285538,40743,8258,0,8,5,0,0,0,0,0,0,0
울산,0,2,0,0,0,0,0,0,17,2,8,0,3,12322,0,10,91695,35,1677,21090,1313,44101,47100,50193,24411,39778,0,0,0,0,0,0,0,0,0,0,0,16,0,2,330,0,0,0,0,0,0,0,2,0,0,2,43471,0,0,0,0,0,0,0,0,0,0,0,3205,7558,936,2958,6233,27,3,215,6,214346,276071,71036,578723,40392,0,0,146,0,1,0,0,0,0,0
경주,41675,31,13,0,1,2,0,16,3162,100,182,3075,1950,90338,171,10,53152,38,957,9404,287,23146,27397,33688,22841,63486,2640,0,0,0,0,0,0,0,0,0,0,0,0,6,44,0,0,0,0,0,0,0,0,0,0,0,32683,0,648,0,0,0,0,1684,1231,177,2,0,2096,5888,876,699,3031,29,6,192,51,67670,35958,557607,74182,463157,0,0,4,0,0,0,0,0,0,0
포항,1,3022,3811,721,4,2,0,1,128,10,380,69,212,44925,2,4,8307,0,3253,1334,21,767,3962,1488,2051,12520,1440,360,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144,0,1704,0,0,0,0,7,113,1,5,0,21,9,0,0,3,4,0,14,3,9998,7613,41297,468594,4519410,2160,15,16,0,0,0,0,0,0,0
진해,144,1027,308,2,70,20,27,10,109,10,3,8,88,2007,1975,3931,5244,0,0,0,0,0,0,0,0,0,504,3,0,0,364,0,432,0,0,0,214,75,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,272,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2880,310008,18735,256188,1729,754,220,45,69,4,23
진영,6500,99,2368,2,1319,5,689,301,1884,0,233,493,937,14591,4943,83405,144972,0,0,0,0,0,3,0,0,0,0,0,0,0,26,42,182,0,0,0,0,420,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,25,24,21643,95911,176721,8882,4992,1925,175,258,35,298
마산,124225,2263,33750,3,24260,17,15534,9654,26314,32,6468,16209,14916,41633,19992,129075,79788,0,0,0,0,0,0,1200,132,315,5886,1309,0,0,1460,1069,8421,791,51,525,279,11274,26,1,0,240,2,0,0,0,0,0,0,0,0,1876,0,120,1872,0,0,1848,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,602,0,0,1,2,108652,177267,861,366656,97075,27577,4468,3304,700,9026
군북,6196,10,2023,0,1148,0,327,253,1084,0,82,358,498,2467,131,4072,44684,0,0,0,0,0,0,0,0,0,0,16,0,0,12,4,184,36,0,29,2,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,905,8592,394077,80166,136594,3373,407,142,25,181
진주,34940,810,5608,0,7286,0,3418,2456,7139,0,862,739,2035,2360,679,9100,45349,0,0,0,0,0,0,480,0,0,10006,1620,2,0,551,255,3034,1025,24,303,471,24598,313,0,0,120,0,0,0,0,0,0,0,0,0,1314,0,0,720,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,267,4406,97513,124376,346296,296377,14607,3776,58,4096
하동,17318,0,3303,0,1567,0,368,251,842,0,16,62,174,450,28,1248,21619,0,0,0,0,0,0,0,0,0,184,497,6,0,27,18,298,395,28,248,300,46069,1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,25,1651,28580,3306,304357,143588,45153,5461,127,925
광양,18780,0,5185,0,1554,2,223,165,353,0,0,7,26,540,18,445,8905,0,0,0,0,0,0,0,0,0,126,427,0,0,38,29,312,674,124,708,551,92946,5668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,128,4882,339,14752,34541,39221,28209,302,1308
보성,44645,126,17236,1,5430,0,2513,1079,2747,0,0,0,0,4,0,1198,30427,0,0,0,0,0,0,0,0,0,531,3105,1365,217,3015,1882,3202,20,40,1864,581,125176,37591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,216,3725,113,3340,5753,5083,598124,127447,321452
화순,3894,66,2659,0,967,1,271,270,206,0,0,0,0,2,1,152,5384,0,0,0,0,0,0,0,0,0,89,199,111,22,1250,1018,2149,0,0,11,0,8329,7605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,817,18,259,111,272,82606,83910,169039
광주,237526,46694,100286,0,37931,2886,17944,14296,30942,5,0,314,5,913,0,1177,31957,0,0,150,0,0,0,482,0,696,20350,26399,23844,6465,58049,41338,234323,11,0,0,0,19470,15317,0,0,4376,0,0,0,0,0,0,0,0,0,230,120,0,6655,4540,0,4166,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,1320,0,0,0,0,1,210,7589,48,2236,1011,995,354134,142928,195498
