0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
성북,504,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,432,0,0,360,0,1026,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0,11,4779,28,84,198399,538985,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0
의정부,366,0,0,0,0,600,0,0,0,0,0,0,0,288,0,0,2071,0,1800,8799,0,0,0,0,0,2208,0,646,0,0,0,0,0,571,0,0,0,0,0,480,504,0,0,0,0,0,0,1162,0,4743,60,0,2,1794947,1240517,94,102,5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
신탄리,0,0,0,0,0,480,0,360,144,0,0,0,1478,72,0,0,144,0,2,960,360,240,0,0,0,1176,0,0,0,0,0,0,0,720,0,0,0,550,0,0,0,240,0,0,0,0,0,0,0,15,2,0,0,1288081,717030,24,133,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청평,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368,0,0,0,0,0,0,1320,0,0,0,288,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343541,173776,1389,80,61961,82703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,0,0,0,0,0,0,792,0,72,0,0,0,0,0
춘천,0,600,0,0,0,600,0,0,152,0,0,0,0,0,0,144,360,0,0,0,0,1440,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,1397639,395886,577,12,111100,131799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일영,8558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,5760,0,0,0,0,0,0,0,0,17657,0,830,0,4983,4,0,0,3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,2,0,0,0,0,0,0,165,7,496,151443,22309,47521,1042,789,15271,0,1,109,11,797,7992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,56231,79306,5756,8591,0,5,7,1,2,34,0,4,0,1,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0
점촌,2,3,1,0,56,0,0,0,79,0,24,172431,19715,56083,1411,1049,17965,1,3,47,3,1467,19680,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,69886,16547,48328,291774,0,0,171,27,6,29,0,0,2,0,0,0,0,210,1,0,0,0,0,0,0,0,0,0,0
예천,0,0,0,0,3,0,2,0,5,0,2,20942,9963,19012,0,2,14,37,28,160,14,1304,129518,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,0,0,0,0,5680,55735,79403,609,0,58,545,58,64,671,0,0,4,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
문경,0,0,0,0,0,0,0,0,0,0,1,5316,4182,10795,0,0,1,0,0,0,0,36,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8458,386588,488,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
군산,531,139,71,1,38,4,10,56,5812,1,0,1,0,16,0,5,47,0,0,0,0,0,0,0,0,0,9550,529896,13554,1923,618,389,3604,37707,1110,1467,521,815,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,320886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4
춘양,0,0,0,0,0,0,0,1,1,0,0,9,5,7581,0,0,4810,6,77,312,9,967,73560,3051,1154,980,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,21960,0,0,0,0,0,0,9,16,16,0,0,142977,69654,9158,8970,7900,242,169,169,3176,4804,77,6791,2311,8,321,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,1612,5,0,0,0,1,10,25210,0,0,16664,0,227,11510,7,9739,116091,20604,4766,8133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73286,0,0,0,0,0,0,5,13,15,0,0,66840,85969,26347,101451,110330,6515,8584,2578,31725,5431,104,9809,5053,0,643,0,0,0,0,0,0,0,0,0
도계,0,0,0,0,0,0,0,0,0,0,0,0,12,7388,0,0,3323,0,150,8927,2,6404,16384,3905,911,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51348,0,0,0,0,0,0,0,3,2,0,0,7521,21819,97906,191392,97810,1478,5628,2996,3272,1249,47,1798,1393,0,0,0,0,0,0,0,0,0,0,0
동해,0,0,0,0,0,0,0,0,0,0,0,0,0,7373,0,0,4954,0,558,5570,0,18289,34733,6129,1296,2491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58853,504,0,0,0,0,0,0,1,0,0,0,7928,105648,200770,4010,79003,5842,11255,4288,54614,999,149,4025,1492,0,0,0,0,0,0,0,0,0,0,0
강릉,0,0,0,0,0,0,0,0,1365,0,0,1023,2807,23591,221,0,6532,0,214,3811,0,6912,54289,9018,1800,6303,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,32002,0,0,0,0,0,0,1,1,596,0,0,8830,126810,88134,86321,156100,1176,1270,1470,28441,885,200,8864,3407,0,0,0,0,0,0,0,0,0,0,0
정선,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,32,200,30935,24,70455,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,89,0,0,0,0,0,0,0,0,0,0,62298,0,0,0,0,0,0,0,0,0,0,0,2,5350,174,4212,1375,669508,30047,22434,81791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍룡,0,0,0,0,0,0,320,93,4,0,0,0,0,135,0,0,10,65,704,13646,3,43436,156,48,13,61,0,0,0,0,0,0,0,0,0,0,0,0,0,569,505,0,0,0,0,0,0,0,0,0,0,71982,0,0,0,0,0,0,0,0,0,0,0,1,3769,2979,8723,1973,44565,42236,35063,96065,0,0,1,213,0,0,0,0,0,0,0,0,0,0,0
석항,0,0,0,0,0,0,0,99,1,0,0,0,0,96,0,0,0,7,331,20909,8,41959,191,54,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,243,244,0,0,0,0,0,0,0,0,0,0,41434,0,0,0,0,0,0,0,0,1,0,0,5,4178,1646,4009,2113,28950,33124,4827,64254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
고한,0,0,0,0,0,0,448,108,0,0,0,0,0,2,0,0,0,9,1691,115421,24,196105,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,552,0,0,0,0,0,0,0,0,0,0,262744,0,0,0,0,0,0,0,0,0,0,0,1,38156,633,53563,44918,63401,102808,71013,380580,0,0,0,186,0,136,0,0,0,0,0,0,0,0,0
부전,0,0,0,0,0,0,0,0,0,1369,0,0,864,9476,0,0,28865,17,769,11047,241,23175,31392,29902,11206,6094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2491,0,0,0,0,0,0,1352,0,0,0,0,0,0,0,1,0,0,0,4692,8543,1518,1048,1443,0,1,2,3,10001,346510,310763,53926,6219,0,0,0,0,0,0,0,0,0,0
좌천,0,0,0,0,0,0,0,0,13,0,0,0,0,1910,0,0,198239,137,146,911,94,2514,2204,2532,1433,4379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,0,0,0,0,0,0,0,0,0,0,0,73,324,55,171,321,7,0,10,0,354747,57620,168985,25982,5861,0,0,1,0,0,0,0,0,0,0
울산,0,0,0,0,0,0,0,0,3,0,0,0,0,6666,0,0,166558,27,1985,27834,2259,47830,57659,55806,22120,34173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,52516,0,0,0,0,0,0,0,0,0,0,0,6433,9858,1652,3707,10539,1,51,11,4,235544,141226,27208,425774,26595,0,0,2193,0,0,0,0,0,0,0
경주,230351,2,0,0,2286,0,1,0,10013,10,0,2097,2858,61384,1,2,41171,49,902,10456,221,22702,30713,30237,21717,39364,0,0,9,0,0,0,0,0,0,0,0,485,0,0,19,0,0,0,0,0,0,0,0,0,0,26277,0,648,216,0,0,0,882,166,3,3,0,1724,5202,1240,1393,4239,6,216,0,2,51381,23288,434895,49550,304784,0,0,263,0,0,0,0,0,13,0
포항,0,1865,5,0,0,0,0,0,0,0,1,1,2,28178,0,0,4548,6,4,86,4,4451,468,462,507,6586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,66,0,0,216,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,1,8279,4712,28968,276471,3675347,5006,0,0,0,0,0,0,0,0,0
진해,9047,490,2563,0,1445,0,27,792,2852,0,1,1,1,5847,1307,2130,3579,0,0,0,0,430,1568,330,461,0,0,0,0,0,0,0,1272,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,120,0,0,0,0,0,0,0,504,0,321,67,0,0,0,0,0,0,0,0,0,0,0,2640,311399,8608,198685,385,161,14,0,2,0,0
진영,8218,41,2929,0,1970,16,823,496,2074,0,287,619,1444,15551,3564,57031,113498,0,0,0,0,0,0,0,0,0,0,0,0,0,26,58,318,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,10369,40628,157531,7067,4348,1297,246,213,40,209
마산,192198,2066,57480,4,47831,497,22617,13050,39451,33,7764,17946,24685,95714,23553,116519,39743,0,0,0,0,0,0,0,0,0,130,854,0,0,1589,1020,8832,705,17,860,269,8359,63,0,300,0,0,0,0,0,0,0,0,0,926,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,64584,145252,355,285572,86504,24738,4026,2836,651,8290
군북,7242,12,2343,0,1843,37,460,319,1216,2,64,347,835,3005,477,2927,23643,0,0,0,0,0,0,0,0,0,21,51,0,0,19,22,173,63,0,29,13,861,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,317,6621,2611278,36205,108162,2292,416,150,21,157
진주,39296,10,9958,0,12968,680,5467,3743,11765,270,699,1382,3576,4905,1121,7911,28757,0,0,0,0,0,0,0,0,0,1726,1625,0,0,546,286,3014,1525,87,393,411,16596,51,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5996,3,0,0,0,26,3507,86696,91407,238566,277852,14004,3160,63,2965
하동,16390,0,4170,0,1996,27,376,320,815,0,25,33,124,442,193,731,11917,600,0,0,0,0,0,0,0,0,343,239,0,0,17,34,248,268,9,2244,203,45676,6246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,24729,2144,244600,87622,25209,4511,780,5189
광양,18306,0,5004,0,1746,47,272,298,658,0,0,57,75,677,57,456,5792,0,0,0,0,0,0,0,0,0,291,562,0,0,37,74,575,819,60,564,1258,43074,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,3755,403,12386,19180,25822,16502,486,1332
보성,61036,12,20897,0,9022,2064,1798,1173,2727,0,0,0,0,0,0,579,16229,0,0,0,0,0,0,0,0,0,1438,2989,2141,364,2226,2325,2267,8,0,61,3224,84918,23771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,154,2588,74,1721,4446,3069,442771,108006,324731
화순,4767,36,2686,0,1038,214,200,131,228,0,0,0,0,0,0,104,4575,0,0,0,0,0,0,0,0,0,128,262,164,15,3213,2884,1861,0,0,2,0,8094,6588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,29,892,22,193,796,298,64588,31532,100842
광주,273919,14463,83565,0,43722,9215,18432,11198,27981,0,0,123,0,756,0,418,32176,0,0,244,0,0,0,0,0,20,20463,28596,20079,2951,155897,29442,214676,14,0,0,0,20817,12955,0,992,360,0,0,0,0,0,0,0,0,0,120,1080,5894,6652,0,1228,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,149,8496,93,2083,22635,1369,367292,110080,149974
