0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
원주,648,0,0,0,0,0,0,64,344,107,171,0,0,0,288,0,6593,1960,41224,17300,410,31010,27529,18649,435,1533,2,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,361165,0,0,0,0,12,0,0,0,0,0,0,96,1275,4046,4014,13072,9054,12677,3738,61257,4035,487,4832,2156,1067,0,4,288,0,0,0,0,0,0
봉양,0,0,0,0,0,0,0,274,168,0,0,0,0,0,0,0,3,79,142,669,17,514,394,111,26,36,0,207,231,0,0,0,0,0,0,0,0,0,48,3065,705,0,0,0,0,56,0,0,0,0,3397,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,15,4,5,0,23,295,49,373,124,0,0,0,0,0,0,0,0,0,0
제천,1923,0,3042,0,5398,2344,8181,52203,93241,0,0,290,129,6216,0,0,7360,374,7687,25693,270,4818,42911,36946,1265,3129,145,627,568,12,0,0,0,0,0,0,0,471,577,181989,65714,0,0,0,0,367,0,0,0,0,189662,0,0,0,0,0,0,0,0,0,0,225,89,1233,3578,12627,25190,13332,8203,3860,54529,9096,1515,12710,4517,0,0,0,0,0,0,0,0,0,0
영주,2265,0,2151,0,7598,2362,4920,427,2277,0,0,9650,10417,22436,1434,672,19530,121,4324,26376,288,45287,2668,57387,5563,11352,0,0,0,0,0,0,0,0,0,0,0,0,0,9263,2973,52,51,0,0,323,0,0,0,0,240841,145,0,0,568,29,0,4037,2724,817,0,0,11125,27958,3847,12377,23889,131,51,152,2610,7221,904,18744,8656,0,0,0,0,0,0,0,0,0,0
안동,1102,0,907,0,3350,942,2157,0,0,0,0,0,0,30824,0,0,8875,698,4017,18784,8,35747,55245,2359,11685,20426,0,0,0,0,0,0,0,0,0,0,0,0,0,2877,1163,0,0,183,192,160,0,0,0,0,180166,0,0,0,31,0,0,0,50,0,0,0,2080,10150,1514,5565,7858,0,0,0,1467,12665,1816,23310,18064,0,0,48,41,0,0,0,0,0,0
의성,0,0,0,0,0,0,471,0,0,0,0,0,0,24966,0,0,1671,99,63,437,25,1221,5010,15224,3565,16914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6927,0,0,0,0,0,0,0,0,0,0,0,332,951,234,751,1154,0,0,0,2,3936,574,7679,7754,0,0,0,0,0,0,0,0,0,0
영천,29774,0,2738,0,10115,192,2137,100,8634,77,114,2196,13384,168117,0,0,1703,27,194,1415,19,3078,11477,19479,19965,10891,454,116,75,15,0,0,0,0,0,0,0,459,0,245,203,0,0,0,0,0,0,0,0,0,1538,0,288,576,0,432,0,0,0,0,0,51,1310,3564,487,1253,2237,0,0,0,0,6026,2133,13347,59366,54509,0,0,0,0,568,0,960,0,0
논산,263784,7661,182737,1069,109408,19365,41747,32368,151189,0,1020,79,167,1487,1152,0,0,0,0,0,0,29,0,0,0,440,6612,28651,17374,25194,9372,3233,17304,13205,620,2374,2178,11227,8767,108,10937,124,0,0,0,0,0,0,0,467,8280,1440,10584,0,0,3888,0,51,61,0,0,31187,0,1,2,13,176,1,2,3,45,0,270,3,574,197,0,0,0,0,296,58,37,645,367
익산,375788,576,229854,1186,159170,29236,43240,32941,136457,0,120,94,257,1454,0,0,0,0,0,0,311,254,0,0,0,128,29849,9964,129153,19397,23887,9369,46185,77031,11580,45839,9366,42460,37377,27,261,0,0,0,0,88,0,0,578,564,0,0,302,0,0,102,0,0,0,10,108838,76859,0,6,11,64,1535,8,76,3,112,157,0,6,893,0,0,0,0,0,1646,122,166,2790,305
정읍,260327,143,170098,1490,106813,15604,22274,15052,63108,0,24,386,86,1001,0,0,0,62,0,0,127,314,0,0,0,79,18202,122848,32248,12890,15925,6282,36874,0,0,0,0,1623,1,30,233,0,111,0,0,0,0,0,0,265,455,109,179,90,0,8,0,135,183,0,57,38952,0,0,18,40,542,35,310,0,207,220,0,4,287,0,0,0,0,0,314,0,0,1801,223
장성,75798,1123,38918,602,25719,3054,5079,16276,20099,0,11,20,45,19,0,0,0,0,0,0,0,14,0,0,0,1,5613,21314,11911,603,6335,2459,14402,0,0,0,0,228,0,4,199,0,0,0,0,0,0,0,216,213,864,360,6497,720,576,301,0,0,0,0,4,2473,0,3,2,10,768,0,0,0,25,0,0,2,10,0,0,0,0,0,0,0,0,598,58
송정리,112018,731,54194,466,30783,5359,6997,4676,16696,0,0,0,0,0,0,117,6381,0,0,0,0,0,0,0,0,0,9526,25558,17511,5498,358,4625,156621,0,0,0,0,2914,749,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,879,93,1419,181,313,13346,2377
영산포,55525,49,38572,676,23489,3493,4712,2935,9772,0,0,0,0,0,0,62,1658,0,0,0,0,0,0,0,0,0,3961,10148,6685,3247,2589,2,23254,1,0,0,0,1358,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,248,9,145,67,112,1205,393
