0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,태화강,여수엑스포
구미,347992,86052,39529,118888,23180,12374,47654,12108,7729,225013,6954,23861,178784,96,73076,1326451,140040,16251,91825,180491,0,0,0,0,0,145,0,0,4338,0,0,2461,0,0,0,0,0,0,0,0,195,0,0,0,0,0,481,394,0,0,0,0,0,200,0,0,0,0,2727,0,0,0,0,0,0,0,0,0,0,17473,8460,4024,216,9,12,11,87,59,994,1738,0,0,0,0,0,0,8990,0,2701,429,2947,196,4070,1299,6671,3676,151,524,59,124,0,0,0,11215,0
왜관,23718,14639,0,15308,5854,0,6816,3727,1720,28185,1548,4710,31090,73021,1348,526180,80849,4472,21001,29902,0,0,0,0,0,105,0,406,1210,0,0,0,0,0,0,0,7,0,0,0,32,0,0,0,0,0,106,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5061,2625,920,0,3,3,2,2,3,34,249,0,0,0,0,0,0,1599,0,0,0,0,90,0,345,1117,728,67,256,21,20,0,0,0,0,0
동대구,3351417,134833,643751,350721,58388,286060,70108,25976,13910,719541,11050,42205,403590,1358755,525868,33166,557646,239739,515553,1329950,0,0,0,0,0,0,276,450,11714,12276,12912,216898,0,0,0,0,403,288,0,0,0,0,500,0,0,400,2291,41629,0,0,0,0,0,991,0,0,397,0,34625,0,138,0,0,0,0,0,0,0,0,34083,20564,6242,504,1310,1521,1749,10639,2093,4789,15502,812,0,0,0,72,0,48381,19122,191039,7804,65529,30386,74415,50527,200324,71631,1004,1575,823,573,1633,0,0,354683,0
경산,28493,17614,0,22478,6475,0,8518,5512,8206,23349,1623,3607,32747,144216,85303,564297,110251,91792,169793,201430,0,0,0,0,0,0,0,0,949,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469,3294,1093,0,4,8,0,30,5,38,485,0,0,0,0,0,0,11938,0,0,0,0,6055,0,13289,52603,30548,471,2072,387,167,0,0,0,0,0
밀양,225176,6576,37803,13423,3150,21744,3463,1936,619,42662,471,2300,4724,20123,5456,244708,84689,60769,403183,376108,0,0,0,0,0,0,151,0,824,0,0,0,0,0,0,0,330,72,33,10,7,77,0,0,0,0,1052,1035,0,0,0,0,0,0,0,0,0,0,705,0,6,0,0,0,0,0,0,0,0,942,462,301,0,2,7,3,24,3,17,622,0,0,0,0,1,3,29143,143,39,0,95,10026,0,32853,139316,53422,1054,4426,572,144,50,24,12,136,0
구포,534150,26764,83697,45977,11972,64902,14864,7119,2371,153632,2692,9470,23523,93955,22308,485659,168603,424337,55593,78240,0,0,0,0,0,0,144,0,1948,0,0,0,0,0,0,0,401,0,98,41,47,296,0,0,0,154,2534,4106,0,0,0,0,0,0,0,0,0,0,2483,0,16,0,0,0,0,0,0,0,0,6446,4280,2239,0,9,10,3,99,152,132,2180,0,0,0,0,42,7,29485,1400,1959,33,1372,0,0,7430,21983,7390,2878,9245,2033,291,338,56,38,988,0
부산,3892343,82574,717172,320881,26194,326084,30279,16035,5141,743719,4453,21000,41178,198541,34003,1303288,216550,394929,81849,650,0,0,1,408,0,0,41,0,3498,0,0,0,0,0,0,0,466,216,12,6,16,62,0,0,0,45,500,79746,0,0,0,203,156,99,0,0,0,0,45095,0,593,0,0,0,0,0,0,0,0,14949,8942,3742,432,48,37,32,1386,89,628,4923,0,0,0,0,345,0,334,520,98003,7,597,0,0,2141,1873,872,730,3383,523,268,161,43,7,142156,0
팔당,0,2,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,2758,2053,9368,67,1829,175,284,325,370,0,0,0,0,0,0,28,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,286,149,298,0,28,253,60,708,668,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양평,4141,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,2838,6532,22607,66973,205,14440,1971,2802,3438,4188,187,158,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216328,0,0,0,0,0,0,0,0,0,0,0,0,0,300,31,542,1006,2773,382,51,1455,168,3479,2332,1374,188,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0
양동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1972,22660,672,8149,16,1086,55,162,162,226,3,12,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,116,298,0,3,100,29,249,236,11,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
원주,98,0,0,0,0,0,83,0,0,0,0,8,0,0,0,0,0,0,0,408,9009,70645,9168,1571,109,40714,6370,16674,9813,12911,392,880,0,0,405,0,387,0,0,0,0,0,0,0,0,0,281,0,0,0,0,77,146,153,0,0,0,0,0,0,0,348282,0,0,0,0,0,0,0,0,0,0,0,0,0,46,92,3964,2075,5965,982,203,12599,2976,21055,18540,4551,332,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,0
신림,0,864,0,432,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,7,430,8,407,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,820,0,0,5775,864,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,10,0,0,9,4,30,31,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제천,3859,1514,0,3292,1793,0,6922,39537,8273,84793,0,0,138,145,105,0,0,0,0,0,2075,12435,1517,39300,102,145,8522,16493,27361,19892,444,1252,0,1,390,0,227,115,1096,0,0,379,0,0,749,409,109,119201,13402,11602,68907,0,39,180,365,103,0,50,28,545,771,149682,490,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3369,10402,18732,5587,128,15660,3957,28425,15465,5661,766,2011,0,566,892,0,0,0,632,0,0,0,0,178,0,928,4287,125
단양,0,432,0,0,0,0,0,117,20,94,0,0,0,0,0,276,0,151,144,41,142,2116,125,6869,1,9527,0,1423,3533,5275,205,397,7,0,0,0,286,20,306,23,29,38,0,0,0,0,0,108,0,0,0,0,0,0,167,0,0,0,0,0,0,27218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,8,264,41,0,0,0,0,0,0,1984,343,1087,0,212,2,0,0,0,92,0,0,0,0,21,0,25,3145,0
풍기,3871,456,0,48,518,0,0,0,0,0,0,0,0,0,406,450,0,0,0,0,260,2857,183,17009,20,16975,1425,136,4076,18873,169,268,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,383,28,51,28,52534,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,24,412,332,0,0,0,0,0,0,1216,115,650,0,0,65,0,0,0,0,0,0,0,0,0,0,4,1771,0
영주,161,0,0,0,0,0,0,0,0,0,0,0,6403,4489,812,11752,1113,881,2257,3954,329,3519,192,9585,49,29971,3910,4789,0,71112,2543,2491,0,352,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,63071,0,0,263,0,0,0,0,4293,4258,2519,0,1419,6592,9777,5923,1542,8939,8981,0,0,0,0,0,0,4997,761,3831,0,702,526,2969,41,45,406,0,415,4,0,35,0,45,7738,0
안동,2,179,0,94,14,0,135,0,0,0,0,0,0,0,0,13775,0,0,0,0,384,3844,189,13312,30,21770,5726,18334,73498,206,20892,6499,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,119,126,178,445,143,240,0,0,0,0,68739,0,0,0,0,0,0,219,0,0,0,0,3225,2401,1789,3928,540,3829,5223,0,0,0,0,504,0,10277,1623,9249,0,676,394,8907,191,200,405,29,265,12,0,33,0,85,14195,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13621,0,0,0,0,0,218,10,447,8,404,211,269,2459,22837,1502,4308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3548,0,0,0,0,0,0,0,0,0,0,0,152,77,118,513,247,1608,1519,0,0,0,0,0,0,4782,591,2567,0,37,132,4448,0,0,0,0,0,0,0,0,0,0,5467,0
영천,2828,2125,0,3764,415,0,1118,0,0,2118,0,0,779,2699,0,216159,0,0,0,0,0,215,8,975,6,1286,499,411,2353,5767,4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,106,79,11,0,0,0,0,0,0,726,0,0,0,0,0,0,0,0,0,0,0,199,195,95,832,124,295,906,0,0,0,0,0,0,11720,3348,35610,278,6705,0,2966,0,0,0,0,0,0,0,0,0,0,25679,0
계룡,89490,25648,6712,22267,7904,1798,19746,8418,6623,31150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,18983,16741,2100,2928,1919,3724,675,425,3395,4774,137,677,682,1896,161,0,0,0,6,12,83,351,210,367,0,1397,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,15,185,41,6544,0,1877
논산,113100,92962,8366,74418,18012,1215,53241,24853,18662,290917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,352,2,0,0,17282,4036,64855,7608,8711,4290,10289,2144,1261,10101,19848,711,2997,2369,9593,62,0,0,0,85,138,348,1444,349,820,856,784,1158,110,1982,1584,0,22,0,2592,0,1080,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,152,221,148,615,146,19456,0,7610
익산,446169,85756,90172,98999,25038,22212,38777,24708,15812,219644,0,0,0,0,0,397,0,0,0,0,0,0,4,405,0,389,0,35,256,94,0,0,16969,67644,4612,45465,128333,20310,52802,8625,3468,48362,122820,13072,42385,22571,73694,3132,0,0,8,8342,13047,25678,63356,38073,25476,0,15529,0,0,258,0,0,0,0,792,258,236,0,0,0,0,0,0,0,0,82,519,573,0,0,0,0,132,23,0,0,162,0,0,0,0,0,0,0,0,183,0,0,1055,268,74734,0,58991
김제,68019,37780,7502,32290,6255,1212,10268,5432,3317,29632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594,7983,45172,6436,23689,6224,13364,2112,1164,8971,0,0,0,0,363,134,0,0,0,0,0,0,0,0,0,0,1384,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,71,21289,0,0
정읍,172851,35567,26498,37014,7908,5602,12549,6549,3409,49656,0,0,538,0,7,403,38,330,401,466,28,0,22,387,0,227,286,0,0,0,0,0,2804,9347,126379,24022,0,7507,16589,3284,1372,17189,0,0,0,0,328,1305,54,48,615,0,0,0,0,0,0,19,3558,49,37,336,582,331,67,0,0,364,0,0,0,0,0,0,0,0,7,0,0,347,0,0,92,10,91,357,230,0,0,0,0,0,0,0,0,21,22,64,706,0,317,186,16108,0,0
장성,89851,15329,16978,16261,2784,2248,3956,4317,4053,18512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,20,0,0,0,0,0,1789,5226,19601,6951,7713,2277,8084,1960,1227,9735,0,0,0,0,311,438,6,11,222,0,0,0,0,0,0,0,2262,0,0,288,0,360,72,576,7016,195,792,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,24,19,0,0,38,0,0,0,0,0,0,0,0,0,0,0,223,118,4182,0,0
광주송정,334413,20071,73611,22195,6110,10643,7457,5485,3018,45518,0,0,0,0,0,0,0,92,101,28,0,0,0,0,0,1095,306,0,0,0,0,0,3603,11034,53370,15834,16115,8525,3,2872,20811,181505,0,0,0,0,3778,1373,0,0,189,0,0,0,0,0,0,0,7954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1286,0,0,1,0,0,248,286,0,0,0,0,175,0,107,84,96,15,213,197,148,13240,1637,607,0,0
나주,61950,13420,9744,14019,2667,1404,3995,1782,1166,9418,0,0,0,0,0,0,0,7,42,7,0,0,0,0,0,0,23,0,0,0,0,0,558,2337,9246,2561,3785,2073,3386,93,1097,24409,0,0,0,0,384,227,0,0,32,0,0,0,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,30,86,0,0,0,0,0,0,138,23,56,14,40,30,76,277,123,1560,0,0
함평,11881,9787,82,7520,1219,27,2182,872,605,4276,0,0,123,195,32,0,0,2,41,22,0,0,0,0,0,0,29,0,0,0,0,0,328,1148,3337,1140,1313,1095,19964,1005,627,6181,0,0,0,0,231,107,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,79,0,0,0,0,0,0,44,17,40,4,25,16,28,112,102,2284,0,0
목포,345359,21770,63008,26797,8188,15365,11707,6482,2728,73617,0,0,0,0,0,0,0,46,187,48,0,0,0,0,0,374,38,0,355,0,0,0,3073,9864,47454,9127,16884,9750,190661,24596,8278,780,505,0,0,0,874,2208,25,67,350,0,0,148,249,143,0,0,7844,0,0,0,0,0,0,0,0,0,0,80,101,145,0,32,56,32,0,134,76,263,3,0,79,6,19,370,797,0,0,0,0,0,0,211,256,364,121,625,203,158,573,887,20653,0,0
전주,78315,61699,2503,59781,10975,416,17250,12696,4582,40754,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4539,22002,119442,0,0,0,0,0,0,505,4629,28104,84748,29094,90686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,261,120,160,0,96,345,2823,209,44,61,0,0,0,0,0,0,0,3172,0,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,500,83985
임실,8689,8281,0,5496,906,0,1743,813,499,2752,0,0,0,0,0,0,0,0,0,0,92,162,0,0,0,0,0,0,0,0,0,0,160,729,12837,0,0,0,0,0,0,0,25439,388,1175,1375,4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5343
남원,29390,22534,126,19569,3777,166,6740,2705,1141,11998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,0,0,0,0,0,560,2885,44527,0,0,0,0,0,0,0,78348,1168,0,3563,29072,3,0,0,38,0,0,0,0,0,0,254,115,244,135,0,374,266,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,3,0,0,0,0,0,63,0,0,0,0,0,0,23884
구례구,31237,23735,312,16792,2632,58,4247,2055,871,9299,1,7,0,0,0,400,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,483,1927,23442,0,0,0,0,0,0,0,26205,1303,3030,1894,32791,393,65,91,33,0,0,0,0,0,0,0,0,0,0,211,0,800,0,0,86,18,244,0,0,0,0,0,0,0,27,32,28,131,0,11,0,0,0,450,0,0,0,0,0,757,0,0,1014,0,0,433,0,0,0,0,0,0,30779
순천,92641,53779,3850,46537,10212,1080,18868,9031,3068,41354,2,19,99,413,39,1936,391,804,1948,524,0,0,0,280,0,0,0,0,2,0,0,0,1484,8477,78035,173,161,287,4388,435,276,1052,88014,4540,31371,34064,0,233,67,52,17,0,0,0,0,0,0,0,39,45,31,302,0,0,0,0,96,0,624,0,0,0,0,0,0,0,0,29,126,1442,0,0,0,0,0,12,6727,41,128,0,120,196,0,923,3801,4716,1118,11950,8399,3171,24994,5043,3411,95,81873
청주,287804,6353,70405,2780,1374,4505,3847,17158,6594,101513,0,0,0,373,0,40926,0,1660,6888,77946,0,0,0,0,0,110161,108,0,0,0,0,0,111,163,3148,185,1330,273,1694,272,49,2634,0,0,3,393,232,12119,10699,13069,70130,0,0,0,0,0,0,0,4504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,30,1042,1544,367,0,71,0,272,410,0,0,3859,0,172,119,0,474,2885,2065,0,0,0,0,0,29,2857,15621,0
증평,1536,1779,0,948,881,0,1296,13238,3250,17119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15578,0,0,0,0,0,0,0,0,0,0,54,6,0,0,0,25,0,0,0,65,67,8765,0,1048,12865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,144,80,0,8,0,24,11,0,0,0,0,37,94,0,0,0,0,0,0,0,0,0,0,0,0,0
음성,506,867,0,481,199,0,982,7132,1814,18622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13403,0,0,0,0,0,0,0,0,0,0,48,11,0,0,0,67,0,0,0,91,52,11368,914,0,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,159,98,44,0,5,0,4,7,0,0,0,0,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0
충주,2264,2535,0,1207,860,0,4050,28730,8185,68382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481,0,0,0,420,0,0,0,1,7,0,616,222,191,32,30,354,0,0,38,33,14,73821,11426,2210,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,190,359,17,0,24,0,77,21,0,0,0,0,0,659,0,0,0,276,0,0,0,0,153,0,16,0,423
온양온천,160432,175221,0,110806,29395,0,47272,0,0,23,0,0,0,0,0,0,0,0,93,110,0,0,0,77,0,0,0,0,0,115,0,110,1,39,8267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3247,54312,79338,41313,12575,11423,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
예산,89686,103751,0,64997,20127,0,191118,0,0,63,0,0,0,0,0,0,0,0,119,37,0,0,0,146,0,39,0,0,0,126,0,106,20,226,14367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45413,11222,39098,36232,11267,10282,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,146
홍성,126147,134524,0,90914,25990,0,203194,0,0,941,0,0,0,0,6,800,0,0,99,0,0,0,0,153,0,180,0,0,0,178,0,79,55,825,26249,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,77132,34347,2310,53788,10933,8060,0,0,0,0,100,0,0,0,0,289,227,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,57,99,0,110,0,0,0,171
대천,110657,96871,0,83872,20841,0,124114,0,0,4910,0,0,0,200,0,191,397,0,0,0,0,0,0,0,0,365,167,0,96,356,0,11,267,683,65381,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,36302,25252,50267,2611,16677,14746,0,0,0,0,695,720,0,0,0,288,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,149,192,0,237,0,0,0,3
장항,49385,46869,0,32179,5095,0,22095,0,0,4256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,138,0,0,202,309,36249,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,11978,10664,11189,16231,478,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,141,94,0,120,0,0,0,0
군산,25049,27556,0,26378,5932,0,18918,0,0,2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,7,0,307,1328,22809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10608,8542,8446,13459,1539,74,0,0,0,370,43,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,793,0,0,0,0,288,362,0,0,0,0,385,345,0,0,0,0,0,0,0,0,0,0,0,0,347
수색,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,814,50,0,383,0,0,0,0,0,856,0,0,19,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
능곡,2135,0,1799,0,0,24304,0,0,0,50578,115,0,105,1990,0,46685,0,2220,6950,55325,0,0,0,0,820,28,0,28,0,0,0,0,1185,1894,15794,837,4556,1415,11563,1292,8,9360,0,0,115,0,0,5557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,140,0,0,8058,0,0,0,0,0,0,0,0,0,0,0,0,0,7288,9836,39
일산,0,0,0,0,0,0,0,0,0,0,177,0,83,0,0,0,0,0,0,0,0,0,0,0,0,545,0,51,0,0,0,0,0,1158,0,0,49,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
문산,0,0,0,0,0,0,244,0,0,0,94,0,36,0,0,138,0,6,16,991,0,0,0,0,0,771,0,28,0,0,0,0,0,110,0,0,37,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,129477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
청량리,11,0,0,0,0,0,0,0,0,0,0,1318,234,0,0,0,0,0,0,0,392,239282,41236,370119,5785,160546,28162,52880,60555,64937,2968,515,0,1982,258,0,336,288,0,0,0,0,191,601,0,211,302,0,0,0,0,0,0,100,695,0,43,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,4664,362,14159,19294,101565,12939,437,26091,4754,57752,59673,1889,820,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,0
성북,0,0,0,0,0,0,0,0,0,0,0,552,217,0,0,0,0,0,0,0,0,0,0,0,864,490,0,0,0,0,0,0,0,1584,0,0,582,0,0,0,0,0,261,0,374,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,194,0,0,0,0,223,324,0,0,0,0,165,290,0,0,0,0,0,0,0,0,0,0,0,0,64
의정부,0,0,0,0,0,0,0,0,72,0,0,146,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,360,0,0,0,0,120,0,266,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,180,31,0,0,0,0,95,47,0,0,0,0,0,0,0,0,0,0,0,0,85
동두천,0,0,0,0,0,0,0,0,288,344,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,263,0,0,0,32,22,0,0,67,72,0,0,0,0,160,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,244922,0,0,0,130,74,72,0,0,0,0,0,0,0,103,0,0,0,0,2,0,0,0,0,0,257,2,0,62,70,99,16,213,81,0,0,0,0,0,301
신탄리,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319412,48870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
