0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,태화강,여수엑스포
동해,494,556,0,0,0,0,0,207,27,797,0,0,130,1121,25,4676,63,33,88,483,147,948,57,1576,14,10808,264,427,9209,3752,1615,328,5,2,539,0,0,148,88,13,0,120,314,0,0,28,126,1688,132,152,248,0,0,0,0,0,398,0,0,0,0,17585,0,0,0,0,0,0,0,127,130,71,0,2056,1602,1052,4719,27416,940,89895,0,180,3570,498,11741,13661,835,153,221,0,0,134,496,0,0,0,0,0,0,0,103,0,229,873,0
강릉,12929,400,0,0,0,0,0,418,55,1032,0,0,482,1390,156,10371,213,259,1601,1335,306,1516,78,2867,4,15146,41,332,7852,5145,1451,792,0,0,288,32,313,144,615,4,8,279,2858,0,0,123,907,699,87,79,260,0,0,0,0,0,395,0,41,23,53,50995,194,17,103,0,0,0,0,476,367,128,0,1279,774,847,4818,19999,70692,74181,0,57,2851,758,16664,25123,3319,308,938,0,0,371,519,33,119,56,23,254,0,304,528,0,506,2139,546
정선,1343,0,0,0,0,0,0,9,0,26,0,0,0,0,0,812,0,0,0,0,0,416,0,794,0,7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,367,80,44,17,0,0,0,0,0,0,0,0,0,0,11508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6089,45,913,284,3257,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,51,5,456,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,163,47,44,0,168,29,133,79,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0
영월,0,0,0,414,0,0,0,28,1,74,0,0,0,0,0,0,0,0,0,0,321,1314,124,11603,14,15098,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,79,0,0,0,0,0,57,4,7,18,0,0,0,0,0,0,0,0,0,0,25074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,771,3539,3576,969,98,0,943,11562,7762,0,0,0,0,0,200,0,0,0,52,0,0,0,0,0,0,0,0,0
예미,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,224,28,3409,2,4265,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,133,476,763,356,24,1048,0,1627,923,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
민둥산,492,240,0,424,0,0,811,132,60,203,0,0,540,0,0,0,0,0,0,0,610,3804,242,21824,50,30077,0,0,0,504,0,0,0,0,314,22,125,35,738,24,5,63,0,0,0,0,0,224,20,3,40,96,0,0,0,0,290,0,0,0,0,62525,223,180,2,0,0,0,0,0,0,0,0,0,0,0,568,2495,12202,16722,2613,205,11818,1628,1251,12777,2805,0,0,0,0,152,0,0,0,0,0,0,0,0,357,0,654,0,0
태백,4146,3184,0,376,0,0,0,98,19,4828,0,0,0,0,0,62,0,1,36,163,682,1905,202,18594,13,15686,0,0,0,0,0,0,0,0,141,0,357,16,251,30,6,370,986,0,0,450,400,394,8,4,9,0,0,3,303,47,362,100,140,0,340,59217,324,31,0,0,0,0,0,0,0,0,0,0,0,0,33,2443,14314,23601,0,115,6306,1033,9670,0,17,0,0,0,0,149,0,0,0,0,0,238,0,173,60,0,298,0,495
부전,5581,3307,0,4080,1233,0,1287,1074,0,5958,504,1007,2390,8624,0,0,0,3,9,375,0,1505,26,3657,645,5732,2127,1216,5199,10592,5131,11954,0,0,0,0,230,0,177,53,54,763,0,0,0,186,6938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2187,0,0,0,0,0,0,0,0,0,0,0,1341,936,393,4082,418,917,4496,0,0,0,0,2799,19,12867,177009,136435,1583,16159,0,5540,10214,10557,6268,4067,16623,4725,599,1007,153,74,390329,108
좌천,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1772,46468,10791,29188,26562,288,0,163,6,320,0,769,392,166,730,1559,550,3968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,199,118,115,555,37,160,339,0,0,0,0,0,0,179844,15851,30728,449,4552,0,2642,232,1266,1884,100,206,11,23,0,0,0,67257,5
