0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산
정읍,180384,34378,25735,36662,7224,4538,11465,5767,2845,48092,0,182,2,0,37,731,0,0,0,0,0,0,0,0,0,729,228,6,324,126,0,64,2539,8865,115030,21629,3,6254,15862,2864,1213,15942,0,0,0,0,224,491,122,0,0,549,0,0,0,0,0,0,0,3626,0,0,262,740,0,0,0,103,75,9,0,0,0,0,0,0,0,0,0,20,164,141,0,0,34,0,517,86,328,0,0,0,153,0,33,0,0,0,0,0,0,0,726,202,12687,0
장성,79891,14738,13668,14575,2510,242,4121,3698,4673,15402,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,5860,17752,6823,6651,1199,7323,2517,1301,8081,0,0,255,0,191,208,129,364,70,0,0,0,0,0,0,0,0,1727,0,0,648,6048,432,72,576,72,72,1017,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,235,3834,0
광주송정,316834,17876,73338,19369,5091,11030,6517,4028,2128,38446,0,311,0,0,0,0,0,302,70,36,0,0,0,0,0,133,212,0,0,0,0,0,2382,7898,44906,13366,15283,7205,10,2679,18297,175469,0,0,0,0,3369,0,138,0,0,0,0,0,0,0,0,0,0,6228,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,1126,0,0,0,0,0,81,371,0,0,0,0,0,0,23,32,57,25,466,674,149,13204,1896,575,0
나주,63423,13645,8512,13776,2287,1450,3705,1456,833,8779,0,0,140,234,52,0,0,1,25,9,0,0,0,0,0,0,104,0,0,0,0,14,428,2065,8543,2195,3397,2605,2108,127,1311,22621,0,0,0,0,582,0,22,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,42,84,0,132,0,110,0,0,4,13,46,8,36,212,44,540,536,1111,0
함평,13099,10284,117,7760,1185,63,1888,726,432,3519,0,14,0,0,0,0,0,3,36,13,0,0,0,0,0,153,10,0,0,0,0,0,292,771,3177,923,1180,1189,17533,1635,1051,6352,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,279,109,0,0,0,0,0,0,13,14,49,8,17,110,34,192,233,3189,0
목포,349579,23348,59738,27495,7907,14348,11409,5849,2226,68921,0,174,39,53,0,77,2,43,217,41,0,0,0,0,0,305,0,10,218,0,0,0,2212,8247,44428,7790,15985,8162,181076,22746,7311,744,0,0,0,0,1802,0,474,39,27,55,0,0,0,638,0,0,0,6864,0,0,0,0,0,0,0,0,0,14,0,287,126,125,0,0,0,0,0,75,263,720,0,0,27,0,16,341,756,0,0,0,0,0,0,119,208,334,124,710,545,173,859,1960,22924,0
전주,58931,60778,0,57225,10437,0,15182,11381,3963,34394,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,300,0,0,0,457,0,0,3296,18119,114053,0,0,0,0,0,0,0,3899,27384,77494,28391,84671,74968,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,7930,0,2,0,0,0,0,0,338,0,0,256,250,0,0,0,0,0,0,0,0,0,0,0,520
임실,7518,9100,0,5239,818,0,1427,867,333,2422,0,0,0,0,0,0,0,0,0,0,51,161,0,0,0,0,0,0,0,0,0,0,122,551,12255,0,0,0,0,0,0,0,23158,228,1003,1705,6217,5594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남원,30269,25845,0,21253,3413,0,6410,2521,1031,10612,0,0,0,0,0,0,0,23,266,53,0,0,0,0,0,0,416,0,0,0,0,0,363,2549,45710,0,0,255,0,0,0,0,67713,945,0,3419,25789,22345,186,19,37,77,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,81,77,778,0,0,0,0,0,0,0,0,0,302,74,39,0,0,0,0,0,37,314,0,298,0,0,0,0,42,12,132,0,0,0,0,0,0,120,0
구례구,34381,25867,0,18248,2386,0,4437,1802,678,9621,112,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,285,1854,21463,0,0,0,0,0,0,0,25180,1471,2891,1515,29018,26682,0,0,0,0,0,0,33,255,116,0,0,73,0,28,78,974,355,138,165,199,38,2,0,0,0,0,0,0,0,0,56,0,115,0,0,0,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0
순천,88167,66720,0,53360,10028,0,20579,8190,2926,37266,249,22,118,281,51,1577,449,642,1640,739,0,0,0,0,0,418,0,0,0,0,0,70,1321,7990,83737,173,176,133,3132,634,334,2476,82233,4590,26477,30886,0,77171,0,0,0,80,25,76,187,0,0,0,0,7,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,303,1071,0,0,29,5,0,85,4687,45,192,3,231,106,0,731,3124,3726,861,9966,6533,3023,22424,4533,2633,433
여수,70177,44136,0,46396,7865,0,16066,7228,2336,31932,15,450,24,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,1172,5587,64675,94,423,170,0,0,0,0,74062,4227,20951,27237,76243,1258,266,82,78,4,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,397,22,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283,1120,907,0
청주,45770,4951,8031,1970,654,771,2768,13965,4275,54211,0,0,0,53,0,5420,0,166,743,16768,0,0,0,235,0,105163,0,0,0,0,0,0,10,7,356,32,112,95,165,42,0,925,0,0,186,0,0,266,2651,4306,8662,54938,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,180,1132,0,0,37,0,169,166,28,0,669,0,230,127,0,18,125,74,0,0,0,0,0,0,376,2241
증평,1705,1747,0,821,593,0,1028,12986,3220,12908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13770,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,39,0,0,19,0,0,82,3688,0,1062,10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,117,0,0,5,0,17,92,0,0,0,0,95,40,0,0,0,0,0,0,0,0,0,0,0,0
음성,475,759,0,515,225,0,773,6987,1924,16059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12286,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,27,0,0,37,0,0,78,8287,920,0,2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,136,0,0,30,0,47,23,0,0,0,0,49,149,0,0,0,0,0,0,0,0,0,0,0,0
충주,3016,1608,0,1309,595,0,3139,32847,9474,62536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60886,0,0,0,0,0,0,0,0,51,7,549,0,0,0,0,63,4,0,77,0,80,4,55447,9461,1915,1939,0,0,0,0,0,268,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,792,182,0,0,16,0,682,29,176,296,0,0,422,383,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,138806,155202,0,94473,21218,0,43921,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,124,0,0,11,125,6422,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,3213,51330,71658,38417,12318,10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,69,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
예산,86829,96721,0,60507,19206,0,156224,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,171,0,0,69,488,11499,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,42783,8863,35181,30892,10038,8179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,139,0,0,0,0,54,228,0,0,0,0,0,0,0,0,0,0,0,0
홍성,119569,126495,0,85020,22051,0,176166,0,0,2928,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,298,1710,21574,0,0,0,0,0,0,0,0,0,0,33,187,0,0,0,0,0,66383,31320,1753,49502,10486,7051,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,184,0,0,0,0,125,266,0,0,0,0,0,34,1,0,0,0,0,0
대천,109229,90691,0,80736,19494,0,110123,0,0,21327,0,0,0,0,0,0,0,0,0,0,0,0,27,296,0,2,0,0,30,296,25,193,757,2702,52010,0,0,0,0,0,0,638,0,0,0,255,0,0,0,0,0,0,33367,21845,46315,2531,16962,12328,0,12,100,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,212,1,0,0,0,0,0,164,409,0,0,0,0,0
장항,49065,45868,0,31846,5141,0,20986,0,0,20577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1223,2123,28649,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,10660,8469,10529,16482,469,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,159,0,0,0,0,0,0,171,135,0,0,0,0,0
군산,23076,23889,0,24006,3982,0,16156,0,0,9792,0,0,0,0,0,0,0,588,102,6,0,0,4,693,0,786,223,0,0,0,0,0,1466,3676,18211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,9062,6746,7114,11454,1339,28,0,0,0,0,288,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,21,279,0,0,11,320,0,129,582,127,4,0,0,0,340,0,22,17,95,69,358,237,0,0,0,0,0
수색,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
능곡,1709,0,1155,0,0,16242,0,0,0,47147,0,146,0,216,0,52251,0,950,9626,55344,0,0,0,0,0,794,0,0,0,0,0,0,569,3262,10620,848,3938,957,7523,1173,3,7332,0,0,0,73,7,0,933,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,322,135,0,0,0,0,0,0,4,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,6490,1441
일산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1338,90,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산,60,0,0,132,0,0,136,58,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,243,40,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,28,13,0,0,0,0,0,0,0,0,77,0,0,0,0,0,181258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,13,87,0,0,0,0,0,0,0,0,0,557,120,0,0,60,0,0,0,0,116,124633,33477,292316,6324,122171,24804,44837,48747,50427,2597,759,0,0,193,2,144,504,0,0,118,0,0,1022,0,78,0,0,0,0,0,0,0,0,864,0,0,288,0,0,0,0,0,1515,0,0,72,46604,592859,632660,0,0,0,0,0,0,0,11374,299,10948,17131,100490,21184,643,24670,4366,48806,63079,1493,533,1362,0,130,46,0,0,0,0,0,0,0,0,0,0,0,1649
성북,0,1,0,0,0,0,0,0,936,0,0,234,0,0,0,0,792,0,0,451,0,0,0,0,0,0,201,0,0,317,0,0,0,1765,0,74,608,1017,0,0,132,0,0,0,87,974,0,246,0,0,0,0,0,0,0,0,0,223,802,0,0,0,1039,123,0,0,0,29057,147865,292592,0,0,0,0,504,0,0,573,0,0,0,242,354,0,0,0,326,571,1584,0,489,0,0,1027,0,0,0,0,0,0,0,0,0,0,0,0
의정부,0,0,0,0,0,0,0,72,72,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,183,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,176,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동두천,0,0,0,215,0,0,0,0,144,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,347,324,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,51,435608,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,29,130,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
신탄리,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,21,0,220,0,0,0,202,102,775,260,0,21,63,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,557991,80084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,55,0,0,130,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0
금곡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,171,103,216,0,0,0,0,0,0,81,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50130,27322,0,0,0,2830,31326,207677,0,0,0,0,0,0,0,170,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0
가평,720,11,0,0,0,0,49,31,27,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,25,541,97,0,0,0,0,0,39,75,81,379,0,0,14,517,0,594,44,375,62,0,0,0,0,0,0,0,0,0,311,0,0,0,0,498965,145409,0,0,0,25735,8556,79457,0,0,0,0,0,79,108,98,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,517,0,0,0,0
춘천,0,79,0,0,0,0,0,72,864,901,0,0,0,0,0,0,648,0,0,0,0,0,0,385,0,0,275,0,0,0,0,0,0,788,0,18,9,1008,0,0,0,0,0,0,261,2,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,572555,328787,0,0,0,213612,73175,21584,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일영,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,327,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,195,0,0,0,0,0,0,0,18037,18870,1898,39902,6024,883,6560,14324,0,0,0,0,0,0,0,0,3648,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668,2198,1211,0,2,1,1,23,5,293,664,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0
점촌,0,0,0,0,86,0,0,0,0,0,0,0,9684,8852,1265,23121,3665,566,5163,9547,0,0,0,0,0,0,0,0,3746,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403,0,756,0,4,1,1,33,4,188,652,0,0,0,0,0,0,0,0,0,0,97,0,0,14,16,63,37,287,7,0,0,0,0,0
예천,0,0,0,0,144,0,0,0,0,0,0,0,4020,4345,604,7848,1137,247,2632,4463,0,0,0,0,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,669,70,0,0,1,1,4,1,103,184,0,0,0,0,0,0,370,0,0,0,84,116,0,0,0,0,0,0,0,0,0,0,0,0
연무대,13680,0,0,144,0,0,0,3456,792,0,0,0,0,144,0,480,192,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,4968,0,0,0,216,216,4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화,288,0,0,0,0,0,0,0,0,0,0,0,56,31,4,1137,17,3,45,48,0,0,0,0,0,0,0,0,707,2565,145,214,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,21,23,4,0,0,523,2024,1191,315,1847,1384,0,0,0,0,0,0,1134,192,399,0,0,0,339,0,0,0,0,0,0,0,0,0,0,1678
춘양,0,0,0,0,0,0,0,0,0,0,0,0,20,38,4,1495,6,3,27,23,0,0,0,0,0,0,0,0,5928,2913,94,177,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,15,4,2,0,837,329,1972,1233,197,1198,799,0,0,0,0,0,0,801,114,184,0,0,0,211,0,0,0,0,0,0,0,0,0,0,835
석포,11995,1652,0,0,0,0,0,0,0,601,0,0,11,18,3,1464,1,0,1,16,91,1158,0,862,0,497,0,0,7595,1982,97,129,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11268,573,72,76,0,170,98,0,0,2,2,8,0,2253,2859,1440,5659,415,1016,810,0,0,0,0,0,2,367,73,91,0,0,0,118,0,0,0,0,0,0,0,0,0,0,475
철암,0,0,0,0,0,0,0,1,0,4,0,0,110,183,487,8901,71,39,169,3034,1,46,4,379,1,271,0,0,6164,4199,796,2267,0,0,0,0,0,0,0,0,0,0,0,0,0,43,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,39,63,25,0,1354,1184,4222,77,663,4600,6236,0,4,256,73,2907,655,4824,747,1327,0,578,0,738,0,0,115,0,0,0,0,0,0,0,6008
도계,0,0,0,0,0,0,0,2,3,29,0,0,75,178,27,3190,95,188,381,594,206,240,58,3233,0,3117,0,21,1622,918,106,110,0,0,10,0,69,0,0,0,0,77,0,0,302,0,0,7,6,1,0,12,0,0,0,0,0,21,0,322,0,0,13523,0,0,0,0,0,0,0,0,31,15,9,0,308,171,428,879,534,24042,19365,0,18,576,177,1967,1692,557,59,92,0,0,0,156,0,0,119,0,0,0,0,0,0,55,441
동해,7025,300,0,257,0,0,512,121,9,291,0,0,333,458,106,4794,49,32,47,200,154,767,63,1759,5,9597,423,399,8683,3374,1282,357,0,0,0,0,164,185,0,0,0,261,0,0,74,115,134,169,693,93,107,806,52,46,101,0,0,279,0,135,0,0,15335,0,0,0,0,0,0,0,0,342,267,130,0,1817,1105,984,4734,22934,662,64157,0,261,3913,560,10382,14569,835,110,230,0,0,41,410,2,0,521,0,49,2,0,0,0,391,695
강릉,6581,523,0,238,128,0,268,117,16,1123,0,0,333,699,88,9245,157,173,593,1407,266,3376,108,4111,4,13131,3,350,8927,4514,749,884,0,0,0,0,65,487,134,25,23,514,7934,0,39,0,0,20,587,81,77,166,0,0,0,0,0,0,0,0,0,0,47448,0,0,0,0,0,0,0,0,619,596,163,0,1429,812,739,4765,18386,61447,71000,0,92,2817,751,16179,23332,3142,304,936,0,0,499,518,77,42,194,0,250,0,0,0,0,1220,2331
정선,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,114,743,0,1283,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,135,135,19320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4878,27,958,288,2732,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,64,4,529,0,354,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1081,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,20,211,79,55,0,217,189,169,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영월,225,0,0,0,0,0,0,12,8,39,0,0,0,2,0,448,0,0,0,0,329,1336,97,10847,5,13919,0,0,0,0,0,0,0,61,0,152,34,0,0,0,0,27,0,0,0,0,29,0,35,0,0,11,0,0,0,0,0,320,0,0,0,0,24149,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,107,595,3868,3309,945,136,0,1010,10751,8777,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0
