0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,12,9531,43,359002,272757,785370,428808,1594716,24709,144495,231608,290847,1842816,24948,89336,2472118,792,1,5,0,1196,570,17,0,7921,279483,435304,323111,69700,107799,104426,345536,178194,31455,125085,131900,225049,159304,11833,7986,0,0,0,161864,225688,218162,332979,216709,80169,1711580,0,0,1765,0,10,0,19700,0,0,0,0,0,0,1,0,277,0,0,0,0,2,648,0,10521,267593,0,9204,6184,148586,4436,44787,13768,13385,28526,1987,337172
용산,0,0,44,1,15395,39713,12829,4171,8885,271,1500,2140,1655,26867,785,4096,127283,0,576,0,0,0,0,0,0,0,10110,8254,19226,3921,67038,934,3139,2602,880,3581,2748,1239,569,0,0,0,0,0,979,2459,2076,1725,1357,0,0,25,0,240,0,0,817,0,0,0,0,0,56,0,0,0,152,20,389,571,44,104,0,0,18,2348,136,23,28,969,10,172,0,0,1,0,21719
영등포,141,0,0,19,297696,401108,680615,333792,931806,23045,110672,133549,150758,539265,11292,28425,592814,0,0,0,0,1105,0,0,0,144,195762,250846,210788,41987,53425,68215,172279,95352,19566,61671,63299,117656,65497,11139,5466,0,404,0,162873,211849,187393,198949,142353,0,0,0,0,0,0,1490,0,0,474,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,3262,0,2782,2653,74172,2288,16677,5108,6494,17734,1536,181357
안양,44,0,4765,0,1845,20792,23572,9370,21202,1234,3646,4299,2738,11748,854,720,7276,0,0,0,0,143,0,0,0,0,3855,5848,6812,907,2541,2544,4076,0,0,0,0,0,0,0,495,0,0,0,3360,5106,4949,4004,3583,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0
수원,260656,7464,42933,3765,0,116286,187916,194894,572214,11092,59836,90982,96653,405773,5443,18121,373403,0,0,0,0,10057,0,0,0,0,110398,147836,116225,15663,24564,23969,64924,52947,7756,30577,21978,50361,31417,4223,4545,0,0,45331,40237,109216,102545,109263,72644,0,0,25,0,0,0,58,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,453,1352,1514,51212,1140,16267,2862,1910,5676,481,73236
평택,750670,33274,124318,24477,42203,16314,27403,21037,116803,1609,7832,12047,14896,65614,781,2590,48764,0,0,0,0,3488,0,0,0,0,14405,30069,18286,2159,9065,5453,10651,9264,1539,4600,3055,8036,3962,502,2074,1729,718,0,4697,12226,24405,22276,14994,0,437,0,0,120,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,0,88,3846,83,2091,159,150,1760,146,14717
천안,1689667,7075,89239,9409,28364,17627,49247,104417,320611,4712,19009,30512,37865,157917,1347,6686,174926,0,112,152,139,9516,2154,656,625,0,26490,42813,24885,3234,10264,6216,20317,15259,1378,6540,4352,16424,10419,1215,4938,195,83,0,34568,66314,97053,133728,34121,1029,659,354,6,116,93,99,744,0,408,262,0,0,0,0,0,0,0,863,0,3,0,0,48,20,790,3830,0,2,465,24488,247,5366,241,161,774,56,27836
조치원,454943,3704,318188,8076,198259,27680,123321,30797,335671,3094,12512,20743,38629,75890,1064,6233,108899,0,0,120,574,64001,0,0,0,20,19689,26530,20321,3025,9725,4094,16229,8193,627,4700,4094,13927,11422,18436,48051,5,3,0,0,0,0,0,0,0,0,0,0,480,437,0,360,0,0,2,0,0,0,0,0,0,381,960,0,0,0,0,0,0,0,245,0,0,394,15495,243,4112,190,191,541,60,14706
대전,1652484,9601,907437,13854,619867,99749,340942,306752,73711,309764,332085,177899,219552,556263,5848,23720,729806,0,0,26,0,103672,1126,807,443,1737,267710,139024,74127,11165,32091,10649,58295,22807,2484,18460,14262,37573,29652,6868,32741,0,0,0,25,0,531,223,290,0,0,0,120,2658,120,0,1221,0,0,0,630,0,3893,694,88,47,1854,2801,0,0,0,35,0,166,1230,11784,54,1684,1433,46846,711,12088,582,563,2379,177,39661
옥천,32319,342,30081,0,19971,1791,6498,2780,350710,90193,48616,10839,12172,21067,512,620,24295,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,2,0,0,0,0,0,0,0,0,0,0,0,674,0,181,0,2,0,30,1524,9,944,0,0,0,0,0
영동,140647,632,113443,2450,63637,7742,19045,17477,303692,39525,35657,50180,46453,113853,1201,3597,104452,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,79,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,79,92,0,208,7811,77,702,0,0,0,0,0
김천,231050,1696,120717,2725,91107,11923,29699,20738,163847,8147,48358,69143,246295,418024,10801,8508,233376,0,0,0,0,34,13474,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,104478,49481,13213,2473,0,0,0,0,0,2528,0,0,0,0,0,399,427,4084,238,301,524,20612,216,1378,0,0,0,0,0
구미,327031,2149,128855,2048,98687,15584,39070,37109,224915,8860,44898,259728,285589,1456341,47357,30599,427423,0,0,2,0,7,5948,0,0,2558,0,1,1,0,0,0,0,0,0,0,0,0,0,599,136,0,0,0,0,0,0,0,0,0,0,0,0,120,720,0,0,0,7509,9744,2693,927,0,0,0,0,0,1171,0,0,0,0,0,99,231,6697,96,0,1437,34019,700,6977,0,0,0,0,0
동대구,1903592,11416,480815,9122,400923,61830,150994,72692,561848,11503,116318,545184,1434311,1269,227396,355578,3296086,0,1094,17181,0,20083,145169,94675,52731,137662,558,7,8,0,348,0,0,0,0,0,15,0,0,238,88,0,0,0,0,0,0,35,0,0,0,1221,120,2880,144,0,840,0,27618,35475,5473,3369,0,7108,31325,7811,9046,55611,0,1,0,435,2644,1246,5937,46702,27307,6754,9775,105325,2020,10291,0,2,0,0,2
청도,30551,1089,13094,911,7776,1093,3151,1912,8493,236,1773,12595,64554,240110,61560,55799,471645,0,0,0,0,0,19,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,1294,1546,2,0,0,0,0,0,0,246,0,0,0,0,0,0,4,5,1,1321,1721,32853,761,2387,0,0,0,0,0
삼량진,96097,2240,25741,574,18515,2310,8248,6518,25546,358,3230,8572,26189,388368,69315,341030,2157455,0,0,0,0,450,0,0,0,135,3,50,45,0,20,38,334,0,0,125,1,578,0,0,700,0,0,0,0,0,0,0,0,0,0,0,24,672,5,0,0,0,345,661,1,0,0,0,0,0,0,60,0,0,0,0,0,0,37,3714,0,1364,27293,103888,3099,8330,656,270,384,65,375
