,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
목포,345077,104326,80221,4589,23519,4722,16205,10694,41181,0,0,3,2,377,3,1557,55433,0,0,0,0,10,0,0,0,0,19310,55403,52390,23317,291307,163163,1870598,2732,191,2,0,7001,10641,0,0,8,115,0,0,0,3,2,0,51,0,0,0,0,103,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,64,8903,43,2014,558,471,10276,3244,282568
전주,146777,37807,42945,2349,26872,1779,13108,7594,19280,0,0,25,0,57,1,0,224,0,121,0,0,6,0,0,0,87,15472,965087,1812,194,161,15,3832,313878,213075,239528,47865,59572,51045,0,0,122,12,0,436,0,0,0,0,1,62,551,0,0,1964,403,4,2199,0,0,0,0,0,232991,0,0,0,213,0,0,0,0,8,0,0,0,0,0,51,0,1,1905,0,2148,318,24,15,0,21
임실,31909,13865,18829,1939,5448,1015,1972,1050,2948,0,0,0,1,11,0,0,46,0,0,0,1,3,0,0,0,0,1929,43037,13,9,6,1,213,199162,46503,70024,11505,17998,12140,0,0,2,4,0,392,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,153,2,901,217,23,4,0,0
남원,120842,22122,29234,1480,8697,1358,5019,4362,9916,0,0,1,0,0,0,1,285,0,0,0,0,0,0,0,0,0,5227,54858,8,2,0,0,678,217000,74147,397773,51829,66692,39286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,1554,1114,94,78,25,0
구례구,88631,9524,21131,787,6003,848,2582,1716,8318,0,0,3,1,325,0,28,386,0,0,0,0,0,0,0,0,0,2395,18518,300,0,0,0,0,44569,10285,45156,61727,242898,55913,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,7,376,46,1598,999,1106,240,4,3
순천,125174,24334,26439,2423,14002,4769,8024,9081,15401,0,0,45,2,2254,0,2481,20421,0,0,0,0,14,0,0,0,1,12217,31077,10,0,881,882,6128,52568,17184,64212,219588,374401,536583,0,1,3,27,0,0,0,4,82,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,411,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,0,376,10090,1254,27663,56625,165552,299579,8454,21841
여수,117862,8527,17330,570,6369,1344,7201,6700,14312,0,0,53,0,31,1,136,1328,0,0,0,0,15,0,0,0,0,12015,31961,23,0,1325,1429,6501,55241,12621,42305,57230,488171,311018,388,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,0,0,0,0,20,0,0,0,0,0,0,0,0,403,0,0,27,524,14,2671,5255,10027,58774,5459,16929
청주,53988,422,34640,83,17047,4156,6373,73167,402,76,75,17,35,669,6,2,281,2,89,743,8643,186657,1157,462,19,69,3561,3,5,7,66,5,35,0,0,2,8,7,449,407313,235163,5,4,0,0,0,2,34,0,0,135,525,54,0,1634,56,187,1658,0,0,0,0,0,0,5,94,4,249,263,513,10,5038,2995,0,0,46,2,0,1,0,0,1,0,0,0,0,0,0,3
충주,22735,21,10585,79,6186,1846,5897,55919,221,20,45,24,6,57,5,2,193,73,158,1024,43630,231227,2136,703,108,264,1200,10,1,0,2,0,53,5,0,0,0,0,21,230945,188417,1,0,0,3,1,4,3,1,0,0,0,2725,0,2,0,1,8,0,0,2,0,0,2,52,341,8,7,4,1797,913,8248,6504,72,8,3668,731,15,725,0,0,3,0,0,0,0,0,0,1
부평,0,0,0,0,20,7713,1856,90,76,2,1,3,0,1,0,0,0,1,161,0,0,0,0,0,0,0,1183,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,1399,796,2149,342,0,4545,11167,0,0,1,392,110,60,427,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,0,0,0,0,0,0,4
