,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
목포,258418,120443,103367,35,33108,6423,15811,12701,45808,0,0,0,9,13,0,1335,46721,0,0,2,0,4,0,0,0,0,19173,54978,54686,17599,253357,132262,1878673,72,1,0,1,5729,6404,0,3,0,6,0,0,2,0,1,0,0,0,0,0,0,470,315,0,20,0,0,0,0,0,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,11,8302,37,2016,459,486,5841,2465,318153
전주,149526,45557,47706,35,32480,1985,13973,9598,22184,0,0,0,0,158,0,0,472,0,0,0,0,1,0,0,0,0,11903,818206,2136,91,234,6,1127,166871,156150,223631,42976,60138,53803,61,0,0,175,0,546,0,0,0,350,0,0,0,0,0,216,2602,0,1167,0,0,0,0,0,206063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,154,0,1665,141,1,2,0,169
임실,27913,15014,22138,6,8123,1066,2082,1166,3462,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,3241,50706,4,0,2,2,20,161593,41569,70769,10066,17225,10994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,436,77,26,7,0,0
남원,77038,23750,29598,22,11285,1533,5722,3939,10725,0,0,0,0,2,0,1,242,0,0,0,0,0,0,0,0,0,4279,66954,7,0,0,0,0,217994,73603,255748,39241,63381,32117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1926,0,0,0,0,0,0,0,0,2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,35,0,713,746,14,14,0,0
구례구,83131,13421,27995,4,8128,948,2970,2348,6994,0,0,0,1,164,0,3,792,0,0,0,0,0,0,0,0,0,1667,23211,3,0,1,0,0,41489,9224,36119,42922,241141,53748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,15,442,0,1136,277,390,175,0,8
순천,131039,34594,49577,28,18605,4512,9144,9258,14498,0,0,0,0,753,0,2976,26971,0,0,0,0,1,0,0,0,0,12105,34874,52,5,884,740,4845,56236,15669,59218,216942,402410,475552,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,960,0,0,0,0,0,127,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,320,11872,1059,25363,56173,175746,142104,6756,19658
여수,113046,14743,20450,55,8653,1430,7193,6902,12918,0,0,17,1,14,1,78,1483,0,0,0,0,1,0,0,0,0,8092,38065,55,4,1116,1474,4817,58964,11371,37088,56947,502777,125415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,6,1061,36,1678,26180,10220,45217,6230,19128
청주,29910,943,25775,8,7558,3504,3263,53551,433,5,19,4,7,315,1,8,935,3,89,251,9515,169671,659,237,11,2,2679,2,0,0,131,1,311,30,0,7,0,5,4,105088,130311,0,60,0,1,0,0,0,0,0,0,0,1,0,1564,0,0,1083,0,0,0,0,0,1,0,104,1,0,16,440,17,2440,1971,0,10,32,9,0,0,0,5,0,1,0,0,0,0,692
충주,6141,2,6366,1,7245,3966,7769,49277,28,7,6,8,1,2,0,2,134,8,66,506,35313,179583,1763,610,154,88,1905,0,0,0,0,0,0,0,0,0,0,0,0,133606,80839,0,0,0,0,0,0,0,0,0,0,0,1284,0,2304,0,0,784,0,0,0,1,0,0,13,231,8,12,7,1043,328,4275,4542,96,99,2779,545,2,0,0,0,0,0,0,0,0,0,0
부평,0,0,767,0,9,5683,350,20,42,4,0,2,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,412,1600,1745,40,0,4456,15289,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,1770,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0
