0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
서울,0,18,1302,823,354293,646546,1050933,319204,1369150,25744,82067,153920,302011,1351150,80935,70607,1696090,0,0,0,105,1348,1183,705,0,28428,247509,296789,225303,65866,59660,51366,211310,167689,17552,75802,64690,156451,121328,8535,2918,0,0,174916,159890,174571,229606,111118,51657,906957,0,0,4954,0,36,2,140,189,115,21,0,315828,0,0,0,0,1369,0,40,0,206,73880,1491,98223,135247,82424,1567,12626,165947,5013,13898,3577,5832,30360,3148
용산,2,0,26,104,3094,4873,1729,213,733,8,15,45,263,4722,43,165,92747,0,144,0,0,0,0,0,0,0,226,391,121,925,53161,35,3169,0,0,0,0,0,0,0,0,0,0,241,75,200,54,14,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0
영등포,412,23,21,306,203161,542783,1021183,354325,1052260,24549,70189,104977,202016,626166,49500,34314,691532,0,0,0,0,2477,2031,940,0,6309,205941,219921,171651,41360,51613,39470,134976,139474,15179,55759,38817,107045,69502,11099,3634,0,0,177429,145161,157885,163647,85053,0,0,78,0,21,486,0,1646,0,120,68,108,0,206664,0,0,0,0,4930,0,340,0,8379,30581,927,21474,17630,12507,595,7203,96296,3050,8656,1786,4277,16714,2421
안양,3759,6,199,0,155,16174,16885,6436,6791,0,976,1354,1979,6143,626,392,6013,0,216,0,0,0,0,0,0,0,1564,1388,1536,740,576,813,1884,195,50,0,0,0,0,0,0,0,0,6196,2692,4180,3851,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,2016,0,0,0,0,0,0,0,0,0
수원,431389,2807,103343,67,0,323674,476905,238527,584972,15334,39741,72370,153513,466590,36889,26816,557963,0,0,0,0,4909,4421,2921,0,10620,109081,147378,102675,25676,29905,23990,79455,91797,8070,32925,21098,68599,51937,5038,2058,0,0,89172,85895,96041,116808,54003,84,0,0,0,27,0,0,33,0,90,36,11,0,113369,0,0,0,36,13,0,0,0,194,14236,426,46099,29791,36604,419,6327,78664,2162,6958,946,1674,9020,1212
평택,973840,4940,351481,19768,233178,1118,38836,34525,146037,2439,6958,12544,21145,71882,6298,3182,75687,0,0,0,0,1972,1919,1115,0,915,18853,27694,15247,3280,5275,4014,11451,19720,1532,5093,2679,10221,7616,529,1035,0,0,7560,13890,33171,24715,9690,0,0,0,0,0,0,0,0,0,4,9,1,0,18054,0,0,0,0,0,0,0,0,376,267,40,1162,504,7,0,777,13109,194,1209,101,180,1283,166
천안,1390603,1391,766604,14061,407306,40224,7875,78421,374961,7758,14079,25342,43602,144945,11623,7176,188226,0,0,0,0,7085,4411,2185,0,2379,44250,45467,23952,4828,6442,4660,20565,33604,1559,7290,3780,18637,13724,986,2239,0,0,14324,62387,103929,140389,30280,0,0,29,0,74,0,0,37,0,37,37,5,0,27518,0,0,0,18,77,0,0,0,12,2898,76,13098,8877,11737,127,1497,23102,427,1876,204,257,1590,244
조치원,319402,1653,357359,4274,232431,35545,84345,263,168949,2719,9318,17084,21955,62050,6931,4671,98571,0,0,8,140,42843,352,0,0,559,29439,30646,14270,6277,4860,2633,15384,17724,661,4066,2691,12391,10893,22149,39449,360,0,805,81,90,1440,0,0,0,939,0,13720,0,0,216,0,4,10,4,0,21580,0,17,32,343,1499,71,107,11,3373,577,40,984,428,457,117,924,9167,178,750,64,156,1030,104
대전,1423178,11310,1038327,4798,600107,150711,379123,170618,5538,33479,202119,139564,161209,449935,50154,25070,596148,0,0,411,106,87291,1975,0,0,7525,137602,133146,63056,17321,16568,8831,50014,47203,3522,15980,8886,40235,34888,26236,61872,0,0,564,112,7,0,0,0,169,10255,0,7394,229,0,516,0,57,115,32,0,63477,0,28,192,758,4026,236,910,56,8611,21916,386,22373,18138,19179,651,4166,47334,813,2214,180,386,3349,409
옥천,29997,0,25128,0,17068,3270,9473,3291,47843,3532,2484,3704,5988,11023,945,417,10447,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,593,41,78,65,623,28,28,0,0,0,0
