0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,270,107,3108,64,108430,187042,649557,384695,1353332,17812,138378,218677,216787,1359765,23440,80164,1736164,0,0,511,0,665,0,0,0,5735,228686,354977,281433,63988,104722,97078,293396,144819,28975,107340,110047,207499,126727,11522,4581,110,25,0,99133,188113,199444,264969,186618,97003,1907048,33,1968,1867,0,0,178,100625,9,0,0,0,1584,0,0,0,0,0,0,0,0,78,1944,0,136,97552,0,6022,5211,115585,4282,39130,14173,14921,27093,2419,300285
용산,105,0,0,0,14525,56966,24125,6362,22627,711,5101,5156,2554,43146,1114,4430,162939,50,75,77,0,0,0,0,0,0,10534,14984,47398,9441,78558,2669,6741,8681,2570,6626,7192,5627,2229,0,0,0,0,0,1269,2306,2148,1660,988,75,2180,0,0,55,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,182,3326,681,2001,56,2394,16,429,0,0,13,0,56314
영등포,899,0,0,5,97597,371707,669369,321928,886895,17461,102014,133036,115352,486328,9722,29208,508215,0,30,16,0,438,0,14,1,72,169057,217310,188895,38444,61244,62269,145223,69645,16402,48644,52561,101425,49961,10971,3811,0,0,0,165194,195014,175583,181038,136266,2350,12660,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,36,0,2,0,0,0,0,0,0,0,1775,2077,53479,2018,13430,4784,6394,15391,1411,157527
안양,63,0,0,0,1090,13143,11703,7152,13859,0,1479,3125,2073,7868,49,536,5477,0,24,0,0,0,0,0,0,0,3215,4360,3797,52,1946,1254,1839,34096,0,0,0,0,0,0,0,0,0,0,3359,1401,2663,2474,1422,875,2670,0,0,0,0,0,0,2720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,0,0,0
수원,95952,8996,27923,2512,210,93699,101175,151459,428117,6443,44367,72460,54710,299552,3592,14274,236982,0,0,0,0,6972,0,0,0,72,77957,111659,81075,11082,21179,18251,43420,34096,5602,19115,13847,35798,17348,5293,5630,0,2,46450,25713,101720,78655,83817,56329,455,2438,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209,0,669,1078,29076,662,9672,1490,57,3512,353,50554
평택,479674,54509,257238,19410,87403,33369,40125,17780,95542,988,7060,8986,7835,47242,473,2029,33242,0,0,0,0,2783,0,0,0,0,11819,26088,16464,2219,9095,5113,8134,7064,1390,3241,2598,6502,3220,949,1889,7278,4842,0,6108,12000,27849,19860,16065,0,322,0,0,240,0,0,3720,0,0,0,0,0,0,0,0,0,0,543,0,720,0,0,0,0,0,0,0,0,0,27,0,371,94,113,1169,93,13474
천안,1076209,15727,174597,6743,51582,26558,59024,102832,279473,2317,17606,29703,26475,134406,742,5903,137357,0,0,0,3,5965,2,2,0,0,21224,34802,20436,2974,9336,6195,14003,10414,1092,4668,3468,10992,7397,374,4085,795,535,0,53928,98006,92263,121430,28549,4,5,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1189,0,0,463,17060,176,3804,199,87,547,35,20642
조치원,377700,6021,304207,3916,152224,21522,120156,70624,403900,3561,14307,20103,27049,61931,867,6102,84845,0,0,0,1330,60456,0,65,0,120,18614,31177,19156,3195,11639,5426,17946,6904,478,4080,3544,12255,8368,25333,37889,958,64,0,0,76,1,0,1,0,144,120,0,0,216,0,120,0,0,2,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,918,44,0,251,10659,177,2279,109,448,507,60,15525
대전,1348136,19057,878195,7628,462970,80566,311980,381652,137020,375574,271225,156777,152776,462570,4944,21663,523393,0,0,120,0,61954,56,66,0,1424,325284,154707,72277,9244,28947,10598,42665,20424,2299,14920,11338,30644,20529,5377,20717,0,600,0,95,2,665,325,365,0,0,0,360,984,1062,0,605,0,0,19,0,0,5485,0,1,0,0,1573,0,0,0,0,0,0,0,7675,33,278,1055,31321,479,8273,620,0,1711,199,39437
옥천,26152,703,27487,0,13337,690,5823,446,411003,132337,65479,10250,9723,17523,365,810,27583,0,0,0,0,0,23,0,0,0,7,10,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,134,1,0,3,0,0,0,0,0,0,0,0,0,144,0,0,0,3,0,2,15,0,0,0,0,0,0,0
