,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
일영,135406,3146,715,525,77,2,0,0,0,0,0,0,0,0,0,0,0,0,1,100,120,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,550,75,0,0,0,0,0,1,160,134125,5546,3356,52277,34877,172,210,207,14152,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,38,23,0,3,0,0,0,443,38,403,187844,27589,70707,572,747,15718,0,0,77,0,857,14486,46,2,0,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,0,96102,100770,12380,17504,0,58,96,1,4,1512,5,0,19,10,0,0,0,2476,9,0,0,0,0,0,0,0,0,0,0
점촌,0,18,16,0,2,2,0,1,35,3,62,82037,24654,86324,522,665,16278,4,11,62,3,1965,33664,9,0,0,0,0,20,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,189,0,99941,30311,85337,464994,0,299,679,35,35,124,2,0,26,2,0,0,0,1054,158,0,0,0,0,0,0,0,0,0,0
예천,5,0,5,0,0,1,64,2,142,0,1,28610,14799,50550,0,3,60,20,12,300,18,2130,240932,328,12,13,0,0,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,0,0,0,0,0,0,13397,86539,203920,1473,0,452,2948,252,315,900,1,0,27,24,4,0,7,816,86,0,0,283,0,0,0,0,0,0,0
문경,3,0,0,0,0,0,0,2,6,0,1,8492,4826,20018,1,1,1,0,0,0,0,61,2521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14545,525737,1751,71736,0,0,0,1,0,1,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0
군산,0,1416,1001,14,146,49,19,39,12081,0,5,2,16,446,1,1,325,0,0,0,0,0,0,1,0,0,18770,745061,28852,1182,1550,361,1893,156550,1800,2556,1271,1222,156,0,0,0,0,0,0,0,0,0,293,0,0,315,0,0,0,0,0,1,0,0,1,0,0,468057,0,0,0,2,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2
춘양,0,0,0,0,0,0,0,0,8,0,0,156,56,8949,0,0,7089,14,114,650,29,1986,124567,5907,1783,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,24148,0,0,0,0,0,0,93,227,130,4,0,201063,138783,13234,11551,7938,349,10,397,3476,5362,245,5585,3360,4,0,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,7,0,0,0,76,49,26302,0,0,13983,484,178,10463,30,12769,174405,30532,6670,10900,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2,600,0,0,0,0,0,0,0,0,0,0,68879,0,0,0,0,0,0,38,81,203,0,0,144326,171098,53884,149704,112472,8742,1294,10931,73282,4124,36,7174,6902,3,0,0,0,0,0,0,0,0,0,0
도계,0,0,0,0,0,0,0,2,6,0,0,61,28,5177,0,0,3014,2,146,8797,2,6491,23829,4097,1126,1666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41512,0,0,0,0,0,0,20,53,101,1,0,10368,53875,573068,434355,111225,790,314,7419,4379,1215,64,1476,1057,3,0,0,0,0,0,0,0,3,0,0
북평,0,0,0,0,0,0,0,0,0,0,0,9,0,4224,0,0,5880,0,240,5376,0,15911,43334,5306,1593,2457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,44732,480,0,0,0,0,0,4,15,33,0,0,11481,166439,431430,112433,188705,5032,2223,12586,48401,1018,152,3104,711,6,0,0,0,0,0,0,0,0,0,0
강릉,0,51,327,0,0,0,0,26,731,52,0,3004,1827,19484,565,0,21730,0,223,1530,0,5643,47083,9821,2389,5304,2396,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,19806,0,0,0,0,0,0,1460,30,625,0,0,8171,115833,102906,206672,201486,1186,181,3235,22235,3509,224,6393,1784,0,0,0,0,0,0,0,0,0,0,0
정선,0,0,0,0,0,0,0,508,3,0,0,0,3,232,0,0,322,47,350,31635,240,78314,1134,325,89,103,0,0,0,0,0,0,0,0,0,0,0,0,0,621,738,0,0,0,0,0,0,0,0,0,0,0,52779,0,0,0,0,0,0,2,4,0,0,0,33,8017,137,4059,1636,899889,5864,102930,147537,184,12,312,284,5,0,0,0,0,0,0,0,0,0,0
쌍룡,0,0,0,0,0,8,1,267,0,0,0,7,1,119,0,0,183,204,489,4802,218,12838,1344,230,74,60,0,0,0,0,0,0,0,0,0,0,0,0,0,605,570,0,0,0,0,0,0,0,0,0,0,0,17668,0,0,0,0,0,0,13,13,4,0,0,17,1656,360,2472,353,8058,3964,62149,28043,135,3,332,423,3,0,0,0,0,0,0,0,0,0,0
석항,0,0,0,0,0,0,36,2205,1,0,0,1,5,1109,0,0,1341,264,1038,41820,845,139592,6913,1573,431,611,0,0,0,0,0,0,0,0,0,0,0,0,0,2803,2914,0,0,0,0,0,0,0,0,0,0,0,100793,0,0,0,0,0,0,1,9,1,0,0,29,10025,5723,11051,4697,106881,58802,203610,220333,660,86,1533,1089,8,1,0,0,0,0,0,0,0,0,0
고한,0,0,0,0,0,0,0,2757,0,0,0,0,0,990,0,0,616,28,1784,102197,615,193608,5166,2021,250,784,0,0,0,0,0,0,0,0,0,0,0,0,0,1359,1797,0,0,0,0,0,0,0,0,0,0,0,198718,0,0,0,0,0,0,0,0,0,0,0,411,64762,858,54263,40421,155179,24834,230928,550667,15,0,240,436,0,0,0,0,0,0,0,0,0,0,0
부전,0,0,0,0,0,0,0,0,0,0,0,409,594,4178,510,0,35420,24,564,7865,0,0,29607,37587,17648,9803,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,0,1106,0,0,80,0,0,0,0,0,0,4045,6328,1300,1301,4152,10,0,19,3,18490,569992,198503,70645,11297,0,0,242,0,0,0,0,0,0,0
좌천,3,0,0,0,1,0,0,0,0,0,0,0,0,4080,0,0,230322,195,175,1464,116,3547,0,3744,2369,5835,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3501,0,0,0,0,0,0,0,0,0,0,0,208,348,106,257,297,1,0,4,0,618427,174683,306052,45268,8867,0,0,0,0,0,0,0,0,0,0
울산,1,0,0,0,0,0,0,0,25,13,38,3,9,14189,0,11,104798,25,1469,20309,1286,42092,43759,0,21098,39290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,43447,2,1100,1028,0,489,0,0,0,0,0,0,3278,7404,1103,3001,6333,22,0,136,8,209325,312297,77710,601881,39395,0,3,1327,1,3,0,0,0,0,0
경주,48108,4850,7,2,889,265,635,6,3680,180,94,2885,1665,108297,226,55,55718,46,957,9513,450,24192,28681,33391,26289,73008,20,0,267,0,0,0,0,0,0,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,731,29655,0,0,0,0,0,0,2305,1052,491,0,0,2374,8016,920,758,3819,178,290,71,39,73069,39749,569716,81025,518226,0,0,0,0,0,0,0,0,20,3
포항,13,551,1697,0,4,0,3,4,274,11,785,207,202,52594,1,3,8412,4,7,654,11,821,3019,1481,2021,14143,1292,4,0,0,0,0,0,0,0,0,0,0,0,0,3,120,0,0,0,0,0,0,0,0,0,0,648,303,0,0,0,0,0,17,163,1,8,0,11,13,0,0,1,1,0,7,5,13286,8280,39693,508315,4213757,1581,13,422,0,0,0,0,0,0,0
진해,0,326,297,12,57,24,25,27,206,11,27,12,19,3761,2779,8713,5638,0,0,64,0,0,0,0,0,0,0,2,0,0,64,0,48,0,0,0,221,155,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,366,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2872,435151,29999,311047,3077,1159,409,67,87,6,145
진영,6686,104,1877,0,1103,9,614,221,2226,0,204,465,802,14443,5127,67262,160083,0,0,0,0,0,0,0,0,2,0,0,0,0,24,24,212,0,0,1,1,496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,8,19,38610,119807,175057,10497,5710,1980,245,451,55,273
마산,123538,2247,30251,13,19805,181,14497,9712,24042,9,6553,13853,10822,35167,17234,138574,95189,0,0,0,0,0,0,720,294,0,4718,1331,0,1,1981,1111,7979,1640,90,174,315,11598,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3066,831,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,412,164853,179628,3269,384837,102610,28750,4387,3356,757,8569
군북,6643,18,2037,0,1031,1,342,191,1035,0,88,338,473,2621,116,4918,51387,0,0,0,0,0,0,0,0,0,0,4,0,0,16,22,301,58,0,3,1,1205,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3702,10691,411291,102033,129682,3852,472,170,14,178
진주,37712,1466,4759,0,6110,0,3376,2126,6226,3,936,747,1706,3187,686,10879,54805,0,0,0,0,0,0,0,0,0,3656,1994,0,0,561,225,3196,1169,95,299,525,28938,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374,593,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,537,5189,103027,126209,381334,309116,15878,3316,148,3758
하동,19216,21,2092,0,1371,0,376,258,793,0,28,46,134,460,42,1585,25273,0,0,0,0,0,0,0,0,0,134,569,0,0,22,14,421,439,20,406,243,58487,2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,124,1784,30369,3956,298922,171022,35290,4413,109,1046
광양,18917,37,5073,0,1445,8,244,201,347,0,0,18,15,654,14,573,11173,0,0,0,0,0,0,0,0,0,127,382,0,0,58,43,430,607,86,628,702,134393,9290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50,212,5395,422,17403,37245,51310,28750,366,1629
보성,41282,125,13851,0,4579,3,1937,922,1710,0,0,0,0,30,0,1142,36930,0,0,0,0,0,0,0,0,0,398,3143,1187,223,3041,2098,3435,31,7,194,329,128933,37845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,228,4133,86,3403,4726,6051,621164,132329,335284
화순,3943,89,2168,0,986,0,296,230,233,0,0,0,1,13,2,183,5769,0,0,0,0,0,0,0,0,0,115,163,148,4,1363,1188,2623,0,0,40,31,8694,6728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,62,1019,16,373,79,258,85309,105724,208705
광주,238151,55275,85788,0,53082,3175,17946,12777,31007,1,0,294,12,1350,0,1208,33882,0,0,36,0,0,0,1169,0,0,20477,26621,25736,6639,128180,56969,247092,8,0,0,1,22773,16403,0,0,0,0,0,0,0,314,0,0,0,0,2615,0,120,3057,2593,0,858,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,104,8107,36,2429,939,945,365321,186830,328680
