,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
봉양,0,0,0,0,0,0,0,2734,3,0,0,3,3,492,0,0,1143,308,1137,5715,1222,6851,2847,869,448,334,0,0,1,0,0,0,0,0,0,0,0,0,0,10391,36650,0,0,0,0,1,0,0,0,0,100,0,21425,0,0,20,0,0,200,1,5,1,0,0,26,241,8,1,0,645,185,1111,2486,1469,257,3888,1253,3,0,0,0,0,0,0,0,0,0,0
제천,429,0,99,0,2930,1667,4776,70595,12231,0,0,100,25,30914,1,0,38002,1997,12770,57605,4730,47651,132043,57065,7680,22386,0,95,0,0,0,0,0,0,0,0,0,0,0,225911,196660,0,0,0,0,0,0,0,0,0,0,0,366504,0,130,320,0,0,139,238,686,226,2,0,917,10339,5872,16146,9447,70654,12017,135933,157750,16736,2691,32325,27859,10,0,0,0,0,0,0,0,0,0,0
영주,0,0,0,0,0,0,0,109,97,3,0,20396,17700,76904,1,0,52414,508,4839,33762,1987,163555,132416,229197,18355,36511,1200,0,0,0,30,0,0,0,0,0,0,0,0,120,98,0,0,0,0,0,0,0,0,0,0,0,377023,0,0,0,0,0,0,12398,25413,224227,1113,0,133705,176030,23382,40327,50870,38,18,927,353,25301,1935,37123,29739,2815,0,0,0,0,0,0,0,0,0,0
안동,0,0,0,0,0,0,0,20,53,0,0,39,31,70795,0,0,44305,266,1549,25070,525,59900,201705,272516,85061,39817,2200,840,0,0,0,0,0,30,0,0,0,0,0,880,17,0,119,0,0,0,0,0,0,0,0,0,278747,0,0,297,0,522,0,52,19,68,1,0,4098,34233,4166,5894,11664,2,0,176,106,32772,3728,46501,38769,514,0,0,203,0,0,0,0,0,0,1140
의성,0,0,0,0,0,0,0,0,2,0,0,0,4,78940,1,0,12403,90,366,3079,237,8153,17934,90153,131670,77619,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,20,39683,0,782,0,0,0,0,2,1,2,0,0,545,8086,1062,1637,2537,20,2,130,11,17372,2342,18669,30493,1280,0,0,963,0,0,0,0,0,0,0
영천,4623,1889,0,0,0,0,0,20,833,11,4,553,600,326767,37,53,8067,7,366,6079,144,13802,31713,40801,83270,146594,60,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7094,72,288,216,0,849,0,8,28,4,1,0,1500,17383,2189,2754,6505,0,0,9,2,10964,5002,38211,79188,16716,0,0,196,0,0,0,0,0,0,44
논산,184460,32978,130935,5,56945,10290,23247,21858,507564,18,47,103,2,8516,0,24,10466,0,0,3458,0,20,1,0,0,4164,196577,148220,44267,4973,25679,5547,15194,7111,921,4016,2312,7238,6018,61,2,4138,88,0,1,0,1,0,0,0,0,0,60,66,23941,0,0,18380,0,0,0,0,0,18534,0,0,0,0,0,0,0,0,0,0,0,0,54,0,521,0,238,0,778,36,30,143,2,14302
이리,318697,40972,156250,4,76333,10745,31203,27721,152110,0,33,133,13,1688,7,301,3401,0,0,0,0,85,0,720,0,11,198869,635560,515211,26786,45064,13186,51370,367314,40426,56540,20552,35978,27174,0,4,0,0,0,1247,0,350,0,67,0,0,0,0,53,0,1781,0,10,0,0,0,0,0,770731,0,0,0,0,54,0,0,0,40,0,0,1,11,30,10,0,520,1,2388,159,11,687,62,28159
정주,251604,55298,155480,2,65196,9952,19899,17116,73192,4,6,9,24,2151,7,127,9136,0,0,0,0,0,1,0,0,0,47471,541410,568706,56536,54557,10738,40920,1348,65,287,38,512,146,1,1,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0,0,0,0,186088,0,0,0,0,0,0,0,0,11,0,0,0,271,6,0,0,1,0,0,0,0,1110,93,20370
장성,61134,15442,40402,2,10465,1651,4224,3410,11676,13,5,97,81,332,21,0,72,0,0,0,0,0,0,0,0,0,4395,31471,63228,175616,139206,5383,15289,116,2,0,0,44,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,215,13,5666
송정리,157877,46545,47146,9,24342,7544,9079,8952,25961,2,0,26,60,365,1,59,2521,0,0,0,0,0,1,0,0,4,13543,41304,50668,219382,195126,83675,183979,76,0,0,0,1095,1291,0,0,0,0,0,0,0,0,120,0,0,0,0,0,20,32,0,0,120,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,669,19,107,14,22,4174,1523,77765
영산포,95087,17350,46810,2,21314,4939,7875,7504,11513,0,0,0,2,23,0,124,5221,0,0,0,0,21,0,0,0,0,7085,15153,14218,5153,80638,3512,98482,8,0,0,0,690,1123,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1566,0,0,1032,0,0,4,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,928,24,116,13,23,2086,1407,65223
목포,299295,58805,111626,4,39135,6647,17492,13218,41872,0,0,0,0,4,0,831,35853,0,0,0,0,0,0,0,0,0,22806,55683,45835,14763,224826,95140,1659658,1913,0,1,0,4730,4586,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,888,417,0,564,0,0,0,0,0,1763,0,0,0,0,0,0,0,0,0,0,0,0,27,0,20,12,7839,68,2125,546,258,4106,2277,253344
전주,129546,18572,43053,1,32847,1321,12003,6795,21839,0,0,0,0,8,0,0,162,0,0,0,0,0,0,0,0,0,6190,364455,733,125,42,6,2425,90056,52844,112562,31971,52649,50098,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,1309,2252,0,0,0,0,0,0,0,89285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,146,0,1413,183,8,7,0,1063
임실,28659,6501,22169,1,8532,1014,1807,864,2845,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2859,34797,1,8,1,1,7,58017,15862,41482,5902,12773,10404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,177,61,18,5,0,0
남원,87420,12366,28479,6,13961,848,6352,4477,11142,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,4541,56205,22,1,0,0,2,107385,38872,158476,24870,47457,28939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,390,388,3,64,0,0
구례구,86662,7435,38280,0,9895,881,3118,2515,8082,0,0,0,0,65,0,1,540,0,0,0,0,0,0,0,0,0,2024,23592,0,0,0,0,0,29693,5405,26466,13918,154292,42272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,2,340,6,505,190,341,52,5,7
순천,151112,19873,48920,10,22255,3639,8737,8205,16439,0,0,0,0,588,0,1595,18828,0,0,0,0,0,0,0,0,0,8693,34745,149,1,716,487,3465,47503,11454,46172,130247,196664,371499,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,1196,270,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,188,7598,715,19280,52550,122021,108697,7283,15925
여수,119105,6048,25697,9,10074,1236,7115,7118,13791,0,0,0,0,3,0,38,882,0,0,0,0,20,0,0,0,0,8687,37859,115,11,862,970,3441,60981,10262,34233,46753,372540,49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,22,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,578,29,1054,3083,5496,37105,5589,13575
청주,14808,1616,17825,1,4280,920,1505,42511,1108,2,0,1,1028,367,0,240,1008,0,0,0,9827,227203,294,1445,11,445,30,64,38,0,2,1,288,720,3,0,0,1,4,74295,124988,20,182,0,0,0,141,1740,0,0,0,0,1,0,3,0,0,75,0,0,0,0,0,0,1,89,3,0,122,366,15,1493,1091,0,0,20,3,1,21,0,366,0,0,0,0,0,0,1117
충주,2579,0,3311,0,4054,1694,3434,46491,4387,4,0,4,0,27,0,0,43,0,0,0,34568,175314,822,279,39,13,1,0,12,0,0,1,55,0,0,0,0,0,0,115112,69319,0,0,0,0,0,0,0,0,0,560,70,477,0,0,0,0,0,255,0,0,0,0,0,5,42,6,2,4,529,61,1704,2248,16,12,724,82,1,0,0,0,0,0,0,0,0,0,0
부평,0,1080,0,0,369,6682,409,37,49,1,0,0,0,0,0,0,6,0,83,214,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,299,318,50,50,0,5404,10292,587,0,0,20,0,0,550,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,587,40,0,0,0,0,0,0,0,0,0,0
인천,1439,0,50,0,30,6722,60,56,5,0,0,0,0,5,0,0,34,18,48,278,0,0,0,0,0,0,0,2,211,0,1,0,0,671,0,0,0,0,19,0,0,0,0,0,106,201,171,67,32,0,6837,17002,841,0,40,20,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679,0,0,0,0,0,0,0,0,0,0,8
