"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구","경산","영천","건천","경주","서울산","통도사","양산","부산","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","지곡","남대전","판암","덕유산","무주","장수","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","청북","송탄","서안성","상주","선산","감곡","북충주","충주","현풍","창녕","영산","남지","칠서","칠원","마성","동수원","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","단양","북단양","남제천","강릉","현남","북창원","서부산","장유","가락","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금"
"신림",25882,8016,4154,2556,206,451,17,9,154,259,586,95,4,15,8,1,25,16,6,30,8915,2213,1249,577,363,129,1476,303,152,225,1450,0,0,0,0,0,0,1,0,0,1,10,4,0,6,2,1,1,1,0,0,2,3,1,0,1,7,0,0,0,3,0,0,0,4,0,0,17,101,20,14564,129,26,58,6,1122,334,176,131,554,658,246,212,4,6,2,0,5,5,11,4,29,8,1412,128,233,49,338,44,8,6,24,175,19,20,320,0,0,0,0,0,0,0,4,37,31,6,9,9,8,3,16,81,28,2,14,4,94599,4363,15497,2573,1213,270,343,110,674,292,19,66,0,0,3,6,56,97,20,2,0,591,38,201,0,0,0,0,0,0,10203,523,6657,17707,2942,7190,10718,49138,9446,4517,2025,692,530,835,489,856,14216,1277,1960,4850,23918,3849,4266,27109,11735,1557,804,1987,1151,1287,1503,6444,2694,2453,15205,13607,6113,151619,112,74801,4816,13205,9901,6225,3194,0,0,1,0,69,317,332,126,48,0,0,189,83
"제천",96309,24505,5173,5209,652,1527,72,16,239,596,1282,126,7,34,15,6,85,53,54,277,55364,15766,7436,3322,2887,776,8333,1835,906,1397,9151,0,0,1,2,0,0,0,0,0,1,6,1,1,1,5,2,2,0,0,0,7,2,0,0,0,5,0,0,0,3,0,0,0,1,0,1,51,39,73,49630,353,123,312,22,3926,1701,934,308,614,486,753,199,6,20,8,4,15,19,11,16,129,49,10868,237,587,88,950,109,19,15,54,368,38,301,843,1,1,0,0,0,0,0,9,60,66,14,14,10,21,2,32,141,51,2,18,3,302753,10050,27221,2855,1964,572,757,187,1080,370,45,54,3,2,0,8,186,313,68,3,2,1340,61,233,0,0,0,1,0,0,26544,3267,11460,13018,4112,20988,27125,86831,27296,8825,7810,3047,2672,1969,972,2959,35877,3503,4632,15349,89432,14215,13608,98484,43901,8689,3075,9675,6323,5344,11733,63776,11538,25635,139716,30625,11822,459150,66432,8029,31917,64007,25978,27788,19147,1,0,0,2,89,834,758,285,82,0,0,1098,486
"단양",5355,1672,312,318,49,106,9,2,28,60,85,11,0,5,16,2,44,31,40,161,49725,12206,6637,1759,1553,558,6383,2046,663,956,6323,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3927,34,9,27,0,294,81,36,46,25,34,61,18,0,1,1,1,1,1,1,1,6,5,8705,22,58,6,45,5,2,0,4,15,1,0,33,1,0,0,0,0,0,0,0,16,2,0,2,1,4,0,0,15,2,0,3,1,20146,977,1983,244,215,52,73,18,81,38,1,0,0,0,0,1,8,32,4,0,3,97,7,36,0,0,0,0,0,0,2062,169,979,1193,401,1333,2130,4407,1171,605,310,200,234,211,152,419,2821,291,363,997,6326,953,968,4421,2883,9539,3818,11294,4817,4363,8763,39851,18130,20710,166546,2144,1145,13919,4971,33125,780,16705,12399,2090,1681,0,0,0,0,4,51,50,21,10,0,0,737,288
"북단양",16348,4328,648,976,80,269,8,1,54,100,169,18,1,10,2,2,25,29,26,164,34769,5224,2844,1318,972,353,3464,781,281,1321,2460,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,9500,66,13,81,8,671,171,107,53,72,95,122,26,1,1,0,1,2,1,1,1,6,7,13973,42,98,15,136,21,3,2,12,27,1,3,75,0,0,1,0,1,0,0,3,8,8,0,0,3,1,0,7,12,8,1,5,0,54847,1875,4269,493,518,98,277,35,217,70,3,10,0,0,0,0,27,38,18,1,3,282,11,58,0,0,0,0,0,0,4761,1158,2157,2653,827,3367,4941,10286,2191,1021,934,489,487,326,192,436,7029,638,1069,2157,13563,2233,2052,8647,6034,6189,4382,11393,2773,7008,4706,41693,19378,10440,70753,3741,1958,40689,11594,64504,18740,1257,12854,3855,3125,0,0,0,0,13,156,121,51,19,0,0,418,279
"남제천",7876,2037,344,360,56,121,10,0,30,63,98,17,1,5,4,3,24,10,18,37,18077,4050,2138,771,727,220,2127,432,264,425,2220,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3970,61,8,16,3,263,74,49,16,24,25,62,14,0,1,1,0,0,2,2,0,8,3,3100,13,44,8,64,10,1,1,5,16,4,7,60,0,0,0,0,0,0,0,0,8,6,2,3,6,0,0,3,12,3,1,4,0,23940,1129,1914,294,266,57,37,21,93,34,6,11,0,0,0,0,12,28,4,2,6,134,8,26,0,0,0,0,0,0,2253,397,929,1366,486,1842,2322,5331,1506,1035,336,219,283,254,102,347,3134,251,351,958,5416,746,781,4072,2453,3337,1070,4207,1704,1328,2730,14553,5281,6003,33765,2213,1195,23093,10106,32964,10625,11006,203,1919,1350,0,0,0,0,7,76,62,26,6,0,0,288,133
"강릉",202677,42481,9422,12521,3721,10387,579,124,6073,8419,18021,1867,35,303,170,46,301,115,45,92,23552,5355,2754,956,324,63,816,298,175,244,2228,2,0,4,22,0,0,2,0,5,15,219,278,20,130,162,72,53,15,0,4,487,221,40,15,2,161,1,0,1,154,7,3,2,72,0,21,303,216,234,84363,1110,396,1238,101,6125,2061,1558,1764,1534,1738,2726,804,24,108,31,28,58,82,40,72,584,147,1152,2675,4629,900,8078,977,249,115,427,2422,305,3652,9379,6,0,0,0,0,11,0,70,420,368,148,60,112,105,63,394,1504,542,75,567,76,493636,17333,36484,28006,3771,6123,6329,4072,22164,9864,519,675,127,94,140,364,728,1530,253,20,24,10351,1248,9386,0,0,0,0,2,0,49958,6389,23414,27409,9538,39954,58692,120564,278861,281678,46387,50678,347939,198889,50233,230431,63911,5228,9766,19086,131197,20669,20598,62469,13691,5339,1340,5224,940,1024,1281,5270,3952,2444,6943,3479,8949,103779,4339,25243,2348,3805,1939,12870,129731,2,8,3,1,1941,7996,7489,3030,1119,1,0,251,82
"현남",103217,26164,4464,7019,2139,5011,261,73,1796,3952,7285,926,12,135,63,17,144,64,30,55,17874,4267,2089,512,293,80,842,342,141,295,2379,4,0,4,9,0,0,0,3,4,231,756,467,96,169,110,33,31,11,0,1,245,93,8,6,0,62,0,0,2,53,88,245,6,27,4,16,452,746,466,45657,1122,289,1218,141,3625,1087,676,775,748,801,1530,605,5,46,10,10,22,44,19,58,327,60,1298,1308,2478,471,3430,704,161,69,268,1073,153,299,4698,285,0,42,154,60,149,68,22,238,240,66,39,62,48,43,426,1206,666,160,586,41,212246,10606,18439,15181,2318,2406,3357,2501,10964,6258,520,630,23,32,64,207,447,962,133,13,18,6935,905,5551,0,0,0,0,0,0,31068,4116,12849,16277,5737,20737,35898,58192,101246,64601,21627,23017,75660,63195,11370,55784,38189,3433,5525,11326,77995,8831,10926,13936,5072,2928,907,3420,713,613,944,3491,2573,1312,4502,1637,5329,44642,2476,15208,1710,2741,1192,174677,355,0,6,0,0,735,4498,3689,2147,644,0,0,268,117
"북창원",9380,2487,1035,2009,1644,3733,1573,838,1499,836,3024,125,3,1,1,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,75998,30202,134653,0,40247,39743,44272,36891,134153,1180,8601,7167,534,2135,2868,11394,9665,4160,0,1884,35178,50933,38833,29393,6629,4094,7,6,31,1934,183,237,157,684,101,3903,0,0,0,2593,6,1,1,0,641,331,251,483,125,103,146,54,0,0,0,1,0,0,0,0,0,0,0,615,184,3,46,7,1,0,2,1,0,0,0,12574,186,1022,228,162,875,579,2,681,6,3,5,26,12,1883,1096,828,939,1508,6702,751,5113,261,451,387,108,375,606,404,1336,248,1219,852,3039,3365,6648,14463,374,426,62,0,0,2,0,0,39887,59832,70056,118388,194979,0,397,146,177,96,61,230,27,2,4,2,0,1,0,2,0,1,849,181,121,204,2642,886,339,5,3,0,0,0,0,0,0,0,0,2,0,2,0,3,0,1,0,0,0,7,4,69,109367,52704,11724,347,1581,4406,1563,970,274239,0,0,0
"서부산",66376,15491,13064,11236,8990,21879,10919,7152,17274,12943,21015,749,7,16,4,0,2,0,2,0,9,1,1,0,0,0,2,0,0,1,8,185648,29532,136615,1,973316,1110895,70677,12905,6901,12836,122852,156317,15813,30565,25920,87898,101174,31015,1935835,5867,211250,198666,120289,84567,19269,19289,23,14,192,36533,2362,3021,1453,5065,362,11559,1,0,0,24265,29,7,5,0,5711,1359,2236,3106,607,395,404,105,0,1,0,0,0,0,0,0,1,0,0,4502,1371,78,392,48,19,10,7,9,0,0,4,154217,3213,6783,4315,2478,12319,4810,0,4984,59,28,21,182,68,9943,8400,6856,6930,15746,77010,4271,42438,1383,9708,5963,1566,4514,3784,2780,11942,2576,9612,5238,16635,13143,28416,43277,3731,2832,566,0,0,22,1,8,109972,77802,56077,83096,119970,7,2122,1186,2724,1112,1830,2637,454,33,13,2,5,3,1,3,0,3,6843,2273,3097,742,30491,6572,1543,16,6,0,0,0,0,0,1,0,0,0,0,0,1,16,0,5,5,0,0,17,7,124383,154,4988535,1991807,3959,5156,21603,12949,6810,640431,4,0,0
"장유",6504,1635,617,1273,1049,2267,816,478,1397,500,1672,86,2,6,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,22218,7169,32774,2,326792,274934,44853,279565,1625273,881,7616,7593,500,1604,1599,6730,6700,2725,430667,684,20755,27500,19319,13608,3037,1828,3,8,27,1700,150,220,124,506,26,1143,0,0,0,2129,6,2,0,0,474,228,246,252,62,73,57,8,0,0,0,0,0,0,0,0,0,0,1,363,116,4,31,23,1,0,0,1,0,0,2,11166,170,590,315,158,1005,330,0,299,4,2,0,9,15,883,653,575,537,1139,4930,389,3932,166,458,380,123,317,359,307,716,206,610,336,1341,1452,2721,7681,282,218,64,0,0,0,1,3,11046,11351,10976,15165,31524,4,285,166,198,117,52,201,36,4,0,0,1,0,0,0,0,0,649,123,114,141,2185,473,265,4,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,2,3,62073,5040743,65595,300888,240,579,2407,1753,755,88790,0,1,0
"가락",5606,1544,1106,1338,970,2209,915,725,3040,1017,2089,53,2,5,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,11048,3916,11682,0,92134,166937,8117,1842,5733,735,7417,8563,689,1865,3102,5844,3828,1502,73805,420,9766,10057,6575,5348,1482,718,0,2,4,2020,121,182,55,229,21,502,0,0,0,3200,4,1,0,0,950,268,268,224,75,32,42,12,0,0,0,0,0,0,0,0,0,0,0,251,138,9,24,1,0,0,1,0,0,0,0,8549,169,431,232,127,733,191,0,670,6,2,2,8,2,397,567,504,385,492,5144,183,4519,98,547,524,81,391,344,441,1339,286,747,543,727,616,1664,2205,620,409,41,0,0,4,0,0,11576,6043,3435,6336,12617,2,214,57,221,80,85,220,37,6,2,0,0,2,0,0,0,2,988,82,260,144,3429,973,158,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,1,10684,1724629,261222,224,211,556,1790,802,629,67541,0,0,0
