"","경산","경주","구미","금강","기흥","김천","낙동","논산","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","원주","유성","이천","익산","전주","천안","청주","추풍령","통도사","판교","황간"
"원주",5,57,16,1,431,45,0,55,532,248,42,772,40622,323,92353,268,10,134315,28842,1773,3,740,22,35121,4,5,2554,18,15,5989,0,33,122998,132,1042,2607,107,1,0,1933,3
"유성",52,667,525,211,38,564,4,8963,1267,5,306,50,1,2131,119,2280,7117,38168,2841,1044,46,15,294,100,140,132,1986,1554,103,82,92,0,81,3861,14263,15550,7988,172,23,1114,52
"이천",12,916,58,1,463,459,3,83,2331,8169,3738,1160,8461,6656,50099,4404,7,28124,35550,1901,52,2495,60,150113,17,26,5006,68,67,25987,133083,53,0,887,7096,3300,522,6,10,201,6
"익산",66,1383,252,6,68,1228,15,6489,476,5,797,155,1,4922,601,5302,40112,57347,3914,1203,66,30,326,160,71,193,3824,1042,138,220,324,3573,885,0,6670,2331,5610,46,13,3883,39
"전주",357,4818,1588,33,193,2198,96,40166,18121,46,1705,839,18,14387,2041,19079,108107,411723,27668,6186,67,102,871,750,258,782,21756,4356,341,987,1143,14199,4872,6219,0,14562,24040,226,5,20357,77
"천안",396,3991,1846,105,894,5892,41,2222,113740,100,1602,2183,98,22342,3409,13383,3736,586879,63252,21740,164,264,1263,1154,575,857,67353,2622,426,1629,3410,12462,2981,2534,17385,0,48925,794,97,31403,202
"청주",219,3510,1379,208,426,4914,45,2700,180700,53,1991,589,17,14207,405,13098,4136,232347,38862,13207,80,67,1282,250,1958,382,27793,12804,435,770,269,6402,433,5612,26609,53046,0,400,58,14273,926
"추풍령",33,136,530,104,2,963,3,114,2355,0,239,18,0,549,4,1639,9,4370,971,150,9,2,185,32,373,36,356,1129,90,4,6,206,29,79,648,818,471,0,11,267,522
"통도사",135,6929,419,1,0,109,214,18,267,1,1916,27,0,110887,0,336,3,729,976,38,16377,1,34445,9,14,179,88,79,67,2,1,31,4,3,19,90,57,3,0,47,19
"판교",311,5547,1296,200,5859,4261,9,2169,13535,853,3712,3845,69,18662,1348,11951,452,177906,109512,20104,591,5363,1176,387,351,457,38145,2490,354,18109,2517,1284,344,4049,24732,36159,16529,174,36,0,140
"황간",180,825,2000,82,2,2927,11,83,4610,0,853,12,0,2955,11,6577,5,2712,368,74,52,0,360,5,1912,192,244,1108,332,5,4,53,13,31,88,217,931,645,21,127,0
