"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","고창","곡성","곤양","곤지암","광양","광주","광천","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남제천","남지","논산","다부","단성","단양","달성","담양","당진","대전","대천","덕유산","덕평","동광양","동광주","동군산","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","무주","문막","문산","물금","발안","백양사","부곡","부산","부안","북단양","북대구","북대전","북수원","북원주","북창원","비봉","사천","산인","산청","삼례","상주","새말","생초","서김제","서김해","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","석곡","선산","선운산","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영광","영동","영산","영주","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","제천","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘장대","춘천","칠곡","칠서","칠원","태인","통도사","판암","풍기","하동","함안","함양","함평","해미","해인사","현남","현풍","홍성","홍천","화원옥포","황간","횡계","횡성"
"진성",439,0,35,4,520,0,0,28,0,18,5,0,1378,23103,42,32735,1,0,0,3842,0,0,169,18,0,159,0,22,0,1,0,134,0,0,467,5,14,0,696,43,0,17789,0,0,685,1,210,0,133,5,1992,26580,0,4,3910,0,336,13,1373,0,941,4,6,0,62,0,0,174,3,16586,0,0,0,6,0,0,0,0,67,52,2,1112,0,96840,18185,6773,0,0,0,17503,0,2624,2,84,6683,0,68,103,2392,0,40,927,0,3,0,85591,0,41,0,495,0,0,5,1,2934,0,162,27,26289,1008,0,109,30,82,77,0,7,6,0,2,597,0,0,0,110,17,8135,1252,13,0,13,0,4,220,24,0,23,17,47,1,251,1864,965,1,0,0,0,0,23,205,60,17249,42451,2380,1,11277,5511,393401,20,413,475,105,154,55,46,0,7107,0,1,0,912,2,1,0,76,0,32314,5118,595,0,0,19,4,248,0,1,2456,0,0,1
"진월",170,0,6,8,250,0,0,1,0,7,13,0,8669,4795,18,277898,1,0,0,402,0,0,122,6,0,29,0,13,0,0,0,43,0,0,33,6,2,0,27,5,0,2035,0,0,536,0,94,0,97,1,2982,53782,0,4,1922,0,139,11,515,0,578,2,2,0,22,0,0,109,1,3470,0,0,0,7,0,0,0,0,23,30,0,112,1,25204,2041,1029,0,0,0,2737,0,971,0,43,2827,0,29,81,37736,0,97,220,0,1,0,7826,0,20,0,1796,0,0,6,0,17497,0,30,13,136021,1749,0,35,10,50,37,0,4,7,0,3,55,0,0,0,51,5,9843,7257,7,0,6,0,5,56,12,0,15,1,15,0,36,970,123,0,1,0,3,0,12,16,2,1289,11419,567,0,5054,1078,38057,11,107,1157,72,23,18,96,0,1255,0,1,0,129,0,0,0,25,0,41753,413,33,0,0,11,0,115,0,0,2357,0,1,0
"진주",2113,0,252,19,3128,1,0,50,2,109,51,1,6661,336393,192,245918,3,0,0,20466,0,0,762,80,1,782,0,150,0,5,0,899,0,0,1854,24,60,0,2262,134,0,86510,0,1,4093,0,2163,0,786,21,13060,175136,0,71,26423,0,1736,74,7089,3,6371,14,19,0,271,0,0,996,17,139200,0,1,0,21,0,0,0,1,337,254,1,6174,10,1106982,145982,42864,7,0,20,118771,0,16833,2,594,49423,0,533,479,15997,0,107,5123,0,103,7,108526,0,297,0,3144,0,0,55,0,17782,0,464,147,185818,6871,1,290,99,347,653,0,25,26,0,4,3338,0,0,0,692,45,64749,7407,99,0,49,0,33,1076,94,0,73,74,126,0,1029,11356,3647,0,8,0,6,0,182,999,302,136869,532991,13684,4,447504,42974,607626,83,2955,2659,514,452,210,300,0,78753,0,20,0,3901,0,1,0,455,0,309987,28346,3339,0,0,137,16,2269,0,32,20795,1,2,1
"진천",13,20,1,624,20,270,2217,15599,5538,350,3,0,0,9,52035,29,17071,2,7120,12,0,21,23958,2945,114,3552,256,2553,694,8432,979,2027,12,988,18,7470,0,12,2,8802,14,107,4,0,0,23,61504,2,44,5090,6,1,0,1598,75,3201,193710,38209,28,668,13,1344,541,490,6,0,0,7613,3643,16,595,128,712,2019,6870,0,7,6171,22755,15733,115,9,540,216,255,85,2089,18,2533,93,0,50,21591,9948,240,6,23,15727,0,10,6270,45649,1944,3519,1958,123,0,359839,23,0,117,0,1,435,0,11,11373,1,21,0,258,56675,3381,108,2529,2005,8292,8399,0,2375,2,15,2294,2,881,315845,16,0,13102,2229,10076,4261,6463,20020,50053,20,18953,18614,42931,3162,114,37,2,1076,8855,6408,1136,0,74787,76,10,3,24,45,2425,19,11,119,986,1,0,74,47279,10,4676,1063,6,0,915,1016,17,0,1342,1817,9099,25,30,22,54,0,0,2,338,0,2,719,2,1104,47,258
"창녕",852,0,57,0,413,0,0,0,0,4,808,0,10,147,0,664,0,0,0,547,0,0,4,0,0,11,0,4,1,0,0,8,0,0,141,0,4,0,66389,7,0,96,0,41,15,0,11,0,15,0,26,457,0,1,5947,0,10,0,1431,0,1311,0,1,0,2,0,0,29,0,355,0,0,0,0,0,0,0,0,2,1,0,3055,0,1085,0,59,1,0,0,39,0,3642,0,15,11521,0,4,5,42,0,0,27,0,0,0,563,0,5,0,5,0,0,1857,0,60,0,4,8,541,22,0,3,0,0,2,0,1,0,0,0,49040,0,0,0,7,1,169,10,2,0,0,0,0,15,0,0,0,0,0,0,48,2745,276,0,1,0,0,0,0,10,18,105,367,2055,0,426,95,3008,0,959,6,5,2,0,3,0,33,0,0,0,51265,516340,0,0,6,0,438,1930,75,0,0,8058,0,35438,0,0,412480,0,0,0
"창평",7,0,4,0,31,0,0,0,0,0,13,0,31163,234,0,3744,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6905,0,54,0,2,0,0,114,0,0,4660,0,0,0,12,0,3456,190823,0,0,144,0,1,0,38,0,41,0,0,0,0,0,0,10,0,252,0,0,0,0,0,0,0,0,0,1,0,17,0,1855,218,51,0,0,0,101,0,77,0,0,286,0,2,0,17111,0,0,0,0,0,0,461,0,0,0,11031,0,0,10,0,6882,0,1,2185,28511,3718,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,1451,18250,0,0,0,0,0,2,0,0,0,0,0,0,1,81,1,0,0,0,0,0,0,2,34,109,507,80,0,437,1232,2262,0,10,468,0,0,0,0,0,57,0,1,0,18,1,0,0,0,0,1157,33,19,0,0,11,0,1,0,0,259,0,0,0
"천안",98,109,52,1419,137,1508,8125,1430,29916,1321,16,0,1,27,5371,50,69640,0,40800,50,1,95,215543,24092,857,10414,999,287067,2202,35123,5980,5296,234,4358,65,12276,4,24,4,11763,86,264,13,0,0,53,337084,4,130,8347,11,7,4,19942,240,15492,6471,321341,77,1733,44,35603,3936,2578,328118,1,0,26321,4904,90,3358,131,2184,18576,38824,0,14,30892,110601,170015,207,73,661,1050,1377,100,5788,237,4049,138,0,155,98581,33805,1165,6,146,113931,8,121,42645,3573735,6405,949,5061,783,1,235,43,0,414,0,4,936,0,31,610156,1,60,0,434,168366,31793,387098,9161,7047,13650,8819,0,10381,2,94,14808,13,598222,98,54,0,38424,9120,59086,24580,12011,86538,303,179,14950,32480,853,4594,457,137,38,2184,35904,14083,2112,0,99,219,72,11,100,110,5003,164,29,553,101,4,0,7173,80130,438531,10451,3595,18,0,1704,5221,52,2,5035,4663,26849,84,88,167,157,0,4,39,937,2,1,1189,11,5199,154,205
"남청주",59,165,15,529,109,1123,6164,8197,21167,4091,10,0,0,29,28082,92,49290,0,30349,66,0,71,37286,3084,2868,19235,1374,15126,2837,31983,4317,13716,87,4329,111,4624,8,9,3,39381,53,263,1,0,3,9,506776,0,187,3178,30,10,1,3251,347,11325,103448,52112,115,379,64,1433,564,469,46743,0,0,28980,2716,104,6374,17,2131,2443,46337,0,4,21251,127478,21391,71,54,172,878,1156,62,7765,105,1611,93,0,221,89796,90155,2069,1,147,22648,8,39,10796,183837,4185,1667,6987,546,0,83605,10,0,296,0,14,389,0,6,38215,5,122,0,120,94649,3864,48018,23635,6943,3014,5432,0,20520,9,27,9179,3,57576,39027,58,0,195691,6614,7446,18054,5508,178375,25623,68,17872,51835,27065,4950,517,184,60,799,39031,14569,406,0,87073,181,72,17,99,152,1578,195,36,525,49767,4,0,79637,935,36675,23703,4824,12,0,969,3602,38,0,5735,5480,97069,21,106,143,144,0,3,13,198,3,1,648,16,13359,26,225
"청주",22,36,12,94,66,1089,4681,64,14994,522,4,0,0,10,296,29,33045,0,18822,33,0,41,123163,15438,866,5913,528,67595,1019,20935,2857,3377,99,1787,48,491,4,0,3,9255,46,115,2,0,0,36,143910,3,53,263,61,2,1,4169,200,7796,575,151084,39,73,20,5537,2146,47,165653,1,0,12404,212,51,1803,133,911,7380,20389,0,0,15754,45145,61188,15,27,711,456,656,68,3366,132,180,65,0,70,49863,16230,337,4,70,62945,5,51,27546,901600,2361,30,2827,360,0,120,20,0,273,0,3,39,0,19,183791,2,30,1,14,67301,19030,208680,3921,2569,703,290,0,8343,3,39,9670,5,250375,22,41,0,33452,4105,3996,12285,526,37803,30,58,526,18056,74,1952,174,61,4,103,18704,5349,81,0,17,109,30,8,53,57,188,59,20,335,14,3,0,430874,39974,611,6977,2164,5,0,89,2201,12,2,2129,1625,17508,11,32,59,78,0,4,16,54,0,0,39,3,3921,6,6
"추부",17,3,16,66,81,44,321,1332,780,1448,9,0,0,9,3470,48,2960,0,1386,21,0,2,6820,758,362,28905,148,2230,281,1178,205,200947,18,99,85,606,8,1,3,6344,2,134,0,0,2,0,198956,0,336,359,18,26,0,191,89,682,19074,6931,31,54,18,224,151,35,8935,0,0,25540,414,33,61,6,106,362,1139,0,1,1802,20355,2754,15,17,30,487,265,87,392,32,220,63,0,65,2609,76421,248,0,113,3819,5,4,1910,41493,145,312,643,421,0,13235,1,0,25,0,3,34,1,2,6262,7,65,4,30,51516,1085,6938,114214,152,644,949,0,1048,8,6,647,0,9657,3680,39,0,2265,420,899,773,642,84780,4364,12,1818,2939,4792,378,738,36,1,95,1778,1304,55,0,10556,168,49,9,46,28,174,44,93,318,5177,5,1,12814,26227,6672,878,201,8,0,157,249,14,0,646,93,81080,4,38,35,137,0,0,4,32,0,0,114,33,339,6,31
