"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","고창","곡성","곤양","곤지암","광양","광주","광천","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남제천","남지","논산","다부","단성","단양","달성","담양","당진","대전","대천","덕유산","덕평","동광양","동광주","동군산","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","무주","문막","문산","물금","발안","백양사","부곡","부산","부안","북단양","북대구","북대전","북수원","북원주","북창원","비봉","사천","산인","산청","삼례","상주","새말","생초","서김제","서김해","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","석곡","선산","선운산","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영광","영동","영산","영주","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","제천","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘장대","춘천","칠곡","칠서","칠원","태인","통도사","판암","풍기","하동","함안","함양","함평","해미","해인사","현남","현풍","홍성","홍천","화원옥포","황간","횡계","횡성"
"추풍령",0,22,1,9,1,213,2045,740,3268,71,0,0,0,0,1632,0,580,0,26463,0,0,16,3894,283,1231,244,36,1380,36,21049,2695,497,53,625,1,103,0,0,0,1375,19,0,1,0,0,3,23317,0,0,139,0,2,0,359,0,4198,8292,3724,0,9,0,107,58,7,2770,0,0,73,69,0,342,3,17,166,6775,0,0,13969,3379,1774,2,0,25,0,0,0,184,137,34,0,0,0,24188,2880,0,0,0,1694,0,42,1088,21682,772,95,167,3,0,3322,3,0,283,0,0,6,0,0,3223,0,1,0,3,4656,330,3097,1556,845,197,250,0,10159,0,23,2116,6,4158,470,0,0,7403,4341,404,2401,253,4938,682,33,563,1204,1104,104,11,0,0,21,741,299,2,0,702,0,0,0,2,0,51,0,0,0,1105,0,0,3417,4699,2011,179,53334,0,0,21,2490,0,0,143,661,4528,20,1,0,0,0,0,0,3,0,0,23,0,7693,1,4
"축동",51,0,6,1,96,0,0,5,0,3,3,0,118,16754,11,4303,0,0,0,177,0,0,41,3,0,85,1,10,0,0,0,82,0,0,76,0,9,0,29,11,0,2752,0,0,72,0,89,0,44,1,1204,3528,0,1,323,0,89,5,103,1,72,0,2,0,27,0,0,80,0,5024,0,0,0,0,0,0,0,0,19,10,0,75,0,17877,1183,1133,0,0,0,2840,0,182,0,45,529,0,17,25,270,0,4,151,0,1,0,17673,0,18,0,74,0,0,2,0,354,0,33,2,3148,133,0,24,4,51,78,0,1,3,0,1,31,0,0,0,19,2,1414,151,6,0,2,0,1,95,4,0,4,3,8,0,54,153,74,0,1,0,1,0,18,30,23,1640,11534,245,0,6854,1228,66904,3,32,74,64,26,8,31,0,134,0,1,0,54,0,0,0,49,0,8813,303,70,0,0,5,0,17,0,1,243,0,0,0
"춘장대",0,0,0,8,0,0,0,1,0,0,0,66,0,0,6,0,0,3717,0,0,10709,0,2841,470,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1275,0,10738,0,8,0,0,15142,0,0,0,15,300,0,1,0,25,862,0,0,142,20,0,13,0,0,1264,0,139,0,196,0,0,0,174,0,0,1424,0,0,0,0,0,3,0,150,0,0,0,0,1037,0,11378,0,0,436,383,0,4,0,0,5655,0,1978,0,0,30,0,1,0,651,127,0,0,0,1,0,533,0,1,0,18,29,33,0,0,2,0,0,1,0,0,0,0,0,105,0,16,0,3,0,58,0,0,0,0,0,0,2,1,0,19,49,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,485,4,0,0,0,0,0,0,2,0,0,0,15,2731,0,5,0,4665,11,0,0,3,0
"춘천",0,642,0,6926,7,26,123,242,372,149,0,2,0,1,721,3,2183,36,113,1,33,208,3079,546,4,93,55,553,38,214,10,73,332,54,8,101435,1,379,0,613,257,8,362,0,0,295,2553,92,5,816,0,0,23,126,10,438,3181,4369,2,1266,3,501,122,1065,71,6,0,333,13973,2,31,133,60,285,482,0,250,1275,1968,2204,68712,1,115,17,3,2,174,1,3414,3,5,5,2796,579,0,193,3,1000,0,1269,805,3414,79,241,164,31,24,3556,102,0,2,1,0,738,0,108,3045,0,4,0,8412,1506,923,606,96,59,2539,6583,2,99,1,547,147,422,1235,1568,3,0,367,36,2340,309,19669,1678,681,206,4045,1028,3533,219,14,4,0,2994,954,375,56824,0,852,2,2,0,2,1,4830,1,1,14,991,0,0,1260,724,25,125,16,0,7,526,659,0,0,98,30,269,1156,11,1,3,2,84,1,2067,0,61,524283,0,39,459,123236
"칠곡",0,231687,0,243,0,8607,175755,999,86326,73,0,0,0,0,2375,0,27,0,121974,0,0,99712,4297,429,346,184,51,1469,88,31350,82815,364,126979,3833,1,479,0,213,0,2074,84994,0,438,0,0,0,15578,0,2,443,0,0,1,329,0,269945,16338,5974,0,50,0,303,89,48,4420,0,0,95,168,0,1497,7,2,218,33743,0,202,148528,3489,2416,59,0,35,1,0,0,197,6134,60,0,0,0,2105394,2984,0,0,0,2295,0,60391,1494,31252,8345,186,281,2,0,3008,6,0,1270,0,1,8,0,2,6729,0,0,0,43,2799,744,4895,1023,4933,422,521,0,3455,0,46328,91030,11061,4946,589,0,0,2911,88062,890,31619,196,6186,1100,133454,1300,1982,1333,5,5,0,0,29,856,254,290,0,909,1,0,0,0,0,49,0,0,0,1205,0,0,5721,4220,2238,251,3082,0,0,653,2991,0,0,170,3587,2769,30506,0,0,0,0,0,0,180,0,1,153,0,5155,46,41
"칠서",1152,0,71,0,223,0,0,2,0,6,406,0,23,220,15,995,0,0,1,2427,0,0,95,9,0,44,0,12,0,0,0,30,0,0,225,0,8,0,17250,9,0,194,0,8,24,0,80,0,42,1,103,806,0,11,7874,0,136,17,3451,0,1773,0,5,0,29,0,0,26,0,432,0,0,0,2,0,0,0,0,12,36,0,8817,2,1351,0,108,0,0,0,155,0,5771,0,42,13871,0,21,63,42,0,82,206,0,0,1,578,0,58,0,7,0,0,1003,0,79,0,39,10,556,21,0,63,14,51,30,0,2,0,0,2,60549,0,1,0,67,10,149,26,2,0,15,0,0,74,5,0,13,3,17,0,107,4426,1179,0,1,0,0,0,9,34,14,228,483,7788,0,920,92,4081,16,55794,15,58,50,19,18,0,51,0,0,0,487,539783,0,0,18,0,440,2121,92,0,0,3752,0,32177,0,1,222432,1,0,0
"칠원",0,0,505,0,1849,0,0,0,0,1,7294,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,2,0,0,36,0,0,0,510373,0,0,0,0,167,2,0,0,0,2,0,0,22,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,13401,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,533246,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,521801,0,1,1,0,1,0,0,0,0,0,565477,372,0,0,1,0,0,0,5,0,0,71408,0,364421,0,0,3249055,0,0,0
"태인",0,2,0,34,0,27,205,1921,483,609,0,0,0,0,4023,0,165995,0,1530,0,0,3,6670,1031,24,384,6601,2471,27008,929,180,1714,13,5,0,529,0,1,0,33550,0,0,0,0,0,1,5102,0,6,436,0,0,0,194,0,298,30262,9081,0,42,0,233,123,29,1816,0,0,523,221,0,2,5,12479,342,46,0,1,609,4932,3126,7,0,8,3,1,0,27541,11,182,0,0,0,720,14916,1,0,1,3622,0,7,1207,65389,40,371,29274,1,0,4123,0,0,15,0,0,41,0,0,7891,0,0,0,13,3162,1460,4904,3710,39,377,676,0,538,0,3,441,0,6886,588,0,0,2000,227,894,316,540,23294,1302,11,1772,21657,2173,13381,1,0,0,79,58049,36339,47,0,3960,0,0,0,0,0,185,0,0,0,1282,0,0,4030,5141,1675,510,163,0,0,111,117,0,0,99,5,2473,3,0,0,1,0,0,1,29,0,0,65,1,200,5,16
"통도사",0,4043,16,65,25,10670,21862,1052,198599,43,4,5,0,0,4456,0,43,19,5571,0,51,425,8391,733,112,176,1,2736,46,3638,9062,272,1416,202746,92,309,14,24,0,715,441,33,29,0,42,9,8022,55,10,1037,0,0,81,703,0,32308,19395,11192,0,58,0,165,366,37,5465,26,14,155,220,0,98031,270,0,529,1072879,3,12,23754,1473,4892,23,0,234,0,0,19,21,828,130,31,2,0,18871,1554,0,25,3,5406,0,1573,3628,43178,70499,243,79,101,26,2798,398,0,152,0,0,26,0,186,7505,35,0,0,59,3273,1143,6782,516,191043,466,662,3,1690,0,1632,25139,463,12301,474,0,0,1653,7379,1443,488411,184,2837,2758,715,1327,1039,2418,11,13,0,10,75,120,12,172,3,843,3,20,0,0,0,117,0,0,0,1667,0,0,7317,7520,1822,186,584,0,12,57,2808,0,0,7,46079,1294,2503,0,0,46,6,33,10,31,0,31,94,0,1401,31,29
"판암",23,31,28,138,114,438,3271,1641,7376,7770,13,0,0,28,3802,69,14047,0,16597,52,0,29,7105,771,13258,75761,566,2634,1235,23437,1893,20577,126,932,186,1299,8,3,14,38986,28,233,0,0,6,3,82566,1,587,604,20,19,0,357,142,5735,22365,8138,31,149,26,658,166,97,17589,0,0,64798,416,79,532,16,726,390,8940,0,1,12092,75017,2978,26,33,46,1124,627,113,3380,183,404,115,0,91,30017,254691,561,0,165,3506,11,69,1368,43644,1023,357,2642,713,0,33920,2,0,273,0,11,107,1,3,8918,8,124,2,39,132301,1321,9217,81372,1079,623,1312,0,38762,11,59,5218,8,9754,7000,88,0,67779,3361,1161,5642,1541,113854,4293,98,2136,19247,4235,1610,827,77,21,212,14789,5439,135,0,20967,170,125,8,106,53,568,81,42,781,9326,2,0,25622,88003,16360,86328,5166,16,0,292,2187,13,2,2467,959,3808,25,81,75,175,0,0,32,117,1,0,201,29,17402,12,29
"풍기",0,29768,0,398,0,1458,7840,163,21115,0,0,0,0,0,474,0,1,1,107,0,1,14208,1406,211,1,5,0,55,2,90,92,4,26155,3235,1,2855,0,3737,0,17,12408,0,12471,0,0,5,109,4,0,96,0,0,1,82,0,18593,5654,426,0,133,0,13,56,37,17,0,0,4,566,0,1429,25,0,61,25716,0,4871,50954,21,775,233,0,22,0,0,0,1,4,55,0,1,0,145986,24,0,24,0,710,0,138858,245,2147,4714,22,1,1,0,26,11,0,2,0,0,13,0,6,461,0,0,0,512,17,291,44,4,4631,248,311,0,17,0,12165,4858,14730,109,9,0,0,13,531,280,30420,184,40,8,19991,482,18,90,1,0,0,0,22,9,5,3617,0,11,0,0,0,0,0,49,0,0,0,11,0,0,61,15,10,5,4,0,1,1300,32282,0,0,3,2370,14,1096,0,0,0,0,6,0,215,0,4,413,0,12,52,271
"하동",884,0,15,7,301,0,0,13,0,8,32,0,2288,37056,51,128468,0,0,0,1946,0,0,198,8,0,70,0,16,0,0,0,143,0,0,105,6,2,0,289,5,0,11677,0,0,1387,0,290,0,290,2,13792,68221,0,6,6622,0,368,11,1626,0,1698,0,5,0,56,0,0,186,2,19542,0,0,0,5,0,0,0,0,62,151,0,732,0,203431,11620,4406,0,0,2,10295,0,3534,0,91,10717,0,38,104,9664,0,55,523,0,10,0,72810,0,37,0,1266,0,0,15,0,7337,0,172,39,80165,3214,0,72,24,85,93,0,1,9,0,2,379,0,0,0,110,40,50390,2988,11,0,19,0,4,186,23,0,16,2,51,0,65,2657,328,1,0,0,0,0,58,64,10,8085,77587,2239,1,34210,37458,301283,21,423,1503,93,136,42,33,0,9520,0,4,0,610,0,1,0,86,0,17966,2361,127,0,0,42,3,273,0,5,4287,1,1,2
"함안",1439,0,41,1,320,0,0,8,0,49,16,0,71,1640,47,2192,1,0,0,31306,0,0,189,15,0,121,0,23,0,0,0,122,0,0,601,0,24,0,1216,47,0,931,0,0,44,0,211,0,148,0,109,1841,0,73,11331,0,272,8,4024,0,2414,0,4,0,82,0,0,147,0,3023,0,1,0,8,0,0,0,0,47,69,0,7779,2,7497,172744,432,1,0,0,700,0,7712,2,103,18931,0,78,108,124,0,45,587,0,5,0,3992,0,59,0,26,0,0,49,0,239,0,97,18,1502,59,0,58,11,116,79,0,4,5,0,1,2306,0,0,0,116,8,569,63,9,0,9,0,0,172,18,0,10,23,22,0,319,5663,10340,2,3,0,3,0,23,133,51,2012,2445,11047,0,4983,326,28018,31,1976,29,131,77,39,54,0,359,0,2,0,2374,0,1,0,80,0,2034,346,451,0,0,54,1,855,0,0,8664,0,0,0
"함양",91,0,1260,14,11523,0,0,36,0,52,594,0,2,198,71,98,0,0,2,237,0,0,272,35,1,359,0,80,0,2,0,396,0,0,6050,10,1414,0,15,78,0,2591,0,12,175,0,451,0,852,3,6,1838,0,13,1028,0,1120,46,255,1,256,4,11,1,106,0,0,1229,3,351,0,0,0,13,0,0,0,0,84,129,0,169,0,2777,3166,2578,5,0,1,938,0,671,2,212,1847,0,3225,184,10,0,40,1736,0,17,1,11102,0,104,0,3,0,0,479,1,6,0,259,426,127,1,1,144,56,273,254,0,10,31,0,1,73,0,0,0,221,17,90,2,16,0,26,0,14,546,39,0,47,13,44,0,1085,444,106,6,3,2,0,0,73,518,921,69,382,356,1,584,35,3116,58,82,15,281,146,108,156,0,53,0,8,0,111,12,2,0,173,0,152,433,542,0,0,537,4,18,0,5,5519,1,0,0
"함평",0,0,0,2,0,0,0,0,0,0,0,684,0,0,0,0,0,41,0,0,213,0,350,57,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,38,0,79,0,1,0,0,661,0,0,0,6,18,0,0,0,3,99,0,0,3431,751,0,0,0,0,73,0,10,0,397,0,0,0,21,0,0,108,0,0,0,0,0,0,0,198,0,0,0,0,27,0,1373,0,0,27,108,0,2,0,0,76,0,129,0,0,586,0,0,0,20,12,0,0,0,0,0,58,0,0,0,0,3,938,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,28,66,0,2,0,56,0,0,0,0,0
"해미",0,0,0,92,0,0,0,19,0,0,0,360,0,0,52,0,2,12359,1,0,13681,0,22428,2632,0,0,0,80,0,0,0,0,1,0,0,199,0,0,0,1,0,1,6,0,0,14049,6,28167,0,169,0,0,26683,0,0,0,74,2111,0,31,0,312,5123,17,0,512,110,1,110,0,0,7287,0,715,3,289,3,1,2,1278,6,0,8154,0,0,0,0,1,70,0,451,0,3,0,0,17440,0,70294,0,3,2529,2884,0,60,0,1,6663,3,14221,0,0,98,0,12,0,5720,764,0,0,0,20,1,2747,8,0,0,171,290,181,0,0,3,0,0,10,0,0,0,0,0,627,0,156,0,10,0,269,0,27,0,0,0,0,34,0,0,175,186,6,0,0,0,0,0,75,0,0,0,1,0,0,4,0,3,0,0,0,2469,114,1,0,0,0,0,1,7,0,0,0,104,1068,0,45,0,15669,57,0,0,7,20
"해인사",84,0,2781,0,5687,0,0,2,0,7,172085,0,2,22,4,61,0,0,0,18,0,0,20,3,0,39,0,3,0,1,0,53,0,0,584,0,29,0,2034,8,0,108,0,2468,58,0,77,0,33,0,2,676,0,5,622,0,102,3,122,0,147,0,1,0,13,0,0,31,2,23,0,0,0,1,0,0,0,0,26,14,0,139,0,216,12,88,0,0,0,70,0,370,0,37,1312,0,31,22,7,0,4,188,0,2,0,277,0,9,0,0,0,0,182704,0,7,1,21,69,52,2,0,7,3,20,49,0,1,1,0,0,19130,0,0,0,28,2,24,3,2,0,1,0,0,76,3,0,2,4,3,0,91,276,11,0,1,0,0,0,2,41,164,3,41,206,0,11,19,139,3,7817,6,25,16,6,5,0,6,0,1,0,3044,72851,0,0,33,0,27,53,453,0,0,3500,0,2931,0,1,1352953,0,0,0
"현남",1,107,0,16554,1,2,24,671,34,36,0,1,0,0,1413,9,406,15,15,0,12,25,5594,644,0,25,4,269,15,19,1,14,33,14,5,3399,0,57,0,124,32,4,60,0,0,54,592,41,6,538,0,0,8,265,0,65,15779,1818,0,1707,0,169,191,1412,10,15,2,11,3068,0,2,53,11,273,90,0,66,177,340,2657,621,0,84,24,3,8,38,0,5164,2,4,0,532,113,1,69,2,3107,1,107,628,10725,15,108,41,18,3,862,41,0,0,0,0,720,0,43,1829,0,4,0,151,316,914,183,23,7,1675,2428,2,8,0,73,10,92,484,478,2,0,41,2,1605,53,8642,276,187,20,3225,234,1111,28,11,0,0,3687,199,70,1431,1,252,2,1,0,5,0,3692,1,0,6,215,0,0,383,124,7,25,2,0,5,1270,81,0,0,12,3,60,145,1,0,4,1,27,0,102,0,45,602,0,5,9503,147
"현풍",918,1,62,0,244,0,0,0,0,1,1407,0,5,80,1,807,0,0,0,280,0,0,2,0,0,4,0,0,0,0,0,3,0,0,101,0,3,0,23729,2,0,33,0,107,13,0,4,0,27,0,26,243,0,0,4867,0,6,0,1638,0,1018,0,0,0,2,0,0,12,0,213,0,0,0,0,0,0,0,0,0,1,0,1574,0,867,0,19,0,0,0,19,0,2902,0,3,13467,0,4,1,27,0,0,7,0,0,0,129,0,0,0,4,0,0,2157,0,25,0,2,13,416,6,0,0,1,1,1,0,0,0,0,0,89435,0,0,0,2,1,91,6,0,0,0,1,0,6,0,0,0,0,0,0,19,2417,243,0,0,0,0,0,0,6,14,75,233,1646,0,238,106,2516,0,28971,1,2,1,2,3,0,14,0,0,0,32771,394314,0,0,2,0,246,808,37,0,0,6593,0,724,0,0,1069078,0,0,0
"홍성",0,0,0,59,0,0,0,13,0,0,0,241,0,0,58,0,0,6276,0,0,11572,0,26599,4229,0,0,0,64,0,0,1,0,0,0,0,165,0,4,0,0,0,0,1,0,0,8896,5,21841,0,185,0,0,18276,0,0,1,87,3079,0,21,0,335,6974,7,1,538,67,0,62,0,0,9336,0,1049,0,275,1,0,0,1711,7,0,11083,1,0,0,0,0,47,0,432,0,0,0,0,9118,0,103090,0,3,3219,4261,0,81,0,0,8173,1,14418,0,0,90,0,8,0,4345,905,0,0,0,20,1,3968,5,0,0,218,211,152,0,0,5,0,0,6,1,0,0,1,0,656,0,111,0,6,0,293,0,30,0,0,0,0,29,0,0,129,174,4,0,0,0,0,0,71,0,0,0,4,0,0,5,1,1,0,0,0,3509,102,0,0,0,0,0,0,1,0,0,0,74,14615,0,62,0,432,94,0,0,10,22
"홍천",0,188,0,1239,0,18,64,137,173,162,0,1,0,1,478,2,1282,50,91,1,28,82,5998,1220,3,65,17,581,57,133,6,62,148,26,4,38216,0,131,0,460,72,16,136,0,0,269,1713,83,1,956,0,2,24,235,1,167,1756,4279,0,421,0,399,275,342,43,6,1,510,7154,0,7,167,35,480,235,2,117,373,1170,3338,21388,0,242,11,7,1,194,0,857,4,1,0,1025,520,2,156,2,1906,0,409,1251,2679,36,189,177,29,16,2387,101,0,3,0,0,169,0,154,3822,0,1,0,3655,1168,1728,419,84,28,2746,4708,0,32,0,208,62,138,1246,1268,1,0,229,17,2275,179,4371,1003,475,80,2892,761,3343,169,18,0,0,659,731,271,27029,0,635,5,4,0,2,0,1179,3,2,39,672,0,0,904,601,13,110,13,0,10,543239,178,0,0,86,18,225,352,5,0,6,0,82,0,725,0,88,308,0,30,190,15884
"화원옥포",6094,0,10914,0,51220,0,0,4,0,5,878754,0,35,1033,4,13447,0,0,2,2750,0,0,11,1,0,110,0,1,1,2,0,32,0,0,15013,0,1159,0,141769,21,0,1022,0,1772092,2130,0,28,0,1778,0,550,30354,0,1,20878,0,27,3,7636,0,2717,0,0,0,4,0,0,947,0,2978,0,0,0,0,0,0,0,4,8,5,0,9056,0,9577,5,1146,2,0,0,719,0,14864,5,28,80701,0,334,9,513,0,4,41,0,0,3,3319,0,3,0,42,0,0,927151,0,315,0,9,2235,8954,230,0,6,0,10,17,0,0,0,0,0,556686,0,0,0,5,1,2105,76,3,0,1,1,0,43,0,0,1,29,3,0,2366,10902,2307,0,5,1,0,0,1,323,2664,750,3764,8603,0,2551,2184,24487,0,441320,195,6,8,6,23,0,244,0,0,0,200045,3407973,0,0,18,0,4026,6706,6090,0,0,1406136,1,1183704,0,0,4816,0,0,0
"황간",0,64,1,11,0,698,4373,789,9709,113,0,0,0,1,1945,2,1668,0,44502,1,0,32,4334,437,2289,494,36,1372,81,57832,4036,1399,103,1582,5,241,0,1,0,2061,37,1,1,0,1,2,61849,0,4,436,1,0,0,158,0,8409,11689,4292,0,12,0,91,67,6,2839,0,0,134,83,0,568,16,52,208,11302,0,1,23632,5260,2017,7,0,15,5,0,2,480,224,52,2,0,0,49865,6373,0,0,1,2204,0,56,874,24018,2001,181,265,8,0,6823,4,0,549,0,0,9,0,2,3933,0,1,0,7,6726,613,3437,4684,1882,309,242,0,29650,0,33,6187,4,5651,996,1,0,18530,8408,866,7817,199,8171,876,85,707,1624,1471,201,10,0,0,21,1175,539,25,0,1762,0,0,0,3,0,70,0,0,4,1136,0,0,4519,13111,2907,422,8778,0,0,45,4019,0,0,214,1166,17120,23,1,0,1,0,0,0,6,0,0,22,0,1743,0,7
"횡계",0,68,0,46986,1,2,8,272,32,6,0,0,0,0,578,1,105,1,9,0,0,13,1899,242,0,3,1,71,3,9,0,1,24,5,2,1152,0,27,0,26,22,0,27,0,0,17,157,15,3,304,0,0,2,68,0,37,12003,669,0,1689,0,125,69,1819,5,0,0,23,1341,2,1,5,3,88,52,0,19,195,153,1053,276,0,20,7,0,0,9,0,2581,1,2,2,197,35,0,20,1,1286,0,86,205,8274,1,46,5,2,1,251,20,0,0,0,0,1475,0,11,712,0,1,0,48,119,262,68,6,6,627,940,0,5,0,31,14,28,142,136,0,0,27,3,707,32,3999,87,52,5,1467,49,331,6,7,0,0,4235,69,9,533,0,40,7,2,0,0,0,7880,0,2,2,52,0,0,113,41,1,4,0,0,0,570,45,0,0,5,1,17,52,2,1,2,0,9,0,12588,0,14,317,0,1,78,84
"횡성",0,54,17,211,0,3,11,229,55,12,0,0,0,0,1092,0,249,10,15,0,3,19,2658,390,7,26,2,209,14,22,0,11,50,8,2,23922,0,90,0,96,19,2,78,0,0,66,369,22,2,489,0,0,3,199,0,40,3980,1027,0,89,0,85,75,61,10,1,0,79,12240,2,4,52,8,260,76,0,54,98,252,1573,8164,0,62,2,0,0,37,0,165,0,0,0,299,120,0,36,4,1379,0,150,516,2921,5,160,22,2,4,598,25,0,4,0,0,29,0,56,1129,0,0,0,3655,242,501,103,19,6,1143,2516,0,20,0,69,13,64,378,276,0,0,65,1,797,324,697,223,176,28,1828,173,1351,29,8,0,1,128,135,46,15428,0,129,0,0,0,1,0,217,0,0,0,258,0,0,233,146,3,28,4,0,3,107369,52,0,0,12,5,32,158,1,0,0,0,15,0,98,0,19,17300,0,6,20,189
