"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"음성",299,8847,888,44290,3870,882,27,68,593,217,1076,11,1742,4211,20618,2541,598,562770,5370,0,1709,102,2803,204,1718,261,1174,666,64703,46028,5668,2,305,1681,61,3698,369,51,1231,1142,65,1785,986,1553,0,0,10810,2870,17626,173,3062,985,17263,20809,2,1778,0,78,142,32,102
"이천",336,10404,3573,26178,12074,2630,27,79,5528,351,5452,11,3158,16722,17441,9981,2633,678171,0,192,76671,153,11545,218,56216,0,1794,110992,23699,199810,3916,2233,1593,9025,170,32299,504,189,12318,1058,200,23891,4774,54386,0,8456,0,9963,33553,212,6502,1084,9271,8449,5075,1159,3,209,163,149,132
"익산",655,2439,4278,8258,36662,5857,163,2384,952,2607,4683,0,31119,15346,37470,558,2257,157339,3797,4968,2460,1893,5859,1224,3806,0,201844,238840,5450,35897,7459,9814,440,514,155,2233,764,371,73527,5676,301,408,6870,3792,53261,2576,11243,0,2615,3334,7928,12747,13729,2038,13478,14757,22907,301,2614,50,303
"일죽",186,14086,1740,43347,4642,1178,55,46,321,225,1995,0,1925,6840,17146,4402,874,527481,11,2,12180,101,3933,153,13121,0,1076,143,24130,38891,3100,8,629,1267,109,8524,473,173,671,1714,119,5012,1463,10777,0,18433,39669,3546,0,115,2970,1081,10963,9414,11,874,0,99,167,101,179
"장성",0,91,0,400,870818,0,0,3052,180,4876,0,0,1832,0,1506,0,0,10138,0,251,0,24224,0,823,134,0,2946,11577,201,2389,196,441,0,0,0,148,0,0,2976,147,0,179,0,114,72,169,172,3516,93,0,9270,21058,271,93,568,481,708,0,1364,0,0
"전주",360,2194,1887,9276,314129,4871,94,17812,1080,19125,2315,0,61149,5391,49520,464,1045,213774,92,8576,1271,9071,6562,3103,3091,60,131984,278536,1500,45044,7532,9802,239,829,54,2506,643,167,67872,3670,152,3654,4584,2862,52649,2257,5410,7879,2431,9308,0,141331,8848,1764,16137,10789,30502,164,29568,56,223
"정읍",433,771,482,3100,302508,1043,17,13894,189,278944,959,0,19522,1639,18156,337,172,81409,892,2025,419,35739,472,13323,1545,921,30802,110166,1614,13957,1103,3413,36,141,48,702,210,49,20856,1387,74,54,687,770,0,593,1227,14328,767,21009,148041,0,3627,578,4690,2386,4004,70,10384,15,104
"증평",213,3043,1115,17882,11149,2446,57,223,376,659,1586,0,4816,6078,89580,700,875,178613,171,0,882,257,4006,434,2349,20,5803,1898,18252,17441,15992,0,446,2017,74,1491,1027,117,310,5317,120,2965,1633,1888,0,16998,8382,13168,7210,279,8006,2208,0,9967,0,4977,0,76,627,59,240
"진천",162,4438,1646,16196,2840,856,13,32,116,133,1039,0,1077,4408,25578,652,614,177574,2160,0,2125,40,2603,87,1955,0,974,3800,60183,14115,5912,0,512,788,115,2015,526,64,355,1813,81,145,1287,1868,0,19015,9581,2013,9610,98,1869,578,12838,0,0,2925,0,54,190,97,123
"천안",1733,471,12829,1175,24467,9361,831,482,9741,1401,12157,0,6126,40133,233736,1835,5484,1323,14022,18446,1957,514,23921,948,7283,1720,12153,2034975,12,211103,26866,74331,3527,1764,1060,3435,3143,937,362005,9006,766,4750,8176,5363,0,84,5975,15047,111,603,16805,5025,39,25,0,8640,130956,1023,1173,364,1305
"청원",1320,704,3652,1897,12864,2780,1022,267,660,1003,7953,0,9029,23239,198704,169,2867,32815,702,10824,407,224,9060,604,777,50,14538,28281,2216,9328,8369,3805,1623,206,390,648,4990,350,19397,44415,349,1,3604,1088,0,2219,1594,15833,1151,495,11435,2646,7870,3451,10006,0,10673,774,665,108,2483
"청주",747,0,4158,0,11636,4875,508,170,4438,596,5616,0,4077,23679,106078,54,3384,0,2043,81021,66,174,14795,497,256,0,4246,417434,0,117077,9877,59409,1868,113,355,107,2155,355,221938,7308,355,928,4536,228,0,0,269,9356,0,318,10282,1940,0,0,136194,2975,0,310,461,215,622
"추풍령",327,65,540,233,69,4117,461,24,35,99,6468,0,397,6986,8291,47,1640,5837,252,819,31,1,13704,4,61,250,268,11307,164,8767,395,564,118,24,39,88,3024,104,2389,2906,321,10,280,82,1076,58,183,378,82,6,293,56,93,51,985,812,912,0,14,20,2079
"태인",21,220,125,864,30788,388,12,3576,35,58704,192,1,4221,48,38,23,70,18956,80,425,71,2021,129,4198,363,345,7982,21920,397,3765,351,902,10,59,7,197,69,45,4787,306,12,138,161,190,4150,151,209,2840,125,1634,33790,10832,788,177,1106,600,1121,11,0,2,28
"통도사",4869,35,69768,480,6,4459,5,0,36,2,982,0,123,12227,3000,19,16067,3753,0,330,44,1,405882,4,9,0,91,7542,173,2383,133,538,43090,25,18552,53,371,5608,4554,445,999,157,152412,136,0,59,165,71,69,1,109,14,78,95,575,256,759,26,2,0,201
"황간",1174,136,3063,404,269,14681,474,11,22,37,18182,30,971,35731,30493,160,4292,8680,114,521,34,3,7393,12,157,150,358,8755,84,2644,1372,629,1326,23,226,91,17044,591,3772,9788,905,7,2424,120,1102,106,153,382,161,13,254,112,278,146,1222,2375,2899,2353,26,134,0
