"","건천","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대전","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"신탄진",1,2017,5069,11962,17528,17783,8667,2767,271,2079,1113,10372,0,22755,33938,99787,975,3426,93006,116112,6053,81068,3913,404,22325,994,1124,6863,0,42876,269265,14513,41329,0,27946,2271,1376,994,2535,8919,534,42870,68725,986,0,232,5724,0,16808,11385,19431,12141,966,20271,4390,75242,22160,91481,25225,110072,899,959,4928,2106
"안성",3,4821,282,27982,661,34743,10319,401,431,17315,1746,18807,33,7649,57649,105303,1019,6368,1166,424631,9537,33987,1824,716,25514,5792,1147,5622,0,8324,1688441,3,211376,25573,0,6095,820,1393,1361,3438,1217,90181,12350,2710,0,903,3296,0,6,3732,20980,3,1415,23243,7460,3,2,109377,9986,109352,893,1790,5548,1602
"양산",44,34126,770,519723,2986,4,26290,22,11,1157,65,11102,0,1454,63167,27818,225,87074,24623,28980,0,3120,397,1,2368618,1785,13,442,0,801,51383,3285,8985,1867,4838,0,254,171311,535,2817,75452,11903,6561,11054,1119,152090,1334,0,1374,1532,1314,1355,0,973,35,1640,950,7522,2688,4035,231,10,707728,2347
"양지",0,274,1980,1187,3700,2263,825,15,17,1684,93,968,0,552,3634,4584,5179,443,37606,260600,65,169,34905,80,1255,309,104,26964,16,522,413712,6635,22624,1715,911,337,0,84,20464,174,66,3443,584,62,34203,583,19993,0,10450,37177,1276,5423,104,1497,369,5960,2999,2509,445,17,43,75,96,44
"언양",67,12014,231,143752,787,3,10484,41,5,100,24,3350,0,477,31261,6197,100,38556,4625,5411,0,1144,116,1,534126,932,19,18,0,270,14108,238,5758,1573,877,160763,221,0,114,781,14747,3760,1140,7449,255,26585,260,0,223,435,384,396,2,132,39,377,277,2296,510,1690,98,20,1187423,412
"여주",0,267,3115,1327,9937,5419,975,0,89,1692,276,1698,0,1387,7067,11750,2725,1118,228402,25514,0,140,90886,121,3980,1229,158,61298,602,1220,52576,8672,125635,2918,1371,652,11272,82,0,275,145,5311,1026,178,15506,1009,72045,0,1822,29048,2514,5618,205,3466,900,1809,2731,3310,975,3,157,168,38,87
"영동",0,2164,593,9550,1866,1176,10376,4976,24,170,114,17514,0,1489,36082,75181,102,5835,29103,18165,420,3212,213,19,13595,1392,65,578,0,1476,43815,8737,5733,6273,3100,2747,136,684,252,0,913,4735,54467,2151,0,276,404,6035,881,1318,1301,870,91,1057,332,2682,1077,5155,10486,5772,4858,70,3977,10675
"영천",94,67516,277,121835,603,15,24969,20,14,158,41,5914,0,708,226581,7899,89,329922,9971,4681,1,911,150,1,243395,2666,47,42,0,470,13280,476,3848,546,1131,71164,51,16803,155,941,0,1916,2319,14628,184,7481,252,0,261,447,804,324,3,319,171,480,234,1970,774,1723,317,29,99789,976
"오산",6,10703,518,45387,1779,111416,33002,406,1679,19186,5547,38473,0,22677,126934,162046,5166,15138,933,465848,22524,50220,7880,2813,61677,0,4575,14277,0,14129,2659863,93,154474,44884,119112,14573,3384,4638,6755,6666,3283,0,22991,4259,988,3250,10593,0,1976,16111,52792,817,5568,74292,19042,466,413,304106,23504,193231,2248,5881,15456,3602
"옥천",0,5597,1509,17344,6756,7644,23626,75131,293,514,923,36672,0,10647,77219,355433,369,13019,74675,51997,1487,18993,844,199,23912,18225,410,1861,0,9753,93267,60351,18698,60672,11808,5341,441,812,1159,59510,1867,18350,0,3637,0,772,1890,53285,4989,3466,10360,3773,320,7310,3144,20347,6146,25666,86879,7000,6725,892,9178,20770
"왜관",53,77127,312,61733,1275,18,113332,194,14,81,65,16500,0,1046,1417906,17223,48,171707,13380,7698,0,1727,189,3,36050,0,34,157,0,908,18571,449,4220,952,2880,10612,58,9478,243,2184,17068,2760,4150,0,314,1759,487,0,508,622,1015,530,2,443,162,739,437,2756,1515,2835,1651,71,21110,3662
"용인",0,525,551,2186,1508,5395,1924,27,129,2541,471,2211,0,1400,8665,13770,16326,1281,14604,343964,8064,874,17764,166,4465,454,198,19623,0,1212,683507,16923,24464,3901,3033,574,51241,421,13580,325,187,7566,948,259,0,1038,16203,0,14034,28762,3247,7453,404,4142,1085,6637,3734,11123,1689,651,176,270,109,191
"울산",163,79860,949,173776,3508,24,88021,101,58,920,108,16564,0,4497,265529,64746,312,318062,45851,57878,0,9697,902,4,509789,3723,123,77,0,2540,91692,8266,15692,5012,6065,725822,340,1218443,1166,5130,102281,22966,9511,20871,1904,251167,2659,0,2383,3838,7405,2342,7,6934,883,4329,2477,12267,5253,11167,758,68,0,4545
