"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"경산",0,33,65686,110,31,14222,20,1,21,1,1238,127,235,87325,4149,32,86411,3392,87,1187,21,0,54486,7,15,1634,334,12349,162,1466,105,547,14120,13,5269,65,260,15118,4825,700,10683,3,19816,39,0,11,208,140,63,0,141,112,12,48,1032,418,633,238,12,2006,559
"경안",43,0,483,19543,1620,317,30,25,40,75,578,0,390,1978,3801,833,248,538140,184,130,1752,41,1125,73,2282,18,330,69,3996,883,480,92,82,420,19,2225,169,65,188,264,28,489,199,2005,0,638,5834,575,6738,35,1168,400,614,1951,408,162,28,55,69,11,61
"경주",56522,492,0,2042,2060,41345,318,36,984,114,6797,473,1870,219163,42536,125,612922,44077,0,7355,117,3,708526,48,45,2128,1675,149675,840,24883,2315,13049,232625,133,62436,604,2995,21228,88470,3109,13357,1388,30496,539,6,138,3398,4385,855,5,3534,486,166,746,9490,3628,7452,204,96,29363,1790
"곤지암",209,16854,2424,0,7897,1244,261,71,208,329,3040,1,1289,13176,13946,3373,1028,798371,293,197,18330,133,9101,323,19544,35,905,177,21010,3119,1915,191,764,1289,107,4803,586,146,645,1050,135,940,676,9795,0,4474,5543,2440,29339,135,5386,1569,4576,14893,825,804,31,129,283,215,179
"광주",0,1085,3,3837,0,498,36,20834,427,80266,64,0,40174,0,41483,670,0,104086,32,9461,491,70047,0,7565,3414,0,62196,460595,7942,41743,4052,8551,0,125,0,2332,68,0,69603,1627,0,2525,0,2777,0,363,3585,13003,1477,543262,194176,219832,1388,1444,12139,14453,13847,0,20164,0,45
"구미",5913,317,17026,795,478,0,579,84,659,69,20310,421,660,453512,23172,267,24548,22571,801,5497,756,1,19320,77,219,4731,1165,59900,2197,13986,1484,2641,2827,182,831,171,2938,2315,29024,3315,9751,439,5524,235,0,82,1325,1920,346,7,2001,389,375,389,3964,1936,4894,1597,158,1000,5439
"금강",18,17,267,66,52,478,0,1,19,4,888,0,95,1057,36419,1,85,1555,29,513,4,0,214,9,30,3,125,2477,275,382,951,514,8,3,12,23,2277,10,502,36130,16,3,137,21,1120,6,54,141,67,2,113,60,16,32,416,750,604,327,1,4,333
"금산사",7,25,54,104,27100,124,0,0,11,87555,73,0,1955,273,1332,2,32,2936,36,716,9,1767,186,1673,65,40,2723,6842,135,987,239,160,3,5,1,26,12,16,1635,128,7,75,13,43,5,12,100,756,20,913,16875,13663,27,39,275,317,333,6,9406,2,3
"기흥",40,24,619,156,1138,721,33,3,0,22,444,0,93,2416,2057,1247,164,46,6611,344,563,15,864,28,774,0,102,581512,24,107428,832,3917,102,1718,68,1464,77,60,3144,113,51,118,959,903,0,41,4643,410,183,15,611,123,34,93,5325,209,2545,77,16,13,21
"김제",0,53,111,205,86756,112,5,87647,11,0,172,0,1786,312,1834,11,58,4753,102,308,40,3611,113,1566,122,18,4674,12506,216,1718,163,394,8,10,1,62,38,6,2242,191,4,3,63,82,0,19,121,591,59,3189,9658,209537,48,63,589,573,512,9,114721,2,11
