"","가락","가산","가조","감곡","강릉","거창","건천","경기광주","경산","경주","계룡","고령","고성","고창","곡성","곤양","곤지암","광양","광주","광천","괴산","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","기흥동탄","김제","김천","나주","남강릉","남공주","남구미","남김천","남대전","남밀양","남상주","남성주","남안동","남안성","남양산","남원","남원주","남장수","남제천","남지","남천안","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대동","대전","대천","덕유산","덕평","동고성","동광산","동광양","동광주","동군산","동군포","동김해","동대구","동대구.구.","동서울","동수원","동창원","동함평","동해","둔내","마산","마성","망상","매송","면온","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","보은","부곡","부산","부안","북강릉","북광주","북단양","북대구","북대전","북부산","북상주","북수원","북영천","북원주","북창원","북충주","북통영","비봉","사천","산인","산청","삼랑진","삼례","상동","상주","새말","생초","서김제","서김해","서논산","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서안성","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","서포항","석곡","선산","선운산","성산","성주","소양","속리산","속사","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예천","오산","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","울산.구.","원주","유성","음성","의성","이천","익산","일죽","장성","장성물류","장수","장안","장유","장지","장평","전주","점촌함창","정안","정읍","제천","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","남청주","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","포항","풍기","하동","함안","함양","함평","해미","해운대","해인사","현남","현풍","홍성","홍천","화서","화원옥포","황간","회인","횡계","횡성"
"남장수",86,0,344,1,3,3535,0,26,0,0,7,462,151,636,17,23,44,14,106,2,9,47,119,2,0,71,6,0,125,2,0,44,4,6,1,0,1,3,90,140,0,2,53,0,5,0,176252,15,1996,0,13,9,83,0,8,0,299,0,0,6816,2,0,178,1,230,3,30,0,3,70086,9,6,115,0,0,452,24,148,1,0,0,0,1,1,18,1,66,154,9,5,195,1,10,3,103,0,8,0,0,0,4,74,1,5,1,26,3,5900,0,0,52,1563,20,39,0,0,86,2,59,8,520,839,352,0,8,0,31,0,772,1,170,1,0,55,1160,6,210,97,35,0,12,15,422,0,11,3,824,0,75,5,0,11,39,140,311,108,32,0,2,1,7,0,68,7331,74,8,0,39,8,36,113,0,6,20,1,5,41,415,0,73,0,0,0,62,16,1,6,115,6,0,19,0,3,0,0,7,81,9,0,8,26,40,1099,197,32,0,179,17,1,9,18,0,153,1,40,97,58,719,36235,95,34,72,1,139,17,5,360,24,38,677,48,0,0,17,104,20,0,63,0,15,2,5,16,0,26,33,0,3,0,607,96,0,1,0,12,112,3865,21,3,0,281,5,113,3,9,6,6712,1,2,0,3
"남제천",0,10101,0,178,1265,0,516,1213,1737,3614,7,0,0,1,0,0,2698,4,105,8,10,33,0,15,2544,4570,1011,0,1,0,242,418,0,17,0,12,3,24,1,4,1296,0,0,3962,23,1222,2,24306,0,147,0,9,1,649,11,2685,0,13524,0,0,58,7743,92,24,2,1017,0,0,0,1,1,507,0,2296,0,24994,2655,0,0,237,342,0,170,177,210,243,4,13,1,0,1,7,5,7883,0,266,5,0,735,467,29,2,1,281,3149,0,601,3,16174,13568,53,0,1,3178,274,1120,0,7,0,89,0,0,0,692,3,491,0,1152,0,0,0,0,35697,18,0,43,0,4161,0,22154,676,18,6183,695,453,10,2,7,97,21,178,0,1,1,0,0,1,1,111,18,16,2908,1874,0,0,0,6562,56,641,40,11,618,2375,2592,0,4,0,3,2,2,9579,819,7444,232,54,49,1,1,5,178,18,154,732,6829,0,1859,59,37,1733,2446,36,309,2,0,6,104,0,0,205,61,2,6,21,40581,0,0,11,0,0,0,0,0,261,0,1,3,1,25,1,0,97,288,897,23,10,2,262,4,1,0,3,4111,16,9755,0,2,1,8,199,1,18,1483,2532,49903,3,0,0,0,6,253,0,773,0,44,1833,5,0,3,1,294,2127
"남지",13210,0,511,488,20,1792,0,171,3,3,377,451,283,98,34,571,1029,2696,1,0,221,1133,6042,1,1,3069,256,77,90,7,11,861,15,523,0,0,32,86,4322,27,0,173,1642,2,202,1,179,14,17,2,33,372,6,0,279,0,308,1,0,76,301,3,3499,2,82,137,41,0,414,1253,5,407,13064,1,0,7905,358,19673,0,6,0,4,15,0,419,0,1279,3,5,0,41,0,364,58,8010,1,1093,0,1,0,187,8,40,78,3,9,3,40,0,2,422,75534,1088,1139,1,11,43982,83,128,237,6151,0,261,2,249,1,1205,8,275,0,15140,17,4,886,87361,149,34,2407,134,0,2076,266,2290,0,84,27,2196,2,991,447,0,25,681,53,2682,5104,292,68,1,272,869,0,647,20,1671,36,0,1136,293,939,580,0,316,718,52,365,77,24,105,12358,1,0,0,1333,1466,0,561,63,165,0,157,2,221,5,0,19,849,584,0,926,119,440,25,4,45,0,22679,2939,7,277,254,6,43,1,116,35,168,120,129,2206,1533,8748,2,6465,67,1166,5938,224,31734,20,1823,0,0,296,581,854,0,152,106,200,1,21,1631,0,10632,357402,5,35,0,1242,871,0,5,0,2616,9635,391,2,0,0,546,4,11386,2,6,63,127242,167,19,13,1
"남천안",2115,12,97,41,353,491,1037,259,3362,9726,1948,404,644,689,409,95,794,753,81372,19,11,11217,184,7538,11,82960,3665,359,3788,1784,6,48118,2781,5014,5,12,25525,3007,981,3591,696,4125,333,14,5849,1716,211,420,7,8,878,12058,969,930,1654,7,577,3,0,1852,431,10605,77905,108,545,342,124,1,450,219,1332,9761,828,2444,0,3576,14170,1040,7,227,58,0,2894,49,24782,92,14709,4297,502,199,3573,82,113,427,417,793,3773,8,1064,822,13399,2557,2792,5133,4492,1905,132,2623,15,9605,23967,1192,2292,47499,769,22,772,15,294,9178,2177,532,499,427,6875,604,2392,142,372,547,936,37329,17501,8121,4129,535,735,117008,3893,17,23061,66942,432265,1475,463,10026,2154,1138,98,6037,355,355,3616,784,841,977,2203,1531,30,1018,43385,2143,74915,93,8238,457,18,71765,6621,89693,5952,1755,477,1129,21950,12,181,1139,898,1073,11,2887,0,129185,58,17,346,813,4540,242,30744,5013,3021,8632,0,371,23181,2180,18,859,34096,1097,3927,429,1395,289,1002,111,69,57487,869,70896,12915,67,2314,347,144,488,481,63,417,567,86,442,1637,425,1625,183,572,421,77335,405,697,42551,14860,85171,513,6007,808,114,229,392,31,2046,464,10864,6571,6861,2003,4766,10797,1284,5741,21,450,361,798,368,48,237,121,308,1046,152,339,1479,215,460,760,129,95
"내장산",57,0,10,1,38,65,1,79,22,10,476,33,67,167,978,168,256,308,124748,5,0,145,113,5,0,584,44,4,55,4346,0,421,13445,91,2,0,208,10,6,375,0,38,7,1,32,0,1115,70,86,1,1,941,3397,0,1454,0,34,0,0,1103,23,0,666,10,184,20,18,1,590,348,25,75,77,18,0,1543,143,206,3,23,9,0,47,10,153,0,146,818,110,54,114,4,10,28,75,1,62,2,0,0,68,14945,26,27,0,16,6,8208,0,76,1534,1299,36,394,2,1,51,0,22,51,367,839,21,0,3323,0,6,11,23,6,123,541,73,1914,798,13,30,835,1432,0,137,268,5617,1,94,23038,149,2,395,51,1,256,15,78,64,7,441,6,2,12,186,9,738,191,3978,314,2,187,59,472,991,0,14,64,315,1,20,313,22,19,0,5,0,877,146,2,172,847,161,0,323,20,38,11,0,27,4629,202,1,165,1689,206,11849,1278,230,0,118,23,4,19186,13,207,7205,6,741,41,432,29,146,66,38,34,7,93,337,60,284,114,23,564,831,0,1,140,675,127,3,101,16,21,3,50,1,8,56,1,87,4843,0,491,568,3,30,0,213,78,73,153,5,0,39,25,2,4,34,5,1051,10,10,7,4
"노포",0,4539,0,603,144,1,16232,317,9618,139053,206,1,0,1,0,0,1353,1,2,0,249,7070,4,2,865,2584,252,77,23,0,20,970,2,2008,0,1,19,7786,83,79,26528,229,1,4739,159,48868,0,1784,0,774,1,406,0,92,192,630,0,567,0,0,152,824078,3326,6,0,370,0,0,0,3,0,366,16,19370,0,11007,676,3,0,12,63,8,135,3,256,92,1612,0,0,0,1,2,624,135,3,449,629,0,38233,13301,307,0,90,172,103,0,38,0,337,19778,851,2,756,1119,1389,33,0,131,1,147,3,0,0,19316,9,77712,991,70,0,0,11,4,20363,533,4,247,0,2744,0,1441,690,231,7082,76364,188,10,0,5,1132,352,460,0,548,0,1,5,3,114,18,204,364,18641,1300,0,5,0,83,830,222,814,340,129588,635,814,3,556,0,0,179,0,2174,15006,343,1626,520,2,0,0,194,141,6,6961,494,50215,0,136,1293,400,1307,816,62,168,1,0,2,106,16,1,43,75,582,13,5,297,0,0,147,0,0,0,0,2,71,0,0,0,0,317,1,0,2338,8262,501,417,766,793,2136,69,189,0,2,844,1202,4924,1,0,4,7,87486,0,765,7164,5235,464,0,0,1,0,7,94,0,183,0,12,642,209,0,330,26,115,677
"논산",433,29,125,93,1296,645,786,1664,4595,4732,56814,219,708,75,194,103,5470,300,88886,2,12,9217,278,5,38,2347,154,403,5723,3697,1,1230,10634,7664,1,5,504,2195,431,25267,115,2595,270,72,263,218,101,1931,5,18,349,1728,1708,153,160,20,485,18,0,1004,127,1254,56745,5,632,963,85,1,397,152,2,240,467,2523,0,31476,490,1078,1,665,166,1,158,189,560,114,1378,888,120,35,3884,2,138,1662,283,227,2906,4,124,458,265,4350,981,105,763,3,326,4181,28,7592,55879,2809,1720,1375,939,93,255,26,378,201,1788,3772,385,122,10525,123,703,587,497,0,512,1018,11664,191250,3791,129,900,3094,1291,29,466,880,17282,736,3175,18077,1637,7,19255,175,325,211,983,16,1484,640,5148,328,82,64,541,1560,2425,73,3389,196,58,28813,279,1681,76569,1008,231,4912,2295,35,201,206,2563,272,15,3003,1,2830,9199,40,116,505,8366,107,53864,1977,209,5572,0,1271,256345,6593,39,5797,42455,10720,7135,521,2143,65,425,220,182,66580,566,440,22911,112,916,5,21232,492,353,206,239,370,220,606,2614,98,1061,8155,212,670,2748,162,439,525,28161,4206,594,8229,948,38,3,2418,58,1994,364,349,142,14161,102,2836,48445,1097,4159,11,133,401,1231,129,8,64,130,717,516,5,1548,573,410,805,274,248,458
"다부",0,11448,1,21,654,0,1286,30,14874,4735,14,0,0,0,0,1,73,0,1,0,14,344,0,1,34761,160,24,3,3,0,0,49,1,315,0,9,0,519,14,8,645,17,2,49849,10,770,1,2226,0,3436,0,14,2,498,26,914,0,3308,0,0,7,4681,174,0,0,24,0,0,0,1,0,7,0,18127,0,585,44,0,0,74,154,0,6,35,15,207,76,0,0,0,0,0,75,375,0,343,51,0,471,783,15,0,5,9,2246,0,198,0,2344,66738,41,0,51,59,1785,151,0,6,1,4,0,0,0,439,7,413,70,154,0,0,0,1,306773,40,0,11,0,157,0,17623,27,7,220,948,9,7,1,0,40,9,701,0,43,0,0,4,0,14,55,2,12,14242,50,0,1,0,511,27,14,51,5,843,34,57,1,39,0,0,12,0,20946,3701,3413,59,21,22,0,0,15,130,7,830,25,3636,0,408,73,7,32825,59,52,8,1,0,3,116,0,0,97,56,58,0,8,1133,0,0,29,0,0,0,0,0,157,0,0,0,0,16,0,0,85,1468,254,24,33,25,2539,20,33,0,0,2186,44,103582,0,3,0,3,581,0,39,6999,7697,6297,0,0,0,0,1,128,0,474,0,1,1102,17,2,26,0,267,392
"단성",1916,0,1784,19,107,11783,0,493,0,1,392,762,10791,166,53,4136,1297,7814,11,1,18,188,5051,0,0,5249,271,13,2518,55,1,1537,355,32,0,0,90,5,304,3313,0,20,100,1,270,1,4708,209,427,0,422,656,35,0,895,0,42,0,0,739,148,2,5348,6,2941,117,1784,0,460,4787,0,361,3830,0,0,14475,751,6190,0,28,41,1,111,12,923,16,2812,11,4,1,2586,0,47,208,11378,0,229,0,1,0,327,20,26,173,0,18,12,330,0,1,1320,37410,108,2106,1,7,3274,12,4449,283,76249,42930,19163,0,1407,0,86,22,11534,1,6083,368,1,1846,26657,229,4666,4575,392,1,1363,813,28280,0,444,516,43321,0,1855,198,0,50,109,55,350,198,5041,18,4,155,654,2,3317,641,4425,215,1,2290,274,1972,2439,0,150,551,169,26,5933,146,5,806,0,1,0,4049,1267,5,1991,64,111,0,2928,0,218,2,0,105,4745,768,0,451,2187,967,98,28,1487,0,4004,968,15,3634,53,71,220,1,648,96,1034,5728,2838,2675,8323,1059,19,12096,1286,906,44917,540,520,106,3218,0,0,781,3135,897,0,1490,9,2294,6,191,48,2,841,14,28,175,0,35958,2003,2,1,0,4984,4355,17106,6,7,0,1332,73,180,5,121,44,13654,3,14,18,22
"단양",0,9358,0,103,1005,0,833,993,1247,5420,5,0,0,1,0,0,2187,1,12,14,9,22,0,8,4619,4351,902,0,1,1,154,310,1,28,0,11,0,21,1,1,405,0,1,5991,11,1213,1,11278,0,16064,0,2,0,670,17,3265,0,3231,0,0,24,7486,53,15,0,866,0,0,0,0,2,405,0,2540,0,18693,2002,0,0,132,306,0,122,80,191,183,6,2,0,0,2,2,3,5987,1,251,1,0,702,529,26,0,1,267,3336,1,385,0,15065,9723,21,1,0,2615,400,807,1,4,0,107,1,0,0,617,7,455,0,498,0,0,0,0,37752,10,1,22,0,3649,0,31942,803,5,3598,1338,742,4,0,2,55,16,267,0,4,0,0,0,1,1,97,16,10,2477,1266,0,0,0,2478,29,618,23,12,545,2101,1537,1,3,0,0,4,0,17698,960,13154,204,26,20,0,0,1,176,5,157,524,6919,0,1153,19,31,2556,1753,183,196,2,0,1,73,0,0,151,23,6,2,8,29900,0,0,8,0,1,0,0,0,231,0,1,3,0,31,0,0,76,325,521,14,10,2,267,4,3,0,2,2835,6,8115,0,2,0,1,159,0,9,1249,3230,156413,0,0,0,1,9,225,0,635,0,13,1746,0,1,4,0,228,1242
"달성",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653361,0,0,0,0
"담양",307,0,401,7,89,3867,0,148,1,4,489,1423,324,9442,10085,681,360,2448,1577,700,4,299,704,864,0,3386,367,6,146,1832,0,1088,2248,65,0,0,426,29,460,218,0,26,240,0,85,0,42993,174,6703,2,39,2411,1423,0,1754,0,505,1,0,3455,420,0,687,1295,489,73,79,13,3945,571765,5601,198,476,1,0,2544,386,818,8,30,5,2,125,11,1559,7,366,1753,247,57,237,560,33,107,326,0,109,2,0,0,837,1533,25,126,0,2178,15,23595,3,2,953,7456,224,1013,0,4,252,8,219,713,1628,3875,561,0,1003,0,74,40,467,1257,618,1144,8,1641,3901,357,121,6943,14460,0,779,716,14123,0,191,4120,1590,517,971,752,1,2626,88,3940,854,456,60,11,2,235,489,1,1908,14561,31929,3208,3,262,328,1179,757,0,27,236,633,7,89,5101,2,171,0,1,0,2163,331,3,1499,5427,76,0,158,1,104,2,0,70,3940,409,0,261,1312,360,6094,3210,22,0,520,158,15,6823,42,399,3756,11,5992,6349,674,552,4992,367,287,187,15,613,36,1189,1810,207,154,7583,2086,0,0,604,1151,249,0,74,4,111,299,165,17,0,92,90,129,1326,0,2653,461,0,2,2,1589,369,3049,312,739,0,912,53,283,1295,101,10,27573,4,5,48,19
"당진",673,3,13,178,998,85,381,187,831,2331,647,52,121,1771,135,36,745,310,14279,18801,20,2416,60,20519,6,240914,23335,66,521,41,52,12207,62,1473,63,11,662,648,211,985,73,335,83,20,19442,444,46,1260,2,48,440,424,24,226,99,14,73,22,0,1606,622,2769,15033,30552,84,672,18,48,1050,123,19737,6,163,668,0,1530,24049,313,32,653,176,0,2166,229,101484,221,792,10309,1172,268,493,6000,33,1158,126,240,200,59,280,121,137889,83,198,21553,1164,4664,340,862,109,2106,9978,301,243,6703,262,137,244,36,47,185214,345,218,90,157,163,162,221,307,68,2516,338,2527,4298,3845,915,56564,108,674401,919,76,46774,38423,54967,370,568,226,387,11696,1186,171197,226,69,332,1533,162,147,56,77,59,156339,19412,551,19668,42,3609,72,62,4647,16045,6798,3264,362,741,1891,758,7,18,2034,326,421,65,1131,11,22810,1555,55,282,202,858,114,699,857,1926,3081,0,666,31746,17682,9,1711,784,3602,376,929,96,50,297,44,189,1324,159,740,289,375,358,1344,3403,63,34,15,74,139,250,144,40,178,329,3276,113,80,3092,141,298,64479,1112,3754,136,977,156,13,4088,616,93,496,195,2111,324,155,131,666,2618,308,4268,182,119,80,150,2061,23643,79,22,651,169,42330,655,131,43,110,31,307,203
"대동",21,51120,0,6205,1575,4,190375,3082,84276,1359560,2280,1,0,0,1,1,14551,62,24,12,2332,66167,4,42,9933,26412,2450,843,237,12,214,10494,29,20417,0,19,212,89513,854,781,443890,2428,18,32582,1763,3696657,7,8253,0,8667,1,4250,4,711920,1666,6504,2,5788,0,0,1496,1663,31364,45,3,4324,1,0,3,64,8,4129,224,215620,0,114475,7058,7,0,113,734,86,1493,49,2662,1157,16417,3,0,0,24,21,6408,1245,6,14001,6278,0,1030013,387711,3136,2,839,2018,815836,1,425,0,3723,213077,8742,89,8249,11540,17912,376,4,1419,0,1624,4,1,0,266563,79,544787,10624,811,0,0,79,56,233317,5243,93,2469,2,25896,11,15564,7660,2259,65795,701788,2231,105,5,50,11195,3723,6077,0,5980,0,3,50,14,1284,200,2318,3994,448011,13493,0,68,0,902,8731,2205,8335,3146,1631597,6658,7700,33,5451,0,1,1664,5,23314,125060,3424,16284,5679,40,2,1,1968,14986,66,80525,4446,2520696,0,1307,11906,4308,15082,8755,653,1802,16,0,1,886,100,0,485,717,5991,150,63,3169,6,0,1762,2,1,2,3,16,783,1,0,21,8,3388,3,0,19551,195436,107229,4133,7632,7225,27431,674,1916,0,31,7953,12484,58777,2,7,27,78,454778,6,6978,79523,69047,5151,1,1,2,0,95,958,3,2018,6,127,4787,2185,41,3152,315,1353,1874
"대전",5696,107,476,596,11932,2587,4233,12615,13516,37147,85079,1696,3924,90,101,507,30215,5540,38200,222,97,96053,596,3126,184,81458,5631,64719,120569,1353,12,40960,3049,85058,12,82,4187,13372,4012,118196,1937,11844,2071,410,8607,7138,2077,11373,85,74,3133,50356,1017,4166,70419,155,2759,46,0,791,14554,44276,2764,1920,11715,4798,784,2,564,267,494,8183,3025,16717,0,270756,16752,3368,2,2661,1203,5,5152,1198,21468,1524,231530,1460,138,88,104049,1603,1392,6738,1439,1631,29464,0,4263,3535,8802,1255,11039,3414,22178,265,1975,1408,193,70718,332044,3687,10877,43807,4158,316,3381,145,4711,6658,14021,3074,2807,1913,6784,1921,3345,1938,3113,31,3201,771,101171,306598,11433,34675,5869,99843,565,190,14918,17294,396072,6214,12525,10399,12269,4778,324911,8434,2822,84,7037,76,4707,4462,1663,5275,598,6575,20103,12079,80125,119,3066,136,316,279610,7863,72930,163148,5684,4295,14567,1084,205,613,314,102963,4936,83,9870,8,92340,127317,317,3121,280,351144,1207,14288,12556,6872,40496,0,6995,370268,40825,275,25021,42607,42983,2335,334,21405,1039,3445,1115,1211,58783,4474,2983,12569,794,344,79,185999,3202,2476,273,3302,1690,1698,1201,2251,1269,16072,57700,2650,172,291380,1952,2243,19204,554150,130631,3710,184898,23096,221,2564,12986,1053,14747,1654,53419,645,5022,1749,23983,41192,8056,42832,28,2069,1240,10978,146,913,1706,583,5446,6186,1401,6301,4592,711,42036,2692,2327,1576
"대천",17,1,1,86,603,5,14,89,45,77,94,1,18,4269,308,51,346,299,28884,94607,7,307,6,132932,1,54692,7595,28,81,1,23,4657,1,179,103,4,51,69,6,188,5,76,5,1,5734,15,118,732,2,21,3,121,17,8,6,0,2,9,0,1094,32258,99,2409,102,4,320,2,179,555,271,157452,10,15,63,0,982,9860,20,19,314,64,0,1316,110,25783,86,191,15687,1649,512,61,23065,10,460,5,8,104,71,9,14,35770,136,62,10802,48,14982,184,2451,63,237,2553,147,83,3698,14,19,7,11,6,59794,70,101,3,2,1,4,16,134,2,12921,18,55,339,849,127,31356,1,250021,1260,13,8576,12871,29592,22,350,3,16,124772,535,34321,11,147,34,4771,5,37,0,23,35,15695,9604,71,9175,117,4587,173,32,571,5727,4223,690,6,393,876,17,3,5,4024,44,4,10,23,0,8839,410,13,192,310,173,2,7,30,1112,172,0,349,7176,4072,2,914,9,1325,560,1326,4,4,14,4,65,16,42,166,6,194,638,4549,526,3,13,1,38,9,101,9,0,96,31,826,3,148,1164,9,10,13471,627,736,9,105,36,2,29461,428,64,60,5,19,8,2,1,101,571,45,144,53,386,10,11,3378,69991,5,2,478,6,126778,381,20,33,20,18,140,112
"덕유산",478,0,245,5,36,724,2,385,3,11,378,294,1257,25,7,185,684,4843,1779,2,2,52,1004,1,0,2112,176,13,9556,291,0,789,730,23,0,0,23,19,9,12528,0,9,19,0,91,0,2513,106,120,1,54,340,166,0,731,0,2507,0,0,985,64,5,9994,7,49,53,317,1,195,10504,2,173,830,9,0,6100,361,785,0,10,6,0,42,4,480,7,1310,149,11,7,15624,3,5,63,893,0,130,0,0,2,174,129,18,100,5,1,9,688,1,31,2924,8804,13,1228,0,3,589,0,1059,108,5043,10622,2267,0,9673,1,6,15,2478,1,1242,106,28,4278,9031,120,6593,2768,107,0,409,287,7802,2,209,2106,12075,2,996,107,0,2,4,20,194,34,69518,4,2,29,318,7,1280,391,2170,22,1,1437,269,1070,6896,1,46,169,92,3,524,108,12,149,0,1,0,2091,439,0,2747,26,124,0,18351,4,63,20,0,45,4767,283,0,239,9163,692,200,38,60631,0,985,168,5,10500,7,69,2043,5,14,5,715,2266,1670,511,621,240,8,1130,10163,1164,4649,271,66,108,1469,1,3,584,4742,443,4,5876,7,79,1,65,3,6,165,68,10,1063,0,9939,6954,2,14,0,1322,780,4351,9,4,1,287,51,96,7,88,3,5168,7,11,19,16
"덕평",525,17,14,19778,9471,86,297,9253,1396,1968,979,150,56,11,5,10,23004,199,3729,97,1735,3791,35,99,42,70806,21352,36,285,55,8176,9535,114,571,0,129,79,912,772,219,978,115,99,309,465,758,45,14000,0,641,218,280,33,384,898,13,72,523,0,65,658,4729,4997,224,46,2667,16,0,16,12,23,10752,262,1185,0,208131,60168,266,1,3553,3039,1,3882,1472,2863,3366,315,120,22,11,366,44,2375,15136,75,122,212,0,476,327,1051,112,296,9962,1856,20,3186,392,1300,3908,2734,588,1335,65193,219,992,298,2528,47,2717,288,17,58,155,294,153,3110,4467,55,3,367,99,6629,910,1341,741,144,62668,92,2146,17262,166,153731,452,8622,360,379,41,15185,558,151,6,1394,7,319,385,68,101,1028,488,417,760,44851,5,237,14,1823,6683,8963,1244,404,513,40742,46053,47,1143,10,19,132,422,560,496,103,7667,13115,469,58,33,562,56,1193,867,35090,2236,0,8263,3077,17749,81,46631,1651,20081,234,32,384,69,1248,20,1937,1922,3942,232,629,5233,52,9,5506,65,44,9,55,170,2542,21,42,49,240,5838,205,34,4273,166,103,352,2132,76,192,368,95,8,32,4654,9690,816,126,3230,22,233,203,447,687,496,1883,2907,50,183,129,15,135,136,27,5516,441,328,3821,123,174,64,48,3469,2288
"동고성",333,0,75,16,18,1040,0,101,0,0,38,28,125949,49,72,1863,187,8343,1,0,7,63,3356,2,0,1114,37,2,387,10,0,317,22,33,0,0,10,6,125,1083,0,8,43,0,123,0,433,16,18,0,140,87,23,0,111,0,1342,0,0,76,29,0,1070,2,473,28,20,0,668,3584,2,92,522,0,0,2169,132,1488,0,3,7,2,14,0,210,1,528,16,0,0,410,1,25,7,1497,0,28,0,0,0,68,7,6,17,1,9,2,225,0,0,206,7518,52,319,0,1,228,8,22945,59,9597,789,854,0,267,1,25,5,1412,1,741,51,0,401,4510,63,115,983,375,0,154,93,2297,0,72,100,18071,2,366,225,0,35,15,14,42,72,1021,1,0,65,148,0,492,35,6540,74,0,204,75,621,479,0,18,56,13,11,26426,103,1,97,0,2,0,492,83,0,1868,117,25,0,551,0,33,2,0,9,612,104,1,121,350,147,188,11,208,0,458,1913,3,686,14,6,69,0,352,20,143,412,106,429,1654,678,1,498,105,1996,53102,119,164,42,641,0,0,155,490,212,0,217,2,2384,0,27,20,1,338,0,4,34,0,416787,518,0,2,0,8344,735,671,2,3,0,81,13,114,2,12,2,3885,0,2,2,1
"동광산",0,0,0,1,1,1,0,0,0,0,0,0,0,392,49,0,0,10,131,70,0,1,0,195,0,410,23,0,0,1,0,9,5,0,297332,0,2,0,0,0,0,1,0,0,4,0,24,1,2,0,1,9,6,0,5,0,0,0,0,14,90,1,3,240,2,1,0,23466,14,47,786,0,0,0,0,8,22,0,638486,0,1,0,2,0,191,0,1,2113197,367489,394889,1,77,0,0,0,0,1,172417,0,0,137,23,0,21,0,242,2,59,0,0,2,5,0,12,0,0,0,0,0,185,0,6,0,0,7,0,0,2,0,148,1,0,0,4,5,53,0,1262,50,0,85,15,90,0,1,31,0,81,5,144,0,4,0,532,0,0,0,0,0,57,17,0,20,1,87,2,0,2,35,7,1,0,2,4,0,0,0,1708,1,1,0,0,0,24,0,0,1,48,0,0,0,0,3,1,0,2,12,2,0,3,10,4,57,25,1,0,1,1,1,46,0,7,24,0,18,693,2,0,0,0,1,0,0,0,3,1,0,0,0,8,7,0,0,47,6,1,0,0,0,0,49,0,0,0,0,0,0,8,0,0,1,1,1,0,0,0,0,20112,99,0,0,2,0,297,1,0,14,0,0,1,0
"동광양",4349,0,27,7,33,388,0,88,0,0,77,14,1138,1355,7656,4363,209,21478,95,269,30,49,1526,405,0,1446,64,1,280,745,0,299,624,52,0,0,120,13,250,392,0,6,120,0,184,0,24,36,3,0,209,425,637,0,445,1,227,0,0,4374,807,0,528,548,406,57,1630,1,7700,147760,3213,64,933,0,0,1908,130,2387,4,6,2,0,30,5,348,2,655,80,14,9,222,263,19,38,904,0,46,0,0,0,208,556,11,54,0,722,7,8271,0,0,212,15032,80,329,0,5,622,13,591,220,6888,8312,182,0,244,0,41,1,165,376,1571,258,0,188,13470,463,33,1938,64460,0,282,159,3538,0,66,735,2460,224,505,441,0,3258,52,628,51,395,38,0,6,1114,141,0,554,93,151719,12844,3,342,110,328,278,0,48,70,132,30,334,1450,0,237,0,0,0,555,208,2,5179,7846,47,0,25,1,50,1,0,30,506,160,0,156,464,305,2088,600,59,0,815,719,5,1806,71,60,1946,1,36825,702,246,108,13,462,2467,782,3,1519,27,5456,9019,136,313,4148,634,0,0,153,704,601,0,195,0,2779,148,44,57,0,948,0,26,684,0,5158,302,0,2,0,14368,971,176,64,554,0,49,19,394,531,31,7,8531,0,1,4,14
